WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,"Rated ripple current (mArms/ 105℃, 120Hz)",Part No.
25.0,"4,700",16×31.5,0.22,"1,710",EKMG250E□□472MLN3S
25.0,"6,800",18×35.5,0.26,"2,040",EKMG250E□□682MMP1S
35.0,47,5×11,0.14,90,EKMG350E□□470ME11D
35.0,100,6.3×11,0.14,150,EKMG350E□□101MF11D
35.0,220,8×11.5,0.14,270,EKMG350E□□221MHB5D
35.0,330,10×12.5,0.14,350,EKMG350E□□331MJC5S
35.0,470,10×16,0.14,460,EKMG350E□□471MJ16S
35.0,"1,000",12.5×20,0.14,810,EKMG350E□□102MK20S
35.0,"2,200",16×25,0.16,"1,260",EKMG350E□□222ML25S
35.0,"3,300",16×35.5,0.18,"1,610",EKMG350E□□332MLP1S
35.0,"4,700",18×35.5,0.2,"1,910",EKMG350E□□472MMP1S
50.0,1.0,5×11,0.12,13,EKMG500E□□1R0ME11D
50.0,2.2,5×11,0.12,20,EKMG500E□□2R2ME11D
50.0,3.3,5×11,0.12,25,EKMG500E□□3R3ME11D
50.0,4.7,5×11,0.12,30,EKMG500E□□4R7ME11D
50.0,10,5×11,0.12,40,EKMG500E□□100ME11D
50.0,22,5×11,0.12,65,EKMG500E□□220ME11D
50.0,33,5×11,0.12,90,EKMG500E□□330ME11D
50.0,47,6.3×11,0.12,110,EKMG500E□□470MF11D
50.0,100,8×11.5,0.12,180,EKMG500E□□101MHB5D
50.0,220,10×12.5,0.12,300,EKMG500E□□221MJC5S
50.0,330,10×16,0.12,410,EKMG500E□□331MJ16S
50.0,470,10×20,0.12,530,EKMG500E□□471MJ20S
50.0,"1,000",12.5×25,0.12,950,EKMG500E□□102MK25S
50.0,"2,200",16×35.5,0.14,"1,470",EKMG500E□□222MLP1S
50.0,"3,300",18×35.5,0.16,"1,770",EKMG500E□□332MMP1S
63.0,10,5×11,0.1,46,EKMG630E□□100ME11D
63.0,22,5×11,0.1,71,EKMG630E□□220ME11D
63.0,33,6.3×11,0.1,100,EKMG630E□□330MF11D
63.0,47,6.3×11,0.1,120,EKMG630E□□470MF11D
63.0,100,10×12.5,0.1,215,EKMG630E□□101MJC5S
63.0,220,10×16,0.1,335,EKMG630E□□221MJ16S
63.0,330,10×20,0.1,510,EKMG630E□□331MJ20S
63.0,470,12.5×20,0.1,640,EKMG630E□□471MK20S
63.0,"1,000",16×25,0.1,930,EKMG630E□□102ML25S
100.0,1.0,5×11,0.08,15,EKMG101E□□1R0ME11D
100.0,2.2,5×11,0.08,21,EKMG101E□□2R2ME11D
100.0,3.3,5×11,0.08,29,EKMG101E□□3R3ME11D
100.0,4.7,5×11,0.08,32,EKMG101E□□4R7ME11D
100.0,10,6.3×11,0.08,54,EKMG101E□□100MF11D
100.0,22,8×11.5,0.08,93,EKMG101E□□220MHB5D
100.0,33,8×11.5,0.08,130,EKMG101E□□330MHB5D
100.0,47,10×12.5,0.08,165,EKMG101E□□470MJC5S
100.0,100,10×20,0.08,265,EKMG101E□□101MJ20S
100.0,220,12.5×25,0.08,440,EKMG101E□□221MK25S
100.0,330,16×25,0.08,540,EKMG101E□□331ML25S
100.0,470,16×31.5,0.08,715,EKMG101E□□471MLN3S
100.0,"1,000",18×40,0.08,985,EKMG101E□□102MM40S
160.0,3.3,6.3×11,0.2,28,EKMG161E□□3R3MF11D
160.0,4.7,6.3×11,0.2,34,EKMG161E□□4R7MF11D
160.0,10,10×12.5,0.2,67,EKMG161E□□100MJC5S
160.0,22,10×20,0.2,120,EKMG161E□□220MJ20S
160.0,33,10×20,0.2,145,EKMG161E□□330MJ20S
160.0,47,12.5×20,0.2,195,EKMG161E□□470MK20S
160.0,100,16×25,0.2,335,EKMG161E□□101ML25S
160.0,220,16×31.5,0.2,540,EKMG161E□□221MLN3S
160.0,330,18×35.5,0.2,705,EKMG161E□□331MMP1S
