WV(Vdc),Cap(μF),Case size φDxL(mm),ESR(Ωmax./100kHz) 20℃,ESR(Ωmax./100kHz) -40℃,Rated ripple current(mArms/125℃ 100kHz),Part No.
100,270,14.5×25,0.064,0.52,2050,EGXF101E□□271MU25S
100,330,12.5×35,0.051,0.38,2680,EGXF101E□□331MK35S
100,330,16×25,0.057,0.39,2190,EGXF101E□□331ML25S
100,330,18×20,0.069,0.39,1690,EGXF101E□□331MM20S
100,360,14.5×30,0.050,0.40,2620,EGXF101E□□361MU30S
100,390,12.5×40,0.044,0.33,2970,EGXF101E□□391MK40S
100,390,14.5×35,0.044,0.33,2850,EGXF101E□□391MU35S
100,390,16×30,0.044,0.33,2770,EGXF101E□□391ML30S
100,430,18×25,0.054,0.32,2310,EGXF101E□□431MM25S
100,510,14.5×40,0.038,0.26,3230,EGXF101E□□511MU40S
100,510,16×35,0.037,0.26,3010,EGXF101E□□511ML35S
100,560,18×30,0.043,0.26,2830,EGXF101E□□561MM30S
100,620,16×40,0.032,0.21,3320,EGXF101E□□621ML40S
100,680,18×35,0.034,0.19,3210,EGXF101E□□681MM35S
100,820,18×40,0.029,0.16,3410,EGXF101E□□821MM40S
160,51,10×20,-,-,900,EGXF161E□□510MJ20S
160,62,10×25,-,-,1200,EGXF161E□□620MJ25S
160,75,12.5×20,-,-,1220,EGXF161E□□750MK20S
160,82,10×30,-,-,1410,EGXF161E□□820MJ30S
160,100,10×35,-,-,1600,EGXF161E□□101MJ35S
160,100,14.5×20,-,-,1340,EGXF161E□□101MU20S
160,110,12.5×25,-,-,1510,EGXF161E□□111MK25S
160,120,10×40,-,-,1790,EGXF161E□□121MJ40S
160,130,16×20,-,-,1500,EGXF161E□□131ML20S
160,150,12.5×30,-,-,1770,EGXF161E□□151MK30S
160,150,14.5×25,-,-,1610,EGXF161E□□151MU25S
160,180,12.5×35,-,-,1970,EGXF161E□□181MK35S
160,180,14.5×30,-,-,1880,EGXF161E□□181MU30S
160,180,18×20,-,-,1730,EGXF161E□□181MM20S
160,200,12.5×40,-,-,2150,EGXF161E□□201MK40S
160,200,16×25,-,-,1850,EGXF161E□□201ML25S
160,220,14.5×35,-,-,2030,EGXF161E□□221MU35S
160,240,18×25,-,-,2050,EGXF161E□□241MM25S
160,270,14.5×40,-,-,2250,EGXF161E□□271MU40S
200,36,10×20,-,-,900,EGXF201E□□360MJ20S
200,43,10×25,-,-,1200,EGXF201E□□430MJ25S
200,56,12.5×20,-,-,1220,EGXF201E□□560MK20S
200,62,10×30,-,-,1410,EGXF201E□□620MJ30S
200,75,10×35,-,-,1600,EGXF201E□□750MJ35S
200,75,14.5×20,-,-,1340,EGXF201E□□750MU20S
200,82,10×40,-,-,1790,EGXF201E□□820MJ40S
200,82,12.5×25,-,-,1510,EGXF201E□□820MK25S
200,100,12.5×30,-,-,1770,EGXF201E□□101MK30S
200,100,16×20,-,-,1500,EGXF201E□□101ML20S
200,110,14.5×25,-,-,1610,EGXF201E□□111MU25S
200,130,12.5×35,-,-,1970,EGXF201E□□131MK35S
200,130,14.5×30,-,-,1880,EGXF201E□□131MU30S
200,130,18×20,-,-,1730,EGXF201E□□131MM20S
200,150,12.5×40,-,-,2150,EGXF201E□□151MK40S
200,150,16×25,-,-,1850,EGXF201E□□151ML25S
200,160,14.5×35,-,-,2030,EGXF201E□□161MU35S
200,180,18×25,-,-,2050,EGXF201E□□181MM25S
200,200,14.5×40,-,-,2250,EGXF201E□□201MU40S
250,24,10×20,-,-,900,EGXF251E□□240MJ20S
250,30,10×25,-,-,1200,EGXF251E□□300MJ25S
250,36,12.5×20,-,-,1220,EGXF251E□□360MK20S
250,39,10×30,-,-,1410,EGXF251E□□390MJ30S
250,47,10×35,-,-,1600,EGXF251E□□470MJ35S
250,51,12.5×25,-,-,1510,EGXF251E□□510MK25S
250,51,14.5×20,-,-,1340,EGXF251E□□510MU20S
250,56,10×40,-,-,1790,EGXF251E□□560MJ40S
250,62,16×20,-,-,1500,EGXF251E□□620ML20S
250,68,12.5×30,-,-,1770,EGXF251E□□680MK30S
250,68,14.5×25,-,-,1610,EGXF251E□□680MU25S
250,82,12.5×35,-,-,1970,EGXF251E□□820MK35S
250,82,18×20,-,-,1730,EGXF251E□□820MM20S
250,91,14.5×30,-,-,1880,EGXF251E□□910MU30S
250,91,16×25,-,-,1850,EGXF251E□□910ML25S
250,100,12.5×40,-,-,2150,EGXF251E□□101MK40S
250,100,14.5×35,-,-,2030,EGXF251E□□101MU35S
250,120,18×25,-,-,2050,EGXF251E□□121MM25S
250,130,14.5×40,-,-,2250,EGXF251E□□131MU40S
350,16,10×20,-,-,460,EGXF351E□□160MJ20S
350,20,10×25,-,-,610,EGXF351E□□200MJ25S
350,24,12.5×20,-,-,680,EGXF351E□□240MK20S
350,27,10×30,-,-,720,EGXF351E□□270MJ30S
350,33,10×35,-,-,820,EGXF351E□□330MJ35S
350,33,14.5×20,-,-,870,EGXF351E□□330MU20S
350,36,10×40,-,-,940,EGXF351E□□360MJ40S
350,36,12.5×25,-,-,980,EGXF351E□□360MK25S
350,43,16×20,-,-,970,EGXF351E□□430ML20S
350,47,12.5×30,-,-,1210,EGXF351E□□470MK30S
350,47,14.5×25,-,-,1210,EGXF351E□□470MU25S
350,56,12.5×35,-,-,1330,EGXF351E□□560MK35S
350,56,16×25,-,-,1130,EGXF351E□□560ML25S
350,56,18×20,-,-,1060,EGXF351E□□560MM20S
350,62,14.5×30,-,-,1410,EGXF351E□□620MU30S
350,68,12.5×40,-,-,1450,EGXF351E□□680MK40S
