WV,Cap,Case size,Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
80.0,1200.0,16×40,0.018,0.072,2900,EKYB800E□□122ML40S
80.0,1200.0,18×31.5,0.02,0.08,2550,EKYB800E□□122MMN3S
80.0,1500.0,18×35.5,0.018,0.072,3050,EKYB800E□□152MMP1S
100.0,6.8,5×11,0.8,3.2,163,EKYB101E□□6R8ME11D
100.0,15.0,6.3×11,0.43,1.8,267,EKYB101E□□150MF11D
100.0,27.0,8×11.5,0.18,0.72,462,EKYB101E□□270MHB5D
100.0,39.0,8×15,0.14,0.56,585,EKYB101E□□390MH15D
100.0,56.0,8×20,0.11,0.44,735,EKYB101E□□560MH20D
100.0,56.0,10×12.5,0.14,0.56,624,EKYB101E□□560MJC5S
100.0,82.0,10×16,0.1,0.4,780,EKYB101E□□820MJ16S
100.0,100.0,10×20,0.075,0.3,1040,EKYB101E□□101MJ20S
100.0,120.0,10×25,0.06,0.24,1170,EKYB101E□□121MJ25S
100.0,150.0,10×30,0.053,0.22,1350,EKYB101E□□151MJ30S
100.0,180.0,12.5×20,0.048,0.2,1430,EKYB101E□□181MK20S
100.0,220.0,12.5×25,0.039,0.16,1620,EKYB101E□□221MK25S
100.0,270.0,12.5×30,0.033,0.14,1950,EKYB101E□□271MK30S
100.0,270.0,16×20,0.036,0.15,1750,EKYB101E□□271ML20S
100.0,330.0,16×25,0.028,0.12,2250,EKYB101E□□331ML25S
100.0,390.0,12.5×35,0.026,0.11,2250,EKYB101E□□391MK35S
100.0,390.0,18×20,0.032,0.13,2100,EKYB101E□□391MM20S
100.0,470.0,12.5×40,0.024,0.096,2450,EKYB101E□□471MK40S
100.0,470.0,16×31.5,0.022,0.088,2400,EKYB101E□□471MLN3S
100.0,560.0,16×35.5,0.02,0.08,2600,EKYB101E□□561MLP1S
100.0,560.0,18×25,0.027,0.11,2270,EKYB101E□□561MM25S
100.0,680.0,16×40,0.018,0.072,2900,EKYB101E□□681ML40S
100.0,680.0,18×31.5,0.02,0.08,2550,EKYB101E□□681MMN3S
100.0,820.0,18×35.5,0.018,0.072,3050,EKYB101E□□821MMP1S
100.0,1000.0,18×40,0.017,0.068,3510,EKYB101E□□102MM40S
