WV (Vdc),Cap (µF),Case size φD×L(mm),Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
50.0,330.0,10×20,0.06,0.24,1220,EKYA500E□□331MJ20S
50.0,470.0,10×25,0.055,0.22,1440,EKYA500E□□471MJ25S
50.0,470.0,12.5×20,0.045,0.15,1660,EKYA500E□□471MK20S
50.0,560.0,12.5×20,0.045,0.15,1660,EKYA500E□□561MK20S
50.0,820.0,12.5×25,0.034,0.11,1950,EKYA500E□□821MK25S
50.0,1000.0,16×25,0.025,0.075,2555,EKYA500E□□102ML25S
50.0,1200.0,16×25,0.025,0.075,2555,EKYA500E□□122ML25S
50.0,1800.0,16×31.5,0.022,0.066,3010,EKYA500E□□182MLN3S
50.0,2200.0,16×35.5,0.019,0.057,3150,EKYA500E□□222MLP1S
63.0,10.0,5×11,0.88,3.5,173,EKYA630E□□100ME11D
63.0,15.0,5×11,0.88,3.5,173,EKYA630E□□150ME11D
63.0,33.0,6.3×11,0.35,1.4,278,EKYA630E□□330MF11D
63.0,56.0,8×11.5,0.22,0.88,500,EKYA630E□□560MHB5D
63.0,82.0,8×15,0.16,0.64,665,EKYA630E□□820MH15D
63.0,100.0,10×12.5,0.11,0.44,725,EKYA630E□□101MJC5S
63.0,120.0,8×20,0.12,0.48,820,EKYA630E□□121MH20D
63.0,120.0,10×16,0.076,0.31,950,EKYA630E□□121MJ16S
63.0,220.0,10×20,0.056,0.23,1200,EKYA630E□□221MJ20S
63.0,330.0,10×25,0.046,0.19,1350,EKYA630E□□331MJ25S
63.0,330.0,12.5×20,0.041,0.13,1570,EKYA630E□□331MK20S
63.0,390.0,12.5×20,0.041,0.13,1570,EKYA630E□□391MK20S
63.0,470.0,12.5×25,0.031,0.093,1990,EKYA630E□□471MK25S
63.0,560.0,12.5×25,0.031,0.093,1990,EKYA630E□□561MK25S
63.0,1000.0,16×25,0.025,0.075,2730,EKYA630E□□102ML25S
63.0,1200.0,16×31.5,0.021,0.063,2850,EKYA630E□□122MLN3S
63.0,1500.0,16×35.5,0.019,0.057,2900,EKYA630E□□152MLP1S
100.0,1.0,5×11,4.5,15.0,20,EKYA101E□□1R0ME11D
100.0,2.2,5×11,3.0,13.0,30,EKYA101E□□2R2ME11D
100.0,3.3,5×11,2.7,11.0,40,EKYA101E□□3R3ME11D
100.0,4.7,5×11,2.5,10.0,65,EKYA101E□□4R7ME11D
100.0,6.8,5×11,1.4,5.6,125,EKYA101E□□6R8ME11D
