WV (Vdc),Cap (µF),Case size φD×L(mm),Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,"Rated ripple current (mArms/ 105℃, 100kHz)",Part No.
25.0,1000,12.5×20,0.035,0.12,1900,EKY-250E□□102MK20S
25.0,1000,16×15,0.042,0.12,1940,EKY-250E□□102ML15S
25.0,1200,18×15,0.043,0.11,2210,EKY-250E□□122MM15S
25.0,1500,12.5×25,0.027,0.089,2230,EKY-250E□□152MK25S
25.0,1800,12.5×30,0.024,0.078,2650,EKY-250E□□182MK30S
25.0,1800,16×20,0.027,0.078,2530,EKY-250E□□182ML20S
25.0,2200,12.5×35,0.02,0.065,2880,EKY-250E□□222MK35S
25.0,2200,18×20,0.026,0.067,2860,EKY-250E□□222MM20S
25.0,2700,12.5×40,0.017,0.056,3350,EKY-250E□□272MK40S
25.0,2700,16×25,0.021,0.06,2930,EKY-250E□□272ML25S
25.0,3300,16×31.5,0.017,0.05,3450,EKY-250E□□332MLN3S
25.0,3300,18×25,0.019,0.049,3140,EKY-250E□□332MM25S
25.0,3900,16×35.5,0.015,0.044,3610,EKY-250E□□392MLP1S
25.0,3900,18×31.5,0.015,0.04,4170,EKY-250E□□392MMN3S
25.0,4700,16×40,0.013,0.038,4080,EKY-250E□□472ML40S
25.0,4700,18×35.5,0.014,0.038,4220,EKY-250E□□472MMP1S
25.0,5600,18×40,0.012,0.032,4280,EKY-250E□□562MM40S
35.0,220,10×12.5,0.08,0.32,865,EKY-350E□□221MJC5S
35.0,330,10×16,0.06,0.24,1210,EKY-350E□□331MJ16S
35.0,470,10×20,0.046,0.18,1400,EKY-350E□□471MJ20S
35.0,470,12.5×15,0.049,0.16,1450,EKY-350E□□471MK15S
35.0,560,10×25,0.042,0.17,1650,EKY-350E□□561MJ25S
35.0,680,10×30,0.031,0.12,1910,EKY-350E□□681MJ30S
35.0,680,12.5×20,0.035,0.12,1900,EKY-350E□□681MK20S
35.0,680,16×15,0.042,0.12,1940,EKY-350E□□681ML15S
35.0,1000,12.5×25,0.027,0.089,2230,EKY-350E□□102MK25S
35.0,1000,18×15,0.043,0.11,2210,EKY-350E□□102MM15S
35.0,1200,12.5×30,0.024,0.078,2650,EKY-350E□□122MK30S
35.0,1200,16×20,0.027,0.078,2530,EKY-350E□□122ML20S
35.0,1500,12.5×35,0.02,0.065,2880,EKY-350E□□152MK35S
35.0,1800,12.5×40,0.017,0.056,3350,EKY-350E□□182MK40S
35.0,1800,16×25,0.021,0.06,2930,EKY-350E□□182ML25S
35.0,1800,18×20,0.026,0.067,2860,EKY-350E□□182MM20S
35.0,2200,16×31.5,0.017,0.05,3450,EKY-350E□□222MLN3S
35.0,2200,18×25,0.019,0.049,3140,EKY-350E□□222MM25S
35.0,2700,16×35.5,0.015,0.044,3610,EKY-350E□□272MLP1S
35.0,2700,18×31.5,0.015,0.04,4170,EKY-350E□□272MMN3S
35.0,3300,16×40,0.013,0.038,4080,EKY-350E□□332ML40S
35.0,3300,18×35.5,0.014,0.038,4220,EKY-350E□□332MMP1S
35.0,3900,18×40,0.012,0.032,4280,EKY-350E□□392MM40S
50.0,150,10×12.5,0.12,0.48,760,EKY-500E□□151MJC5S
50.0,220,10×16,0.084,0.34,1050,EKY-500E□□221MJ16S
50.0,270,10×20,0.06,0.24,1220,EKY-500E□□271MJ20S
50.0,270,12.5×15,0.061,0.2,1260,EKY-500E□□271MK15S
50.0,330,10×25,0.055,0.22,1440,EKY-500E□□331MJ25S
50.0,470,10×30,0.043,0.17,1690,EKY-500E□□471MJ30S
50.0,470,12.5×20,0.045,0.15,1660,EKY-500E□□471MK20S
50.0,470,16×15,0.055,0.17,1690,EKY-500E□□471ML15S
50.0,560,12.5×25,0.034,0.11,1950,EKY-500E□□561MK25S
50.0,560,18×15,0.054,0.15,1930,EKY-500E□□561MM15S
50.0,680,12.5×30,0.03,0.1,2310,EKY-500E□□681MK30S
50.0,820,12.5×35,0.025,0.083,2510,EKY-500E□□821MK35S
50.0,820,16×20,0.034,0.1,2210,EKY-500E□□821ML20S
50.0,1000,12.5×40,0.021,0.069,2920,EKY-500E□□102MK40S
50.0,1000,16×25,0.025,0.075,2555,EKY-500E□□102ML25S
50.0,1000,18×20,0.036,0.097,2490,EKY-500E□□102MM20S
50.0,1200,16×31.5,0.022,0.066,3010,EKY-500E□□122MLN3S
50.0,1200,18×25,0.026,0.07,2740,EKY-500E□□122MM25S
50.0,1500,16×35.5,0.019,0.057,3150,EKY-500E□□152MLP1S
50.0,1800,16×40,0.016,0.048,3710,EKY-500E□□182ML40S
50.0,1800,18×31.5,0.021,0.057,3635,EKY-500E□□182MMN3S
50.0,2200,18×35.5,0.017,0.046,3680,EKY-500E□□222MMP1S
50.0,2700,18×40,0.014,0.038,3800,EKY-500E□□272MM40S
63.0,82,10×12.5,0.11,0.44,690,EKY-630E□□820MJC5S
63.0,120,10×16,0.076,0.31,950,EKY-630E□□121MJ16S
63.0,180,10×20,0.056,0.23,1150,EKY-630E□□181MJ20S
63.0,180,12.5×16,0.072,0.29,1150,EKY-630E□□181MK16S
63.0,220,10×25,0.046,0.19,1350,EKY-630E□□221MJ25S
63.0,270,12.5×20,0.041,0.13,1500,EKY-630E□□271MK20S
63.0,390,12.5×25,0.031,0.093,1900,EKY-630E□□391MK25S
63.0,470,12.5×30,0.028,0.084,2300,EKY-630E□□471MK30S
63.0,470,16×20,0.032,0.096,2000,EKY-630E□□471ML20S
63.0,560,12.5×35,0.024,0.072,2500,EKY-630E□□561MK35S
63.0,680,12.5×40,0.021,0.063,2800,EKY-630E□□681MK40S
63.0,680,16×25,0.025,0.075,2600,EKY-630E□□681ML25S
63.0,680,18×20,0.03,0.09,2500,EKY-630E□□681MM20S
63.0,820,16×31.5,0.021,0.063,2850,EKY-630E□□821MLN3S
63.0,820,18×25,0.024,0.072,2800,EKY-630E□□821MM25S
63.0,1000,16×35.5,0.019,0.057,2900,EKY-630E□□102MLP1S
63.0,1200,16×40,0.018,0.054,3400,EKY-630E□□122ML40S
63.0,1200,18×31.5,0.02,0.06,3300,EKY-630E□□122MMN3S
63.0,1500,18×35.5,0.018,0.054,3400,EKY-630E□□152MMP1S
63.0,1800,18×40,0.017,0.051,3500,EKY-630E□□182MM40S
80.0,68,10×12.5,0.17,0.66,480,EKY-800E□□680MJC5S
80.0,100,10×16,0.11,0.47,600,EKY-800E□□101MJ16S
80.0,120,10×20,0.084,0.34,800,EKY-800E□□121MJ20S
80.0,150,10×25,0.069,0.28,900,EKY-800E□□151MJ25S
80.0,150,12.5×16,0.11,0.34,750,EKY-800E□□151MK16S
80.0,220,12.5×20,0.062,0.18,1100,EKY-800E□□221MK20S
80.0,330,12.5×25,0.047,0.14,1250,EKY-800E□□331MK25S
80.0,330,16×20,0.048,0.15,1350,EKY-800E□□331ML20S
80.0,390,12.5×30,0.042,0.13,1500,EKY-800E□□391MK30S
80.0,470,12.5×35,0.036,0.11,1650,EKY-800E□□471MK35S
80.0,470,16×25,0.038,0.12,1700,EKY-800E□□471ML25S
80.0,470,18×20,0.045,0.14,1500,EKY-800E□□471MM20S
80.0,560,12.5×40,0.032,0.095,1800,EKY-800E□□561MK40S
80.0,680,16×31.5,0.032,0.095,1850,EKY-800E□□681MLN3S
80.0,680,18×25,0.036,0.11,1750,EKY-800E□□681MM25S
80.0,820,16×35.5,0.029,0.086,2000,EKY-800E□□821MLP1S
80.0,820,18×31.5,0.03,0.09,1900,EKY-800E□□821MMN3S
80.0,1000,16×40,0.027,0.081,2200,EKY-800E□□102ML40S
80.0,1000,18×35.5,0.027,0.081,2200,EKY-800E□□102MMP1S
80.0,1200,18×40,0.026,0.077,2700,EKY-800E□□122MM40S
100.0,47,10×12.5,0.17,0.66,480,EKY-101E□□470MJC5S
100.0,68,10×16,0.11,0.47,600,EKY-101E□□680MJ16S
100.0,82,10×20,0.084,0.34,800,EKY-101E□□820MJ20S
100.0,100,12.5×16,0.11,0.34,750,EKY-101E□□101MK16S
100.0,120,10×25,0.069,0.28,900,EKY-101E□□121MJ25S
100.0,150,12.5×20,0.062,0.18,1100,EKY-101E□□151MK20S
100.0,220,12.5×25,0.047,0.14,1250,EKY-101E□□221MK25S
100.0,220,16×20,0.048,0.15,1350,EKY-101E□□221ML20S
100.0,270,12.5×30,0.042,0.13,1500,EKY-101E□□271MK30S
100.0,330,12.5×35,0.036,0.11,1650,EKY-101E□□331MK35S
100.0,330,16×25,0.038,0.12,1700,EKY-101E□□331ML25S
100.0,330,18×20,0.045,0.14,1500,EKY-101E□□331MM20S
100.0,390,12.5×40,0.032,0.095,1800,EKY-101E□□391MK40S
100.0,470,16×31.5,0.032,0.095,1850,EKY-101E□□471MLN3S
100.0,470,18×25,0.036,0.11,1750,EKY-101E□□471MM25S
100.0,560,16×35.5,0.029,0.086,2000,EKY-101E□□561MLP1S
100.0,560,18×31.5,0.03,0.09,1900,EKY-101E□□561MMN3S
100.0,680,16×40,0.027,0.081,2200,EKY-101E□□681ML40S
100.0,680,18×35.5,0.027,0.081,2200,EKY-101E□□681MMP1S
100.0,820,18×40,0.026,0.077,2700,EKY-101E□□821MM40S
