WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,Rated ripple current (mArms/105℃ 120Hz),Part No.
200,82.0,12.5×20,0.2,520,EKXJ201E□□820MK20S
200,100.0,10×35,0.2,520,EKXJ201E□□101MJ35S
200,100.0,12.5×25,0.2,625,EKXJ201E□□101MK25S
200,100.0,14.5×20,0.2,615,EKXJ201E□□101MU20S
200,120.0,10×40,0.2,595,EKXJ201E□□121MJ40S
200,120.0,10×45,0.2,620,EKXJ201E□□121MJ45S
200,120.0,12.5×30,0.2,725,EKXJ201E□□121MK30S
200,120.0,16×20,0.2,695,EKXJ201E□□121ML20S
200,150.0,10×50,0.2,720,EKXJ201E□□151MJ50S
200,150.0,12.5×35,0.2,860,EKXJ201E□□151MK35S
200,150.0,14.5×25,0.2,810,EKXJ201E□□151MU25S
200,180.0,14.5×31.5,0.2,955,EKXJ201E□□181MUN3S
200,180.0,16×25,0.2,925,EKXJ201E□□181ML25S
200,180.0,18×20,0.2,895,EKXJ201E□□181MM20S
200,220.0,12.5×40,0.2,1075,EKXJ201E□□221MK40S
200,220.0,12.5×45,0.2,1110,EKXJ201E□□221MK45S
200,220.0,14.5×35.5,0.2,1095,EKXJ201E□□221MUP1S
200,220.0,18×25,0.2,1050,EKXJ201E□□221MM25S
200,270.0,12.5×50,0.2,1265,EKXJ201E□□271MK50S
200,270.0,14.5×40,0.2,1250,EKXJ201E□□271MU40S
200,270.0,14.5×45,0.2,1290,EKXJ201E□□271MU45S
200,270.0,16×31.5,0.2,1220,EKXJ201E□□271MLN3S
200,270.0,16×35.5,0.2,1250,EKXJ201E□□271MLP1S
200,330.0,14.5×50,0.2,1450,EKXJ201E□□331MU50S
200,330.0,16×40,0.2,1425,EKXJ201E□□331ML40S
200,330.0,18×31.5,0.2,1395,EKXJ201E□□331MMN3S
200,390.0,16×45,0.2,1575,EKXJ201E□□391ML45S
200,390.0,18×35.5,0.2,1565,EKXJ201E□□391MMP1S
200,470.0,16×50,0.2,1755,EKXJ201E□□471ML50S
200,470.0,18×40,0.2,1745,EKXJ201E□□471MM40S
200,470.0,18×45,0.2,1770,EKXJ201E□□471MM45S
200,560.0,18×50,0.2,1945,EKXJ201E□□561MM50S
220,27.0,10×16,0.2,200,EKXJ221E□□270MJ16S
220,39.0,10×20,0.2,265,EKXJ221E□□390MJ20S
220,56.0,10×25,0.2,345,EKXJ221E□□560MJ25S
220,56.0,10×30,0.2,370,EKXJ221E□□560MJ30S
220,68.0,12.5×20,0.2,475,EKXJ221E□□680MK20S
220,82.0,10×35,0.2,470,EKXJ221E□□820MJ35S
220,82.0,14.5×20,0.2,555,EKXJ221E□□820MU20S
220,100.0,10×40,0.2,545,EKXJ221E□□101MJ40S
220,100.0,10×45,0.2,565,EKXJ221E□□101MJ45S
220,100.0,12.5×25,0.2,625,EKXJ221E□□101MK25S
220,120.0,10×50,0.2,645,EKXJ221E□□121MJ50S
220,120.0,12.5×30,0.2,725,EKXJ221E□□121MK30S
220,120.0,14.5×25,0.2,725,EKXJ221E□□121MU25S
220,120.0,16×20,0.2,695,EKXJ221E□□121ML20S
220,150.0,12.5×35,0.2,860,EKXJ221E□□151MK35S
220,150.0,16×25,0.2,845,EKXJ221E□□151ML25S
220,150.0,18×20,0.2,815,EKXJ221E□□151MM20S
220,180.0,12.5×40,0.2,975,EKXJ221E□□181MK40S
220,180.0,12.5×45,0.2,1005,EKXJ221E□□181MK45S
220,180.0,14.5×31.5,0.2,955,EKXJ221E□□181MUN3S
220,220.0,12.5×50,0.2,1145,EKXJ221E□□221MK50S
220,220.0,14.5×35.5,0.2,1095,EKXJ221E□□221MUP1S
220,220.0,14.5×40,0.2,1130,EKXJ221E□□221MU40S
220,220.0,16×31.5,0.2,1100,EKXJ221E□□221MLN3S
220,220.0,18×25,0.2,1050,EKXJ221E□□221MM25S
220,270.0,14.5×45,0.2,1285,EKXJ221E□□271MU45S
220,270.0,14.5×50,0.2,1315,EKXJ221E□□271MU50S
220,270.0,16×35.5,0.2,1245,EKXJ221E□□271MLP1S
220,270.0,18×31.5,0.2,1260,EKXJ221E□□271MMN3S
220,330.0,16×40,0.2,1425,EKXJ221E□□331ML40S
220,330.0,16×45,0.2,1450,EKXJ221E□□331ML45S
220,330.0,18×35.5,0.2,1440,EKXJ221E□□331MMP1S
220,390.0,16×50,0.2,1600,EKXJ221E□□391ML50S
220,390.0,18×40,0.2,1590,EKXJ221E□□391MM40S
220,390.0,18×45,0.2,1620,EKXJ221E□□391MM45S
220,470.0,18×50,0.2,1785,EKXJ221E□□471MM50S
250,22.0,10×16,0.2,185,EKXJ251E□□220MJ16S
250,33.0,10×20,0.2,240,EKXJ251E□□330MJ20S
250,47.0,10×25,0.2,315,EKXJ251E□□470MJ25S
250,47.0,10×30,0.2,340,EKXJ251E□□470MJ30S
250,56.0,12.5×20,0.2,430,EKXJ251E□□560MK20S
250,68.0,10×35,0.2,430,EKXJ251E□□680MJ35S
250,68.0,14.5×20,0.2,505,EKXJ251E□□680MU20S
250,82.0,10×40,0.2,495,EKXJ251E□□820MJ40S
250,82.0,10×45,0.2,515,EKXJ251E□□820MJ45S
250,82.0,12.5×25,0.2,565,EKXJ251E□□820MK25S
250,100.0,10×50,0.2,585,EKXJ251E□□101MJ50S
250,100.0,12.5×30,0.2,660,EKXJ251E□□101MK30S
250,100.0,14.5×25,0.2,665,EKXJ251E□□101MU25S
250,100.0,16×20,0.2,635,EKXJ251E□□101ML20S
250,120.0,12.5×35,0.2,770,EKXJ251E□□121MK35S
250,120.0,16×25,0.2,755,EKXJ251E□□121ML25S
250,120.0,18×20,0.2,730,EKXJ251E□□121MM20S
250,150.0,12.5×40,0.2,890,EKXJ251E□□151MK40S
250,150.0,12.5×45,0.2,920,EKXJ251E□□151MK45S
250,150.0,14.5×31.5,0.2,870,EKXJ251E□□151MUN3S
250,180.0,12.5×50,0.2,1035,EKXJ251E□□181MK50S
250,180.0,14.5×35.5,0.2,990,EKXJ251E□□181MUP1S
250,180.0,14.5×40,0.2,1020,EKXJ251E□□181MU40S
250,180.0,16×31.5,0.2,995,EKXJ251E□□181MLN3S
250,180.0,18×25,0.2,950,EKXJ251E□□181MM25S
250,220.0,14.5×45,0.2,1160,EKXJ251E□□221MU45S
250,220.0,14.5×50,0.2,1185,EKXJ251E□□221MU50S
250,220.0,16×35.5,0.2,1125,EKXJ251E□□221MLP1S
250,220.0,18×31.5,0.2,1135,EKXJ251E□□221MMN3S
250,270.0,16×40,0.2,1285,EKXJ251E□□271ML40S
250,270.0,16×45,0.2,1310,EKXJ251E□□271ML45S
250,270.0,18×35.5,0.2,1300,EKXJ251E□□271MMP1S
250,330.0,16×50,0.2,1475,EKXJ251E□□331ML50S
