WV,Cap,Case size,Impedance (20C),Impedance (-10C),Rated ripple current,Part No.
35.0,2700.0,16×40,0.018,0.045,3110,ELXV350E□□272ML40S
35.0,2700.0,18×35,0.021,0.053,3050,ELXV350E□□272MM35S
35.0,3300.0,18×40,0.017,0.043,3300,ELXV350E□□332MM40S
50.0,18.0,5×11.5,1.1,3.3,165,ELXV500E□□180MEB5D
50.0,39.0,6.3×11.5,0.56,1.6,255,ELXV500E□□390MFB5D
50.0,56.0,6.3×15,0.41,1.2,310,ELXV500E□□560MF15D
50.0,68.0,8×12,0.29,0.84,415,ELXV500E□□680MH12D
50.0,82.0,8×15,0.24,0.72,505,ELXV500E□□820MH15D
50.0,82.0,10×12.5,0.16,0.4,530,ELXV500E□□820MJC5S
50.0,120.0,8×20,0.18,0.52,610,ELXV500E□□121MH20D
50.0,120.0,10×16,0.12,0.3,755,ELXV500E□□121MJ16S
50.0,180.0,10×20,0.088,0.22,945,ELXV500E□□181MJ20S
50.0,220.0,10×25,0.068,0.17,1150,ELXV500E□□221MJ25S
50.0,330.0,10×30,0.059,0.15,1260,ELXV500E□□331MJ30S
50.0,330.0,12.5×20,0.059,0.15,1190,ELXV500E□□331MK20S
50.0,470.0,12.5×25,0.045,0.11,1500,ELXV500E□□471MK25S
50.0,560.0,12.5×30,0.039,0.098,1720,ELXV500E□□561MK30S
50.0,680.0,12.5×35,0.033,0.083,1900,ELXV500E□□681MK35S
50.0,680.0,16×20,0.043,0.11,1500,ELXV500E□□681ML20S
50.0,820.0,12.5×40,0.029,0.073,2120,ELXV500E□□821MK40S
50.0,820.0,16×25,0.033,0.083,1880,ELXV500E□□821ML25S
50.0,820.0,18×20,0.039,0.098,1660,ELXV500E□□821MM20S
50.0,1000.0,16×30,0.029,0.073,2150,ELXV500E□□102ML30S
50.0,1000.0,18×25,0.03,0.075,2020,ELXV500E□□102MM25S
50.0,1200.0,16×35,0.025,0.063,2320,ELXV500E□□122ML35S
50.0,1500.0,16×40,0.021,0.053,2650,ELXV500E□□152ML40S
50.0,1500.0,18×30,0.026,0.065,2340,ELXV500E□□152MM30S
50.0,1800.0,18×35,0.023,0.058,2620,ELXV500E□□182MM35S
50.0,2200.0,18×40,0.02,0.05,2790,ELXV500E□□222MM40S
63.0,12.0,5×11.5,1.9,4.8,100,ELXV630E□□120MEB5D
63.0,27.0,6.3×11.5,1.1,2.8,160,ELXV630E□□270MFB5D
63.0,39.0,6.3×15,0.62,1.6,230,ELXV630E□□390MF15D
63.0,47.0,8×12,0.49,1.3,275,ELXV630E□□470MH12D
63.0,56.0,10×12.5,0.27,0.68,420,ELXV630E□□560MJC5S
63.0,68.0,8×15,0.34,0.85,360,ELXV630E□□680MH15D
63.0,68.0,10×16,0.21,0.53,523,ELXV630E□□680MJ16S
63.0,82.0,8×20,0.21,0.53,500,ELXV630E□□820MH20D
63.0,120.0,10×20,0.16,0.4,650,ELXV630E□□121MJ20S
63.0,150.0,10×25,0.13,0.33,780,ELXV630E□□151MJ25S
63.0,180.0,10×30,0.1,0.25,960,ELXV630E□□181MJ30S
63.0,220.0,12.5×20,0.11,0.28,870,ELXV630E□□221MK20S
63.0,270.0,12.5×25,0.074,0.19,1150,ELXV630E□□271MK25S
63.0,390.0,12.5×30,0.068,0.17,1280,ELXV630E□□391MK30S
