WV,Cap,Case size,Impedance (20C),Impedance (-10C),Rated ripple current,Part No.
10.0,5600,18×20,0.028,0.056,2490,ELXZ100E□□562MM20S
10.0,6800,16×30,0.019,0.038,3010,ELXZ100E□□682ML30S
10.0,6800,18×25,0.02,0.04,2740,ELXZ100E□□682MM25S
10.0,8200,16×35,0.017,0.034,3150,ELXZ100E□□822ML35S
10.0,8200,18×30,0.018,0.036,3330,ELXZ100E□□822MM30S
10.0,10000,16×40,0.015,0.03,3710,ELXZ100E□□103ML40S
10.0,10000,18×35,0.016,0.032,3680,ELXZ100E□□103MM35S
10.0,12000,18×40,0.015,0.03,3800,ELXZ100E□□123MM40S
16.0,47,5×11.5,0.5,1.0,175,ELXZ160E□□470MEB5D
16.0,100,6.3×11.5,0.25,0.5,290,ELXZ160E□□101MFB5D
16.0,220,6.3×15,0.18,0.36,400,ELXZ160E□□221MF15D
16.0,330,8×12,0.12,0.24,555,ELXZ160E□□331MH12D
16.0,470,8×15,0.09,0.18,730,ELXZ160E□□471MH15D
16.0,470,10×12.5,0.09,0.18,760,ELXZ160E□□471MJC5S
16.0,560,8×20,0.08,0.16,810,ELXZ160E□□561MH20D
16.0,680,10×16,0.068,0.136,1050,ELXZ160E□□681MJ16S
16.0,1000,10×20,0.052,0.104,1220,ELXZ160E□□102MJ20S
16.0,1200,10×25,0.045,0.09,1440,ELXZ160E□□122MJ25S
16.0,1500,10×30,0.037,0.074,1690,ELXZ160E□□152MJ30S
16.0,1500,12.5×20,0.038,0.076,1660,ELXZ160E□□152MK20S
16.0,2200,12.5×25,0.03,0.06,1950,ELXZ160E□□222MK25S
16.0,2700,12.5×30,0.025,0.05,2310,ELXZ160E□□272MK30S
16.0,2700,16×20,0.029,0.058,2210,ELXZ160E□□272ML20S
16.0,3300,12.5×35,0.022,0.044,2510,ELXZ160E□□332MK35S
16.0,3900,12.5×40,0.017,0.034,2870,ELXZ160E□□392MK40S
16.0,3900,16×25,0.022,0.044,2560,ELXZ160E□□392ML25S
16.0,3900,18×20,0.028,0.056,2490,ELXZ160E□□392MM20S
16.0,4700,16×30,0.019,0.038,3010,ELXZ160E□□472ML30S
16.0,4700,18×25,0.02,0.04,2740,ELXZ160E□□472MM25S
16.0,5600,16×35,0.017,0.034,3150,ELXZ160E□□562ML35S
16.0,5600,18×30,0.018,0.036,3330,ELXZ160E□□562MM30S
16.0,6800,16×40,0.015,0.03,3710,ELXZ160E□□682ML40S
16.0,8200,18×35,0.016,0.032,3680,ELXZ160E□□822MM35S
16.0,10000,18×40,0.015,0.03,3800,ELXZ160E□□103MM40S
25.0,47,5×11.5,0.5,1.0,175,ELXZ250E□□470MEB5D
25.0,100,6.3×11.5,0.25,0.5,290,ELXZ250E□□101MFB5D
25.0,150,6.3×15,0.18,0.36,400,ELXZ250E□□151MF15D
25.0,220,8×12,0.12,0.24,555,ELXZ250E□□221MH12D
25.0,330,8×15,0.09,0.18,730,ELXZ250E□□331MH15D
25.0,330,10×12.5,0.09,0.18,760,ELXZ250E□□331MJC5S
25.0,390,8×20,0.08,0.16,810,ELXZ250E□□391MH20D
25.0,470,10×16,0.068,0.136,1050,ELXZ250E□□471MJ16S
25.0,680,10×20,0.052,0.104,1220,ELXZ250E□□681MJ20S
25.0,820,10×25,0.045,0.09,1440,ELXZ250E□□821MJ25S
25.0,1000,10×30,0.037,0.074,1690,ELXZ250E□□102MJ30S
25.0,1000,12.5×20,0.038,0.076,1660,ELXZ250E□□102MK20S
25.0,1500,12.5×25,0.03,0.06,1950,ELXZ250E□□152MK25S
25.0,1800,12.5×30,0.025,0.05,2310,ELXZ250E□□182MK30S
25.0,1800,16×20,0.029,0.058,2210,ELXZ250E□□182ML20S
25.0,2200,12.5×30,0.025,0.05,2310,ELXZ250E□□222MK30S
25.0,2200,12.5×35,0.022,0.044,2510,ELXZ250E□□222MK35S
25.0,2200,18×20,0.028,0.056,2490,ELXZ250E□□222MM20S
25.0,2700,12.5×40,0.017,0.034,2870,ELXZ250E□□272MK40S
25.0,2700,16×25,0.022,0.044,2560,ELXZ250E□□272ML25S
25.0,3300,16×25,0.022,0.044,2560,ELXZ250E□□332ML25S
25.0,3300,16×30,0.019,0.038,3010,ELXZ250E□□332ML30S
25.0,3300,18×20,0.028,0.056,2490,ELXZ250E□□332MM20S
25.0,3300,18×25,0.02,0.04,2740,ELXZ250E□□332MM25S
25.0,3900,16×35,0.017,0.034,3150,ELXZ250E□□392ML35S
25.0,3900,18×30,0.018,0.036,3330,ELXZ250E□□392MM30S
25.0,4700,16×40,0.015,0.03,3710,ELXZ250E□□472ML40S
25.0,4700,18×35,0.016,0.032,3680,ELXZ250E□□472MM35S
25.0,5600,18×40,0.015,0.03,3800,ELXZ250E□□562MM40S
35.0,33,5×11.5,0.5,1.0,175,ELXZ350E□□330MEB5D
35.0,56,6.3×11.5,0.25,0.5,290,ELXZ350E□□560MFB5D
35.0,100,6.3×15,0.18,0.36,400,ELXZ350E□□101MF15D
35.0,150,8×12,0.12,0.24,555,ELXZ350E□□151MH12D
35.0,220,8×15,0.09,0.18,730,ELXZ350E□□221MH15D
35.0,220,10×12.5,0.09,0.18,760,ELXZ350E□□221MJC5S
35.0,270,8×20,0.08,0.16,810,ELXZ350E□□271MH20D
35.0,330,10×16,0.068,0.136,1050,ELXZ350E□□331MJ16S
35.0,470,10×20,0.052,0.104,1220,ELXZ350E□□471MJ20S
35.0,560,10×20,0.052,0.104,1220,ELXZ350E□□561MJ20S
35.0,560,10×25,0.045,0.09,1440,ELXZ350E□□561MJ25S
35.0,680,10×30,0.037,0.074,1690,ELXZ350E□□681MJ30S
35.0,680,12.5×20,0.038,0.076,1660,ELXZ350E□□681MK20S
35.0,1000,12.5×20,0.038,0.076,1660,ELXZ350E□□102MK20S
35.0,1000,12.5×25,0.03,0.06,1950,ELXZ350E□□102MK25S
35.0,1200,12.5×30,0.025,0.05,2310,ELXZ350E□□122MK30S
35.0,1200,16×20,0.029,0.058,2210,ELXZ350E□□122ML20S
35.0,1500,12.5×35,0.022,0.044,2510,ELXZ350E□□152MK35S
35.0,1800,12.5×40,0.017,0.034,2870,ELXZ350E□□182MK40S
35.0,1800,16×25,0.022,0.044,2560,ELXZ350E□□182ML25S
35.0,1800,18×20,0.028,0.056,2490,ELXZ350E□□182MM20S
35.0,2200,16×25,0.022,0.044,2560,ELXZ350E□□222ML25S
35.0,2200,16×30,0.019,0.038,3010,ELXZ350E□□222ML30S
35.0,2200,18×20,0.028,0.056,2490,ELXZ350E□□222MM20S
35.0,2200,18×25,0.02,0.04,2740,ELXZ350E□□222MM25S
35.0,2700,16×35,0.017,0.034,3150,ELXZ350E□□272ML35S
35.0,2700,18×30,0.018,0.036,3330,ELXZ350E□□272MM30S
35.0,3300,16×40,0.015,0.03,3710,ELXZ350E□□332ML40S
35.0,3300,18×35,0.016,0.032,3680,ELXZ350E□□332MM35S
35.0,3900,18×40,0.015,0.03,3800,ELXZ350E□□392MM40S
35.0,4700,18×40,0.015,0.03,3800,ELXZ350E□□472MM40S
50.0,22,5×11.5,0.9,1.8,155,ELXZ500E□□220MEB5D
50.0,47,6.3×11.5,0.45,0.9,260,ELXZ500E□□470MFB5D
50.0,68,6.3×15,0.31,0.62,360,ELXZ500E□□680MF15D
50.0,100,8×12,0.22,0.44,485,ELXZ500E□□101MH12D
50.0,120,8×15,0.16,0.32,635,ELXZ500E□□121MH15D
50.0,120,10×12.5,0.16,0.32,620,ELXZ500E□□121MJC5S
50.0,180,8×20,0.12,0.24,730,ELXZ500E□□181MH20D
50.0,180,10×16,0.13,0.26,850,ELXZ500E□□181MJ16S
50.0,220,10×20,0.088,0.18,1050,ELXZ500E□□221MJ20S
50.0,330,10×25,0.073,0.15,1250,ELXZ500E□□331MJ25S
50.0,390,10×30,0.054,0.11,1500,ELXZ500E□□391MJ30S
50.0,390,12.5×20,0.059,0.12,1480,ELXZ500E□□391MK20S
50.0,470,12.5×20,0.059,0.12,1480,ELXZ500E□□471MK20S
50.0,560,12.5×25,0.044,0.088,1840,ELXZ500E□□561MK25S
50.0,680,12.5×30,0.039,0.078,2220,ELXZ500E□□681MK30S
50.0,680,16×20,0.048,0.096,1840,ELXZ500E□□681ML20S
50.0,820,12.5×35,0.033,0.066,2290,ELXZ500E□□821MK35S
50.0,820,18×20,0.042,0.084,1980,ELXZ500E□□821MM20S
50.0,1000,12.5×40,0.029,0.058,2500,ELXZ500E□□102MK40S
50.0,1000,16×25,0.034,0.068,2240,ELXZ500E□□102ML25S
50.0,1200,16×30,0.028,0.056,2700,ELXZ500E□□122ML30S
50.0,1200,18×25,0.029,0.058,2610,ELXZ500E□□122MM25S
50.0,1500,16×35,0.025,0.05,2800,ELXZ500E□□152ML35S
50.0,1800,16×40,0.021,0.042,3200,ELXZ500E□□182ML40S
50.0,1800,18×30,0.025,0.05,3000,ELXZ500E□□182MM30S
50.0,2200,18×35,0.023,0.046,3100,ELXZ500E□□222MM35S
50.0,2700,18×40,0.02,0.04,3400,ELXZ500E□□272MM40S
63.0,12,5×11.5,1.9,4.0,145,ELXZ630E□□120MEB5D
63.0,22,6.3×11.5,1.0,2.0,240,ELXZ630E□□220MFB5D
63.0,39,6.3×15,0.61,1.4,330,ELXZ630E□□390MF15D
63.0,68,8×12,0.34,0.75,405,ELXZ630E□□680MH12D
63.0,100,8×15,0.27,0.65,535,ELXZ630E□□101MH15D
63.0,100,10×12.5,0.255,0.51,540,ELXZ630E□□101MJC5S
63.0,120,10×16,0.19,0.38,600,ELXZ630E□□121MJ16S
63.0,150,8×20,0.21,0.52,690,ELXZ630E□□151MH20D
63.0,180,10×20,0.145,0.29,890,ELXZ630E□□181MJ20S
63.0,220,10×25,0.13,0.26,1050,ELXZ630E□□221MJ25S
63.0,330,10×30,0.09,0.18,1300,ELXZ630E□□331MJ30S
63.0,330,12.5×20,0.085,0.17,1290,ELXZ630E□□331MK20S
63.0,390,12.5×25,0.07,0.14,1720,ELXZ630E□□391MK25S
63.0,470,12.5×30,0.055,0.11,2090,ELXZ630E□□471MK30S
63.0,470,16×20,0.059,0.12,1770,ELXZ630E□□471ML20S
63.0,680,12.5×35,0.047,0.094,2270,ELXZ630E□□681MK35S
63.0,680,16×25,0.05,0.1,2160,ELXZ630E□□681ML25S
63.0,680,18×20,0.055,0.11,2290,ELXZ630E□□681MM20S
63.0,820,12.5×40,0.042,0.084,2560,ELXZ630E□□821MK40S
63.0,820,16×30,0.043,0.086,2670,ELXZ630E□□821ML30S
63.0,820,18×25,0.043,0.086,2590,ELXZ630E□□821MM25S
63.0,1000,16×30,0.043,0.086,2670,ELXZ630E□□102ML30S
63.0,1000,16×35,0.036,0.072,2770,ELXZ630E□□102ML35S
63.0,1200,16×40,0.03,0.06,2850,ELXZ630E□□122ML40S
63.0,1200,18×30,0.032,0.064,2950,ELXZ630E□□122MM30S
63.0,1500,18×35,0.03,0.06,3100,ELXZ630E□□152MM35S
63.0,1800,18×40,0.025,0.05,3210,ELXZ630E□□182MM40S
63.0,2200,18×40,0.025,0.05,3210,ELXZ630E□□222MM40S
63.0,3300,18×40,0.021,0.042,3900,ELXZ630E□□332MM40S
