WV (Vdc),Cap (µF),Case size φD×L(mm),tanδ,"Rated ripple current (mArms/ 85℃, 120Hz)",Part No.
63.0,220,10×16,0.09,490,ESMG630E□□221MJ16S
63.0,330,10×20,0.09,710,ESMG630E□□331MJ20S
63.0,470,12.5×20,0.09,900,ESMG630E□□471MK20S
63.0,"1,000",16×25,0.09,"1,300",ESMG630E□□102ML25S
100.0,1.0,5×11,0.08,21,ESMG101E□□1R0ME11D
100.0,2.2,5×11,0.08,30,ESMG101E□□2R2ME11D
100.0,3.3,5×11,0.08,40,ESMG101E□□3R3ME11D
100.0,4.7,5×11,0.08,45,ESMG101E□□4R7ME11D
100.0,10,6.3×11,0.08,75,ESMG101E□□100MF11D
100.0,22,8×11.5,0.08,130,ESMG101E□□220MHB5D
100.0,33,8×11.5,0.08,180,ESMG101E□□330MHB5D
100.0,47,10×12.5,0.08,230,ESMG101E□□470MJC5S
100.0,100,10×20,0.08,370,ESMG101E□□101MJ20S
100.0,220,12.5×25,0.08,620,ESMG101E□□221MK25S
100.0,330,12.5×25,0.08,760,ESMG101E□□331MK25S
100.0,470,16×25,0.08,"1,000",ESMG101E□□471ML25S
100.0,"1,000",18×40,0.08,"1,380",ESMG101E□□102MM40S
160.0,3.3,6.3×11,0.2,40,ESMG161E□□3R3MF11D
160.0,4.7,6.3×11,0.2,48,ESMG161E□□4R7MF11D
160.0,10,10×12.5,0.2,94,ESMG161E□□100MJC5S
160.0,22,10×20,0.2,170,ESMG161E□□220MJ20S
160.0,33,10×20,0.2,205,ESMG161E□□330MJ20S
160.0,47,12.5×20,0.2,270,ESMG161E□□470MK20S
160.0,100,12.5×25,0.2,430,ESMG161E□□101MK25S
160.0,220,16×31.5,0.2,760,ESMG161E□□221MLN3S
160.0,330,18×35.5,0.2,995,ESMG161E□□331MMP1S
200.0,3.3,6.3×11,0.2,40,ESMG201E□□3R3MF11D
200.0,4.7,8×11.5,0.2,55,ESMG201E□□4R7MHB5D
200.0,10,10×12.5,0.2,94,ESMG201E□□100MJC5S
200.0,22,10×20,0.2,170,ESMG201E□□220MJ20S
200.0,33,10×20,0.2,205,ESMG201E□□330MJ20S
200.0,47,12.5×20,0.2,270,ESMG201E□□470MK20S
200.0,100,16×25,0.2,475,ESMG201E□□101ML25S
200.0,220,18×35.5,0.2,810,ESMG201E□□221MMP1S
250.0,2.2,6.3×11,0.2,32,ESMG251E□□2R2MF11D
250.0,3.3,8×11.5,0.2,46,ESMG251E□□3R3MHB5D
250.0,4.7,8×11.5,0.2,55,ESMG251E□□4R7MHB5D
250.0,10,10×16,0.2,105,ESMG251E□□100MJ16S
250.0,22,10×20,0.2,170,ESMG251E□□220MJ20S
250.0,33,12.5×20,0.2,230,ESMG251E□□330MK20S
250.0,47,12.5×25,0.2,295,ESMG251E□□470MK25S
250.0,100,16×31.5,0.2,515,ESMG251E□□101MLN3S
250.0,220,18×40,0.2,825,ESMG251E□□221MM40S
350.0,1.0,6.3×11,0.24,22,ESMG351E□□1R0MF11D
350.0,2.2,8×11.5,0.24,38,ESMG351E□□2R2MHB5D
350.0,3.3,8×11.5,0.24,46,ESMG351E□□3R3MHB5D
350.0,4.7,10×12.5,0.24,65,ESMG351E□□4R7MJC5S
350.0,10,10×20,0.24,115,ESMG351E□□100MJ20S
350.0,22,12.5×20,0.24,185,ESMG351E□□220MK20S
350.0,33,16×25,0.24,275,ESMG351E□□330ML25S
350.0,47,16×25,0.24,325,ESMG351E□□470ML25S
350.0,100,18×31.5,0.24,530,ESMG351E□□101MMN3S
400.0,1.0,6.3×11,0.24,22,ESMG401E□□1R0MF11D
400.0,2.2,8×11.5,0.24,38,ESMG401E□□2R2MHB5D
400.0,3.3,10×12.5,0.24,54,ESMG401E□□3R3MJC5S
400.0,4.7,10×16,0.24,71,ESMG401E□□4R7MJ16S
400.0,10,10×20,0.24,115,ESMG401E□□100MJ20S
400.0,22,12.5×25,0.24,205,ESMG401E□□220MK25S
400.0,33,16×25,0.24,275,ESMG401E□□330ML25S
400.0,47,16×31.5,0.24,350,ESMG401E□□470MLN3S
450.0,2.2,10×12.5,0.24,32,ESMG451E□□2R2MJC5S
450.0,3.3,10×16,0.24,44,ESMG451E□□3R3MJ16S
450.0,4.7,10×20,0.24,56,ESMG451E□□4R7MJ20S
450.0,10,12.5×20,0.24,91,ESMG451E□□100MK20S
450.0,22,16×25,0.24,165,ESMG451E□□220ML25S
450.0,33,16×31.5,0.24,215,ESMG451E□□330MLN3S
450.0,47,16×35.5,0.24,265,ESMG451E□□470MLP1S
