WV (Vdc),Cap (µF),Case size φD×L(mm),Impedance (Ω max./100kHz) 20℃,Impedance (Ω max./100kHz) -10℃,Rated ripple current (mArms/105℃ 100kHz),Part No.
80.0,220.0,12.5×20,0.062,0.18,1100,EKZE800E□□221MK20S
80.0,330.0,12.5×25,0.047,0.14,1250,EKZE800E□□331MK25S
80.0,330.0,16×20,0.048,0.15,1350,EKZE800E□□331ML20S
80.0,390.0,12.5×30,0.042,0.13,1500,EKZE800E□□391MK30S
80.0,470.0,12.5×35,0.036,0.11,1650,EKZE800E□□471MK35S
80.0,470.0,16×25,0.038,0.12,1700,EKZE800E□□471ML25S
80.0,470.0,18×20,0.045,0.14,1500,EKZE800E□□471MM20S
80.0,560.0,12.5×40,0.032,0.095,1800,EKZE800E□□561MK40S
80.0,680.0,16×31.5,0.032,0.095,1850,EKZE800E□□681MLN3S
80.0,680.0,18×25,0.036,0.11,1750,EKZE800E□□681MM25S
80.0,820.0,16×35.5,0.029,0.086,2000,EKZE800E□□821MLP1S
80.0,820.0,18×31.5,0.03,0.09,1900,EKZE800E□□821MMN3S
80.0,1000.0,16×40,0.027,0.081,2200,EKZE800E□□102ML40S
80.0,1000.0,18×35.5,0.027,0.081,2200,EKZE800E□□102MMP1S
80.0,1200.0,18×40,0.026,0.077,2700,EKZE800E□□122MM40S
100.0,6.8,5×11,1.4,5.6,125,EKZE101E□□6R8ME11D
100.0,15.0,6.3×11,0.57,2.3,205,EKZE101E□□150MF11D
100.0,27.0,8×11.5,0.36,1.4,355,EKZE101E□□270MHB5D
100.0,39.0,8×15,0.25,1.0,450,EKZE101E□□390MH15D
100.0,47.0,10×12.5,0.17,0.66,480,EKZE101E□□470MJC5S
100.0,56.0,8×20,0.19,0.76,565,EKZE101E□□560MH20D
100.0,68.0,10×16,0.11,0.47,600,EKZE101E□□680MJ16S
100.0,82.0,10×20,0.084,0.34,800,EKZE101E□□820MJ20S
100.0,100.0,12.5×16,0.11,0.34,750,EKZE101E□□101MK16S
100.0,120.0,10×25,0.069,0.28,900,EKZE101E□□121MJ25S
100.0,150.0,12.5×20,0.062,0.18,1100,EKZE101E□□151MK20S
100.0,220.0,12.5×25,0.047,0.14,1250,EKZE101E□□221MK25S
100.0,220.0,16×20,0.048,0.15,1350,EKZE101E□□221ML20S
100.0,270.0,12.5×30,0.042,0.13,1500,EKZE101E□□271MK30S
100.0,330.0,12.5×35,0.036,0.11,1650,EKZE101E□□331MK35S
100.0,330.0,16×25,0.038,0.12,1700,EKZE101E□□331ML25S
100.0,330.0,18×20,0.045,0.14,1500,EKZE101E□□331MM20S
100.0,390.0,12.5×40,0.032,0.095,1800,EKZE101E□□391MK40S
100.0,470.0,16×31.5,0.032,0.095,1850,EKZE101E□□471MLN3S
100.0,470.0,18×25,0.036,0.11,1750,EKZE101E□□471MM25S
100.0,560.0,16×35.5,0.029,0.086,2000,EKZE101E□□561MLP1S
100.0,560.0,18×31.5,0.03,0.09,1900,EKZE101E□□561MMN3S
100.0,680.0,16×40,0.027,0.081,2200,EKZE101E□□681ML40S
100.0,680.0,18×35.5,0.027,0.081,2200,EKZE101E□□681MMP1S
100.0,820.0,18×40,0.026,0.077,2700,EKZE101E□□821MM40S
