Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPA1C681MPD,MP,16.0,680.00,8.0,15.0,-55,105,3000,1.36,0.16,326,860,,,,,,0.124,0.062,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C681MPD6,MP,16.0,680.00,10.0,12.5,-55,105,4000,1.49,0.16,326,900,,,,,,0.126,0.063,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C821MPD,MP,16.0,820.00,8.0,20.0,-55,105,3000,1.66,0.16,394,1220,,,,,,0.088,0.044,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C821MPD6,MP,16.0,820.00,10.0,16.0,-55,105,4000,1.77,0.16,394,1240,,,,,,0.098,0.049,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C102MPD,MP,16.0,1000.00,10.0,16.0,-55,105,4000,1.77,0.16,480,1240,,,,,,0.098,0.049,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C102MPD3,MP,16.0,1000.00,10.0,20.0,-55,105,4000,2.34,0.16,480,1490,,,,,,0.07,0.035,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C122MPD,MP,16.0,1200.00,10.0,20.0,-55,105,4000,2.34,0.16,576,1490,,,,,,0.07,0.035,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C152MPD,MP,16.0,1500.00,10.0,25.0,-55,105,4000,3.07,0.16,720,1680,,,,,,0.066,0.033,1200,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C222MHD,MP,16.0,2200.00,12.5,20.0,-55,105,5000,3.43,0.18,1056,1890,,,,,,0.058,0.029,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C222MHD3,MP,16.0,2200.00,12.5,25.0,-55,105,5000,4.56,0.18,1056,2280,,,,,,0.044,0.022,800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C272MHD,MP,16.0,2700.00,12.5,25.0,-55,105,5000,4.56,0.18,1296,2280,,,,,,0.044,0.022,800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C332MHD,MP,16.0,3300.00,12.5,30.5,-55,105,5000,6.01,0.20,1584,2720,,,,,,0.036,0.018,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C332MHD6,MP,16.0,3300.00,16.0,20.0,-55,105,5000,6.60,0.20,1584,2330,,,,,,0.052,0.026,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C392MHD,MP,16.0,3900.00,12.5,35.5,-55,105,5000,7.06,0.20,1872,2940,,,,,,0.032,0.016,500,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C472MHD,MP,16.0,4700.00,16.0,25.0,-55,105,5000,8.20,0.22,2256,2760,,,,,,0.038,0.019,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C472MHD6,MP,16.0,4700.00,18.0,20.0,-55,105,5000,9.00,0.22,2256,2640,,,,,,0.05,0.025,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C562MHD,MP,16.0,5600.00,16.0,30.5,-55,105,5000,9.60,0.24,2688,2810,,,,,,0.035,0.017,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C562MHD6,MP,16.0,5600.00,18.0,25.0,-55,105,5000,10.60,0.24,2688,2850,,,,,,0.036,0.018,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1C682MHD,MP,16.0,6800.00,18.0,25.0,-55,105,5000,10.60,0.26,3264,2850,,,,,,0.036,0.018,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E271MPD,MP,25.0,270.00,8.0,11.5,-55,105,3000,1.19,0.14,203,630,,,,,,0.18,0.09,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E331MPD,MP,25.0,330.00,8.0,11.5,-55,105,3000,1.19,0.14,248,630,,,,,,0.18,0.09,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E391MPD,MP,25.0,390.00,8.0,15.0,-55,105,3000,1.36,0.14,293,860,,,,,,0.124,0.062,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E471MPD,MP,25.0,470.00,8.0,15.0,-55,105,3000,1.36,0.14,353,860,,,,,,0.124,0.062,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E471MPD6,MP,25.0,470.00,10.0,12.5,-55,105,4000,1.49,0.14,353,900,,,,,,0.126,0.063,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E561MPD,MP,25.0,560.00,8.0,20.0,-55,105,3000,1.66,0.14,420,1220,,,,,,0.088,0.044,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E561MPD6,MP,25.0,560.00,10.0,16.0,-55,105,4000,1.77,0.14,420,1240,,,,,,0.098,0.049,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E681MPD,MP,25.0,680.00,10.0,16.0,-55,105,4000,1.77,0.14,510,1240,,,,,,0.098,0.049,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E821MPD,MP,25.0,820.00,10.0,20.0,-55,105,4000,2.34,0.14,615,1490,,,,,,0.07,0.035,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E102MPD,MP,25.0,1000.00,10.0,25.0,-55,105,4000,3.07,0.14,750,1680,,,,,,0.066,0.033,1200,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E102MHD3,MP,25.0,1000.00,12.5,20.0,-55,105,5000,3.43,0.14,750,1890,,,,,,0.058,0.029,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E122MHD,MP,25.0,1200.00,12.5,20.0,-55,105,5000,3.43,0.14,900,1890,,,,,,0.058,0.029,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E182MHD,MP,25.0,1800.00,12.5,25.0,-55,105,5000,4.56,0.14,1350,2280,,,,,,0.044,0.022,800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E222MHD,MP,25.0,2200.00,12.5,30.5,-55,105,5000,6.01,0.16,1650,2720,,,,,,0.036,0.018,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E222MHD6,MP,25.0,2200.00,16.0,20.0,-55,105,5000,6.60,0.16,1650,2330,,,,,,0.052,0.026,600,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E272MHD,MP,25.0,2700.00,12.5,35.5,-55,105,5000,7.06,0.16,2025,2940,,,,,,0.032,0.016,500,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E332MHD,MP,25.0,3300.00,16.0,25.0,-55,105,5000,8.20,0.18,2475,2760,,,,,,0.038,0.019,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E332MHD6,MP,25.0,3300.00,18.0,20.0,-55,105,5000,9.00,0.18,2475,2640,,,,,,0.05,0.025,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1E472MHD,MP,25.0,4700.00,18.0,25.0,-55,105,5000,10.60,0.20,3525,2850,,,,,,0.036,0.018,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V181MPD,MP,35.0,180.00,8.0,11.5,-55,105,3000,1.19,0.12,189,630,,,,,,0.18,0.09,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V271MPD,MP,35.0,270.00,8.0,15.0,-55,105,3000,1.36,0.12,284,860,,,,,,0.124,0.062,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPA1V271MPD6,MP,35.0,270.00,10.0,12.5,-55,105,4000,1.49,0.12,284,900,,,,,,0.126,0.063,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
