Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
6.3,2700,0.24,0.031,10,30.5,-40,105,0.138,6000,0.12,170,1000,UHE0J272MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1910,1910,1528,1910,1818.32,1436.32,MP,17010,Normal,3.21
6.3,2700,0.24,0.042,16,15,-40,105,0.138,8000,0.12,170,700,UHE0J272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1940,1940,1552,1940,1846.88,1458.88,MP,17010,Normal,4.74
6.3,3300,0.26,0.035,12.5,20,-40,105,0.129,8000,0.12,208,1000,UHE0J332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1900,1900,1520,1900,1808.8,1428.8,MP,20790,Normal,3.43
6.3,3900,0.26,0.027,12.5,25,-40,105,0.109,8000,0.089,246,800,UHE0J392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2230,2230,1784,2230,2122.96,1676.96,MP,24570,Normal,4.56
6.3,3900,0.26,0.043,18,15,-40,105,0.109,8000,0.11,246,400,UHE0J392MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2210,2210,1768,2210,2103.92,1661.92,MP,24570,Normal,6.31
6.3,4700,0.28,0.024,12.5,30.5,-40,105,0.102,8000,0.078,296,600,UHE0J472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2650,2650,2120,2650,2522.8,1992.8,MP,29610,Normal,6.01
6.3,5600,0.3,0.02,12.5,35.5,-40,105,0.095,8000,0.065,353,500,UHE0J562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2880,2880,2304,2880,2741.76,2165.76,MP,35280,Normal,7.06
6.3,5600,0.3,0.027,16,20,-40,105,0.095,8000,0.078,353,600,UHE0J562MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2530,2530,2024,2530,2408.56,1902.56,MP,35280,Normal,6.6
6.3,6800,0.32,0.017,12.5,40,-40,105,0.086,8000,0.056,428,400,UHE0J682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3350,3350,2680,3350,3189.2,2519.2,MP,42840,Normal,7.57
6.3,6800,0.32,0.021,16,25,-40,105,0.086,8000,0.06,428,400,UHE0J682MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2930,2930,2344,2930,2789.36,2203.36,MP,42840,Normal,8.2
6.3,6800,0.32,0.026,18,20,-40,105,0.086,8000,0.067,428,400,UHE0J682MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2860,2860,2288,2860,2722.72,2150.72,MP,42840,Normal,9
6.3,8200,0.36,0.017,16,30.5,-40,105,0.084,8000,0.05,517,300,UHE0J822MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3450,3450,2760,3450,3284.4,2594.4,MP,51660,Normal,9.6
6.3,10000,0.4,0.015,16,35.5,-40,105,0.08,8000,0.044,630,300,UHE0J103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3610,3610,2888,3610,3436.72,2714.72,MP,63000,Normal,11.8
6.3,10000,0.4,0.019,18,25,-40,105,0.08,8000,0.049,630,300,UHE0J103MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3140,3140,2512,3140,2989.28,2361.28,MP,63000,Normal,10.6
6.3,12000,0.44,0.013,16,40,-40,105,0.075,8000,0.038,756,300,UHE0J123MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4080,4080,3264,4080,3884.16,3068.16,MP,75600,Normal,14.1
6.3,12000,0.44,0.015,18,30.5,-40,105,0.075,8000,0.04,756,300,UHE0J123MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4170,4170,3336,4170,3969.84,3135.84,MP,75600,Normal,13.1
6.3,15000,0.5,0.014,18,35.5,-40,105,0.071,8000,0.038,945,250,UHE0J153MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4220,4220,3376,4220,4017.44,3173.44,MP,94500,Normal,14.2
6.3,18000,0.56,0.012,18,40,-40,105,0.068,8000,0.032,1134,200,UHE0J183MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4280,4280,3424,4280,4074.56,3218.56,MP,113400,Normal,17.7
10,100,0.19,0.58,5,11,-40,105,2.52,4000,2.3,10,6000,UHE1A101MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,210,146.85,199.72,177.69,126.29,EOL,1000,Normal,0.44
10,220,0.19,0.22,6.3,11,-40,105,1.145,4000,0.87,22,4000,UHE1A221MED,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,340,340,237.76,323.36,287.69,204.48,EOL,2200,Normal,0.59
10,470,0.19,0.13,8,11.5,-40,105,0.536,6000,0.52,47,3000,UHE1A471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,640,640,481.2,630.38,577.44,418.65,MP,4700,Normal,1.19
10,680,0.19,0.087,8,15,-40,105,0.371,6000,0.35,68,2000,UHE1A681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,840,840,631.58,827.37,757.89,549.47,MP,6800,Normal,1.36
10,680,0.19,0.08,10,12.5,-40,105,0.371,6000,0.32,68,2000,UHE1A681MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,865,865,650.38,851.99,780.45,565.83,MP,6800,Normal,1.49
10,1000,0.19,0.069,8,20,-40,105,0.279,6000,0.27,100,2000,UHE1A102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1050,1050,789.47,1034.21,947.37,686.84,MP,10000,Normal,1.66
10,1000,0.19,0.06,10,16,-40,105,0.279,6000,0.24,100,1800,UHE1A102MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1210,1210,909.77,1191.8,1091.73,791.5,MP,10000,Normal,1.77
10,1200,0.19,0.046,10,20,-40,105,0.232,6000,0.18,120,1400,UHE1A122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1400,1400,1120,1400,1332.8,1052.8,MP,12000,Normal,2.34
10,1500,0.19,0.042,10,25,-40,105,0.186,6000,0.17,150,1200,UHE1A152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1650,1650,1320,1650,1570.8,1240.8,MP,15000,Normal,3.07
10,1500,0.19,0.049,12.5,15,-40,105,0.186,8000,0.16,150,1200,UHE1A152MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1450,1450,1160,1450,1380.4,1090.4,MP,15000,Normal,2.96
10,2200,0.21,0.031,10,30.5,-40,105,0.151,6000,0.12,220,1000,UHE1A222MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1910,1910,1528,1910,1818.32,1436.32,MP,22000,Normal,3.21
10,2200,0.21,0.035,12.5,20,-40,105,0.151,8000,0.12,220,1000,UHE1A222MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1900,1900,1520,1900,1808.8,1428.8,MP,22000,Normal,3.43
10,2200,0.21,0.042,16,15,-40,105,0.151,8000,0.12,220,700,UHE1A222MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1940,1940,1552,1940,1846.88,1458.88,MP,22000,Normal,4.74
10,2700,0.21,0.043,18,15,-40,105,0.123,8000,0.11,270,400,UHE1A272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2210,2210,1768,2210,2103.92,1661.92,MP,27000,Normal,6.31
10,3300,0.23,0.027,12.5,25,-40,105,0.117,8000,0.089,330,800,UHE1A332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2230,2230,1784,2230,2122.96,1676.96,MP,33000,Normal,4.56
10,3900,0.23,0.024,12.5,30.5,-40,105,0.099,8000,0.078,390,600,UHE1A392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2650,2650,2120,2650,2522.8,1992.8,MP,39000,Normal,6.01
10,3900,0.23,0.027,16,20,-40,105,0.099,8000,0.078,390,600,UHE1A392MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2530,2530,2024,2530,2408.56,1902.56,MP,39000,Normal,6.6
10,4700,0.25,0.02,12.5,35.5,-40,105,0.093,8000,0.065,470,500,UHE1A472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2880,2880,2304,2880,2741.76,2165.76,MP,47000,Normal,7.06
10,5600,0.27,0.017,12.5,40,-40,105,0.088,8000,0.056,560,400,UHE1A562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3350,3350,2680,3350,3189.2,2519.2,MP,56000,Normal,7.57
10,5600,0.27,0.021,16,25,-40,105,0.088,8000,0.06,560,400,UHE1A562MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2930,2930,2344,2930,2789.36,2203.36,MP,56000,Normal,8.2
10,5600,0.27,0.026,18,20,-40,105,0.088,8000,0.067,560,400,UHE1A562MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2860,2860,2288,2860,2722.72,2150.72,MP,56000,Normal,9
10,6800,0.29,0.017,16,30.5,-40,105,0.08,8000,0.05,680,300,UHE1A682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3450,3450,2760,3450,3284.4,2594.4,MP,68000,Normal,9.6
10,6800,0.29,0.019,18,25,-40,105,0.08,8000,0.049,680,300,UHE1A682MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3140,3140,2512,3140,2989.28,2361.28,MP,68000,Normal,10.6
10,8200,0.33,0.015,16,35.5,-40,105,0.079,8000,0.044,820,300,UHE1A822MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3610,3610,2888,3610,3436.72,2714.72,MP,82000,Normal,11.8
10,8200,0.33,0.015,18,30.5,-40,105,0.079,8000,0.04,820,300,UHE1A822MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4170,4170,3336,4170,3969.84,3135.84,MP,82000,Normal,13.1
10,10000,0.37,0.013,16,40,-40,105,0.076,8000,0.038,1000,300,UHE1A103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4080,4080,3264,4080,3884.16,3068.16,MP,100000,Normal,14.1
10,10000,0.37,0.014,18,35.5,-40,105,0.076,8000,0.038,1000,250,UHE1A103MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4220,4220,3376,4220,4017.44,3173.44,MP,100000,Normal,14.2
10,12000,0.41,0.012,18,40,-40,105,0.072,8000,0.032,1200,200,UHE1A123MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4280,4280,3424,4280,4074.56,3218.56,MP,120000,Normal,17.7
16,56,0.16,0.58,5,11,-40,105,3.789,5000,2.3,9,6000,UHE1C560MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,210,146.85,199.72,177.69,126.29,EOL,896,Normal,0.44
16,120,0.16,0.22,6.3,11,-40,105,1.768,5000,0.87,19,4000,UHE1C121MED,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,340,340,237.76,323.36,287.69,204.48,EOL,1920,Normal,0.59
16,330,0.16,0.13,8,11.5,-40,105,0.643,7000,0.52,53,3000,UHE1C331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,640,640,447.55,608.67,541.54,384.9,MP,5280,Normal,1.19
16,470,0.16,0.087,8,15,-40,105,0.452,7000,0.35,75,2000,UHE1C471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,840,840,631.58,827.37,757.89,549.47,MP,7520,Normal,1.36
16,470,0.16,0.08,10,12.5,-40,105,0.452,7000,0.32,75,2000,UHE1C471MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,865,865,650.38,851.99,780.45,565.83,MP,7520,Normal,1.49
16,680,0.16,0.069,8,20,-40,105,0.312,7000,0.27,109,2000,UHE1C681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1050,1050,789.47,1034.21,947.37,686.84,MP,10880,Normal,1.66
16,680,0.16,0.06,10,16,-40,105,0.312,7000,0.24,109,1800,UHE1C681MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1210,1210,909.77,1191.8,1091.73,791.5,MP,10880,Normal,1.77
16,1000,0.16,0.046,10,20,-40,105,0.239,7000,0.18,160,1400,UHE1C102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1400,1400,1052.63,1378.95,1263.16,915.79,MP,16000,Normal,2.34
16,1000,0.16,0.049,12.5,15,-40,105,0.239,10000,0.16,160,1200,UHE1C102MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1450,1450,1090.23,1428.2,1308.27,948.5,MP,16000,Normal,2.96
16,1200,0.16,0.042,10,25,-40,105,0.199,7000,0.17,192,1200,UHE1C122MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1650,1650,1320,1650,1570.8,1240.8,MP,19200,Normal,3.07
16,1500,0.16,0.031,10,30.5,-40,105,0.159,7000,0.12,240,1000,UHE1C152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1910,1910,1528,1910,1818.32,1436.32,MP,24000,Normal,3.21
16,1500,0.16,0.035,12.5,20,-40,105,0.159,10000,0.12,240,1000,UHE1C152MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1900,1900,1520,1900,1808.8,1428.8,MP,24000,Normal,3.43
16,1500,0.16,0.042,16,15,-40,105,0.159,10000,0.12,240,700,UHE1C152MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1940,1940,1552,1940,1846.88,1458.88,MP,24000,Normal,4.74
16,2200,0.18,0.027,12.5,25,-40,105,0.133,10000,0.089,352,800,UHE1C222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2230,2230,1784,2230,2122.96,1676.96,MP,35200,Normal,4.56
16,2200,0.18,0.043,18,15,-40,105,0.133,10000,0.11,352,400,UHE1C222MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2210,2210,1768,2210,2103.92,1661.92,MP,35200,Normal,6.31
16,2700,0.18,0.024,12.5,30.5,-40,105,0.108,10000,0.078,432,600,UHE1C272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2650,2650,2120,2650,2522.8,1992.8,MP,43200,Normal,6.01
16,2700,0.18,0.027,16,20,-40,105,0.108,10000,0.078,432,600,UHE1C272MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2530,2530,2024,2530,2408.56,1902.56,MP,43200,Normal,6.6
16,3300,0.2,0.02,12.5,35.5,-40,105,0.104,10000,0.065,528,500,UHE1C332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2880,2880,2304,2880,2741.76,2165.76,MP,52800,Normal,7.06
16,3900,0.2,0.017,12.5,40,-40,105,0.088,10000,0.056,624,400,UHE1C392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3350,3350,2680,3350,3189.2,2519.2,MP,62400,Normal,7.57
16,3900,0.2,0.026,16,20,-40,105,0.088,10000,0.067,624,600,UHE1C392MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2860,2860,2288,2860,2722.72,2150.72,MP,62400,Normal,6.6
16,3900,0.2,0.021,16,25,-40,105,0.088,10000,0.06,624,400,UHE1C392MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2930,2930,2344,2930,2789.36,2203.36,MP,62400,Normal,8.2
16,4700,0.22,0.017,16,30.5,-40,105,0.085,10000,0.05,752,300,UHE1C472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3450,3450,2760,3450,3284.4,2594.4,MP,75200,Normal,9.6
16,4700,0.22,0.019,18,25,-40,105,0.085,10000,0.049,752,300,UHE1C472MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3140,3140,2512,3140,2989.28,2361.28,MP,75200,Normal,10.6
16,5600,0.24,0.015,16,35.5,-40,105,0.081,10000,0.044,896,300,UHE1C562MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3610,3610,2888,3610,3436.72,2714.72,MP,89600,Normal,11.8
16,5600,0.24,0.015,18,30.5,-40,105,0.081,10000,0.04,896,300,UHE1C562MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4170,4170,3336,4170,3969.84,3135.84,MP,89600,Normal,13.1
16,6800,0.26,0.013,16,40,-40,105,0.074,10000,0.038,1088,300,UHE1C682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4080,4080,3264,4080,3884.16,3068.16,MP,108800,Normal,14.1
16,8200,0.3,0.014,18,35.5,-40,105,0.074,10000,0.038,1312,250,UHE1C822MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4220,4220,3376,4220,4017.44,3173.44,MP,131200,Normal,14.2
16,10000,0.34,0.012,18,40,-40,105,0.072,10000,0.032,1600,200,UHE1C103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4280,4280,3424,4280,4074.56,3218.56,MP,160000,Normal,17.7
25,47,0.14,0.58,5,11,-40,105,3.951,5000,2.3,12,6000,UHE1E470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,210,210,146.85,199.72,177.69,126.29,EOL,1175,Normal,0.44
25,100,0.14,0.22,6.3,11,-40,105,1.857,5000,0.87,25,4000,UHE1E101MED,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,340,340,237.76,323.36,287.69,204.48,EOL,2500,Normal,0.59
25,220,0.14,0.13,8,11.5,-40,105,0.844,7000,0.52,55,3000,UHE1E221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,640,640,447.55,608.67,541.54,384.9,MP,5500,Normal,1.19
25,330,0.14,0.087,8,15,-40,105,0.563,7000,0.35,83,2000,UHE1E331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,840,840,587.41,798.88,710.77,505.17,MP,8250,Normal,1.36
25,330,0.14,0.08,10,12.5,-40,105,0.563,7000,0.32,83,2000,UHE1E331MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,865,865,604.9,822.66,731.92,520.21,MP,8250,Normal,1.49
25,470,0.14,0.069,8,20,-40,105,0.395,7000,0.27,118,2000,UHE1E471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1050,1050,789.47,1034.21,947.37,686.84,MP,11750,Normal,1.66
25,470,0.14,0.06,10,16,-40,105,0.395,7000,0.24,118,1800,UHE1E471MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1210,1210,909.77,1191.8,1091.73,791.5,MP,11750,Normal,1.77
25,680,0.14,0.046,10,20,-40,105,0.273,7000,0.18,170,1400,UHE1E681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1400,1400,1052.63,1378.95,1263.16,915.79,MP,17000,Normal,2.34
25,680,0.14,0.049,12.5,15,-40,105,0.273,10000,0.16,170,1200,UHE1E681MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1450,1450,1090.23,1428.2,1308.27,948.5,MP,17000,Normal,2.96
25,820,0.14,0.042,10,25,-40,105,0.226,7000,0.17,205,1200,UHE1E821MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1650,1650,1240.6,1625.19,1488.72,1079.32,MP,20500,Normal,3.07
25,1000,0.14,0.031,10,30.5,-40,105,0.212,7000,0.12,250,1000,UHE1E102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1910,1910,1436.09,1881.28,1723.31,1249.4,MP,25000,Normal,3.21
25,1000,0.14,0.035,12.5,20,-40,105,0.212,10000,0.12,250,1000,UHE1E102MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1900,1900,1428.57,1871.43,1714.29,1242.86,MP,25000,Normal,3.43
25,1000,0.14,0.042,16,15,-40,105,0.212,10000,0.12,250,700,UHE1E102MHD3,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,1940,1940,1458.65,1910.83,1750.38,1269.02,MP,25000,Normal,4.74
25,1200,0.14,0.043,18,15,-40,105,0.177,10000,0.11,300,400,UHE1E122MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2210,2210,1768,2210,2103.92,1661.92,MP,30000,Normal,6.31
25,1500,0.14,0.027,12.5,25,-40,105,0.141,10000,0.089,375,800,UHE1E152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2230,2230,1784,2230,2122.96,1676.96,MP,37500,Normal,4.56
25,1800,0.14,0.024,12.5,30.5,-40,105,0.118,10000,0.078,450,600,UHE1E182MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2650,2650,2120,2650,2522.8,1992.8,MP,45000,Normal,6.01
25,1800,0.14,0.027,16,20,-40,105,0.118,10000,0.078,450,600,UHE1E182MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2530,2530,2024,2530,2408.56,1902.56,MP,45000,Normal,6.6
25,2200,0.16,0.02,12.5,35.5,-40,105,0.121,10000,0.065,550,500,UHE1E222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2880,2880,2304,2880,2741.76,2165.76,MP,55000,Normal,7.06
25,2200,0.16,0.026,18,20,-40,105,0.121,10000,0.067,550,400,UHE1E222MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2860,2860,2288,2860,2722.72,2150.72,MP,55000,Normal,9
25,2700,0.16,0.017,12.5,40,-40,105,0.098,10000,0.056,675,400,UHE1E272MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3350,3350,2680,3350,3189.2,2519.2,MP,67500,Normal,7.57
25,2700,0.16,0.021,16,25,-40,105,0.098,10000,0.06,675,400,UHE1E272MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,2930,2930,2344,2930,2789.36,2203.36,MP,67500,Normal,8.2
25,3300,0.18,0.017,16,30.5,-40,105,0.096,10000,0.05,825,300,UHE1E332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3450,3450,2760,3450,3284.4,2594.4,MP,82500,Normal,9.6
25,3300,0.18,0.019,18,25,-40,105,0.096,10000,0.049,825,300,UHE1E332MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3140,3140,2512,3140,2989.28,2361.28,MP,82500,Normal,10.6
25,3900,0.18,0.015,16,35.5,-40,105,0.082,10000,0.044,975,300,UHE1E392MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,3610,3610,2888,3610,3436.72,2714.72,MP,97500,Normal,11.8
25,3900,0.18,0.015,18,30.5,-40,105,0.082,10000,0.04,975,300,UHE1E392MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4170,4170,3336,4170,3969.84,3135.84,MP,97500,Normal,13.1
25,4700,0.2,0.013,16,40,-40,105,0.079,10000,0.038,1175,300,UHE1E472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4080,4080,3264,4080,3884.16,3068.16,MP,117500,Normal,14.1
25,4700,0.2,0.014,18,35.5,-40,105,0.079,10000,0.038,1175,250,UHE1E472MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z Hi-Reliability,4220,4220,3376,4220,4017.44,3173.44,MP,117500,Normal,14.2
