Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current
63,1500,0.08,0.024,18,25,0.09,0.072,3200
63,1800,0.066,0.017,16,35.5,0.09,0.051,3800
63,1800,0.066,0.02,18,31.5,0.09,0.06,3700
63,2200,0.054,0.015,16,40,0.09,0.045,4100
63,2200,0.054,0.017,18,35.5,0.09,0.051,3900
63,2700,0.044,0.015,18,40,0.09,0.045,4300
80,12,8.842,0.72,5,11,0.08,3.2,235
80,12,8.842,1.2,5,11,0.08,5.4,220
80,27,3.93,0.34,6.3,11,0.08,1.5,390
80,27,3.93,0.46,6.3,11,0.08,2.1,370
80,47,2.258,0.2,8,11.5,0.08,0.9,650
80,47,2.258,0.29,8,11.5,0.08,1.3,620
80,56,1.895,0.2,8,16,0.08,0.9,780
80,68,1.56,0.17,10,12.5,0.08,0.66,780
80,82,1.294,0.14,8,16,0.08,0.63,820
80,82,1.294,0.16,8,20,0.08,0.66,1040
80,100,1.061,0.14,10,12.5,0.08,0.56,860
80,100,1.061,0.11,10,16,0.08,0.47,1040
80,120,0.884,0.12,8,20,0.08,0.54,1090
80,150,0.707,0.09,10,16,0.08,0.36,1150
80,150,0.707,0.084,10,20,0.08,0.34,1430
80,150,0.707,0.11,12.5,16,0.08,0.34,1430
80,180,0.589,0.069,10,25,0.08,0.28,1620
80,220,0.482,0.068,10,20,0.08,0.28,1570
80,220,0.482,0.09,12.5,16,0.08,0.27,1430
80,220,0.482,0.062,12.5,20,0.08,0.18,1750
80,270,0.393,0.055,10,25,0.08,0.22,1780
80,270,0.393,0.047,12.5,25,0.08,0.14,2210
80,330,0.322,0.048,12.5,20,0.08,0.15,1800
80,330,0.322,0.042,12.5,30,0.08,0.13,2400
80,330,0.322,0.048,16,20,0.08,0.15,1950
80,390,0.272,0.038,12.5,25,0.08,0.12,2210
80,390,0.272,0.036,12.5,35,0.08,0.11,2600
80,470,0.226,0.033,12.5,30,0.08,0.11,2520
80,470,0.226,0.032,12.5,40,0.08,0.095,2860
80,470,0.226,0.036,16,20,0.08,0.12,2150
80,470,0.226,0.038,16,25,0.08,0.12,2430
80,470,0.226,0.045,18,20,0.08,0.14,2270
80,560,0.189,0.026,12.5,35,0.08,0.078,2860
80,560,0.189,0.032,16,31.5,0.08,0.095,2640
80,680,0.156,0.028,16,25,0.08,0.084,2620
80,680,0.156,0.032,18,20,0.08,0.096,2280
80,680,0.156,0.029,16,35.5,0.08,0.086,2860
80,680,0.156,0.036,18,25,0.08,0.11,2500
80,820,0.129,0.022,16,31.5,0.08,0.066,2900
80,820,0.129,0.027,16,40,0.08,0.081,3510
80,820,0.129,0.03,18,31.5,0.08,0.09,2860
80,1000,0.106,0.02,16,35.5,0.08,0.06,3150
80,1000,0.106,0.027,18,25,0.08,0.081,2750
80,1000,0.106,0.027,18,35.5,0.08,0.081,3510
80,1200,0.088,0.018,16,40,0.08,0.054,3710
80,1200,0.088,0.02,18,31.5,0.08,0.06,3150
80,1200,0.088,0.026,18,40,0.08,0.076,3860
80,1500,0.071,0.018,18,35.5,0.08,0.054,3710
80,1800,0.059,0.017,18,40,0.08,0.051,4060
120,33,3.215,0.25,8,16,0.08,1.0,585
120,47,2.258,0.19,8,20,0.08,0.76,735
120,56,1.895,0.17,10,16,0.08,0.72,780
120,82,1.294,0.12,10,20,0.08,0.52,1040
120,100,1.061,0.1,10,25,0.08,0.43,1250
120,120,0.884,0.09,10,28,0.08,0.38,1400
120,120,0.884,0.085,12.5,20,0.08,0.31,1430
120,150,0.707,0.21,12.5,25,0.08,0.84,1620
120,180,0.589,0.18,12.5,30,0.08,0.72,1880
120,180,0.589,0.17,16,20,0.08,0.65,1700
120,220,0.482,0.15,12.5,35,0.08,0.6,2140
120,270,0.393,0.12,12.5,40,0.08,0.48,2340
120,270,0.393,0.13,16,25,0.08,0.49,2100
120,270,0.393,0.14,18,20,0.08,0.52,1850
120,330,0.322,0.1,16,31.5,0.08,0.38,2400
120,390,0.272,0.085,16,35.5,0.08,0.32,2600
120,390,0.272,0.1,18,25,0.08,0.37,2270
120,470,0.226,0.075,16,40,0.08,0.29,2860
120,470,0.226,0.08,18,31.5,0.08,0.3,2470
120,560,0.189,0.07,18,35.5,0.08,0.26,2860
120,680,0.156,0.06,18,40,0.08,0.22,3510
