Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
50,1800,0.074,0.022,16,31.5,0.1,0.066,EKYA500E□□182MLN3S,3010
50,2200,0.06,0.019,16,35.5,0.1,0.057,EKYA500E□□222MLP1S,3150
63,10,11.937,0.88,5,11,0.09,3.5,EKYA630E□□100ME11D,173
63,15,7.958,0.88,5,11,0.09,3.5,EKYA630E□□150ME11D,173
63,33,3.617,0.35,6.3,11,0.09,1.4,EKYA630E□□330MF11D,278
63,56,2.132,0.22,8,11.5,0.09,0.88,EKYA630E□□560MHB5D,500
63,82,1.456,0.16,8,15,0.09,0.64,EKYA630E□□820MH15D,665
63,100,1.194,0.11,10,12.5,0.09,0.44,EKYA630E□□101MJC5S,725
63,120,0.995,0.12,8,20,0.09,0.48,EKYA630E□□121MH20D,820
63,120,0.995,0.076,10,16,0.09,0.31,EKYA630E□□121MJ16S,950
63,220,0.543,0.056,10,20,0.09,0.23,EKYA630E□□221MJ20S,1200
63,330,0.362,0.046,10,25,0.09,0.19,EKYA630E□□331MJ25S,1350
63,330,0.362,0.041,12.5,20,0.09,0.13,EKYA630E□□331MK20S,1570
63,390,0.306,0.041,12.5,20,0.09,0.13,EKYA630E□□391MK20S,1570
63,470,0.254,0.031,12.5,25,0.09,0.093,EKYA630E□□471MK25S,1990
63,560,0.213,0.031,12.5,25,0.09,0.093,EKYA630E□□561MK25S,1990
63,1000,0.119,0.025,16,25,0.09,0.075,EKYA630E□□102ML25S,2730
63,1200,0.099,0.021,16,31.5,0.09,0.063,EKYA630E□□122MLN3S,2850
63,1500,0.08,0.019,16,35.5,0.09,0.057,EKYA630E□□152MLP1S,2900
100,1,106.103,4.5,5,11,0.08,15.0,EKYA101E□□1R0ME11D,20
100,2.2,48.229,3,5,11,0.08,13.0,EKYA101E□□2R2ME11D,30
100,3.3,32.153,2.7,5,11,0.08,11.0,EKYA101E□□3R3ME11D,40
100,4.7,22.575,2.5,5,11,0.08,10.0,EKYA101E□□4R7ME11D,65
100,6.8,15.603,1.4,5,11,0.08,5.6,EKYA101E□□6R8ME11D,125
