Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
10,15000,0.52,18,35.5,-55,105,0.073,2000,4500,250,UVZ1A153MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,2507,2507,2180,2463.4,2398,1853,MP,6.3 to 100,150000,Normal,14.2
10,22000,0.66,20,40,-55,105,0.066,2000,6600,150,UVZ1A223MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,3047.5,3047.5,2650,2994.5,2915,2252.5,EOL,6.3 to 100,220000,Normal,19.6
10,33000,0.88,22,50,-55,105,0.062,2000,9900,250,UVZ1A333MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,,,3250,,,,EOL,,330000,Normal,27.4
16,10,0.2,5,11,-55,105,26.526,1000,5,6000,UVZ1C100MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,56,56,35,49,43.75,28,EOL,160 to 450,160,Normal,0.44
16,22,0.2,5,11,-55,105,12.057,1000,11,6000,UVZ1C220MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,86.4,86.4,54,75.6,67.5,43.2,EOL,160 to 450,352,Normal,0.44
16,33,0.2,5,11,-55,105,8.038,1000,16,6000,UVZ1C330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,130,130,65,102.05,87.75,48.75,EOL,6.3 to 100,528,Normal,0.44
16,33,0.2,5,11,-55,105,8.038,1000,16,6000,UVZ1C330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,104,104,65,91,81.25,52,EOL,160 to 450,528,Normal,0.44
16,47,0.2,5,11,-55,105,5.644,1000,23,6000,UVZ1C470MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,158,158,79,124.03,106.65,59.25,EOL,6.3 to 100,752,Normal,0.44
16,47,0.2,5,11,-55,105,5.644,1000,23,6000,UVZ1C470MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,126.4,126.4,79,110.6,98.75,63.2,EOL,160 to 450,752,Normal,0.44
16,100,0.2,5,11,-55,105,2.653,1000,48,6000,UVZ1C101MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,172.5,172.5,115,154.1,141.45,92,EOL,6.3 to 100,1600,Normal,0.44
16,100,0.2,5,11,-55,105,2.653,1000,48,6000,UVZ1C101MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,184,184,115,161,143.75,92,EOL,160 to 450,1600,Normal,0.44
16,220,0.2,6.3,11,-55,105,1.206,1000,106,4000,UVZ1C221MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,285,285,190,254.6,233.7,152,EOL,6.3 to 100,3520,Normal,0.59
16,220,0.2,6.3,11,-55,105,1.206,1000,106,4000,UVZ1C221MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,304,304,190,266,237.5,152,EOL,160 to 450,3520,Normal,0.59
16,330,0.2,8,11.5,-55,105,0.804,1000,158,3000,UVZ1C331MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,397.5,397.5,265,355.1,325.95,212,MP,6.3 to 100,5280,Normal,1.19
16,330,0.2,8,11.5,-55,105,0.804,1000,158,3000,UVZ1C331MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,304.75,304.75,265,299.45,291.5,238.5,MP,160 to 450,5280,Normal,1.19
16,470,0.2,8,11.5,-55,105,0.564,1000,226,3000,UVZ1C471MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,472.5,472.5,315,422.1,387.45,252,MP,6.3 to 100,7520,Normal,1.19
16,1000,0.2,10,16,-55,105,0.292,2000,480,1800,UVZ1C102MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,644,644,560,632.8,616,476,MP,6.3 to 100,16000,Normal,1.77
16,2200,0.22,12.5,20,-55,105,0.157,2000,1056,1000,UVZ1C222MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1058,1058,920,1039.6,1012,782,MP,6.3 to 100,35200,Normal,3.43
16,3300,0.24,12.5,25,-55,105,0.121,2000,1584,800,UVZ1C332MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1345.5,1345.5,1170,1322.1,1287,994.5,MP,6.3 to 100,52800,Normal,4.56
16,4700,0.26,16,25,-55,105,0.096,2000,2256,400,UVZ1C472MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1702,1702,1480,1672.4,1628,1258,MP,6.3 to 100,75200,Normal,8.2
16,6800,0.3,16,35.5,-55,105,0.082,2000,3264,300,UVZ1C682MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,2047,2047,1780,2011.4,1958,1513,MP,6.3 to 100,108800,Normal,11.8
16,10000,0.38,18,35.5,-55,105,0.077,2000,4800,250,UVZ1C103MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,2369,2369,2060,2327.8,2266,1751,MP,6.3 to 100,160000,Normal,14.2
16,15000,0.48,20,40,-55,105,0.069,2000,7200,150,UVZ1C153MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,2794.5,2794.5,2430,2745.9,2673,2065.5,EOL,6.3 to 100,240000,Normal,19.6
16,22000,0.62,22,50,-55,105,0.064,2000,10560,250,UVZ1C223MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,3450,3450,3000,3390,3300,2550,EOL,6.3 to 100,352000,Normal,27.4
16,33000,0.84,25,50,-55,105,0.06,2000,15840,140,UVZ1C333MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,,,3450,,,,EOL,,528000,Normal,38.8
25,4.7,0.16,5,11,-55,105,45.15,1000,4,6000,UVZ1E4R7MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,40,40,25,35,31.25,20,EOL,160 to 450,117.5,Normal,0.44
25,10,0.16,5,11,-55,105,21.221,1000,8,6000,UVZ1E100MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,57.6,57.6,36,50.4,45,28.8,EOL,160 to 450,250,Normal,0.44
25,22,0.16,5,11,-55,105,9.646,1000,17,6000,UVZ1E220MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,92.8,92.8,58,81.2,72.5,46.4,EOL,160 to 450,550,Normal,0.44
25,33,0.16,5,11,-55,105,6.431,1000,25,6000,UVZ1E330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,136,136,68,106.76,91.8,51,EOL,6.3 to 100,825,Normal,0.44
25,33,0.16,5,11,-55,105,6.431,1000,25,6000,UVZ1E330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,108.8,108.8,68,95.2,85,54.4,EOL,160 to 450,825,Normal,0.44
25,47,0.16,5,11,-55,105,4.515,1000,35,6000,UVZ1E470MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,166,166,83,130.31,112.05,62.25,EOL,6.3 to 100,1175,Normal,0.44
25,47,0.16,5,11,-55,105,4.515,1000,35,6000,UVZ1E470MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,132.8,132.8,83,116.2,103.75,66.4,EOL,160 to 450,1175,Normal,0.44
25,100,0.16,6.3,11,-55,105,2.122,1000,75,4000,UVZ1E101MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,210,210,140,187.6,172.2,112,EOL,6.3 to 100,2500,Normal,0.59
25,100,0.16,6.3,11,-55,105,2.122,1000,75,4000,UVZ1E101MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,224,224,140,196,175,112,EOL,160 to 450,2500,Normal,0.59
25,220,0.16,8,11.5,-55,105,0.965,1000,165,3000,UVZ1E221MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,360,360,240,321.6,295.2,192,MP,6.3 to 100,5500,Normal,1.19
25,220,0.16,8,11.5,-55,105,0.965,1000,165,3000,UVZ1E221MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,384,384,240,336,300,192,MP,160 to 450,5500,Normal,1.19
25,330,0.16,10,12.5,-55,105,0.643,2000,248,2000,UVZ1E331MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,472.5,472.5,315,422.1,387.45,252,MP,6.3 to 100,8250,Normal,1.49
25,330,0.16,10,12.5,-55,105,0.643,2000,248,2000,UVZ1E331MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,362.25,362.25,315,355.95,346.5,283.5,MP,160 to 450,8250,Normal,1.49
25,470,0.16,10,12.5,-55,105,0.452,2000,353,2000,UVZ1E471MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,570,570,380,509.2,467.4,304,MP,6.3 to 100,11750,Normal,1.49
25,1000,0.16,10,20,-55,105,0.239,2000,750,1400,UVZ1E102MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,782,782,680,768.4,748,578,MP,6.3 to 100,25000,Normal,2.34
25,2200,0.18,12.5,25,-55,105,0.133,2000,1650,800,UVZ1E222MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1253.5,1253.5,1090,1231.7,1199,926.5,MP,6.3 to 100,55000,Normal,4.56
25,3300,0.2,16,25,-55,105,0.104,2000,2475,400,UVZ1E332MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1610,1610,1400,1582,1540,1190,MP,6.3 to 100,82500,Normal,8.2
25,4700,0.22,16,30.5,-55,105,0.085,2000,3525,300,UVZ1E472MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,1966.5,1966.5,1710,1932.3,1881,1453.5,MP,6.3 to 100,117500,Normal,9.6
25,6800,0.26,18,35.5,-55,105,0.074,2000,5100,250,UVZ1E682MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,2346,2346,2040,2305.2,2244,1734,MP,6.3 to 100,170000,Normal,14.2
25,10000,0.34,20,40,-55,105,0.072,2000,7500,150,UVZ1E103MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,2472.5,2472.5,2150,2429.5,2365,1827.5,EOL,6.3 to 100,250000,Normal,19.6
25,15000,0.44,22,50,-55,105,0.065,2000,11250,250,UVZ1E153MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,3162.5,3162.5,2750,3107.5,3025,2337.5,EOL,6.3 to 100,375000,Normal,27.4
25,22000,0.58,25,50,-55,105,0.061,2000,16500,140,UVZ1E223MRD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,3737.5,3737.5,3250,3672.5,3575,2762.5,EOL,6.3 to 100,550000,Normal,38.8
35,4.7,0.14,5,11,-55,105,39.507,1000,5,6000,UVZ1V4R7MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,44.8,44.8,28,39.2,35,22.4,EOL,160 to 450,164.5,Normal,0.44
35,10,0.14,5,11,-55,105,18.568,1000,11,6000,UVZ1V100MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,65.6,65.6,41,57.4,51.25,32.8,EOL,160 to 450,350,Normal,0.44
35,22,0.14,5,11,-55,105,8.44,1000,23,6000,UVZ1V220MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,97.6,97.6,61,85.4,76.25,48.8,EOL,160 to 450,770,Normal,0.44
35,33,0.14,5,11,-55,105,5.627,1000,35,6000,UVZ1V330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,150,150,75,117.75,101.25,56.25,EOL,6.3 to 100,1155,Normal,0.44
35,33,0.14,5,11,-55,105,5.627,1000,35,6000,UVZ1V330MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,120,120,75,105,93.75,60,EOL,160 to 450,1155,Normal,0.44
35,47,0.14,5,11,-55,105,3.951,1000,49,6000,UVZ1V470MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,186,186,93,146.01,125.55,69.75,EOL,6.3 to 100,1645,Normal,0.44
35,47,0.14,5,11,-55,105,3.951,1000,49,6000,UVZ1V470MDD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,148.8,148.8,93,130.2,116.25,74.4,EOL,160 to 450,1645,Normal,0.44
35,100,0.14,6.3,11,-55,105,1.857,1000,105,4000,UVZ1V101MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,225,225,150,201,184.5,120,EOL,6.3 to 100,3500,Normal,0.59
35,100,0.14,6.3,11,-55,105,1.857,1000,105,4000,UVZ1V101MED,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,240,240,150,210,187.5,120,EOL,160 to 450,3500,Normal,0.59
35,220,0.14,10,12.5,-55,105,0.844,2000,231,2000,UVZ1V221MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,412.5,412.5,275,368.5,338.25,220,MP,6.3 to 100,7700,Normal,1.49
35,220,0.14,10,12.5,-55,105,0.844,2000,231,2000,UVZ1V221MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,440,440,275,385,343.75,220,MP,160 to 450,7700,Normal,1.49
35,330,0.14,10,12.5,-55,105,0.563,2000,347,2000,UVZ1V331MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,525,525,350,469,430.5,280,MP,6.3 to 100,11550,Normal,1.49
35,330,0.14,10,12.5,-55,105,0.563,2000,347,2000,UVZ1V331MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,402.5,402.5,350,395.5,385,315,MP,160 to 450,11550,Normal,1.49
35,470,0.14,10,16,-55,105,0.395,2000,494,1800,UVZ1V471MPD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,690,690,460,616.4,565.8,368,MP,6.3 to 100,16450,Normal,1.77
35,1000,0.14,12.5,20,-55,105,0.212,2000,1050,1000,UVZ1V102MHD,Uni-Polar,Radial Lead,6mmL Wide Temp. Range,931.5,931.5,810,915.3,891,688.5,MP,6.3 to 100,35000,Normal,3.43
