Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
35,330,0.25,,10,12.5,-55,105,0.14,0.563,1000,347,2000,URZ1V331MPD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,510,340,455.6,418.2,272,MP,11550,Normal,1.49
35,470,0.176,,12.5,12.5,-55,105,0.14,0.395,1000,494,1500,URZ1V471MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,630,420,562.8,516.6,336,MP,16450,Normal,2.8
35,1000,0.16,,16,15,-55,105,0.14,0.212,1000,1050,700,URZ1V102MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,828,720,813.6,792,612,MP,35000,Normal,4.74
35,2200,0.091,,18,20,-55,105,0.16,0.121,1000,2310,400,URZ1V222MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1276.5,1110,1254.3,1221,943.5,MP,77000,Normal,9
35,3300,0.073,,20,25,-55,105,0.18,0.096,1000,3465,250,URZ1V332MRD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1644.5,1430,1615.9,1573,1215.5,EOL,115500,Normal,11.5
50,220,0.322,,10,12.5,-55,105,0.12,0.723,1000,330,2000,URZ1H221MPD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,435,290,388.6,356.7,232,MP,11000,Normal,1.49
50,330,0.214,,12.5,12.5,-55,105,0.12,0.482,1000,495,1500,URZ1H331MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,555,370,495.8,455.1,296,MP,16500,Normal,2.8
50,470,0.151,,16,15,-55,105,0.12,0.339,1000,705,700,URZ1H471MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,810,540,723.6,664.2,432,MP,23500,Normal,4.74
50,1000,0.14,,18,20,-55,105,0.12,0.186,1000,1500,400,URZ1H102MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,954.5,830,937.9,913,705.5,MP,50000,Normal,9
50,2200,0.082,,20,25,-55,105,0.14,0.109,1000,3300,250,URZ1H222MRD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,1437.5,1250,1412.5,1375,1062.5,EOL,110000,Normal,11.5
63,220,0.268,,12.5,12.5,-55,105,0.1,0.603,1000,416,1500,URZ1J221MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,502.5,335,448.9,412.05,268,MP,13860,Normal,2.8
63,330,0.179,,12.5,15,-55,105,0.1,0.402,1000,624,1200,URZ1J331MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,765,510,683.4,627.3,408,MP,20790,Normal,2.96
63,470,0.125,,16,15,-55,105,0.1,0.282,1000,888,700,URZ1J471MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,960,640,857.6,787.2,512,MP,29610,Normal,4.74
100,47,0.564,,10,12.5,-55,105,0.08,2.258,1000,141,2000,URZ2A470MPD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,330,165,259.05,222.75,123.75,MP,4700,Normal,1.49
100,100,0.472,,12.5,15,-55,105,0.08,1.061,1000,300,1200,URZ2A101MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,397.5,265,355.1,325.95,212,MP,10000,Normal,2.96
100,220,0.214,,16,15,-55,105,0.08,0.482,1000,660,700,URZ2A221MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,660,440,589.6,541.2,352,MP,22000,Normal,4.74
100,330,0.143,,18,15,-55,105,0.08,0.322,1000,990,400,URZ2A331MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,810,540,723.6,664.2,432,MP,33000,Normal,6.31
160,47,1.411,,16,15,-40,105,0.2,5.644,1000,401,700,URZ2C470MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,600,300,471,405,225,LTB,7520,Normal,4.74
160,68,,,16,20,-40,105,0.2,3.901,1000,535,600,URZ2C680MHD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,350,,,,LTB,10880,Normal,6.6
160,68,,,18,15,-40,105,0.2,3.901,1000,535,400,URZ2C680MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,,350,,,,LTB,10880,Normal,6.31
160,100,1.179,,18,20,-40,105,0.2,2.653,1000,740,400,URZ2C101MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,630,420,562.8,516.6,336,LTB,16000,Normal,9
160,100,1.179,,20,15,-40,105,0.2,2.653,1000,740,300,URZ2C101MRD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,630,420,562.8,516.6,336,EOL,16000,Normal,7.32
160,150,0.786,,18,25,-40,105,0.2,1.768,1000,1060,300,URZ2C151MHD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,765,510,683.4,627.3,408,LTB,24000,Normal,10.6
160,150,0.786,,20,20,-40,105,0.2,1.768,1000,1060,250,URZ2C151MRD6,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,765,510,683.4,627.3,408,EOL,24000,Normal,9.81
160,220,0.536,,20,25,-40,105,0.2,1.206,1000,1508,250,URZ2C221MRD,Uni-Polar,Radial Lead,Lo-Profile Wide Temp. Range,825,550,737,676.5,440,EOL,35200,Normal,11.5
