Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Size Code
25,39,4.761,0.22,5,11.5,0.14,0.8,345,C11
25,56,3.316,0.22,5,11.5,0.14,0.8,345,C11
25,68,2.731,0.22,5,11.5,0.14,0.8,345,C11
25,82,2.264,0.22,5,11.5,0.14,0.8,345,C11
25,100,1.857,0.094,6.3,11.5,0.14,0.35,540,D11
25,120,1.547,0.094,6.3,11.5,0.14,0.35,540,D11
25,150,1.238,0.094,6.3,11.5,0.14,0.35,540,D11
25,330,0.563,0.056,8,12,0.14,0.19,945,E12
25,390,0.476,0.045,8,15,0.14,0.15,1250,E15
25,470,0.395,0.039,10,12.5,0.14,0.14,1560,F12
25,560,0.332,0.029,8,20,0.14,0.11,1500,E20
25,680,0.273,0.028,10,16,0.14,0.1,2000,F16
25,820,0.226,0.02,10,20,0.14,0.06,2500,F20
25,1000,0.186,0.017,10,25,0.14,0.051,2900,F25
25,1500,0.124,0.017,12.5,20,0.14,0.043,2600,G20
25,1800,0.103,0.015,12.5,25,0.14,0.038,3200,G25
25,2200,0.084,0.013,12.5,30,0.14,0.033,3795,G30
25,2200,0.084,0.015,16,20,0.14,0.038,3575,J20
25,2700,0.069,0.012,12.5,35,0.14,0.031,4120,G35
25,3300,0.056,0.013,16,25,0.14,0.035,3810,J25
35,39,4.081,0.22,5,11.5,0.12,0.8,345,C11
35,47,3.386,0.22,5,11.5,0.12,0.8,345,C11
35,82,1.941,0.094,6.3,11.5,0.12,0.35,540,D11
35,100,1.592,0.094,6.3,11.5,0.12,0.35,540,D11
35,220,0.723,0.056,8,12,0.12,0.19,945,E12
35,270,0.589,0.045,8,15,0.12,0.15,1250,E15
35,330,0.482,0.039,10,12.5,0.12,0.14,1560,F12
35,390,0.408,0.029,8,20,0.12,0.11,1500,E20
35,470,0.339,0.028,10,16,0.12,0.1,2000,F16
35,560,0.284,0.02,10,20,0.12,0.06,2500,F20
35,680,0.234,0.017,10,25,0.12,0.051,2900,F25
