Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,VC
16,220,0.2,6.3,11,1.206,EKMQ160E□□221MF11D,285,266,190,247,218.5,152,3520
16,330,0.2,6.3,11,0.804,EKMQ160E□□331MF11D,337.5,315,225,292.5,258.75,180,5280
16,470,0.2,8,11.5,0.564,EKMQ160E□□471MHB5D,472.5,441,315,409.5,362.25,252,7520
16,1000,0.2,10,12.5,0.292,EKMQ160E□□102MJC5S,750,700,500,650,575,400,16000
16,2200,0.22,10,20,0.157,EKMQ160E□□222MJ20S,766.8,766.8,710,745.5,731.3,603.5,35200
16,3300,0.24,12.5,25,0.121,EKMQ160E□□332MK25S,1263.6,1263.6,1170,1228.5,1205.1,994.5,52800
16,4700,0.26,16,25,0.096,EKMQ160E□□472ML25S,1620,1620,1500,1575,1545,1275,75200
16,6800,0.3,16,25,0.082,EKMQ160E□□682ML25S,1728,1728,1600,1680,1648,1360,108800
16,10000,0.38,16,35.5,0.077,EKMQ160E□□103MLP1S,2084.4,2084.4,1930,2026.5,1987.9,1640.5,160000
16,15000,0.48,18,40,0.069,EKMQ160E□□153MM40S,2386.8,2386.8,2210,2320.5,2276.3,1878.5,240000
25,100,0.16,5,11,2.122,EKMQ250E□□101ME11D,187.5,175,125,162.5,143.75,100,2500
25,220,0.16,6.3,11,0.965,EKMQ250E□□221MF11D,300,280,200,260,230,160,5500
25,330,0.16,8,11.5,0.643,EKMQ250E□□331MHB5D,465,434,310,403,356.5,248,8250
25,470,0.16,10,12.5,0.452,EKMQ250E□□471MJC5S,570,532,380,494,437,304,11750
25,1000,0.16,10,16,0.239,EKMQ250E□□102MJ16S,915,854,610,793,701.5,488,25000
25,2200,0.18,12.5,25,0.133,EKMQ250E□□222MK25S,1177.2,1177.2,1090,1144.5,1122.7,926.5,55000
25,3300,0.2,16,25,0.104,EKMQ250E□□332ML25S,1512,1512,1400,1470,1442,1190,82500
25,4700,0.22,16,25,0.085,EKMQ250E□□472ML25S,1695.6,1695.6,1570,1648.5,1617.1,1334.5,117500
25,6800,0.26,16,35.5,0.074,EKMQ250E□□682MLP1S,1998,1998,1850,1942.5,1905.5,1572.5,170000
25,10000,0.34,18,40,0.072,EKMQ250E□□103MM40S,2160,2160,2000,2100,2060,1700,250000
35,47,0.14,5,11,3.951,EKMQ350E□□470ME11D,167.4,162.75,93,139.5,116.25,69.75,1645
35,68,0.14,6.3,11,2.731,EKMQ350E□□680MF11D,198,192.5,110,165,137.5,82.5,2380
35,100,0.14,6.3,11,1.857,EKMQ350E□□101MF11D,225,210,150,195,172.5,120,3500
35,220,0.14,8,11.5,0.844,EKMQ350E□□221MHB5D,405,378,270,351,310.5,216,7700
35,330,0.14,10,12.5,0.563,EKMQ350E□□331MJC5S,525,490,350,455,402.5,280,11550
35,470,0.14,10,16,0.395,EKMQ350E□□471MJ16S,690,644,460,598,529,368,16450
35,1000,0.14,12.5,20,0.212,EKMQ350E□□102MK20S,1215,1134,810,1053,931.5,648,35000
35,2200,0.16,16,25,0.121,EKMQ350E□□222ML25S,1360.8,1360.8,1260,1323,1297.8,1071,77000
35,3300,0.18,16,31.5,0.096,EKMQ350E□□332MLN3S,1620,1620,1500,1575,1545,1275,115500
35,4700,0.2,16,35.5,0.079,EKMQ350E□□472MLP1S,1922.4,1922.4,1780,1869,1833.4,1513,164500
35,6800,0.24,18,40,0.07,EKMQ350E□□682MM40S,2160,2160,2000,2100,2060,1700,238000
50,1,0.12,5,11,159.155,EKMQ500E□□1R0ME11D,32.5,29.9,13,22.75,17.55,8.45,50
50,2.2,0.12,5,11,72.343,EKMQ500E□□2R2ME11D,50,46,20,35,27,13,110.00000000000001
50,3.3,0.12,5,11,48.229,EKMQ500E□□3R3ME11D,62.5,57.5,25,43.75,33.75,16.25,165
