Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
420,82,0.767,0.621,12.5,40,0.24,3.882,EKXN421E□□820MK40S,1762.5,1586.25,705,1233.75,34440
420,82,0.767,0.621,16,25,0.24,3.882,EKXN421E□□820ML25S,1675,1507.5,670,1172.5,34440
420,82,0.767,0.621,18,20,0.24,3.882,EKXN421E□□820MM20S,1612.5,1451.25,645,1128.75,34440
420,100,0.757,0.629,12.5,45,0.24,3.183,EKXN421E□□101MK45S,1811.25,1650.25,805,1344.35,42000
420,100,0.757,0.629,16,30,0.24,3.183,EKXN421E□□101ML30S,1788.75,1629.75,795,1327.65,42000
420,120,0.631,0.524,12.5,50,0.24,2.653,EKXN421E□□121MK50S,2036.25,1855.25,905,1511.35,50400
420,120,0.631,0.524,16,35,0.24,2.653,EKXN421E□□121ML35S,2002.5,1824.5,890,1486.3,50400
420,120,0.631,0.524,18,25,0.24,2.653,EKXN421E□□121MM25S,1867.5,1701.5,830,1386.1,50400
420,150,0.505,0.419,16,40,0.24,2.122,EKXN421E□□151ML40S,2317.5,2111.5,1030,1720.1,63000
420,150,0.505,0.419,18,30,0.24,2.122,EKXN421E□□151MM30S,2238.75,2039.75,995,1661.65,63000
420,180,0.421,0.349,16,45,0.24,1.768,EKXN421E□□181ML45S,2565,2337,1140,1903.8,75600
420,180,0.421,0.349,16,50,0.24,1.768,EKXN421E□□181ML50S,2610,2378,1160,1937.2,75600
420,180,0.421,0.349,18,35,0.24,1.768,EKXN421E□□181MM35S,2542.5,2316.5,1130,1887.1,75600
420,180,0.421,0.349,18,40,0.24,1.768,EKXN421E□□181MM40S,2610,2378,1160,1937.2,75600
420,220,0.344,0.286,18,45,0.24,1.447,EKXN421E□□221MM45S,2947.5,2685.5,1310,2187.7,92400
420,270,0.281,0.233,18,50,0.24,1.179,EKXN421E□□271MM50S,3262.5,2972.5,1450,2421.5,113400
450,15,4.192,3.395,10,16,0.24,21.221,EKXN451E□□150MJ16S,462.5,416.25,185,323.75,6750
450,18,3.493,2.829,10,20,0.24,17.684,EKXN451E□□180MJ20S,550,495,220,385,8100
