Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 85°C@10kHz,Ripple Current 85°C@120Hz,Ripple Current 85°C@1kHz,Ripple Current 85°C@500Hz,Ripple Current 85°C@50Hz,Ripple Current 85°C@60Hz,VC
100,1000,0.08,18,40,0.133,1620,1350,1552.5,1485,1080,1080,100000
160,4.7,0.2,6.3,11,56.438,67.5,45,58.5,54,29.25,29.25,752
160,10,0.2,8,11.5,26.526,124.5,83,107.9,99.6,66.4,66.4,1600
160,22,0.2,10,16,12.057,199.5,133,172.9,159.6,106.4,106.4,3520
160,33,0.2,10,20,8.038,270,180,234,216,144,144,5280
160,47,0.2,12.5,20,5.644,345,230,299,276,184,184,7520
160,100,0.2,12.5,25,2.653,462,385,442.75,423.5,308,308,16000
160,220,0.2,16,35.5,1.206,774,645,741.75,709.5,516,516,35200
160,330,0.2,18,35.5,0.804,912,760,874,836,608,608,52800
200,3.3,0.2,6.3,11,80.381,54,36,46.8,43.2,23.4,23.4,660
200,4.7,0.2,8,11.5,56.438,76.5,51,66.3,61.2,33.15,33.15,940
200,10,0.2,10,12.5,26.526,127.5,85,110.5,102,68,68,2000
200,22,0.2,10,20,12.057,202.5,135,175.5,162,108,108,4400
200,33,0.2,12.5,20,8.038,307.5,205,266.5,246,164,164,6600
200,47,0.2,12.5,20,5.644,345,230,299,276,184,184,9400
200,100,0.2,16,25,2.653,480,400,460,440,320,320,20000
200,220,0.2,18,35.5,1.206,816,680,782,748,544,544,44000
250,0.47,0.2,6.3,11,564.38,12,8,10.4,9.6,4,4,117.5
250,1,0.2,6.3,11,265.258,24,16,20.8,19.2,8,8,250
250,2.2,0.2,6.3,11,120.572,45,30,39,36,19.5,19.5,550
250,3.3,0.2,8,11.5,80.381,67.5,45,58.5,54,29.25,29.25,825
250,4.7,0.2,8,11.5,56.438,81,54,70.2,64.8,35.1,35.1,1175
250,10,0.2,10,16,26.526,135,90,117,108,72,72,2500
250,22,0.2,12.5,20,12.057,225,150,195,180,120,120,5500
250,33,0.2,12.5,20,8.038,307.5,205,266.5,246,164,164,8250
250,47,0.2,12.5,25,5.644,390,260,338,312,208,208,11750
250,100,0.2,16,31.5,2.653,540,450,517.5,495,360,360,25000
350,0.47,0.2,6.3,11,564.38,12,8,10.4,9.6,4,4,164.5
350,1,0.2,6.3,11,265.258,24,16,20.8,19.2,8,8,350
350,2.2,0.2,8,11.5,120.572,46.5,31,40.3,37.2,20.15,20.15,770.0000000000001
350,3.3,0.2,10,12.5,80.381,67.5,45,58.5,54,29.25,29.25,1155
350,4.7,0.2,10,12.5,56.438,84,56,72.8,67.2,36.4,36.4,1645
350,10,0.2,10,20,26.526,150,100,130,120,80,80,3500
350,22,0.2,12.5,25,12.057,277.5,185,240.5,222,148,148,7700
350,33,0.2,16,25,8.038,345,230,299,276,184,184,11550
350,47,0.2,16,31.5,5.644,420,280,364,336,224,224,16450
350,100,0.2,18,40,2.653,504,420,483,462,336,336,35000
400,0.47,0.2,6.3,11,564.38,12,8,10.4,9.6,4,4,188
400,1,0.2,6.3,11,265.258,24,16,20.8,19.2,8,8,400
400,2.2,0.2,10,12.5,120.572,46.5,31,40.3,37.2,20.15,20.15,880.0000000000001
400,3.3,0.2,10,12.5,80.381,64.5,43,55.9,51.6,27.95,27.95,1320
400,4.7,0.2,10,16,56.438,84,56,72.8,67.2,36.4,36.4,1880
400,10,0.2,12.5,20,26.526,135,90,117,108,72,72,4000
400,22,0.2,12.5,25,12.057,270,180,234,216,144,144,8800
400,33,0.2,16,25,8.038,345,230,299,276,184,184,13200
400,47,0.2,16,31.5,5.644,420,280,364,336,224,224,18800
400,100,0.2,18,40,2.653,504,420,483,462,336,336,40000
450,0.47,0.2,8,11.5,564.38,12,8,10.4,9.6,4,4,211.5
450,1,0.2,8,11.5,265.258,24,16,20.8,19.2,8,8,450
450,2.2,0.2,10,12.5,120.572,43.5,29,37.7,34.8,18.85,18.85,990.0000000000001
450,3.3,0.2,10,16,80.381,60,40,52,48,26,26,1485
450,4.7,0.2,10,20,56.438,84,56,72.8,67.2,36.4,36.4,2115
450,10,0.2,12.5,20,26.526,126,84,109.2,100.8,67.2,67.2,4500
450,22,0.2,16,25,12.057,210,140,182,168,112,112,9900
450,33,0.2,16,31.5,8.038,270,180,234,216,144,144,14850
450,47,0.2,16,35.5,5.644,330,220,286,264,176,176,21150
6.3,100,0.26,5,11,3.448,162,135,155.25,148.5,108,108,630
6.3,220,0.26,5,11,1.567,264,220,253,242,176,176,1386
6.3,330,0.26,6.3,11,1.045,336,280,322,308,224,224,2079
6.3,470,0.26,6.3,11,0.734,432,360,414,396,288,288,2961
6.3,1000,0.26,8,11.5,0.371,708,590,678.5,649,472,472,6300
6.3,2200,0.26,10,16,0.181,1058,920,1012,966,736,736,13860
6.3,3300,0.26,10,20,0.129,1380,1200,1320,1260,960,960,20790
6.3,4700,0.26,12.5,20,0.096,1782.5,1550,1705,1627.5,1240,1240,29610
6.3,6800,0.26,12.5,25,0.074,2208,1920,2112,2016,1536,1536,42840
6.3,10000,0.26,16,25,0.061,2725.5,2370,2607,2488.5,1896,1896,63000
6.3,15000,0.26,16,35.5,0.05,3312,2880,3168,3024,2304,2304,94500
6.3,22000,0.26,18,40,0.042,3852.5,3350,3685,3517.5,2680,2680,138600
10,100,0.22,5,11,2.918,168,140,161,154,112,112,1000
10,220,0.22,5,11,1.326,276,230,264.5,253,184,184,2200
10,330,0.22,6.3,11,0.884,372,310,356.5,341,248,248,3300
10,470,0.22,6.3,11,0.621,480,400,460,440,320,320,4700
10,1000,0.22,10,12.5,0.318,792,660,759,726,528,528,10000
10,2200,0.22,10,20,0.157,1253.5,1090,1199,1144.5,872,872,22000
10,3300,0.22,12.5,20,0.113,1656,1440,1584,1512,1152,1152,33000
10,4700,0.22,12.5,25,0.085,2070,1800,1980,1890,1440,1440,47000
10,6800,0.22,16,25,0.066,2587.5,2250,2475,2362.5,1800,1800,68000
10,10000,0.22,16,35.5,0.056,3116.5,2710,2981,2845.5,2168,2168,100000
10,15000,0.22,18,35.5,0.046,3576.5,3110,3421,3265.5,2488,2488,150000
16,47,0.18,5,11,5.079,172.5,115,149.5,138,92,92,752
16,100,0.18,5,11,2.387,210,175,201.25,192.5,140,140,1600
16,220,0.18,6.3,11,1.085,336,280,322,308,224,224,3520
16,330,0.18,8,11.5,0.723,456,380,437,418,304,304,5280
16,470,0.18,8,11.5,0.508,552,460,529,506,368,368,7520
16,1000,0.18,10,16,0.265,960,800,920,880,640,640,16000
16,2200,0.18,12.5,20,0.133,1518,1320,1452,1386,1056,1056,35200
16,3300,0.18,12.5,25,0.096,1920.5,1670,1837,1753.5,1336,1336,52800
16,4700,0.18,16,25,0.073,2438,2120,2332,2226,1696,1696,75200
16,6800,0.18,16,31.5,0.059,2921,2540,2794,2667,2032,2032,108800
16,10000,0.18,18,35.5,0.05,3392.5,2950,3245,3097.5,2360,2360,160000
25,33,0.16,5,11,6.431,147,98,127.4,117.6,78.4,78.4,825
25,47,0.16,5,11,4.515,180,120,156,144,96,96,1175
25,100,0.16,5,11,2.122,222,185,212.75,203.5,148,148,2500
25,220,0.16,6.3,11,0.965,372,310,356.5,341,248,248,5500
25,330,0.16,8,11.5,0.643,492,410,471.5,451,328,328,8250
25,470,0.16,10,12.5,0.452,660,550,632.5,605,440,440,11750
25,1000,0.16,10,20,0.239,1164,970,1115.5,1067,776,776,25000
25,2200,0.16,12.5,25,0.121,1805.5,1570,1727,1648.5,1256,1256,55000
25,3300,0.16,16,25,0.088,2300,2000,2200,2100,1600,1600,82500
25,4700,0.16,16,31.5,0.068,2806,2440,2684,2562,1952,1952,117500
25,6800,0.16,18,35.5,0.055,3335,2900,3190,3045,2320,2320,170000
35,33,0.14,5,11,5.627,165,110,143,132,88,88,1155
35,47,0.14,5,11,3.951,202.5,135,175.5,162,108,108,1645
35,100,0.14,6.3,11,1.857,258,215,247.25,236.5,172,172,3500
35,220,0.14,8,11.5,0.844,444,370,425.5,407,296,296,7700
35,330,0.14,10,12.5,0.563,600,500,575,550,400,400,11550
35,470,0.14,10,16,0.395,816,680,782,748,544,544,16450
35,1000,0.14,12.5,20,0.212,1416,1180,1357,1298,944,944,35000
35,2200,0.14,16,25,0.109,2081.5,1810,1991,1900.5,1448,1448,77000
35,3300,0.14,16,35.5,0.08,2645,2300,2530,2415,1840,1840,115500
35,4700,0.14,18,35.5,0.062,3151,2740,3014,2877,2192,2192,164500
