Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -10°C@100kHz,Ripple Current 105°C@100kHz,Size Code
50,330,0.402,0.081,10,20,0.1,0.162,1120,F20
50,330,0.402,0.09,12.5,15,0.1,0.18,1170,G15
50,470,0.282,0.057,12.5,20,0.1,0.114,1540,G20
50,560,0.237,0.042,12.5,25,0.1,0.084,1910,G25
50,680,0.195,0.034,18,20,0.1,0.068,2420,K20
50,820,0.162,0.038,12.5,30,0.1,0.076,2290,G30
50,820,0.162,0.034,18,20,0.1,0.068,2420,K20
50,1000,0.133,0.031,16,25,0.1,0.062,2450,J25
50,1000,0.133,0.034,18,20,0.1,0.068,2420,K20
50,1200,0.111,0.029,18,25,0.1,0.058,2750,K25
50,1500,0.088,0.027,16,31.5,0.1,0.054,3100,J31
50,1500,0.088,0.029,18,25,0.1,0.058,2750,K25
50,1800,0.074,0.023,16,35.5,0.1,0.046,3530,J35
50,1800,0.074,0.025,18,31.5,0.1,0.05,3200,K31
50,2200,0.06,0.02,16,40,0.1,0.04,3830,J40
50,2200,0.06,0.022,18,35.5,0.1,0.044,3670,K35
50,2700,0.049,0.018,18,40,0.1,0.036,4160,K40
63,10,13.263,2.5,5,11.5,0.1,10.0,135,C11
63,22,6.029,1.2,6.3,11.5,0.1,4.8,225,D11
63,27,4.912,1.2,6.3,11.5,0.1,4.8,225,D11
63,33,4.019,1.2,6.3,11.5,0.1,4.8,225,D11
63,47,2.822,0.6,8,12,0.1,1.8,380,E12
63,56,2.368,0.6,8,12,0.1,1.8,380,E12
63,82,1.617,0.3,8,20,0.1,0.9,682,E20
63,100,1.326,0.32,10,16,0.1,0.64,620,F16
63,150,0.884,0.25,10,20,0.1,0.5,800,F20
63,180,0.737,0.18,10,25,0.1,0.36,960,F25
63,220,0.603,0.075,12.5,20,0.1,0.15,1340,G20
63,330,0.402,0.065,12.5,25,0.1,0.13,1730,G25
63,470,0.282,0.055,12.5,30,0.1,0.11,2110,G30
63,470,0.282,0.052,16,25,0.1,0.104,2180,J25
63,470,0.282,0.058,18,20,0.1,0.116,2290,K20
63,560,0.237,0.052,16,25,0.1,0.104,2180,J25
63,560,0.237,0.058,18,20,0.1,0.116,2290,K20
63,680,0.195,0.042,16,31.5,0.1,0.084,2710,J31
63,680,0.195,0.05,18,25,0.1,0.1,2610,K25
63,820,0.162,0.042,16,31.5,0.1,0.084,2710,J31
63,820,0.162,0.05,18,25,0.1,0.1,2610,K25
63,1000,0.133,0.036,16,35.5,0.1,0.072,2820,J35
63,1000,0.133,0.042,18,31.5,0.1,0.084,3080,K31
63,1500,0.088,0.035,18,35.5,0.1,0.07,3530,K35
63,1800,0.074,0.032,18,40,0.1,0.064,3880,K40
80,10,10.61,2.5,5,11.5,0.08,10.0,135,C11
80,22,4.823,0.6,8,12,0.08,1.8,380,E12
80,33,3.215,0.6,8,12,0.08,1.8,380,E12
80,47,2.258,0.45,8,15,0.08,1.4,470,E15
80,56,1.895,0.47,10,12.5,0.08,0.94,480,F12
80,82,1.294,0.32,10,16,0.08,0.64,620,F16
80,100,1.061,0.25,10,20,0.08,0.5,800,F20
80,150,0.707,0.075,12.5,20,0.08,0.15,1340,G20
80,220,0.482,0.065,12.5,25,0.08,0.13,1730,G25
80,330,0.322,0.055,12.5,30,0.08,0.11,2110,G30
80,470,0.226,0.042,16,31.5,0.08,0.084,2710,J31
80,470,0.226,0.05,18,25,0.08,0.1,2610,K25
80,560,0.189,0.042,16,31.5,0.08,0.084,2710,J31
80,560,0.189,0.05,18,25,0.08,0.1,2610,K25
80,680,0.156,0.036,16,35.5,0.08,0.072,2820,J35
80,680,0.156,0.042,18,31.5,0.08,0.084,3080,K31
80,820,0.129,0.032,16,40,0.08,0.064,3140,J40
80,820,0.129,0.035,18,35.5,0.08,0.07,3530,K35
80,1000,0.106,0.032,18,40,0.08,0.064,3880,K40
100,10,10.61,1.7,6.3,11.5,0.08,6.8,186,D11
100,22,4.823,0.7,8,12,0.08,2.1,315,E12
100,33,3.215,0.51,8,15,0.08,1.53,423,E15
100,47,2.258,0.54,10,12.5,0.08,1.08,392,F12
100,56,1.895,0.37,10,16,0.08,0.74,520,F16
100,82,1.294,0.29,10,20,0.08,0.58,640,F20
100,100,1.061,0.2,10,25,0.08,0.4,820,F25
100,150,0.707,0.11,12.5,25,0.08,0.22,1200,G25
100,220,0.482,0.09,12.5,30,0.08,0.18,1450,G30
100,330,0.322,0.079,16,25,0.08,0.16,1650,J25
100,470,0.226,0.052,16,35.5,0.08,0.104,2340,J35
100,470,0.226,0.054,18,31.5,0.08,0.108,2350,K31
100,560,0.189,0.045,16,40,0.08,0.09,2650,J40
100,560,0.189,0.044,18,35.5,0.08,0.088,2730,K35
100,680,0.156,0.045,16,40,0.08,0.09,2650,J40
100,680,0.156,0.044,18,35.5,0.08,0.088,2730,K35
100,820,0.129,0.039,18,40,0.08,0.078,3050,K40
