Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Size Code,VC
50,100,0.392,0.332,0.074,8,12,0.1,1.326,0.22,724,666.08,362,528.52,E12,5000
50,120,0.326,0.276,0.061,8,15,0.1,1.105,0.18,950,874,475,693.5,E15,6000
50,150,0.261,0.221,0.061,10,12.5,0.1,0.884,0.18,1250,1150,625,912.5,F12,7500
50,180,0.218,0.184,0.046,8,20,0.1,0.737,0.14,1190,1094.8,595,868.7,E20,9000
50,220,0.178,0.151,0.042,10,16,0.1,0.603,0.12,1650,1518,825,1204.5,F16,11000
50,270,0.145,0.123,0.03,10,20,0.1,0.491,0.09,2060,1895.2,1030,1503.8,F20,13500
50,330,0.137,0.121,0.028,10,25,0.1,0.402,0.084,2420,2273.74,1329.67,1861.54,F25,16500
50,470,0.097,0.085,0.027,12.5,20,0.1,0.282,0.068,2300,2160.99,1263.74,1769.23,G20,23500
50,560,0.081,0.072,0.023,12.5,25,0.1,0.237,0.059,2800,2630.77,1538.46,2153.85,G25,28000
50,680,0.067,0.059,0.021,12.5,30,0.1,0.195,0.052,3500,3288.46,1923.08,2692.31,G30,34000
50,820,0.063,0.058,0.019,12.5,35,0.1,0.162,0.051,3810,3650.3,2281.44,3034.31,G35,41000
50,820,0.063,0.058,0.023,16,20,0.1,0.162,0.059,3070,2941.32,1838.32,2444.97,J20,41000
50,1000,0.062,0.057,0.021,16,25,0.1,0.159,0.056,3270,3132.93,1958.08,2604.25,J25,50000
50,1500,0.041,0.038,0.015,16,20,0.1,0.106,0.038,3575,3425.15,2140.72,2847.16,J20,75000
50,2200,0.043,0.041,0.015,16,20,0.1,0.084,0.038,3575,3500,2500,3025,J20,110000
