Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
16,2700,0.061,0.056,0.025,12.5,30,0.16,0.098,0.05,ELXZ160E□□272MK30S,2310,2205.79,1736.84,2084.21,43200
16,2700,0.061,0.056,0.029,16,20,0.16,0.098,0.058,ELXZ160E□□272ML20S,2210,2110.3,1661.65,1993.98,43200
16,3300,0.055,0.05,0.022,12.5,35,0.16,0.088,0.044,ELXZ160E□□332MK35S,2510,2396.77,1887.22,2264.66,52800
16,3900,0.046,0.042,0.017,12.5,40,0.16,0.075,0.034,ELXZ160E□□392MK40S,2870,2740.53,2157.89,2589.47,62400
16,3900,0.046,0.042,0.022,16,25,0.16,0.075,0.044,ELXZ160E□□392ML25S,2560,2444.51,1924.81,2309.77,62400
16,3900,0.046,0.042,0.028,18,20,0.16,0.075,0.056,ELXZ160E□□392MM20S,2490,2377.67,1872.18,2246.62,62400
16,4700,0.051,0.049,0.019,16,30,0.16,0.068,0.038,ELXZ160E□□472ML30S,3010,2933.47,2550.85,2856.95,75200
16,4700,0.051,0.049,0.02,18,25,0.16,0.068,0.04,ELXZ160E□□472MM25S,2740,2670.34,2322.03,2600.68,75200
16,5600,0.047,0.044,0.017,16,35,0.16,0.062,0.034,ELXZ160E□□562ML35S,3150,3069.92,2669.49,2989.83,89600
16,5600,0.047,0.044,0.018,18,30,0.16,0.062,0.036,ELXZ160E□□562MM30S,3330,3245.34,2822.03,3160.68,89600
16,6800,0.041,0.039,0.015,16,40,0.16,0.055,0.03,ELXZ160E□□682ML40S,3710,3615.68,3144.07,3521.36,108800
16,8200,0.039,0.037,0.016,18,35,0.16,0.052,0.032,ELXZ160E□□822MM35S,3680,3586.44,3118.64,3492.88,131200
16,10000,0.036,0.034,0.015,18,40,0.16,0.048,0.03,ELXZ160E□□103MM40S,3800,3703.39,3220.34,3606.78,160000
25,47,0.78,0.632,0.5,5,11.5,0.14,3.951,1,ELXZ250E□□470MEB5D,175,157.5,70,131.6,1175
25,100,0.367,0.297,0.25,6.3,11.5,0.14,1.857,0.5,ELXZ250E□□101MFB5D,290,261,116,218.08,2500
25,150,0.245,0.198,0.18,6.3,15,0.14,1.238,0.36,ELXZ250E□□151MF15D,400,360,160,300.8,3750
25,220,0.239,0.211,0.12,8,12,0.14,0.844,0.24,ELXZ250E□□221MH12D,555,521.7,277.5,471.75,5500
25,330,0.159,0.141,0.09,8,15,0.14,0.563,0.18,ELXZ250E□□331MH15D,730,686.2,365,620.5,8250
25,330,0.159,0.141,0.09,10,12.5,0.14,0.563,0.18,ELXZ250E□□331MJC5S,760,714.4,380,646,8250
