Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESL,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
2.5,820,0.007,6.3,8,-55,105,0.1,2.0,5000,512,3200,RS80E821MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,820,0.007,6.3,8,-55,105,0.1,2.0,2000,512,3200,RS80E821MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,820,0.007,6.3,8,-55,105,0.1,2.0,5000,512,3200,RS80E821MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,1200,0.007,6.3,8,-55,105,0.1,2.0,2000,750,3200,RS80E122MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
2.5,1200,0.007,6.3,8,-55,105,0.1,2.0,2000,750,3200,RS80E122MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5600,MP,Normal,0.52
4,560,0.007,6.3,8,-55,105,0.1,2.0,2000,560,3200,RS80G561MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
4,560,0.007,6.3,8,-55,105,0.1,2.0,5000,560,3200,RS80G561MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
4,560,0.007,6.3,8,-55,105,0.1,2.0,2000,560,3200,RS80G561MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
4,560,0.007,6.3,8,-55,105,0.1,2.0,5000,560,3200,RS80G561MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,330,0.008,6.3,8,-55,105,0.1,2.0,2000,519,3200,RS80J331MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,330,0.008,6.3,8,-55,105,0.1,2.0,5000,519,3200,RS80J331MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,330,0.008,6.3,8,-55,105,0.1,2.0,2000,519,3200,RS80J331MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,330,0.008,6.3,8,-55,105,0.1,2.0,5000,519,3200,RS80J331MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,470,0.008,6.3,8,-55,105,0.1,2.0,2000,740,3200,RS80J471MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,470,0.008,6.3,8,-55,105,0.1,2.0,5000,740,3200,RS80J471MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,470,0.008,6.3,8,-55,105,0.1,2.0,2000,740,3200,RS80J471MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,470,0.008,6.3,8,-55,105,0.1,2.0,5000,740,3200,RS80J471MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,560,0.008,6.3,8,-55,105,0.1,2.0,2000,882,3200,RS80J561MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,560,0.008,6.3,8,-55,105,0.1,2.0,5000,882,3200,RS80J561MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,560,0.008,6.3,8,-55,105,0.1,2.0,2000,882,3200,RS80J561MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,560,0.008,6.3,8,-55,105,0.1,2.0,5000,882,3200,RS80J561MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),5000,MP,Normal,0.52
6.3,680,0.008,6.3,8,-55,105,0.1,2.0,2000,1071,3200,RS80J681MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4700,MP,Normal,0.52
6.3,680,0.008,6.3,8,-55,105,0.1,2.0,2000,1071,3200,RS80J681MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4700,MP,Normal,0.52
6.3,820,0.008,6.3,8,-55,105,0.1,2.0,2000,1291,3200,RS80J821MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4700,MP,Normal,0.52
6.3,820,0.008,6.3,8,-55,105,0.1,2.0,2000,1291,3200,RS80J821MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4700,MP,Normal,0.52
16,100,0.014,6.3,8,-55,105,0.1,2.0,2000,500,3200,RS81C101MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3800,MP,Normal,0.52
16,100,0.014,6.3,8,-55,105,0.1,2.0,5000,500,3200,RS81C101MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3800,MP,Normal,0.52
16,100,0.014,6.3,8,-55,105,0.1,2.0,2000,500,3200,RS81C101MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3800,MP,Normal,0.52
16,100,0.014,6.3,8,-55,105,0.1,2.0,5000,500,3200,RS81C101MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3800,MP,Normal,0.52
16,270,0.015,6.3,8,-55,105,0.1,2.0,2000,1296,3200,RS81C271MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3800,MP,Normal,0.52
16,270,0.015,6.3,8,-55,105,0.1,2.0,5000,1296,3200,RS81C271MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3800,MP,Normal,0.52
16,270,0.015,6.3,8,-55,105,0.1,2.0,2000,1296,3200,RS81C271MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3800,MP,Normal,0.52
16,270,0.015,6.3,8,-55,105,0.1,2.0,5000,1296,3200,RS81C271MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3800,MP,Normal,0.52
16,330,0.012,6.3,8,-55,105,0.1,2.0,2000,1584,3200,RS81C331MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4680,MP,Normal,0.52
16,330,0.012,6.3,8,-55,105,0.1,2.0,5000,1584,3200,RS81C331MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4680,MP,Normal,0.52
16,330,0.012,6.3,8,-55,105,0.1,2.0,2000,1584,3200,RS81C331MDN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4680,MP,Normal,0.52
16,330,0.012,6.3,8,-55,105,0.1,2.0,5000,1584,3200,RS81C331MDNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),4680,MP,Normal,0.52
25,56,0.018,6.3,8,-55,105,0.1,2.0,2000,500,3200,RS81E560MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3500,MP,Normal,0.52
25,56,0.018,6.3,8,-55,105,0.1,2.0,5000,500,3200,RS81E560MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3500,MP,Normal,0.52
25,68,0.018,6.3,8,-55,105,0.1,2.0,2000,510,3200,RS81E680MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3500,MP,Normal,0.52
25,68,0.018,6.3,8,-55,105,0.1,2.0,5000,510,3200,RS81E680MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3500,MP,Normal,0.52
25,82,0.018,6.3,8,-55,105,0.1,2.0,2000,615,3200,RS81E820MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3500,MP,Normal,0.52
25,82,0.018,6.3,8,-55,105,0.1,2.0,5000,615,3200,RS81E820MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3500,MP,Normal,0.52
25,100,0.018,6.3,8,-55,105,0.1,2.0,2000,750,3200,RS81E101MCN1,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3500,MP,Normal,0.52
25,100,0.018,6.3,8,-55,105,0.1,2.0,5000,750,3200,RS81E101MCNASQ,Uni-Polar,Radial Lead,Lo-ESR/ESL and Lo-Profile (φ5),3500,MP,Normal,0.52
