Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Leakage Current,Part Number,Ripple Current,Surge Voltage
10,470,53.616,8,11,19,47.0,ESW477M010AG3(1),640,13
10,680,37.058,8,15,19,68.0,ESW687M010AG4(1),840,13
10,820,30.731,10,12.5,19,82.0,ESW827M010AH9(1),865,13
10,1000,25.2,8,20,19,100.0,ESW108M010AG6(1),1050,13
10,1000,25.2,10,16,19,100.0,ESW108M010AH8(1),1210,13
10,1200,21,10,20,19,120.0,ESW128M010AH4(1),1400,13
10,1500,16.8,10,25,19,150.0,ESW158M010AH5(1),1650,13
10,1500,16.8,13,16,19,150.0,ESW158M010AL2(1),1450,13
10,2200,11.454,10,30,19,220.0,ESW228M010AH6(1),1910,13
10,2200,11.454,13,20,19,220.0,ESW228M010AL3(1),1900,13
10,2200,11.454,16,16,19,220.0,ESW228M010AM8(1),1940,13
10,2700,9.333,18,16,19,270.0,ESW278M010AN6(1),2210,13
10,3300,7.636,10,30,19,330.0,ESW338M010AH6(1),1910,13
10,3300,7.636,13,25,19,330.0,ESW338M010AL4(1),2230,13
10,3900,6.461,13,30,19,390.0,ESW398M010AL8(1),2650,13
10,3900,6.461,16,20,19,390.0,ESW398M010AM5(1),2530,13
10,4700,5.362,13,35,19,470.0,ESW478M010AL6(1),2880,13
10,5600,4.5,13,40,19,560.0,ESW568M010AL7(1),3350,13
10,5600,4.5,16,25,19,560.0,ESW568M010AM7(1),2930,13
10,5600,4.5,18,20,19,560.0,ESW568M010AN4(1),2860,13
10,6800,3.706,16,32,19,680.0,ESW688M010AM2(1),2450,13
10,6800,3.706,18,25,19,680.0,ESW688M010AN5(1),3140,13
10,8200,3.073,16,36,19,820.0,ESW828M010AM3(1),3610,13
10,8200,3.073,18,32,19,820.0,ESW828M010AN1(1),4170,13
10,10000,2.52,16,40,19,1000.0,ESW109M010AM4(1),4080,13
10,10000,2.52,18,36,19,1000.0,ESW109M010AN2(1),4220,13
10,15000,1.68,18,40,19,1500.0,ESW159M010AN3(1),4280,13
16,56,378.941,5,11,16,9.0,ESW566M016AC3(1),210,20
16,100,212.207,6.3,11,16,16.0,ESW107M016AE3(1),250,20
16,120,176.839,6.3,11,16,19.2,ESW127M016AE3(1),340,20
16,220,96.458,6.3,11,16,35.2,ESW227M016AE3(1),469,20
16,220,96.458,8,11,16,35.2,ESW227M016AG3(1),582,20
16,330,64.305,8,11,16,52.8,ESW337M016AG3(1),640,20
16,470,45.15,8,15,16,75.2,ESW477M016AG4(1),840,20
16,470,45.15,8,20,16,75.2,ESW477M016AG6(1),950,20
16,470,45.15,10,12.5,16,75.2,ESW477M016AH9(1),865,20
16,470,45.15,10,16,16,75.2,ESW477M016AH8(1),1210,20
16,680,31.207,8,20,16,108.8,ESW687M016AG6(1),1050,20
16,680,31.207,10,16,16,108.8,ESW687M016AH8(1),1210,20
16,1000,21.221,8,20,16,160.0,ESW108M016AG6(1),1050,20
16,1000,21.221,10,16,16,160.0,ESW108M016AH8(1),1210,20
16,1000,21.221,10,20,16,160.0,ESW108M016AH4(1),1400,20
16,1000,21.221,13,16,16,160.0,ESW108M016AL2(1),1450,20
16,1200,17.684,10,25,16,192.0,ESW128M016AH5(1),1650,20
16,1500,14.147,10,30,16,240.0,ESW158M016AH6(1),1910,20
16,1500,14.147,13,20,16,240.0,ESW158M016AL3(1),1900,20
16,1500,14.147,16,16,16,240.0,ESW158M016AM8(1),1940,20
16,2200,9.646,13,25,16,352.0,ESW228M016AL4(1),2230,20
16,2200,9.646,18,16,16,352.0,ESW228M016AN6(1),2210,20
16,2700,7.86,13,30,16,432.0,ESW278M016AL8(1),2650,20
16,2700,7.86,16,20,16,432.0,ESW278M016AM5(1),2530,20
16,3300,6.431,13,35,16,528.0,ESW338M016AL6(1),2880,20
16,3900,5.441,13,40,16,624.0,ESW398M016AL7(1),3350,20
16,3900,5.441,16,25,16,624.0,ESW398M016AM7(1),2930,20
16,3900,5.441,18,20,16,624.0,ESW398M016AN4(1),2860,20
16,4700,4.515,16,32,16,752.0,ESW478M016AM2(1),3450,20
16,4700,4.515,18,25,16,752.0,ESW478M016AN5(1),3140,20
16,5600,3.789,16,36,16,896.0,ESW568M016AM3(1),3610,20
16,5600,3.789,18,32,16,896.0,ESW568M016AN1(1),4170,20
16,6800,3.121,16,40,16,1088.0,ESW688M016AM4(1),4080,20
16,8200,2.588,18,36,16,1312.0,ESW828M016AN2(1),4220,20
16,10000,2.122,18,40,16,1600.0,ESW109M016AN3(1),4280,20
25,47,395.066,5,11,14,11.8,ESW476M025AC3(1),210,32
25,100,185.681,6.3,11,14,25.0,ESW107M025AE3(1),340,32
25,150,123.787,8,11,14,37.5,ESW157M025AG3(1),640,32
25,220,84.4,8,11,14,55.0,ESW227M025AG3(1),640,32
25,330,56.267,8,15,14,82.5,ESW337M025AG4(1),840,32
25,330,56.267,10,12.5,14,82.5,ESW337M025AH9(1),865,32
25,470,39.507,8,20,14,117.5,ESW477M025AG6(1),1050,32
25,470,39.507,10,12.5,14,117.5,ESW477M025AH9(1),1050,32
25,470,39.507,10,16,14,117.5,ESW477M025AH8(1),1210,32
25,680,27.306,10,20,14,170.0,ESW687M025AH4(1),1400,32
25,680,27.306,13,16,14,170.0,ESW687M025AL2(1),1450,32
25,820,22.644,10,25,14,205.0,ESW827M025AH5(1),1650,32
25,1000,18.568,10,30,14,250.0,ESW108M025AH6(1),1910,32
25,1000,18.568,13,20,14,250.0,ESW108M025AL3(1),1900,32
25,1000,18.568,16,16,14,250.0,ESW108M025AM8(1),1940,32
25,1200,15.473,18,16,14,300.0,ESW128M025AN6(1),2210,32
25,1500,12.379,13,20,14,375.0,ESW158M025AL3(1),1900,32
25,1500,12.379,13,25,14,375.0,ESW158M025AL4(1),2230,32
25,1800,10.316,13,30,14,450.0,ESW188M025AL8(1),2650,32
25,1800,10.316,16,20,14,450.0,ESW188M025AM5(1),2530,32
25,2200,8.44,13,35,14,550.0,ESW228M025AL6(1),2880,32
25,2200,8.44,18,20,14,550.0,ESW228M025AN4(1),2860,32
25,2700,6.877,13,40,14,675.0,ESW278M025AL7(1),3350,32
25,2700,6.877,16,25,14,675.0,ESW278M025AM7(1),2930,32
25,3300,5.627,16,32,14,825.0,ESW338M025AM2(1),3450,32
25,3300,5.627,18,25,14,825.0,ESW338M025AN5(1),3140,32
25,3900,4.761,18,32,14,975.0,ESW398M025AN1(1),4170,32
25,4700,3.951,18,36,14,1175.0,ESW478M025AN2(1),4220,32
25,6800,2.731,18,40,14,1700.0,ESW688M025AN3(1),4280,32
35,4.7,3386.278,5,11,12,3.0,ESW475M035AC3(1),95,44
35,10,1591.551,5,11,12,3.5,ESW106M035AC3(1),130,44
35,33,482.288,5,11,12,11.6,ESW336M035AC3(1),210,44
35,47,338.628,6.3,11,12,16.5,ESW476M035AE3(1),275,44
35,56,284.205,6.3,11,12,19.6,ESW566M035AE3(1),340,44
35,68,234.052,6.3,15,12,23.8,ESW686M035AE4(1),500,44
35,82,194.092,6.3,15,12,28.7,ESW826M035AE4(1),540,44
35,100,159.155,8,11,12,35.0,ESW107M035AG3(1),580,44
35,150,106.103,8,11,12,52.5,ESW157M035AG3(1),640,44
35,220,72.343,8,15,12,77.0,ESW227M035AG4(1),840,44
35,220,72.343,10,12.5,12,77.0,ESW227M035AH9(1),865,44
35,270,58.946,8,20,12,94.5,ESW277M035AG6(1),1050,44
35,330,48.229,10,16,12,115.5,ESW337M035AH8(1),1210,44
35,330,48.229,10,20,12,115.5,ESW337M035AH4(1),1400,44
35,470,33.863,10,20,12,164.5,ESW477M035AH4(1),1400,44
35,470,33.863,13,16,12,164.5,ESW477M035AL2(1),1450,44
35,560,28.421,10,25,12,196.0,ESW567M035AH5(1),1650,44
35,680,23.405,10,30,12,238.0,ESW687M035AH6(1),1910,44
35,680,23.405,13,20,12,238.0,ESW687M035AL3(1),1900,44
35,680,23.405,16,16,12,238.0,ESW687M035AM8(1),1940,44
35,820,19.409,13,20,12,287.0,ESW827M035AL3(1),1900,44
35,1000,15.916,13,25,12,350.0,ESW108M035AL4(1),2230,44
35,1000,15.916,18,16,12,350.0,ESW108M035AN6(1),2210,44
35,1200,13.263,13,30,12,420.0,ESW128M035AL8(1),2650,44
35,1200,13.263,16,20,12,420.0,ESW128M035AM5(1),2530,44
35,1500,10.61,13,35,12,525.0,ESW158M035AL6(1),2880,44
35,1800,8.842,13,40,12,630.0,ESW188M035AL7(1),3350,44
35,1800,8.842,16,25,12,630.0,ESW188M035AM7(1),2930,44
35,1800,8.842,18,20,12,630.0,ESW188M035AN4(1),2860,44
35,2200,7.234,16,32,12,770.0,ESW228M035AM2(1),3450,44
35,2200,7.234,18,25,12,770.0,ESW228M035AN5(1),3140,44
35,2700,5.895,16,36,12,945.0,ESW278M035AM3(1),3610,44
35,2700,5.895,18,32,12,945.0,ESW278M035AN1(1),4170,44
35,3300,4.823,16,40,12,1155.0,ESW338M035AM4(1),4080,44
35,3300,4.823,18,36,12,1155.0,ESW338M035AN2(1),4220,44
35,4700,3.386,18,40,12,1645.0,ESW478M035AN3(1),4280,44
50,2.2,6028.601,5,11,10,3.0,ESW225M050AC3(1),85,63
50,4.7,2821.899,5,11,10,3.0,ESW475M050AC3(1),100,63
50,10,1326.292,5,11,10,5.0,ESW106M050AC3(1),135,63
50,22,602.86,5,11,10,11.0,ESW226M050AC3(1),180,63
50,33,401.907,6.3,11,10,16.5,ESW336M050AE3(1),245,63
50,47,282.19,6.3,11,10,23.5,ESW476M050AE3(1),300,63
50,56,236.838,6.3,15,10,28.0,ESW566M050AE4(1),295,63
50,100,132.629,8,11,10,50.0,ESW107M050AG3(1),555,63
50,120,110.524,8,15,10,60.0,ESW127M050AG4(1),730,63
50,150,88.419,10,12.5,10,75.0,ESW157M050AH9(1),760,63
50,180,73.683,8,20,10,90.0,ESW187M050AG6(1),910,63
50,220,60.286,10,16,10,110.0,ESW227M050AH8(1),1050,63
50,270,49.122,10,20,10,135.0,ESW277M050AH4(1),1220,63
50,270,49.122,13,16,10,135.0,ESW277M050AL2(1),1260,63
50,330,40.191,10,20,10,165.0,ESW337M050AH4(1),1400,63
50,330,40.191,10,25,10,165.0,ESW337M050AH5(1),1440,63
50,470,28.219,10,30,10,235.0,ESW477M050AH6(1),1690,63
50,470,28.219,13,20,10,235.0,ESW477M050AL3(1),1660,63
50,470,28.219,16,16,10,235.0,ESW477M050AM8(1),1690,63
50,560,23.684,13,25,10,280.0,ESW567M050AL4(1),1950,63
50,560,23.684,18,16,10,280.0,ESW567M050AN6(1),1930,63
50,680,19.504,13,30,10,340.0,ESW687M050AL8(1),2310,63
50,820,16.174,13,35,10,410.0,ESW827M050AL6(1),2510,63
50,820,16.174,16,20,10,410.0,ESW827M050AM5(1),2210,63
50,1000,13.263,13,40,10,500.0,ESW108M050AL7(1),2920,63
50,1000,13.263,16,25,10,500.0,ESW108M050AM7(1),2555,63
50,1000,13.263,18,20,10,500.0,ESW108M050AN4(1),2490,63
50,1200,11.052,16,32,10,600.0,ESW128M050AM2(1),3010,63
50,1200,11.052,18,25,10,600.0,ESW128M050AN5(1),2740,63
50,1500,8.842,16,36,10,750.0,ESW158M050AM3(1),3150,63
50,1800,7.368,16,40,10,900.0,ESW188M050AM4(1),3710,63
50,1800,7.368,18,32,10,900.0,ESW188M050AN1(1),3635,63
50,2200,6.029,18,36,10,1100.0,ESW228M050AN2(1),3680,63
63,15,795.775,5,11,9,9.5,ESW156M063AC3(1),55,79
63,33,361.716,6.3,11,9,20.8,ESW336M063AE3(1),115,79
63,56,213.154,8,12,9,35.3,ESW566M063AG9(1),232,79
63,82,145.569,8,15,9,51.7,ESW826M063AG4(1),300,79
63,82,145.569,10,12.5,9,51.7,ESW826M063AH9(1),288,79
63,120,99.472,8,20,9,75.6,ESW127M063AG6(1),362,79
63,120,99.472,10,16,9,75.6,ESW127M063AH8(1),357,79
63,180,66.315,10,20,9,113.4,ESW187M063AH4(1),466,79
63,180,66.315,13,16,9,113.4,ESW187M063AL2(1),466,79
63,220,54.257,10,25,9,138.6,ESW227M063AH5(1),531,79
63,270,44.21,10,30,9,170.1,ESW277M063AH6(1),663,79
63,270,44.21,13,20,9,170.1,ESW277M063AL3(1),690,79
63,270,44.21,16,16,9,170.1,ESW277M063AM8(1),795,79
63,330,36.172,13,25,9,207.9,ESW337M063AL4(1),784,79
63,390,30.607,18,16,9,245.7,ESW397M063AN6(1),920,79
63,470,25.397,13,30,9,296.1,ESW477M063AL8(1),905,79
63,470,25.397,16,20,9,296.1,ESW477M063AM5(1),1040,79
63,560,21.315,13,35,9,352.8,ESW567M063AL6(1),1050,79
63,560,21.315,16,25,9,352.8,ESW567M063AM7(1),1250,79
63,680,17.554,13,40,9,428.4,ESW687M063AL7(1),1180,79
63,680,17.554,18,20,9,428.4,ESW687M063AN4(1),1240,79
63,820,14.557,16,32,9,516.6,ESW827M063AM2(1),1570,79
63,820,14.557,18,25,9,516.6,ESW827M063AN5(1),1490,79
63,1000,11.937,16,36,9,630.0,ESW108M063AM3(1),1790,79
63,1000,11.937,18,32,9,630.0,ESW108M063AN1(1),1630,79
63,1200,9.947,18,32,9,756.0,ESW128M063AN1(1),2020,79
100,6.8,1560.344,5,11,8,6.8,ESW685M100AC3(1),55,125
100,15,707.356,6.3,11,8,15.0,ESW156M100AE3(1),115,125
100,27,392.976,8,12,8,27.0,ESW276M100AG9(1),232,125
100,39,272.06,8,15,8,39.0,ESW396M100AG4(1),300,125
100,47,225.752,10,12.5,8,47.0,ESW476M100AH9(1),288,125
100,56,189.47,8,20,8,56.0,ESW566M100AG6(1),362,125
100,68,156.034,10,16,8,68.0,ESW686M100AH8(1),357,125
100,82,129.394,10,20,8,82.0,ESW826M100AH4(1),466,125
100,82,129.394,13,16,8,82.0,ESW826M100AL2(1),466,125
100,100,106.103,10,25,8,100.0,ESW107M100AH5(1),531,125
100,120,88.419,10,30,8,120.0,ESW127M100AH6(1),663,125
100,120,88.419,13,20,8,120.0,ESW127M100AL3(1),690,125
100,150,70.736,16,16,8,150.0,ESW157M100AM8(1),795,125
100,180,58.946,13,25,8,180.0,ESW187M100AL4(1),784,125
100,180,58.946,18,16,8,180.0,ESW187M100AN6(1),920,125
100,220,48.229,13,30,8,220.0,ESW227M100AL8(1),905,125
100,220,48.229,16,20,8,220.0,ESW227M100AM5(1),1040,125
100,270,39.298,13,35,8,270.0,ESW277M100AL6(1),1050,125
100,270,39.298,16,25,8,270.0,ESW277M100AM7(1),1250,125
100,330,32.153,13,40,8,330.0,ESW337M100AL7(1),1180,125
100,330,32.153,18,20,8,330.0,ESW337M100AN4(1),1240,125
100,390,27.206,16,32,8,390.0,ESW397M100AM2(1),1570,125
100,390,27.206,18,25,8,390.0,ESW397M100AN5(1),1490,125
100,470,22.575,16,36,8,470.0,ESW477M100AM3(1),1790,125
100,470,22.575,18,32,8,470.0,ESW477M100AN1(1),1630,125
100,560,18.947,16,40,8,560.0,ESW567M100AM4(1),2020,125
100,680,15.603,18,36,8,680.0,ESW687M100AN2(1),1790,125
100,820,12.939,18,40,8,820.0,ESW827M100AN3(1),2330,125
