Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 150°C@100kHz,Ripple Current 150°C@10kHz,Ripple Current 150°C@120Hz,Ripple Current 150°C@1kHz,Ripple Current 150°C@300Hz,Ripple Current 150°C@50Hz,Status,V,VC,Vibration resistant,Weight (g)
80,68,,,10,20,-55,150,0.08,1.56,1000,163,1400,UBX1K680MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,690,,,,,,EOL,,5440,Normal,2.34
80,100,,,12.5,20,-55,150,0.08,1.061,1000,240,1000,UBX1K101MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,820,,,,,,MP,,8000,Normal,3.43
80,220,,,16,25,-55,150,0.08,0.482,2000,528,400,UBX1K221MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1250,,,,,,MP,,17600,Normal,8.2
80,330,,,16,30.5,-55,150,0.08,0.322,2000,792,300,UBX1K331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1480,,,,,,MP,,26400,Normal,9.6
80,470,,,18,30.5,-55,150,0.08,0.226,2000,1128,300,UBX1K471MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1530,,,,,,MP,,37600,Normal,13.1
100,22,,,10,12.5,-55,150,0.08,4.823,1000,66,2000,UBX2A220MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,390,,,,,,EOL,,2200,Normal,1.49
100,33,,,10,16,-55,150,0.08,3.215,1000,99,1800,UBX2A330MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,510,,,,,,EOL,,3300,Normal,1.77
100,47,,,10,20,-55,150,0.08,2.258,1000,141,1400,UBX2A470MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,640,,,,,,EOL,,4700,Normal,2.34
100,56,,,10,20,-55,150,0.08,1.895,1000,168,1400,UBX2A560MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,640,,,,,,EOL,,5600,Normal,2.34
100,68,,,12.5,20,-55,150,0.08,1.56,1000,204,1000,UBX2A680MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,760,,,,,,MP,,6800,Normal,3.43
100,100,,,12.5,25,-55,150,0.08,1.061,1000,300,800,UBX2A101MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,950,,,,,,MP,,10000,Normal,4.56
100,220,,,16,30.5,-55,150,0.08,0.482,2000,660,300,UBX2A221MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1380,,,,,,MP,,22000,Normal,9.6
100,330,,,18,30.5,-55,150,0.08,0.322,2000,990,300,UBX2A331MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,1430,,,,,,MP,,33000,Normal,13.1
160,10,,,10,12.5,-40,150,0.2,26.526,1000,164,2000,UBX2C100MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,110,,,,,,EOL,,1600,Normal,1.49
160,15,,,10,12.5,-40,150,0.2,17.684,1000,196,2000,UBX2C150MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,110,,,,,,EOL,,2400,Normal,1.49
160,22,,,10,16,-40,150,0.2,12.057,1000,241,1800,UBX2C220MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,160,,,,,,EOL,,3520,Normal,1.77
160,33,,,12.5,20,-40,150,0.2,8.038,1000,311,1000,UBX2C330MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,230,,,,,,MP,,5280,Normal,3.43
160,47,,,12.5,20,-40,150,0.2,5.644,1000,401,1000,UBX2C470MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,250,,,,,,MP,,7520,Normal,3.43
160,56,,,12.5,25,-40,150,0.2,4.737,1000,458,800,UBX2C560MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,270,,,,,,MP,,8960,Normal,4.56
160,68,,,16,20,-40,150,0.2,3.901,2000,535,600,UBX2C680MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,290,,,,,,MP,,10880,Normal,6.6
160,100,,,16,25,-40,150,0.2,2.653,2000,740,400,UBX2C101MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,300,,,,,,MP,,16000,Normal,8.2
200,6.8,,,10,12.5,-40,150,0.2,39.009,1000,154,2000,UBX2D6R8MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,83,,,,,,EOL,,1360,Normal,1.49
200,10,,,10,12.5,-40,150,0.2,26.526,1000,180,2000,UBX2D100MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,83,,,,,,EOL,,2000,Normal,1.49
200,15,,,10,16,-40,150,0.2,17.684,1000,220,1800,UBX2D150MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,130,,,,,,EOL,,3000,Normal,1.77
200,22,,,10,20,-40,150,0.2,12.057,1000,276,1400,UBX2D220MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,170,,,,,,EOL,,4400,Normal,2.34
200,33,,,12.5,20,-40,150,0.2,8.038,1000,364,1000,UBX2D330MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,210,,,,,,MP,,6600,Normal,3.43
200,47,,,12.5,25,-40,150,0.2,5.644,1000,476,800,UBX2D470MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,250,,,,,,MP,,9400,Normal,4.56
200,56,,,16,20,-40,150,0.2,4.737,2000,548,600,UBX2D560MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,270,,,,,,MP,,11200,Normal,6.6
200,68,,,16,25,-40,150,0.2,3.901,2000,644,400,UBX2D680MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,290,,,,,,MP,,13600,Normal,8.2
350,4.7,,,10,16,-25,150,0.24,67.726,1000,166,1800,UBX2V4R7MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,77,,,,,,EOL,,1645,Normal,1.77
350,6.8,,,10,20,-25,150,0.24,46.81,1000,195,1400,UBX2V6R8MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,110,,,,,,EOL,,2380,Normal,2.34
350,10,,,12.5,20,-25,150,0.24,31.831,1000,240,1000,UBX2V100MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,120,,,,,,MP,,3500,Normal,3.43
350,15,,,12.5,25,-25,150,0.24,21.221,1000,310,800,UBX2V150MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,130,,,,,,MP,,5250,Normal,4.56
400,4.7,,,10,20,-25,150,0.24,67.726,1000,175,1400,UBX2G4R7MPL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,83,,,,,,EOL,,1880,Normal,2.34
400,6.8,,,12.5,20,-25,150,0.24,46.81,1000,209,1000,UBX2G6R8MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,88,,,,,,MP,,2720,Normal,3.43
400,10,,,12.5,25,-25,150,0.24,31.831,1000,260,800,UBX2G100MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,105,,,,,,MP,,4000,Normal,4.56
400,15,,,12.5,25,-25,150,0.24,21.221,1000,340,800,UBX2G150MHL,Uni-Polar,Radial Lead,Hi-Temp.(150degC) For Automotive,105,,,,,,MP,,6000,Normal,4.56
