Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
16,3900,,,0.012,12.5,35,,,0.031,EKZH160E□□392MK35S,3570,3408.95,2684.21,3221.05,62400
16,4700,,,0.013,16,25,,,0.035,EKZH160E□□472ML25S,3630,3537.71,3076.27,3445.42,75200
25,68,,,0.24,5,11,,,0.8,EKZH250E□□680ME11D,330,297,132,248.16,1700
25,150,,,0.11,6.3,11,,,0.35,EKZH250E□□151MF11D,500,450,200,376,3750
25,330,,,0.062,8,11.5,,,0.19,EKZH250E□□331MHB5D,900,846,450,765,8250
25,390,,,0.048,8,15,,,0.15,EKZH250E□□391MH15D,1210,1137.4,605,1028.5,9750
25,470,,,0.045,10,12.5,,,0.14,EKZH250E□□471MJC5S,1240,1165.6,620,1054,11750
25,560,,,0.033,8,20,,,0.11,EKZH250E□□561MH20D,1410,1325.4,705,1198.5,14000
25,680,,,0.032,10,16,,,0.1,EKZH250E□□681MJ16S,1650,1561.08,988.02,1432.63,17000
25,820,,,0.02,10,20,,,0.06,EKZH250E□□821MJ20S,1960,1854.37,1173.65,1701.8,20500
25,1000,,,0.018,10,25,,,0.054,EKZH250E□□102MJ25S,2250,2128.74,1347.31,1953.59,25000
25,1500,,,0.017,12.5,20,,,0.043,EKZH250E□□152MK20S,2480,2346.35,1485.03,2153.29,37500
25,1800,,,0.015,12.5,25,,,0.038,EKZH250E□□182MK25S,2900,2743.71,1736.53,2517.96,45000
25,2200,,,0.013,12.5,30,,,0.033,EKZH250E□□222MK30S,3450,3294.36,2593.98,3112.78,55000
25,2200,,,0.015,16,20,,,0.038,EKZH250E□□222ML20S,3250,3103.38,2443.61,2932.33,55000
25,2700,,,0.012,12.5,35,,,0.031,EKZH250E□□272MK35S,3570,3408.95,2684.21,3221.05,67500
25,3300,,,0.013,16,25,,,0.035,EKZH250E□□332ML25S,3630,3466.24,2729.32,3275.19,82500
35,47,,,0.24,5,11,,,0.8,EKZH350E□□470ME11D,330,297,132,248.16,1645
35,100,,,0.11,6.3,11,,,0.35,EKZH350E□□101MF11D,500,450,200,376,3500
35,220,,,0.062,8,11.5,,,0.19,EKZH350E□□221MHB5D,900,846,450,765,7700
35,270,,,0.048,8,15,,,0.15,EKZH350E□□271MH15D,1210,1137.4,605,1028.5,9450
35,330,,,0.045,10,12.5,,,0.14,EKZH350E□□331MJC5S,1240,1165.6,620,1054,11550
35,390,,,0.033,8,20,,,0.11,EKZH350E□□391MH20D,1410,1325.4,705,1198.5,13650
35,470,,,0.032,10,16,,,0.1,EKZH350E□□471MJ16S,1650,1551,825,1402.5,16450
35,560,,,0.02,10,20,,,0.06,EKZH350E□□561MJ20S,1960,1842.4,980,1666,19600
35,680,,,0.018,10,25,,,0.054,EKZH350E□□681MJ25S,2250,2128.74,1347.31,1953.59,23800
35,1000,,,0.017,12.5,20,,,0.043,EKZH350E□□102MK20S,2480,2346.35,1485.03,2153.29,35000
35,1200,,,0.015,12.5,25,,,0.038,EKZH350E□□122MK25S,2900,2743.71,1736.53,2517.96,42000
35,1500,,,0.013,12.5,30,,,0.033,EKZH350E□□152MK30S,3450,3264.07,2065.87,2995.51,52500
35,1500,,,0.015,16,20,,,0.038,EKZH350E□□152ML20S,3250,3074.85,1946.11,2821.86,52500
35,1800,,,0.012,12.5,35,,,0.031,EKZH350E□□182MK35S,3570,3377.6,2137.72,3099.7,63000
35,2200,,,0.013,16,25,,,0.035,EKZH350E□□222ML25S,3630,3466.24,2729.32,3275.19,77000
