Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 85°C@120Hz,Straight leads,Taping,VC
50,33,1.669,5,11,0.12,4.823,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1HM330( ),110,200,2000,1650.0
50,47,1.172,6.3,11.2,0.12,3.386,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.5,5.0,2.5,ECA1HM470( ),130,200,2000,2350.0
50,100,0.551,8,11.5,0.12,1.592,1.7,1.7,1.0,1.3,0.7,0.7,0.6,3.5,5.0,nan,ECA1HM101( ),250,200,1000,5000.0
50,220,0.25,10,12.5,0.12,0.723,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1HM221( ),400,200,500,11000.0
50,330,0.167,10,16,0.12,0.482,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1HM331( ),500,200,500,16500.0
50,470,0.117,10,20,0.12,0.339,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1HM471( ),650,200,500,23500.0
50,1000,0.064,12.5,25,0.12,0.186,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1HM102( ),1050,200,500,50000.0
50,2200,0.038,16,31.5,0.14,0.109,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA1HM222,1300,100,nan,110000.0
50,3300,0.031,18,35.5,0.16,0.088,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA1HM332,1500,50,nan,165000.0
63,10,5.048,5,11,0.11,14.589,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1JM100( ),70,200,2000,630.0
63,22,2.295,5,11,0.11,6.631,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.0,5.0,2.5,ECA1JM220( ),105,200,2000,1386.0
63,33,1.53,6.3,11.2,0.11,4.421,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.5,5.0,2.5,ECA1JM330( ),130,200,2000,2079.0
63,47,1.074,6.3,11.2,0.11,3.104,1.7,1.7,1.0,1.3,0.7,0.7,0.5,2.5,5.0,2.5,ECA1JM470( ),160,200,2000,2961.0
63,100,0.505,8,11.5,0.11,1.459,1.7,1.7,1.0,1.3,0.7,0.7,0.6,3.5,5.0,nan,ECA1JM101( ),270,200,1000,6300.0
63,220,0.229,10,16,0.11,0.663,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1JM221( ),450,200,500,13860.0
63,330,0.153,10,20,0.11,0.442,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1JM331( ),550,200,500,20790.0
63,470,0.107,12.5,20,0.11,0.31,1.7,1.7,1.0,1.3,0.7,0.7,0.6,5.0,5.0,nan,ECA1JM471( ),750,200,500,29610.0
63,1000,0.06,16,25,0.11,0.172,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,7.5,nan,ECA1JM102( ),1100,100,250,63000.0
63,2200,0.035,18,35.5,0.13,0.102,1.7,1.7,1.0,1.3,0.7,0.7,0.8,7.5,nan,nan,ECA1JM222,1400,50,nan,138600.0
