Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Part Number,Ripple Current
25,3900,0.048,18,35,0.14,0.053,0.021,ELXV250E□□392MM35S,3050
25,4700,0.04,18,40,0.14,0.043,0.017,ELXV250E□□472MM40S,3300
35,27,5.895,5,11.5,0.12,1.8,0.72,ELXV350E□□270MEB5D,165
35,56,2.842,6.3,11.5,0.12,0.95,0.38,ELXV350E□□560MFB5D,255
35,82,1.941,6.3,15,0.12,0.68,0.27,ELXV350E□□820MF15D,330
35,120,1.326,8,12,0.12,0.5,0.2,ELXV350E□□121MH12D,415
35,120,1.326,10,12.5,0.12,0.3,0.12,ELXV350E□□121MJC5S,635
35,180,0.884,8,15,0.12,0.4,0.16,ELXV350E□□181MH15D,495
35,220,0.723,8,20,0.12,0.28,0.11,ELXV350E□□221MH20D,640
35,220,0.723,10,16,0.12,0.21,0.084,ELXV350E□□221MJ16S,825
35,330,0.482,10,20,0.12,0.16,0.062,ELXV350E□□331MJ20S,1060
35,390,0.408,10,25,0.12,0.13,0.052,ELXV350E□□391MJ25S,1260
35,560,0.284,10,30,0.12,0.11,0.044,ELXV350E□□561MJ30S,1450
35,560,0.284,12.5,20,0.12,0.12,0.046,ELXV350E□□561MK20S,1360
35,680,0.234,12.5,25,0.12,0.085,0.034,ELXV350E□□681MK25S,1700
35,1000,0.159,12.5,30,0.12,0.075,0.03,ELXV350E□□102MK30S,1980
35,1000,0.159,16,20,0.12,0.095,0.038,ELXV350E□□102ML20S,1770
35,1200,0.133,12.5,35,0.12,0.068,0.027,ELXV350E□□122MK35S,2230
35,1200,0.133,16,25,0.12,0.07,0.028,ELXV350E□□122ML25S,2190
35,1500,0.106,12.5,40,0.12,0.06,0.024,ELXV350E□□152MK40S,2460
35,1500,0.106,18,20,0.12,0.09,0.036,ELXV350E□□152MM20S,1940
35,1800,0.088,16,30,0.12,0.063,0.025,ELXV350E□□182ML30S,2510
35,1800,0.088,18,25,0.12,0.068,0.027,ELXV350E□□182MM25S,2350
35,2200,0.072,16,35,0.12,0.055,0.022,ELXV350E□□222ML35S,2770
35,2200,0.072,18,30,0.12,0.06,0.024,ELXV350E□□222MM30S,2720
35,2700,0.059,16,40,0.12,0.045,0.018,ELXV350E□□272ML40S,3110
35,2700,0.059,18,35,0.12,0.053,0.021,ELXV350E□□272MM35S,3050
35,3300,0.048,18,40,0.12,0.043,0.017,ELXV350E□□332MM40S,3300
50,18,7.368,5,11.5,0.1,3.3,1.1,ELXV500E□□180MEB5D,165
50,39,3.401,6.3,11.5,0.1,1.6,0.56,ELXV500E□□390MFB5D,255
50,56,2.368,6.3,15,0.1,1.2,0.41,ELXV500E□□560MF15D,310
50,68,1.95,8,12,0.1,0.84,0.29,ELXV500E□□680MH12D,415
50,82,1.617,8,15,0.1,0.72,0.24,ELXV500E□□820MH15D,505
50,82,1.617,10,12.5,0.1,0.4,0.16,ELXV500E□□820MJC5S,530
50,120,1.105,8,20,0.1,0.52,0.18,ELXV500E□□121MH20D,610
50,120,1.105,10,16,0.1,0.3,0.12,ELXV500E□□121MJ16S,755
50,180,0.737,10,20,0.1,0.22,0.088,ELXV500E□□181MJ20S,945
50,220,0.603,10,25,0.1,0.17,0.068,ELXV500E□□221MJ25S,1150
50,330,0.402,10,30,0.1,0.15,0.059,ELXV500E□□331MJ30S,1260
50,330,0.402,12.5,20,0.1,0.15,0.059,ELXV500E□□331MK20S,1190
50,470,0.282,12.5,25,0.1,0.11,0.045,ELXV500E□□471MK25S,1500
50,560,0.237,12.5,30,0.1,0.098,0.039,ELXV500E□□561MK30S,1720
50,680,0.195,12.5,35,0.1,0.083,0.033,ELXV500E□□681MK35S,1900
50,680,0.195,16,20,0.1,0.11,0.043,ELXV500E□□681ML20S,1500
50,820,0.162,12.5,40,0.1,0.073,0.029,ELXV500E□□821MK40S,2120
50,820,0.162,16,25,0.1,0.083,0.033,ELXV500E□□821ML25S,1880
50,820,0.162,18,20,0.1,0.098,0.039,ELXV500E□□821MM20S,1660
50,1000,0.133,16,30,0.1,0.073,0.029,ELXV500E□□102ML30S,2150
50,1000,0.133,18,25,0.1,0.075,0.03,ELXV500E□□102MM25S,2020
50,1200,0.111,16,35,0.1,0.063,0.025,ELXV500E□□122ML35S,2320
50,1500,0.088,16,40,0.1,0.053,0.021,ELXV500E□□152ML40S,2650
50,1500,0.088,18,30,0.1,0.065,0.026,ELXV500E□□152MM30S,2340
50,1800,0.074,18,35,0.1,0.058,0.023,ELXV500E□□182MM35S,2620
50,2200,0.06,18,40,0.1,0.05,0.02,ELXV500E□□222MM40S,2790
63,12,11.052,5,11.5,0.1,4.8,1.9,ELXV630E□□120MEB5D,100
63,27,4.912,6.3,11.5,0.1,2.8,1.1,ELXV630E□□270MFB5D,160
63,39,3.401,6.3,15,0.1,1.6,0.62,ELXV630E□□390MF15D,230
63,47,2.822,8,12,0.1,1.3,0.49,ELXV630E□□470MH12D,275
63,56,2.368,10,12.5,0.1,0.68,0.27,ELXV630E□□560MJC5S,420
63,68,1.95,8,15,0.1,0.85,0.34,ELXV630E□□680MH15D,360
63,68,1.95,10,16,0.1,0.53,0.21,ELXV630E□□680MJ16S,523
63,82,1.617,8,20,0.1,0.53,0.21,ELXV630E□□820MH20D,500
63,120,1.105,10,20,0.1,0.4,0.16,ELXV630E□□121MJ20S,650
63,150,0.884,10,25,0.1,0.33,0.13,ELXV630E□□151MJ25S,780
63,180,0.737,10,30,0.1,0.25,0.1,ELXV630E□□181MJ30S,960
63,220,0.603,12.5,20,0.1,0.28,0.11,ELXV630E□□221MK20S,870
63,270,0.491,12.5,25,0.1,0.19,0.074,ELXV630E□□271MK25S,1150
63,390,0.34,12.5,30,0.1,0.17,0.068,ELXV630E□□391MK30S,1280
63,390,0.34,16,20,0.1,0.22,0.085,ELXV630E□□391ML20S,1100
63,470,0.282,12.5,35,0.1,0.16,0.063,ELXV630E□□471MK35S,1390
63,470,0.282,16,25,0.1,0.14,0.055,ELXV630E□□471ML25S,1480
63,560,0.237,12.5,40,0.1,0.13,0.051,ELXV630E□□561MK40S,1530
63,560,0.237,18,20,0.1,0.22,0.085,ELXV630E□□561MM20S,1170
63,680,0.195,16,30,0.1,0.12,0.046,ELXV630E□□681ML30S,1720
63,680,0.195,18,25,0.1,0.14,0.055,ELXV630E□□681MM25S,1520
63,820,0.162,16,35,0.1,0.1,0.04,ELXV630E□□821ML35S,1910
63,820,0.162,18,30,0.1,0.12,0.046,ELXV630E□□821MM30S,1770
63,1000,0.133,16,40,0.1,0.09,0.036,ELXV630E□□102ML40S,2070
63,1000,0.133,18,35,0.1,0.1,0.04,ELXV630E□□102MM35S,1970
63,1200,0.111,18,40,0.1,0.09,0.036,ELXV630E□□122MM40S,2130
80,8.2,14.557,5,11.5,0.09,5.1,1.9,ELXV800E□□8R2MEB5D,100
80,18,6.631,6.3,11.5,0.09,3.0,1.1,ELXV800E□□180MFB5D,150
80,27,4.421,6.3,15,0.09,1.7,0.62,ELXV800E□□270MF15D,220
80,33,3.617,8,12,0.09,1.5,0.53,ELXV800E□□330MH12D,275
80,39,3.061,10,12.5,0.09,1.3,0.47,ELXV800E□□390MJC5S,380
80,47,2.54,8,15,0.09,0.97,0.35,ELXV800E□□470MH15D,360
80,56,2.132,8,20,0.09,0.74,0.27,ELXV800E□□560MH20D,490
80,56,2.132,10,16,0.09,0.9,0.33,ELXV800E□□560MJ16S,500
80,82,1.456,10,20,0.09,0.7,0.26,ELXV800E□□820MJ20S,620
80,100,1.194,10,25,0.09,0.52,0.19,ELXV800E□□101MJ25S,795
80,150,0.796,10,30,0.09,0.41,0.15,ELXV800E□□151MJ30S,955
80,150,0.796,12.5,20,0.09,0.41,0.15,ELXV800E□□151MK20S,890
80,180,0.663,12.5,25,0.09,0.3,0.11,ELXV800E□□181MK25S,1040
80,270,0.442,12.5,30,0.09,0.26,0.094,ELXV800E□□271MK30S,1270
80,270,0.442,16,20,0.09,0.3,0.11,ELXV800E□□271ML20S,1240
80,330,0.362,12.5,35,0.09,0.24,0.087,ELXV800E□□331MK35S,1450
80,330,0.362,16,25,0.09,0.22,0.081,ELXV800E□□331ML25S,1440
80,390,0.306,12.5,40,0.09,0.17,0.06,ELXV800E□□391MK40S,1610
80,390,0.306,18,20,0.09,0.23,0.085,ELXV800E□□391MM20S,1450
80,470,0.254,16,30,0.09,0.16,0.058,ELXV800E□□471ML30S,1790
80,470,0.254,18,25,0.09,0.19,0.07,ELXV800E□□471MM25S,1650
80,560,0.213,16,35,0.09,0.14,0.052,ELXV800E□□561ML35S,2000
80,680,0.176,16,40,0.09,0.11,0.041,ELXV800E□□681ML40S,2200
80,680,0.176,18,30,0.09,0.16,0.058,ELXV800E□□681MM30S,1850
80,820,0.146,18,35,0.09,0.14,0.052,ELXV800E□□821MM35S,1990
80,1000,0.119,18,40,0.09,0.11,0.041,ELXV800E□□102MM40S,2370
100,5.6,18.947,5,11.5,0.08,5.1,1.9,ELXV101E□□5R6MEB5D,100
100,12,8.842,6.3,11.5,0.08,3.0,1.1,ELXV101E□□120MFB5D,150
100,18,5.895,6.3,15,0.08,1.7,0.62,ELXV101E□□180MF15D,220
100,22,4.823,8,12,0.08,1.5,0.53,ELXV101E□□220MH12D,275
100,27,3.93,10,12.5,0.08,1.3,0.47,ELXV101E□□270MJC5S,380
100,33,3.215,8,15,0.08,0.97,0.35,ELXV101E□□330MH15D,360
100,33,3.215,10,16,0.08,0.9,0.33,ELXV101E□□330MJ16S,500
100,39,2.721,8,20,0.08,0.74,0.27,ELXV101E□□390MH20D,490
100,56,1.895,10,20,0.08,0.7,0.26,ELXV101E□□560MJ20S,620
100,68,1.56,10,25,0.08,0.52,0.19,ELXV101E□□680MJ25S,795
100,100,1.061,10,30,0.08,0.41,0.15,ELXV101E□□101MJ30S,955
100,100,1.061,12.5,20,0.08,0.41,0.15,ELXV101E□□101MK20S,890
100,120,0.884,12.5,25,0.08,0.3,0.11,ELXV101E□□121MK25S,1040
100,180,0.589,12.5,30,0.08,0.26,0.094,ELXV101E□□181MK30S,1270
100,180,0.589,16,20,0.08,0.3,0.11,ELXV101E□□181ML20S,1240
100,220,0.482,12.5,35,0.08,0.24,0.087,ELXV101E□□221MK35S,1450
100,220,0.482,16,25,0.08,0.22,0.081,ELXV101E□□221ML25S,1440
100,270,0.393,12.5,40,0.08,0.17,0.06,ELXV101E□□271MK40S,1610
100,270,0.393,18,20,0.08,0.23,0.085,ELXV101E□□271MM20S,1450
100,330,0.322,16,30,0.08,0.16,0.058,ELXV101E□□331ML30S,1790
100,330,0.322,18,25,0.08,0.19,0.07,ELXV101E□□331MM25S,1650
100,390,0.272,16,35,0.08,0.14,0.052,ELXV101E□□391ML35S,2000
100,390,0.272,18,30,0.08,0.16,0.058,ELXV101E□□391MM30S,1850
100,470,0.226,16,40,0.08,0.11,0.041,ELXV101E□□471ML40S,2200
100,560,0.189,18,35,0.08,0.14,0.052,ELXV101E□□561MM35S,1990
100,680,0.156,18,40,0.08,0.11,0.041,ELXV101E□□681MM40S,2370
