Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Ripple Current
16,1000,0.212,0.037,10,20,0.16,0.15,1720
16,1200,0.177,0.037,10,20,0.16,0.15,1720
16,1500,0.141,0.037,10,20,0.16,0.15,1720
16,1500,0.141,0.031,10,23,0.16,0.12,1910
16,1500,0.141,0.04,12.5,16,0.16,0.12,1730
16,1800,0.118,0.031,10,23,0.16,0.12,1910
16,2200,0.096,0.027,10,25,0.16,0.089,2230
16,2200,0.096,0.028,12.5,20,0.16,0.089,2160
16,2200,0.096,0.042,16,16,0.16,0.11,1940
16,2700,0.079,0.024,12.5,25,0.16,0.065,2650
16,3300,0.064,0.02,12.5,30,0.16,0.065,2880
16,3900,0.054,0.017,12.5,35,0.16,0.063,3350
16,3900,0.054,0.021,16,20,0.16,0.06,2540
16,4700,0.045,0.017,16,25,0.16,0.05,3060
16,4700,0.045,0.026,18,20,0.16,0.06,2860
16,5600,0.038,0.017,16,31.5,0.16,0.044,3610
16,5600,0.038,0.019,18,25,0.16,0.045,3140
16,6800,0.031,0.015,16,35.5,0.16,0.038,4080
16,8200,0.026,0.015,18,31.5,0.16,0.038,4170
16,10000,0.021,0.014,18,35.5,0.16,0.032,4280
16,12000,0.018,0.012,18,40,0.16,0.03,4550
25,47,3.951,0.58,5,11,0.14,2.3,210
25,100,1.857,0.58,5,11,0.14,2.3,210
25,220,0.844,0.22,6.3,11,0.14,0.87,340
25,330,0.563,0.12,8,11.5,0.14,0.48,730
25,330,0.563,0.069,8,16,0.14,0.27,1050
25,390,0.476,0.069,8,16,0.14,0.27,1050
25,470,0.395,0.069,8,16,0.14,0.27,1050
25,470,0.395,0.06,10,12.5,0.14,0.24,1210
25,560,0.332,0.042,8,20,0.14,0.17,1650
25,680,0.273,0.046,10,16,0.14,0.18,1450
25,680,0.273,0.037,10,20,0.14,0.15,1720
25,820,0.226,0.037,10,20,0.14,0.15,1720
25,1000,0.186,0.037,10,20,0.14,0.15,1720
25,1000,0.186,0.031,10,23,0.14,0.12,1910
25,1000,0.186,0.04,12.5,16,0.14,0.12,1730
25,1200,0.155,0.042,16,16,0.14,0.11,1940
25,1500,0.124,0.028,12.5,20,0.14,0.089,2160
25,1800,0.103,0.024,12.5,25,0.14,0.065,2650
25,2200,0.084,0.02,12.5,30,0.14,0.065,2880
25,2200,0.084,0.021,16,20,0.14,0.06,2540
25,2700,0.069,0.017,12.5,35,0.14,0.063,3350
25,2700,0.069,0.021,16,20,0.14,0.06,2540
25,3300,0.056,0.017,16,25,0.14,0.05,3060
25,3300,0.056,0.026,18,20,0.14,0.06,2860
25,3900,0.048,0.017,16,31.5,0.14,0.044,3610
25,3900,0.048,0.019,18,25,0.14,0.045,3140
25,4700,0.04,0.015,16,35.5,0.14,0.038,4080
25,4700,0.04,0.015,18,31.5,0.14,0.038,4170
25,5600,0.033,0.014,18,35.5,0.14,0.032,4280
25,6800,0.027,0.012,18,40,0.14,0.03,4550
35,33,4.823,0.58,5,11,0.12,2.3,210
35,56,2.842,0.58,5,11,0.12,2.3,210
35,150,1.061,0.12,8,11.5,0.12,0.48,730
35,220,0.723,0.12,8,11.5,0.12,0.48,730
35,220,0.723,0.069,8,16,0.12,0.27,1050
35,270,0.589,0.069,8,16,0.12,0.27,1050
35,330,0.482,0.06,10,12.5,0.12,0.24,1210
35,390,0.408,0.042,8,20,0.12,0.17,1650
35,470,0.339,0.046,10,16,0.12,0.18,1450
35,470,0.339,0.037,10,20,0.12,0.15,1720
35,560,0.284,0.037,10,20,0.12,0.15,1720
35,680,0.234,0.031,10,23,0.12,0.12,1910
35,680,0.234,0.04,12.5,16,0.12,0.12,1730
35,1000,0.159,0.028,12.5,20,0.12,0.089,2160
35,1000,0.159,0.042,16,16,0.12,0.11,1940
35,1200,0.133,0.024,12.5,25,0.12,0.065,2650
35,1500,0.106,0.02,12.5,30,0.12,0.065,2880
35,1800,0.088,0.017,12.5,35,0.12,0.063,3350
35,1800,0.088,0.021,16,20,0.12,0.06,2540
35,2200,0.072,0.017,16,25,0.12,0.05,3060
35,2200,0.072,0.026,18,20,0.12,0.06,2860
35,2700,0.059,0.017,16,31.5,0.12,0.044,3610
35,2700,0.059,0.019,18,25,0.12,0.045,3140
35,3300,0.048,0.015,16,35.5,0.12,0.038,4080
35,3300,0.048,0.015,18,31.5,0.12,0.038,4170
35,3900,0.041,0.014,18,35.5,0.12,0.032,4280
35,4700,0.034,0.012,18,40,0.12,0.03,4550
50,22,6.029,0.58,5,11,0.1,2.3,210
50,56,2.368,0.22,6.3,11,0.1,0.87,340
50,100,1.326,0.12,8,11.5,0.1,0.48,730
50,120,1.105,0.12,8,11.5,0.1,0.48,730
50,150,0.884,0.091,8,16,0.1,0.36,910
50,180,0.737,0.091,8,16,0.1,0.36,910
50,220,0.603,0.084,10,12.5,0.1,0.34,1050
50,270,0.491,0.06,10,16,0.1,0.24,1220
50,270,0.491,0.055,10,20,0.1,0.22,1440
50,330,0.402,0.055,10,20,0.1,0.22,1440
50,470,0.282,0.043,10,23,0.1,0.17,1690
50,470,0.282,0.045,12.5,16,0.1,0.15,1670
50,560,0.237,0.034,12.5,20,0.1,0.11,1950
50,560,0.237,0.054,16,16,0.1,0.15,1830
50,680,0.195,0.025,12.5,25,0.1,0.083,2510
50,820,0.162,0.025,12.5,25,0.1,0.083,2510
50,820,0.162,0.024,12.5,30,0.1,0.077,2680
50,1000,0.133,0.021,12.5,35,0.1,0.069,2920
50,1000,0.133,0.025,16,20,0.1,0.075,2460
50,1200,0.111,0.022,16,25,0.1,0.066,2980
50,1200,0.111,0.03,18,20,0.1,0.07,2490
50,1500,0.088,0.019,16,31.5,0.1,0.057,3150
50,1800,0.074,0.016,16,35.5,0.1,0.048,3710
50,1800,0.074,0.022,18,25,0.1,0.057,3150
50,2200,0.06,0.018,18,31.5,0.1,0.046,3680
50,2700,0.049,0.014,18,35.5,0.1,0.038,3800
50,3300,0.04,0.013,18,40,0.1,0.033,4170
