Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
50,2.2,72.343,5,11,-55,105,0.12,1000,4,6000,UVY1H2R2MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,20,EOL,Normal,0.44
50,3.3,48.229,5,11,-55,105,0.12,1000,5,6000,UVY1H3R3MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,25,EOL,Normal,0.44
50,4.7,33.863,5,11,-55,105,0.12,1000,7,6000,UVY1H4R7MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,30,EOL,Normal,0.44
50,10,15.916,5,11,-55,105,0.12,1000,15,6000,UVY1H100MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,46,EOL,Normal,0.44
50,22,7.234,5,11,-55,105,0.12,1000,33,6000,UVY1H220MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,68,EOL,Normal,0.44
50,33,4.823,5,11,-55,105,0.12,1000,50,6000,UVY1H330MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,90,EOL,Normal,0.44
50,47,3.386,6.3,11,-55,105,0.12,1000,71,4000,UVY1H470MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,115,EOL,Normal,0.59
50,68,2.341,6.3,11,-55,105,0.12,1000,102,4000,UVY1H680MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,150,EOL,Normal,0.59
50,100,1.592,8,11.5,-55,105,0.12,1000,150,3000,UVY1H101MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,190,MP,Normal,1.19
50,220,0.723,10,12.5,-55,105,0.12,2000,330,2000,UVY1H221MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,300,MP,Normal,1.49
50,330,0.482,10,16,-55,105,0.12,2000,495,1800,UVY1H331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,410,MP,Normal,1.77
50,470,0.339,10,20,-55,105,0.12,2000,705,1400,UVY1H471MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,540,MP,Normal,2.34
50,1000,0.159,12.5,25,-55,105,0.12,2000,1500,800,UVY1H102MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,950,MP,Normal,4.56
50,2200,0.084,16,30.5,-55,105,0.14,2000,3300,300,UVY1H222MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1410,MP,Normal,9.6
50,3300,0.064,18,35.5,-55,105,0.16,2000,4950,250,UVY1H332MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1770,MP,Normal,14.2
50,4700,0.051,20,40,-55,105,0.18,2000,7050,150,UVY1H472MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2100,EOL,Normal,19.6
50,6800,0.043,22,50,-55,105,0.22,2000,10200,250,UVY1H682MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2500,EOL,Normal,27.4
50,10000,0.04,25,50,-55,105,0.3,2000,15000,140,UVY1H103MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2850,EOL,Normal,38.8
63,22,6.029,5,11,-55,105,0.1,1000,42,6000,UVY1J220MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,71,EOL,Normal,0.44
63,33,4.019,6.3,11,-55,105,0.1,1000,62,4000,UVY1J330MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,100,EOL,Normal,0.59
63,47,2.822,6.3,11,-55,105,0.1,1000,89,4000,UVY1J470MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,120,EOL,Normal,0.59
63,68,1.95,8,11.5,-55,105,0.1,1000,129,3000,UVY1J680MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,155,MP,Normal,1.19
63,100,1.326,8,11.5,-55,105,0.1,1000,189,3000,UVY1J101MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,200,MP,Normal,1.19
63,220,0.603,10,16,-55,105,0.1,2000,416,1800,UVY1J221MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,335,MP,Normal,1.77
63,330,0.402,10,20,-55,105,0.1,2000,624,1400,UVY1J331MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,510,MP,Normal,2.34
63,470,0.282,12.5,20,-55,105,0.1,2000,888,1000,UVY1J471MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,640,MP,Normal,3.43
63,1000,0.133,16,25,-55,105,0.1,2000,1890,400,UVY1J102MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,930,MP,Normal,8.2
63,2200,0.072,18,35.5,-55,105,0.12,2000,4158,250,UVY1J222MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1650,MP,Normal,14.2
63,3300,0.056,20,40,-55,105,0.14,2000,6237,150,UVY1J332MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1950,EOL,Normal,19.6
63,4700,0.045,22,50,-55,105,0.16,2000,8883,250,UVY1J472MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2450,EOL,Normal,27.4
63,6800,0.039,25,50,-55,105,0.2,2000,12852,140,UVY1J682MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,2800,EOL,Normal,38.8
100,2.2,48.229,5,11,-55,105,0.08,1000,7,6000,UVY2A2R2MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,21,EOL,Normal,0.44
100,3.3,32.153,5,11,-55,105,0.08,1000,10,6000,UVY2A3R3MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,29,EOL,Normal,0.44
100,4.7,22.575,5,11,-55,105,0.08,1000,14,6000,UVY2A4R7MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,32,EOL,Normal,0.44
100,10,10.61,5,11,-55,105,0.08,1000,30,6000,UVY2A100MDD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,50,EOL,Normal,0.44
100,22,4.823,6.3,11,-55,105,0.08,1000,66,4000,UVY2A220MED,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,93,EOL,Normal,0.59
100,33,3.215,8,11.5,-55,105,0.08,1000,99,3000,UVY2A330MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,130,MP,Normal,1.19
100,47,2.258,8,11.5,-55,105,0.08,1000,141,3000,UVY2A470MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,140,MP,Normal,1.19
100,68,1.56,10,12.5,-55,105,0.08,2000,204,2000,UVY2A680MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,190,MP,Normal,1.49
100,100,1.061,10,16,-55,105,0.08,2000,300,1800,UVY2A101MPD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,240,MP,Normal,1.77
100,220,0.482,12.5,20,-55,105,0.08,2000,660,1000,UVY2A221MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,390,MP,Normal,3.43
100,330,0.322,12.5,25,-55,105,0.08,2000,990,800,UVY2A331MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,540,MP,Normal,4.56
100,470,0.226,16,25,-55,105,0.08,2000,1410,400,UVY2A471MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,715,MP,Normal,8.2
100,1000,0.106,18,35.5,-55,105,0.08,2000,3000,250,UVY2A102MHD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,960,MP,Normal,14.2
100,2200,0.06,22,50,-55,105,0.1,2000,6600,250,UVY2A222MRD,Uni-Polar,Radial Lead,Minitualized Wide Temp. Range,1750,EOL,Normal,27.4
