Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 50Hz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,VC,Vibration resistant,Weight (g)
25,3300,16,25,-40,85,0.2,0.104,2000,1.15,1.0,1.13,1.1,0.85,2475,400,UKW1E332MHD,Uni-Polar,Radial Lead,Standard,1950,MP,82500.0,Normal,8.2
25,4700,16,30.5,-40,85,0.22,0.085,2000,1.15,1.0,1.13,1.1,0.85,3525,300,UKW1E472MHD,Uni-Polar,Radial Lead,Standard,2360,MP,117500.0,Normal,9.6
25,6800,18,35.5,-40,85,0.26,0.074,2000,1.15,1.0,1.13,1.1,0.85,5100,250,UKW1E682MHD,Uni-Polar,Radial Lead,Standard,2590,MP,170000.0,Normal,14.2
25,10000,20,40,-40,85,0.34,0.072,2000,1.15,1.0,1.13,1.1,0.85,7500,150,UKW1E103MRD,Uni-Polar,Radial Lead,Standard,3000,EOL,250000.0,Normal,19.6
25,15000,22,50,-40,85,0.44,0.065,2000,1.15,1.0,1.13,1.1,0.85,11250,250,UKW1E153MRD,Uni-Polar,Radial Lead,Standard,3800,EOL,375000.0,Normal,27.4
25,22000,25,50,-40,85,0.58,0.061,2000,,,,,,16500,140,UKW1E223MRD,Uni-Polar,Radial Lead,Standard,4500,EOL,550000.0,Normal,38.8
35,33,5,11,-40,85,0.14,5.627,2000,2.0,1.0,1.57,1.35,0.75,35,6000,UKW1V330MDD,Uni-Polar,Radial Lead,Standard,105,EOL,1155.0,Normal,0.44
35,47,5,11,-40,85,0.14,3.951,2000,2.0,1.0,1.57,1.35,0.75,49,6000,UKW1V470MDD,Uni-Polar,Radial Lead,Standard,120,EOL,1645.0,Normal,0.44
35,100,6.3,11,-40,85,0.14,1.857,2000,1.5,1.0,1.34,1.23,0.8,105,4000,UKW1V101MED,Uni-Polar,Radial Lead,Standard,200,EOL,3500.0,Normal,0.59
35,220,10,12.5,-40,85,0.14,0.844,2000,1.5,1.0,1.34,1.23,0.8,231,2000,UKW1V221MPD,Uni-Polar,Radial Lead,Standard,370,MP,7700.0,Normal,1.49
35,330,10,12.5,-40,85,0.14,0.563,2000,1.5,1.0,1.34,1.23,0.8,347,2000,UKW1V331MPD,Uni-Polar,Radial Lead,Standard,470,MP,11550.0,Normal,1.49
