Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Status,VC,Vibration resistant,Weight (g)
6.3,6800,0.32,0.027,18,25,-55,105,0.086,5000,0.054,1285,300,UPM0J682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2342.1,2342.1,2110,2299.9,2236.6,MP,42840,Normal,10.6
6.3,8200,0.36,0.022,16,35.5,-55,105,0.084,5000,0.044,1550,300,UPM0J822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,2490,,,MP,51660,Normal,11.8
6.3,8200,0.36,0.025,18,30.5,-55,105,0.084,5000,0.05,1550,300,UPM0J822MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,2340,,,MP,51660,Normal,13.1
6.3,10000,0.4,0.02,16,40,-55,105,0.08,5000,0.04,1890,300,UPM0J103MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3096.9,3096.9,2790,3041.1,2957.4,MP,63000,Normal,14.1
6.3,10000,0.4,0.023,18,30.5,-55,105,0.08,5000,0.046,1890,300,UPM0J103MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2708.4,2708.4,2440,2659.6,2586.4,MP,63000,Normal,13.1
6.3,12000,0.44,0.019,18,35.5,-55,105,0.075,5000,0.038,2268,250,UPM0J123MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,2740,,,MP,75600,Normal,14.2
6.3,15000,0.5,0.018,18,40,-55,105,0.071,5000,0.036,2835,200,UPM0J153MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3296.7,3296.7,2970,3237.3,3148.2,MP,94500,Normal,17.7
10,68,0.19,0.8,5,11,-55,105,3.706,2000,1.6,20,6000,UPM1A680MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,154.23,154.23,97,133.86,107.67,EOL,680,Normal,0.44
10,82,0.19,0.65,5,11,-55,105,3.073,2000,1.3,25,6000,UPM1A820MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,110,,,EOL,820,Normal,0.44
10,100,0.19,0.55,6.3,11,-55,105,2.52,2000,1.1,30,4000,UPM1A101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,207.9,207.9,135,182.25,151.2,EOL,1000,Normal,0.59
10,120,0.19,0.44,6.3,11,-55,105,2.1,2000,0.88,36,4000,UPM1A121MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,160,,,EOL,1200,Normal,0.59
10,150,0.19,0.35,6.3,11,-55,105,1.68,2000,0.7,45,4000,UPM1A151MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,271.95,271.95,185,244.2,203.5,EOL,1500,Normal,0.59
10,180,0.19,0.29,6.3,11,-55,105,1.4,2000,0.58,54,4000,UPM1A181MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,205,,,EOL,1800,Normal,0.59
10,220,0.19,0.24,6.3,15,-55,105,1.145,2000,0.48,66,4000,UPM1A221MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,380.7,380.7,270,345.6,297,EOL,2200,Normal,0.72
10,270,0.19,0.2,6.3,15,-55,105,0.933,2000,0.4,81,4000,UPM1A271MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,300,,,EOL,2700,Normal,0.72
10,330,0.19,0.16,8,11.5,-55,105,0.764,3000,0.32,99,3000,UPM1A331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,472.5,472.5,350,441,381.5,MP,3300,Normal,1.19
10,390,0.19,0.14,8,15,-55,105,0.646,3000,0.28,117,2000,UPM1A391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,430,,,MP,3900,Normal,1.36
10,390,0.19,0.15,10,12.5,-55,105,0.646,5000,0.3,117,2000,UPM1A391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,490,,,MP,3900,Normal,1.49
10,470,0.19,0.12,8,15,-55,105,0.536,3000,0.24,141,2000,UPM1A471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,617.5,617.5,475,579.5,513,MP,4700,Normal,1.36
10,470,0.19,0.13,10,12.5,-55,105,0.536,5000,0.26,141,2000,UPM1A471MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,695.5,695.5,535,652.7,577.8,MP,4700,Normal,1.49
10,560,0.19,0.1,8,20,-55,105,0.45,3000,0.2,168,2000,UPM1A561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,595,,,MP,5600,Normal,1.66
10,560,0.19,0.11,10,16,-55,105,0.45,5000,0.22,168,1800,UPM1A561MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,570,,,MP,5600,Normal,1.77
10,680,0.19,0.085,8,20,-55,105,0.371,3000,0.17,204,2000,UPM1A681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,825,825,660,792,706.2,MP,6800,Normal,1.66
10,680,0.19,0.09,10,16,-55,105,0.371,5000,0.18,204,1800,UPM1A681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,856.25,856.25,685,822,732.95,MP,6800,Normal,1.77
10,820,0.19,0.07,10,20,-55,105,0.307,5000,0.14,246,1400,UPM1A821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,835,,,MP,8200,Normal,2.34
10,820,0.19,0.08,12.5,15,-55,105,0.307,5000,0.16,246,1200,UPM1A821MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,780,,,MP,8200,Normal,2.96
10,1000,0.19,0.06,10,20,-55,105,0.279,5000,0.12,300,1400,UPM1A102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1098,1098,915,1070.55,979.05,MP,10000,Normal,2.34
10,1000,0.19,0.065,12.5,15,-55,105,0.279,5000,0.13,300,1200,UPM1A102MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1080,1080,900,1053,963,MP,10000,Normal,2.96
10,1200,0.19,0.05,10,25,-55,105,0.232,5000,0.1,360,1200,UPM1A122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1120,,,MP,12000,Normal,3.07
10,1200,0.19,0.06,12.5,15,-55,105,0.232,5000,0.12,360,1200,UPM1A122MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,930,,,MP,12000,Normal,2.96
10,1500,0.19,0.045,10,30.5,-55,105,0.186,5000,0.09,450,1000,UPM1A152MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1443,1443,1300,1417,1378,MP,15000,Normal,3.21
10,1500,0.19,0.05,16,15,-55,105,0.186,5000,0.1,450,700,UPM1A152MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1320.9,1320.9,1190,1297.1,1261.4,MP,15000,Normal,4.74
10,1800,0.19,0.039,12.5,20,-55,105,0.155,5000,0.078,540,1000,UPM1A182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1320,,,MP,18000,Normal,3.43
10,1800,0.19,0.044,16,15,-55,105,0.155,5000,0.088,540,700,UPM1A182MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1270,,,MP,18000,Normal,4.74
10,2200,0.21,0.034,12.5,25,-55,105,0.151,5000,0.068,660,800,UPM1A222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1698.3,1698.3,1530,1667.7,1621.8,MP,22000,Normal,4.56
10,2200,0.21,0.039,18,15,-55,105,0.151,5000,0.078,660,400,UPM1A222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1598.4,1598.4,1440,1569.6,1526.4,MP,22000,Normal,6.31
10,2700,0.21,0.03,12.5,30.5,-55,105,0.123,5000,0.06,810,600,UPM1A272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1780,,,MP,27000,Normal,6.01
10,2700,0.21,0.035,16,20,-55,105,0.123,5000,0.07,810,600,UPM1A272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1560,,,MP,27000,Normal,6.6
10,3300,0.23,0.026,12.5,35.5,-55,105,0.117,5000,0.052,990,500,UPM1A332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2220,2220,2000,2180,2120,MP,33000,Normal,7.06
10,3300,0.23,0.031,16,20,-55,105,0.117,5000,0.062,990,600,UPM1A332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1842.6,1842.6,1660,1809.4,1759.6,MP,33000,Normal,6.6
10,3900,0.23,0.024,12.5,40,-55,105,0.099,5000,0.048,1170,400,UPM1A392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,2210,,,MP,39000,Normal,7.57
10,3900,0.23,0.028,18,20,-55,105,0.099,5000,0.056,1170,400,UPM1A392MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,1840,,,MP,39000,Normal,9
10,4700,0.25,0.023,16,30.5,-55,105,0.093,5000,0.046,1410,300,UPM1A472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2408.7,2408.7,2170,2365.3,2300.2,MP,47000,Normal,9.6
10,4700,0.25,0.026,18,25,-55,105,0.093,5000,0.052,1410,300,UPM1A472MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2342.1,2342.1,2110,2299.9,2236.6,MP,47000,Normal,10.6
10,5600,0.27,0.021,16,35.5,-55,105,0.088,5000,0.042,1680,300,UPM1A562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,2340,,,MP,56000,Normal,11.8
10,5600,0.27,0.024,18,25,-55,105,0.088,5000,0.048,1680,300,UPM1A562MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,2190,,,MP,56000,Normal,10.6
10,6800,0.29,0.02,16,35.5,-55,105,0.08,5000,0.04,2040,300,UPM1A682MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2763.9,2763.9,2490,2714.1,2639.4,MP,68000,Normal,11.8
10,6800,0.29,0.022,18,30.5,-55,105,0.08,5000,0.044,2040,300,UPM1A682MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2708.4,2708.4,2440,2659.6,2586.4,MP,68000,Normal,13.1
10,8200,0.33,0.019,16,40,-55,105,0.079,5000,0.038,2460,300,UPM1A822MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,,,2790,,,MP,82000,Normal,14.1
