Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,RC 100 kHz 105°C (mA),Surge Voltage
50,1800,7.368,0.021,18,35,10,ESL188M050ANAAA,3520,63
50,2200,7.234,0.021,18,35,12,ESL228M050ANAAA,3580,63
63,0.47,25397.087,1.35,5,11,9,ESL474M063AC3(1),80,79
63,1,11936.631,1.35,5,11,9,ESL105M063AC3(1),95,79
63,1.8,6631.462,1.35,5,11,9,ESL185M063AC3(1),95,79
63,2.2,5425.741,1.35,5,11,9,ESL225M063AC3(1),105,79
63,2.7,4420.974,1.35,5,11,9,ESL275M063AC3(1),105,79
63,3.3,3617.161,1.35,5,11,9,ESL335M063AC3(1),115,79
63,3.9,3060.675,1.35,5,11,9,ESL395M063AC3(1),115,79
63,4.7,2539.709,1.35,5,11,9,ESL475M063AC3(1),120,79
63,5.6,2131.541,1.35,5,11,9,ESL565M063AC3(1),135,79
63,6.8,1755.387,1.35,5,11,9,ESL685M063AC3(1),135,79
63,8.2,1455.687,1.35,5,11,9,ESL825M063AC3(1),145,79
63,10,1193.663,1.35,5,11,9,ESL106M063AC3(1),145,79
63,12,994.719,1.35,5,11,9,ESL126M063AC3(1),155,79
63,15,795.775,1.35,5,11,9,ESL156M063AC3(1),165,79
63,18,663.146,0.38,6.3,11,9,ESL186M063AE3(1),265,79
63,22,542.574,0.38,6.3,11,9,ESL226M063AE3(1),295,79
63,27,442.097,0.38,6.3,11,9,ESL276M063AE3(1),305,79
63,33,361.716,0.38,6.3,11,9,ESL336M063AE3(1),335,79
63,39,306.067,0.23,8,11.5,9,ESL396M063AGM(1),420,79
63,47,253.971,0.23,8,11.5,9,ESL476M063AGM(1),435,79
63,56,213.154,0.23,8,11.5,9,ESL566M063AGM(1),445,79
63,68,175.539,0.23,8,11.5,9,ESL686M063AGM(1),460,79
63,82,145.569,0.17,8,16,9,ESL826M063AG8(1),560,79
63,100,119.366,0.17,10,12.5,9,ESL107M063AH9(1),570,79
63,100,119.366,0.17,8,16,9,ESL107M063AG8(1),580,79
63,120,99.472,0.17,10,12.5,9,ESL127M063AH9(1),580,79
63,150,79.578,0.19,10,16,9,ESL157M063AH8(1),705,79
63,150,79.578,0.12,8,20,9,ESL157M063AG6(1),680,79
63,180,66.315,0.19,10,16,9,ESL187M063AH8(1),725,79
63,220,54.257,0.086,10,20,9,ESL227M063AH4(1),1050,79
63,220,54.257,0.08,12.5,15,9,ESL227M063AK7(1),1020,79
63,270,44.21,0.086,10,20,9,ESL277M063AH4(1),1080,79
63,270,44.21,0.08,12.5,15,9,ESL277M063AK7(1),1045,79
63,330,36.172,0.076,10,25,9,ESL337M063AH5(1),1250,79
63,330,36.172,0.066,12.5,20,9,ESL337M063AK5(1),1320,79
63,390,30.607,0.066,12.5,20,9,ESL397M063AK5(1),1350,79
63,470,25.397,0.047,12.5,25,9,ESL477M063AK1(1),1860,79
63,560,21.315,0.039,12.5,30,9,ESL567M063AK2(1),2050,79
63,560,21.315,0.047,16,20,9,ESL567M063AM5AA,1980,79
63,680,17.554,0.036,12.5,35,9,ESL687M063AK3(1),2250,79
63,680,17.554,0.035,16,25,9,ESL687M063AM7AA,2315,79
63,820,14.557,0.03,12.5,40,9,ESL827M063AK4(1),2430,79
63,820,14.557,0.035,16,25,9,ESL827M063AM7AA,2480,79
63,1000,11.937,0.026,16,30,9,ESL108M063AM9AA,2620,79
63,1200,9.947,0.026,16,30,9,ESL128M063AM9AA,2650,79
63,1200,9.947,0.034,18,25,9,ESL128M063AN5AA,2610,79
63,1500,7.958,0.023,16,35,9,ESL158M063AMPAA,2730,79
63,1500,7.958,0.028,18,30,9,ESL158M063AN8AA,2780,79
63,1800,6.631,0.021,16,40,9,ESL188M063AM4AA,3250,79
63,2200,6.631,0.028,18,40,11,ESL228M063AN3AA,3430,79
100,0.47,25397.087,1.85,5,11,9,ESL474M100AC3(1),95,125
100,1,11936.631,1.85,5,11,9,ESL105M100AC3(1),105,125
100,1.8,6631.462,1.8,5,11,9,ESL185M100AC3(1),105,125
100,2.2,5425.741,1.8,5,11,9,ESL225M100AC3(1),115,125
100,2.7,4420.974,1.8,5,11,9,ESL275M100AC3(1),115,125
100,3.3,3617.161,1.8,5,11,9,ESL335M100AC3(1),125,125
100,3.9,3060.675,1.8,5,11,9,ESL395M100AC3(1),135,125
100,4.7,2539.709,1.8,5,11,9,ESL475M100AC3(1),145,125
100,5.6,2131.541,1.25,6.3,11,9,ESL565M100AE3(1),205,125
100,6.8,1755.387,1.25,6.3,11,9,ESL685M100AE3(1),235,125
100,8.2,1455.687,1.05,6.3,11,9,ESL825M100AE3(1),255,125
100,10,1193.663,0.68,6.3,11,9,ESL106M100AE3(1),280,125
100,12,994.719,0.39,8,11.5,9,ESL126M100AGM(1),320,125
100,15,795.775,0.65,8,11.5,9,ESL156M100AGM(1),320,125
100,18,663.146,0.6,8,11.5,9,ESL186M100AGM(1),345,125
100,22,542.574,0.52,8,11.5,9,ESL226M100AGM(1),365,125
100,27,442.097,0.56,10,12.5,9,ESL276M100AH9(1),460,125
100,27,442.097,0.55,8,16,9,ESL276M100AG8(1),455,125
100,33,361.716,0.48,10,12.5,9,ESL336M100AH9(1),475,125
100,33,361.716,0.46,8,16,9,ESL336M100AG8(1),465,125
100,39,306.067,0.38,10,12.5,9,ESL396M100AH9(1),485,125
100,47,253.971,0.32,10,12.5,9,ESL476M100AH9(1),510,125
100,56,213.154,0.28,10,12.5,9,ESL566M100AH9(1),540,125
100,68,175.539,0.28,8,20,9,ESL686M100AG6(1),675,125
100,82,145.569,0.19,10,16,9,ESL826M100AH8(1),785,125
100,100,119.366,0.13,10,20,9,ESL107M100AH4(1),865,125
100,100,119.366,0.14,12.5,15,9,ESL107M100AK7(1),845,125
100,120,99.472,0.12,10,25,9,ESL127M100AH5(1),1050,125
100,150,79.578,0.085,12.5,20,9,ESL157M100AK5(1),1440,125
100,180,66.315,0.066,12.5,25,9,ESL187M100AK1(1),1460,125
100,220,54.257,0.066,12.5,25,9,ESL227M100AK1(1),1630,125
100,270,44.21,0.056,12.5,30,9,ESL277M100AK2(1),1620,125
100,270,44.21,0.064,16,20,9,ESL277M100AM5AA,1650,125
100,330,36.172,0.047,12.5,35,9,ESL337M100AK3(1),1950,125
100,330,36.172,0.048,16,25,9,ESL337M100AM7AA,1920,125
100,390,30.607,0.04,12.5,40,9,ESL397M100AK4(1),2050,125
100,470,25.397,0.036,16,30,9,ESL477M100AM9AA,2010,125
100,560,21.315,0.032,16,35,9,ESL567M100AMPAA,2430,125
100,560,21.315,0.034,18,30,9,ESL567M100AN8AA,2480,125
100,680,17.554,0.03,16,40,9,ESL687M100AM4AA,2680,125
100,680,17.554,0.03,18,35,9,ESL687M100ANAAA,2870,125
100,820,14.557,0.028,18,40,9,ESL827M100AN3AA,3250,125
160,1.8,11052.436,13.94,6.3,11,15,ESL185M160AE3(1),65,200
160,2.2,9042.902,13.94,6.3,11,15,ESL225M160AE3(1),70,200
160,2.7,7368.291,13.94,6.3,11,15,ESL275M160AE3(1),75,200
160,3.3,6028.601,13.94,6.3,11,15,ESL335M160AE3(1),80,200
160,3.9,5101.124,13.94,6.3,11,15,ESL395M160AE3(1),85,200
160,4.7,4232.848,11.3,8,11.5,15,ESL475M160AGM(1),85,200
160,5.6,3552.569,11.3,8,11.5,15,ESL565M160AGM(1),100,200
160,6.8,2925.645,11.3,8,11.5,15,ESL685M160AGM(1),105,200
160,8.2,2426.144,11.3,8,11.5,15,ESL825M160AGM(1),115,200
160,10,1989.438,7.5,8,16,15,ESL106M160AG8(1),135,200
160,12,1657.865,7.5,8,16,15,ESL126M160AG8(1),140,200
160,15,1326.292,4.27,10,12.5,15,ESL156M160AH9(1),290,200
160,15,1326.292,4.27,8,16,15,ESL156M160AG8(1),285,200
160,18,1105.244,4.27,8,16,15,ESL186M160AG8(1),310,200
160,22,904.29,2.25,10,16,15,ESL226M160AH8(1),390,200
160,22,904.29,2.25,8,20,15,ESL226M160AG6(1),390,200
160,27,736.829,2.25,10,16,15,ESL276M160AH8(1),410,200
160,33,602.86,1.87,10,20,15,ESL336M160AH4(1),530,200
160,33,602.86,1.87,12.5,15,15,ESL336M160AK7(1),570,200
160,39,510.112,1.87,10,25,15,ESL396M160AH5(1),590,200
160,39,510.112,1.87,12.5,15,15,ESL396M160AK7(1),590,200
160,47,423.285,1.87,10,25,15,ESL476M160AH5(1),610,200
160,47,423.285,1.87,12.5,20,15,ESL476M160AK5(1),630,200
160,56,355.257,1.55,12.5,20,15,ESL566M160AK5(1),740,200
160,56,355.257,1.55,8,50,15,ESL566M160AGG(1),740,200
160,68,292.564,1.1,12.5,20,15,ESL686M160AK5(1),800,200
160,82,242.614,1.1,12.5,25,15,ESL826M160AK1(1),830,200
160,100,198.944,1.1,10,50,15,ESL107M160AHE(1),1210,200
160,100,198.944,1.1,16,20,15,ESL107M160AM5AA,1120,200
160,120,165.787,0.91,16,25,15,ESL127M160AM7AA,1240,200
160,150,132.629,0.91,12.5,50,15,ESL157M160AKB(1),1280,200
160,150,132.629,0.91,16,30,15,ESL157M160AM9AA,1280,200
160,180,110.524,0.81,16,30,15,ESL187M160AM9AA,1360,200
160,220,90.429,0.81,18,30,15,ESL227M160AN8AA,1410,200
160,270,73.683,0.67,18,35,15,ESL277M160ANAAA,1500,200
160,330,60.286,0.67,18,40,15,ESL337M160AN3AA,1590,200
200,2.2,9042.902,14.5,6.3,11,15,ESL225M200AE3(1),75,250
200,2.7,7368.291,14.5,6.3,11,15,ESL275M200AE3(1),80,250
200,3.3,6028.601,10.15,6.3,11,15,ESL335M200AE3(1),95,250
200,3.9,5101.124,10.15,6.3,11,15,ESL395M200AE3(1),105,250
200,4.7,4232.848,10.15,8,11.5,15,ESL475M200AGM(1),130,250
200,5.6,3552.569,7.98,8,11.5,15,ESL565M200AGM(1),135,250
200,6.8,2925.645,7.98,8,11.5,15,ESL685M200AGM(1),145,250
200,8.2,2426.144,7.98,8,11.5,15,ESL825M200AGM(1),165,250
200,10,1989.438,3.65,8,12,15,ESL106M200AG9(1),175,250
200,12,1657.865,3.65,8,16,15,ESL126M200AG8(1),190,250
200,15,1326.292,3.65,8,16,15,ESL156M200AG8(1),360,250
200,18,1105.244,3.24,10,16,15,ESL186M200AH8(1),385,250
200,22,904.29,3.24,10,16,15,ESL226M200AH8(1),390,250
200,27,736.829,2.38,10,20,15,ESL276M200AH4(1),410,250
200,33,602.86,1.65,10,25,15,ESL336M200AH5(1),530,250
200,39,510.112,1.38,12.5,20,15,ESL396M200AK5(1),620,250
200,47,423.285,1.38,12.5,20,15,ESL476M200AK5(1),630,250
200,47,423.285,1.38,8,50,15,ESL476M200AGG(1),650,250
200,56,355.257,1.25,10,50,15,ESL566M200AHE(1),670,250
200,56,355.257,1.25,12.5,25,15,ESL566M200AK1(1),670,250
200,68,292.564,1.25,12.5,30,15,ESL686M200AK2(1),850,250
200,82,242.614,1.15,16,25,15,ESL826M200AM7AA,860,250
200,100,198.944,1.15,16,25,15,ESL107M200AM7AA,930,250
200,120,165.787,1.03,16,30,15,ESL127M200AM9AA,1090,250
200,150,132.629,1.03,16,35,15,ESL157M200AMPAA,1125,250
200,180,110.524,0.8,18,30,15,ESL187M200AN8AA,1340,250
200,220,90.429,0.74,18,35,15,ESL227M200ANAAA,1420,250
250,2.2,9042.902,10.15,6.3,11,15,ESL225M250AE3(1),80,300
250,2.7,7368.291,10.15,6.3,11,15,ESL275M250AE3(1),90,300
250,3.3,6028.601,10.15,6.3,11,15,ESL335M250AE3(1),100,300
250,3.9,5101.124,10.15,8,11.5,15,ESL395M250AGM(1),110,300
250,4.7,4232.848,10.15,8,11.5,15,ESL475M250AGM(1),135,300
250,5.6,3552.569,9,8,11.5,15,ESL565M250AGM(1),150,300
250,6.8,2925.645,6.7,8,11.5,15,ESL685M250AGM(1),160,300
250,8.2,2426.144,3.65,8,12,15,ESL825M250AG9(1),170,300
250,10,1989.438,3.65,10,12.5,15,ESL106M250AH9(1),250,300
250,10,1989.438,3.65,8,16,15,ESL106M250AG8(1),250,300
250,15,1326.292,3.24,10,16,15,ESL156M250AH8(1),390,300
250,15,1326.292,3.24,8,20,15,ESL156M250AG6(1),380,300
250,18,1105.244,3.24,10,16,15,ESL186M250AH8(1),410,300
250,22,904.29,3.24,10,20,15,ESL226M250AH4(1),475,300
250,33,602.86,1.38,12.5,20,15,ESL336M250AK5(1),570,300
250,33,602.86,1.38,8,50,15,ESL336M250AGG(1),570,300
250,47,423.285,1.38,12.5,25,15,ESL476M250AK1(1),650,300
250,56,355.257,1.25,12.5,30,15,ESL566M250AK2(1),750,300
250,68,292.564,1.25,10,50,15,ESL686M250AHE(1),870,300
250,68,292.564,1.25,12.5,30,15,ESL686M250AK2(1),870,300
250,82,242.614,1.15,16,30,15,ESL826M250AM9AA,910,300
250,100,198.944,1.18,12.5,50,15,ESL107M250AKB(1),960,300
250,100,198.944,1.18,16,30,15,ESL107M250AM9AA,960,300
250,120,165.787,1.02,18,30,15,ESL127M250AN8AA,1210,300
250,150,132.629,0.98,18,30,15,ESL157M250AN8AA,1400,300
250,180,110.524,0.74,18,35,15,ESL187M250ANAAA,1540,300
250,220,90.429,0.61,18,40,15,ESL227M250AN3AA,1620,300
350,1,26525.846,21.5,6.3,11,20,ESL105M350AE3(1),55,400
350,1.2,22104.872,21.5,6.3,11,20,ESL125M350AE3(1),55,400
350,1.5,17683.898,21.5,6.3,11,20,ESL155M350AE3(1),60,400
350,1.8,14736.581,21.5,6.3,11,20,ESL185M350AE3(1),65,400
350,2.2,12057.203,21.5,6.3,11,20,ESL225M350AE3(1),70,400
350,2.7,9824.388,15.71,8,11.5,20,ESL275M350AGM(1),85,400
350,3.3,8038.135,15.72,8,11.5,20,ESL335M350AGM(1),95,400
350,3.9,6801.499,15.72,8,11.5,20,ESL395M350AGM(1),100,400
350,4.7,5643.797,15.72,8,11.5,20,ESL475M350AGM(1),130,400
350,5.6,4736.758,10.51,10,12.5,20,ESL565M350AH9(1),155,400
350,5.6,4736.758,10.51,8,16,20,ESL565M350AG8(1),155,400
350,6.8,3900.86,10.51,10,12.5,20,ESL685M350AH9(1),170,400
350,8.2,3234.859,7.5,10,16,20,ESL825M350AH8(1),240,400
350,8.2,3234.859,7.5,8,20,20,ESL825M350AG6(1),240,400
350,10,2652.585,7.5,10,16,20,ESL106M350AH8(1),250,400
350,15,1768.39,6.2,10,25,20,ESL156M350AH5(1),340,400
350,15,1768.39,6.2,12.5,15,20,ESL156M350AK7(1),340,400
350,18,1473.658,6.2,10,25,20,ESL186M350AH5(1),430,400
350,18,1473.658,3.1,12.5,20,20,ESL186M350AK5(1),430,400
350,22,1205.72,3.1,12.5,20,20,ESL226M350AK5(1),475,400
350,22,1205.72,3.1,8,50,20,ESL226M350AGG(1),475,400
350,33,803.814,2.25,10,50,20,ESL336M350AHE(1),570,400
350,33,803.814,2.25,12.5,25,20,ESL336M350AK1(1),570,400
350,47,564.38,2.25,16,25,20,ESL476M350AM7AA,800,400
350,56,473.676,2.02,16,30,20,ESL566M350AM9AA,840,400
350,68,390.086,1.38,12.5,50,20,ESL686M350AKB(1),880,400
350,68,390.086,1.38,18,25,20,ESL686M350AN5AA,880,400
350,82,323.486,1.38,18,30,20,ESL826M350AN8AA,940,400
350,100,265.258,1.25,18,35,20,ESL107M350ANAAA,1120,400
350,120,221.049,1.25,18,35,20,ESL127M350ANAAA,1200,400
400,1,26525.846,25,6.3,11,20,ESL105M400AE3(1),65,450
400,1.2,22104.872,25,6.3,11,20,ESL125M400AE3(1),70,450
400,1.5,17683.898,25,6.3,11,20,ESL155M400AE3(1),75,450
400,1.8,14736.581,25,6.3,11,20,ESL185M400AE3(1),85,450
400,2.2,12057.203,20,8,11.5,20,ESL225M400AGM(1),90,450
400,2.7,9824.388,15.72,8,11.5,20,ESL275M400AGM(1),95,450
400,3.3,8038.135,15.72,8,11.5,20,ESL335M400AGM(1),100,450
400,3.9,6801.499,15.72,8,11.5,20,ESL395M400AGM(1),105,450
400,4.7,5643.797,12,8,11.5,20,ESL475M400AGM(1),110,450
400,4.7,5643.797,12,8,16,20,ESL475M400AG8(1),115,450
400,5.6,4736.758,10.5,10,12.5,20,ESL565M400AH9(1),180,450
400,5.6,4736.758,10.51,8,16,20,ESL565M400AG8(1),160,450
400,6.8,3900.86,8.7,10,16,20,ESL685M400AH8(1),220,450
400,6.8,3900.86,8.7,8,20,20,ESL685M400AG6(1),180,450
400,8.2,3234.859,7.5,10,16,20,ESL825M400AH8(1),252,450
400,10,2652.585,4.9,10,20,20,ESL106M400AH4(1),288,450
400,15,1768.39,4.2,12.5,20,20,ESL156M400AK5(1),400,450
400,18,1473.658,4.2,12.5,20,20,ESL186M400AK5(1),470,450
400,22,1205.72,2.25,12.5,25,20,ESL226M400AK1(1),475,450
