Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
25,330,0.563,190,10,12.5,-55,105,0.14,2000,248,2000,UPS1E331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,MP,Normal,1.49
25,470,0.395,140,10,16,-55,105,0.14,2000,353,1800,UPS1E471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,800,MP,Normal,1.77
25,680,0.273,110,10,20,-55,105,0.14,2000,510,1400,UPS1E681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1000,MP,Normal,2.34
25,1000,0.186,75,12.5,20,-55,105,0.14,3000,750,1000,UPS1E102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,MP,Normal,3.43
25,1500,0.124,38,16,25,-55,105,0.14,3000,1125,400,UPS1E152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,MP,Normal,8.2
25,2200,0.096,38,16,25,-55,105,0.16,3000,1650,400,UPS1E222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,MP,Normal,8.2
25,3300,0.072,33,16,30.5,-55,105,0.18,3000,2475,300,UPS1E332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,MP,Normal,9.6
25,4700,0.056,30,18,35.5,-55,105,0.2,3000,3525,250,UPS1E472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,MP,Normal,14.2
25,6800,0.047,27,18,40,-55,105,0.24,3000,5100,200,UPS1E682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3300,MP,Normal,17.7
35,4.7,33.863,1500,5,11,-55,105,0.12,2000,5,6000,UPS1V4R7MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
35,10,15.916,1500,5,11,-55,105,0.12,2000,11,6000,UPS1V100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
35,22,7.234,1500,5,11,-55,105,0.12,2000,23,6000,UPS1V220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
35,33,4.823,1500,5,11,-55,105,0.12,2000,35,6000,UPS1V330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,EOL,Normal,0.44
35,47,3.386,500,6.3,11,-55,105,0.12,2000,49,4000,UPS1V470MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,EOL,Normal,0.59
35,100,1.592,280,8,11.5,-55,105,0.12,2000,105,3000,UPS1V101MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,MP,Normal,1.19
35,150,1.061,280,8,11.5,-55,105,0.12,2000,158,3000,UPS1V151MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,MP,Normal,1.19
35,220,0.723,190,10,12.5,-55,105,0.12,2000,231,2000,UPS1V221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,MP,Normal,1.49
35,330,0.482,140,10,16,-55,105,0.12,2000,347,1800,UPS1V331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,800,MP,Normal,1.77
35,470,0.339,110,10,20,-55,105,0.12,2000,494,1400,UPS1V471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,100,MP,Normal,2.34
35,680,0.234,75,12.5,20,-55,105,0.12,3000,714,1000,UPS1V681MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,MP,Normal,3.43
35,1000,0.159,57,12.5,25,-55,105,0.12,3000,1050,800,UPS1V102MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1550,MP,Normal,4.56
