Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
160,220,0.2,12.5,35.5,-40,105,1.206,12000,1508,500,UCY2C221MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1890,1890,1050,1680,840,MP,35200,Normal,7.06
160,220,0.2,12.5,40,-40,105,1.206,12000,1508,400,UCY2C221MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2160,2160,1200,1920,960,MP,35200,Normal,7.57
160,220,0.2,16,25,-40,105,1.206,12000,1508,400,UCY2C221MHD3,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2133,2133,1185,1896,948,MP,35200,Normal,8.2
160,220,0.2,18,20,-40,105,1.206,10000,1508,400,UCY2C221MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,1989,1989,1105,1768,884,MP,35200,Normal,9
160,270,0.2,12.5,40,-40,105,0.982,12000,1828,400,UCY2C271MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2340,2340,1300,2080,1040,MP,43200,Normal,7.57
160,270,0.2,18,25,-40,105,0.982,12000,1828,300,UCY2C271MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2223,2223,1235,1976,988,MP,43200,Normal,10.6
160,330,0.2,16,30.5,-40,105,0.804,12000,2212,300,UCY2C331MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2718,2718,1510,2416,1208,MP,52800,Normal,9.6
160,330,0.2,18,25,-40,105,0.804,12000,2212,300,UCY2C331MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2601,2601,1445,2312,1156,MP,52800,Normal,10.6
160,390,0.2,16,35.5,-40,105,0.68,12000,2596,300,UCY2C391MHD9,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,2718,2718,1510,2416,1208,MP,62400,Normal,11.8
160,390,0.2,16,40,-40,105,0.68,12000,2596,300,UCY2C391MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3114,3114,1730,2768,1384,MP,62400,Normal,14.1
160,390,0.2,18,30.5,-40,105,0.68,12000,2596,300,UCY2C391MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3051,3051,1695,2712,1356,MP,62400,Normal,13.1
160,470,0.2,16,40,-40,105,0.564,12000,3108,300,UCY2C471MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3114,3114,1730,2768,1384,MP,75200,Normal,14.1
160,470,0.2,18,35.5,-40,105,0.564,12000,3108,250,UCY2C471MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,3456,3456,1920,3072,1536,MP,75200,Normal,14.2
