Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
25,150,0.14,0.094,6.3,11,1.238,0.35,540,496.8,270,394.2,3750
25,330,0.14,0.056,8,11.5,0.563,0.19,945,887.88,519.23,726.92,8250
25,390,0.14,0.045,8,16,0.476,0.15,1250,1174.45,686.81,961.54,9750
25,470,0.14,0.039,10,12.5,0.395,0.14,1330,1249.62,730.77,1023.08,11750
25,560,0.14,0.029,8,20,0.332,0.11,1500,1409.34,824.18,1153.85,14000
25,680,0.14,0.028,10,16,0.273,0.1,1760,1653.63,967.03,1353.85,17000
25,820,0.14,0.02,10,20,0.226,0.06,1960,1877.84,1173.65,1560.96,20500
25,1000,0.14,0.018,10,23,0.212,0.054,2250,2155.69,1347.31,1791.92,25000
25,1500,0.14,0.017,12.5,20,0.141,0.043,2480,2376.05,1485.03,1975.09,37500
25,1800,0.14,0.015,12.5,25,0.118,0.038,2900,2778.44,1736.53,2309.58,45000
25,2200,0.14,0.013,12.5,30,0.109,0.033,3450,3377.62,2412.59,2919.23,55000
25,2200,0.14,0.015,16,20,0.109,0.038,3250,3181.82,2272.73,2750,55000
25,2700,0.14,0.012,12.5,35,0.088,0.031,3570,3495.1,2496.5,3020.77,67500
25,3300,0.14,0.013,16,25,0.08,0.035,3630,3553.85,2538.46,3071.54,82500
35,47,0.12,0.22,5,11,3.386,0.8,345,317.4,172.5,251.85,1645
35,100,0.12,0.094,6.3,11,1.592,0.35,540,496.8,270,394.2,3500
35,220,0.12,0.056,8,11.5,0.723,0.19,945,869.4,472.5,689.85,7700
35,270,0.12,0.045,8,16,0.589,0.15,1250,1150,625,912.5,9450
35,330,0.12,0.039,10,12.5,0.482,0.14,1330,1249.62,730.77,1023.08,11550
35,390,0.12,0.029,8,20,0.408,0.11,1500,1409.34,824.18,1153.85,13650
35,470,0.12,0.028,10,16,0.339,0.1,1760,1653.63,967.03,1353.85,16450
35,560,0.12,0.02,10,20,0.284,0.06,1960,1841.54,1076.92,1507.69,19600
35,680,0.12,0.018,10,23,0.234,0.054,2250,2114.01,1236.26,1730.77,23800
35,1000,0.12,0.017,12.5,20,0.186,0.043,2480,2376.05,1485.03,1975.09,35000
35,1200,0.12,0.015,12.5,25,0.155,0.038,2900,2778.44,1736.53,2309.58,42000
35,1500,0.12,0.013,12.5,30,0.124,0.033,3450,3305.39,2065.87,2747.6,52500
35,1500,0.12,0.015,16,20,0.124,0.038,3250,3113.77,1946.11,2588.32,52500
35,1800,0.12,0.012,12.5,35,0.103,0.031,3570,3420.36,2137.72,2843.17,63000
35,2200,0.12,0.013,16,25,0.096,0.035,3630,3553.85,2538.46,3071.54,77000
50,27,0.1,0.34,5,11,4.912,1.18,238,214,100,167,1350
50,56,0.1,0.14,6.3,11,2.368,0.5,385,354.2,192.5,281.05,2800
50,100,0.1,0.074,8,11.5,1.326,0.22,724,666.08,362,528.52,5000
50,120,0.1,0.061,8,16,1.105,0.18,950,874,475,693.5,6000
50,150,0.1,0.061,10,12.5,0.884,0.18,979,900.68,489.5,714.67,7500
50,180,0.1,0.046,8,20,0.737,0.14,1190,1094.8,595,868.7,9000
50,220,0.1,0.042,10,16,0.603,0.12,1370,1260.4,685,1000.1,11000
50,270,0.1,0.03,10,20,0.491,0.09,1580,1453.6,790,1153.4,13500
50,330,0.1,0.028,10,23,0.402,0.085,1870,1756.98,1027.47,1438.46,16500
50,470,0.1,0.027,12.5,20,0.282,0.068,2050,1926.1,1126.37,1576.92,23500
50,560,0.1,0.023,12.5,25,0.237,0.059,2410,2264.34,1324.18,1853.85,28000
50,680,0.1,0.021,12.5,30,0.195,0.052,2860,2687.14,1571.43,2200,34000
50,820,0.1,0.019,12.5,35,0.162,0.051,2960,2835.93,1772.46,2357.37,41000
50,820,0.1,0.023,16,20,0.162,0.059,2730,2615.57,1634.73,2174.19,41000
50,1000,0.1,0.021,16,25,0.159,0.056,3010,2883.83,1802.4,2397.19,50000
63,18,0.09,0.88,5,11,6.631,3.5,173,155.55,72.69,121.39,1134
63,47,0.09,0.35,6.3,11,2.54,1.4,278,255.76,139,202.94,2961
63,82,0.09,0.22,8,11.5,1.456,0.88,525,483,262.5,383.25,5166
63,100,0.09,0.16,8,16,1.194,0.64,688,632.96,344,502.24,6300
63,120,0.09,0.15,10,12.5,0.995,0.6,725,667,362.5,529.25,7560
63,150,0.09,0.12,8,20,0.796,0.48,861,792.12,430.5,628.53,9450
63,180,0.09,0.11,10,16,0.663,0.44,998,918.16,499,728.54,11340
63,270,0.09,0.078,10,20,0.442,0.31,1200,1104,600,876,17010
63,270,0.09,0.082,12.5,16,0.442,0.27,1200,1104,600,876,17010
63,330,0.09,0.069,10,23,0.362,0.28,1410,1324.78,774.73,1084.62,20790
63,390,0.09,0.06,12.5,20,0.306,0.19,1570,1475.11,862.64,1207.69,24570
63,470,0.09,0.043,12.5,25,0.254,0.14,1990,1869.73,1093.41,1530.77,29610
63,560,0.09,0.035,12.5,30,0.213,0.13,2410,2264.34,1324.18,1853.85,35280
63,560,0.09,0.043,16,20,0.213,0.14,2100,1973.08,1153.85,1615.38,35280
63,680,0.09,0.033,12.5,35,0.176,0.11,2620,2461.65,1439.56,2015.38,42840
63,820,0.09,0.027,12.5,40,0.146,0.09,2940,2816.77,1760.48,2341.44,51660
63,820,0.09,0.032,16,25,0.146,0.096,2730,2615.57,1634.73,2174.19,51660
63,820,0.09,0.038,18,20,0.146,0.1,2500,2395.21,1497.01,1991.02,51660
63,1200,0.09,0.024,16,31.5,0.122,0.068,2990,2864.67,1790.42,2381.26,75600
63,1200,0.09,0.031,18,25,0.122,0.084,2800,2682.63,1676.65,2229.94,75600
63,1500,0.09,0.021,16,35.5,0.097,0.057,3040,2912.57,1820.36,2421.08,94500
63,1500,0.09,0.025,18,31.5,0.097,0.068,3300,3161.68,1976.05,2628.14,94500
63,1800,0.09,0.019,16,40,0.081,0.057,3570,3420.36,2137.72,2843.17,113400
63,1800,0.09,0.02,18,35.5,0.081,0.054,3570,3420.36,2137.72,2843.17,113400
63,2200,0.09,0.018,18,40,0.078,0.049,3670,3593.01,2566.43,3105.38,138600
80,12,0.08,1.4,5,11,8.842,5.6,163,146.56,68.49,114.37,960
80,33,0.08,0.57,6.3,11,3.215,2.3,267,240.08,112.18,187.35,2640
80,56,0.08,0.36,8,11.5,1.895,1.4,462,425.04,231,337.26,4480
80,68,0.08,0.25,8,16,1.56,1,585,538.2,292.5,427.05,5440
80,82,0.08,0.23,10,12.5,1.294,0.96,624,574.08,312,455.52,6560
80,100,0.08,0.19,8,20,1.061,0.76,735,676.2,367.5,536.55,8000
80,120,0.08,0.17,10,16,0.884,0.72,780,717.6,390,569.4,9600
80,180,0.08,0.12,10,20,0.589,0.52,1040,956.8,520,759.2,14400
80,180,0.08,0.13,12.5,16,0.589,0.43,975,897,487.5,711.75,14400
80,220,0.08,0.11,10,23,0.482,0.47,1170,1076.4,585,854.1,17600
80,270,0.08,0.085,12.5,20,0.393,0.31,1430,1315.6,715,1043.9,21600
80,330,0.08,0.06,12.5,25,0.322,0.23,1620,1522.09,890.11,1246.15,26400
80,390,0.08,0.051,12.5,30,0.272,0.21,1950,1832.14,1071.43,1500,31200
80,390,0.08,0.058,16,20,0.272,0.21,1750,1644.23,961.54,1346.15,31200
80,470,0.08,0.043,12.5,35,0.226,0.17,2140,2010.66,1175.82,1646.15,37600
80,560,0.08,0.036,12.5,40,0.189,0.15,2340,2198.57,1285.71,1800,44800
80,560,0.08,0.044,16,25,0.189,0.16,2210,2076.43,1214.29,1700,44800
80,560,0.08,0.054,18,20,0.189,0.18,1950,1832.14,1071.43,1500,44800
80,680,0.08,0.033,16,31.5,0.156,0.12,2400,2254.95,1318.68,1846.15,54400
80,820,0.08,0.029,16,35.5,0.129,0.1,2600,2491.02,1556.89,2070.66,65600
80,820,0.08,0.038,18,25,0.129,0.13,2270,2174.85,1359.28,1807.84,65600
80,1000,0.08,0.027,16,40,0.133,0.09,2860,2740.12,1712.57,2277.72,80000
80,1000,0.08,0.031,18,31.5,0.133,0.11,2470,2366.47,1479.04,1967.13,80000
80,1200,0.08,0.027,18,35.5,0.111,0.084,2860,2740.12,1712.57,2277.72,96000
80,1500,0.08,0.026,18,40,0.088,0.076,3510,3362.87,2101.8,2795.39,120000
100,8.2,0.08,1.4,5,11,12.939,5.6,163,146.56,68.49,114.37,819.9999999999999
100,18,0.08,0.57,6.3,11,5.895,2.3,267,240.08,112.18,187.35,1800
100,33,0.08,0.36,8,11.5,3.215,1.4,462,415.41,194.12,324.18,3300
100,47,0.08,0.25,8,16,2.258,1,585,538.2,292.5,427.05,4700
100,56,0.08,0.23,10,12.5,1.895,0.96,624,574.08,312,455.52,5600
100,68,0.08,0.19,8,20,1.56,0.76,735,676.2,367.5,536.55,6800
100,82,0.08,0.17,10,16,1.294,0.72,780,717.6,390,569.4,8200
100,100,0.08,0.12,10,20,1.061,0.52,1040,956.8,520,759.2,10000
100,100,0.08,0.13,12.5,16,1.061,0.43,975,897,487.5,711.75,10000
100,120,0.08,0.11,10,23,0.884,0.47,1170,1076.4,585,854.1,12000
100,150,0.08,0.085,12.5,20,0.707,0.31,1430,1315.6,715,1043.9,15000
100,220,0.08,0.06,12.5,25,0.482,0.23,1620,1490.4,810,1182.6,22000
100,270,0.08,0.051,12.5,30,0.393,0.21,1950,1794,975,1423.5,27000
100,270,0.08,0.058,16,20,0.393,0.21,1750,1610,875,1277.5,27000
100,330,0.08,0.043,12.5,35,0.322,0.17,2140,2010.66,1175.82,1646.15,33000
100,390,0.08,0.036,12.5,40,0.272,0.15,2340,2198.57,1285.71,1800,39000
100,390,0.08,0.044,16,25,0.272,0.16,2210,2076.43,1214.29,1700,39000
100,390,0.08,0.054,18,20,0.272,0.18,1950,1832.14,1071.43,1500,39000
100,470,0.08,0.033,16,31.5,0.226,0.12,2400,2254.95,1318.68,1846.15,47000
100,470,0.08,0.038,18,25,0.226,0.13,2270,2132.8,1247.25,1746.15,47000
100,560,0.08,0.029,16,35.5,0.189,0.1,2600,2442.86,1428.57,2000,56000
100,560,0.08,0.031,18,31.5,0.189,0.11,2470,2320.71,1357.14,1900,56000
100,680,0.08,0.027,16,40,0.156,0.09,2860,2687.14,1571.43,2200,68000
100,680,0.08,0.027,18,35.5,0.156,0.084,2860,2687.14,1571.43,2200,68000
100,820,0.08,0.026,18,40,0.129,0.076,3510,3362.87,2101.8,2795.39,82000
