Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Impedance -10°C@100kHz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
35,820,0.076,0.07,0.025,12.5,20,0.12,0.194,0.075,2600,2491.02,1556.89,2070.66,28700
35,1000,0.073,0.067,0.025,12.5,20,0.12,0.186,0.075,2600,2491.02,1556.89,2070.66,35000
35,1200,0.06,0.055,0.019,12.5,25,0.12,0.155,0.057,3200,3065.87,1916.17,2548.5,42000
35,1500,0.048,0.044,0.018,12.5,30,0.12,0.124,0.054,3660,3506.59,2191.62,2914.85,52500
35,1500,0.048,0.044,0.021,16,20,0.12,0.124,0.063,3330,3190.42,1994.01,2652.04,52500
35,1800,0.04,0.037,0.016,12.5,35,0.12,0.103,0.048,4120,3947.31,2467.07,3281.2,63000
35,1800,0.04,0.037,0.017,16,25,0.12,0.103,0.051,3810,3650.3,2281.44,3034.31,63000
50,27,1.073,0.867,0.48,5,11,0.1,4.912,1.5,310,278.74,130.25,217.52,1350
50,56,0.7,0.592,0.22,6.3,11,0.1,2.368,0.66,500,460,250,365,2800
50,100,0.392,0.332,0.12,8,11.5,0.1,1.326,0.36,950,874,475,693.5,5000
50,120,0.326,0.276,0.11,8,11.5,0.1,1.105,0.33,1300,1196,650,949,6000
50,120,0.326,0.276,0.082,8,16,0.1,1.105,0.25,1230,1131.6,615,897.9,6000
50,150,0.261,0.221,0.073,10,12.5,0.1,0.884,0.22,1280,1177.6,640,934.4,7500
50,180,0.218,0.184,0.081,8,16,0.1,0.737,0.24,1700,1564,850,1241,9000
50,180,0.218,0.184,0.058,8,20,0.1,0.737,0.18,1580,1453.6,790,1153.4,9000
50,220,0.178,0.151,0.071,10,12.5,0.1,0.603,0.21,1700,1564,850,1241,11000
50,220,0.178,0.151,0.053,10,16,0.1,0.603,0.16,1650,1518,825,1204.5,11000
50,270,0.145,0.123,0.058,8,20,0.1,0.491,0.17,2100,1932,1050,1533,13500
50,330,0.137,0.121,0.052,10,16,0.1,0.402,0.16,2100,1973.08,1153.85,1615.38,16500
50,330,0.137,0.121,0.038,10,20,0.1,0.402,0.12,2060,1935.49,1131.87,1584.62,16500
50,390,0.116,0.103,0.032,10,25,0.1,0.34,0.1,2420,2273.74,1329.67,1861.54,19500
50,470,0.097,0.085,0.037,10,20,0.1,0.282,0.11,2500,2348.9,1373.63,1923.08,23500
50,470,0.097,0.085,0.04,12.5,16,0.1,0.282,0.12,2200,2067.03,1208.79,1692.31,23500
50,470,0.097,0.085,0.032,12.5,20,0.1,0.282,0.1,2300,2160.99,1263.74,1769.23,23500
50,560,0.081,0.072,0.031,10,25,0.1,0.237,0.093,2900,2724.73,1593.41,2230.77,28000
50,680,0.067,0.059,0.029,12.5,20,0.1,0.195,0.087,2700,2536.81,1483.52,2076.92,34000
50,680,0.067,0.059,0.025,12.5,25,0.1,0.195,0.08,2800,2630.77,1538.46,2153.85,34000
50,820,0.063,0.058,0.023,12.5,30,0.1,0.162,0.074,3370,3228.74,2017.96,2683.89,41000
50,820,0.063,0.058,0.026,16,20,0.1,0.162,0.084,3070,2941.32,1838.32,2444.97,41000
50,1000,0.062,0.057,0.022,12.5,25,0.1,0.159,0.066,3000,2874.25,1796.41,2389.22,50000
50,1000,0.062,0.057,0.02,12.5,30,0.1,0.159,0.06,3500,3353.29,2095.81,2787.43,50000
50,1000,0.062,0.057,0.021,12.5,35,0.1,0.159,0.067,3810,3650.3,2281.44,3034.31,50000
50,1000,0.062,0.057,0.022,16,25,0.1,0.159,0.07,3510,3362.87,2101.8,2795.39,50000
50,1200,0.052,0.048,0.017,12.5,35,0.1,0.133,0.051,4000,3832.34,2395.21,3185.63,60000
50,1200,0.052,0.048,0.023,16,20,0.1,0.133,0.069,3100,2970.06,1856.29,2468.86,60000
50,1500,0.041,0.038,0.019,12.5,40,0.1,0.106,0.057,4500,4311.38,2694.61,3583.83,75000
50,1500,0.041,0.038,0.018,16,25,0.1,0.106,0.054,3600,3449.1,2155.69,2867.07,75000
50,1500,0.041,0.038,0.029,18,20,0.1,0.106,0.087,3200,3065.87,1916.17,2548.5,75000
50,2200,0.043,0.041,0.018,16,31.5,0.1,0.084,0.054,4100,4013.99,2867.13,3469.23,110000
50,2200,0.043,0.041,0.022,18,25,0.1,0.084,0.066,3700,3622.38,2587.41,3130.77,110000
50,2700,0.035,0.034,0.016,16,35.5,0.1,0.069,0.048,4400,4307.69,3076.92,3723.08,135000
50,2700,0.035,0.034,0.014,16,40,0.1,0.069,0.042,4800,4699.3,3356.64,4061.54,135000
50,2700,0.035,0.034,0.019,18,31.5,0.1,0.069,0.057,4200,4111.89,2937.06,3553.85,135000
50,3300,0.033,0.031,0.016,18,35.5,0.1,0.064,0.048,4600,4503.5,3216.78,3892.31,165000
50,3900,0.028,0.027,0.014,18,40,0.1,0.054,0.042,5000,4895.1,3496.5,4230.77,195000
63,18,1.448,1.171,0.71,5,11,0.09,6.631,3.2,240,215.8,100.84,168.4,1134
63,47,0.75,0.635,0.28,6.3,11,0.09,2.54,1.3,420,386.4,210,306.6,2961
63,82,0.43,0.364,0.18,8,11.5,0.09,1.456,0.79,720,662.4,360,525.6,5166
63,100,0.353,0.298,0.13,8,11.5,0.09,1.194,0.39,1000,920,500,730,6300
63,100,0.353,0.298,0.13,8,16,0.09,1.194,0.58,990,910.8,495,722.7,6300
63,120,0.294,0.249,0.095,8,16,0.09,0.995,0.29,1300,1196,650,949,7560
63,120,0.294,0.249,0.11,10,12.5,0.09,0.995,0.44,990,910.8,495,722.7,7560
63,150,0.235,0.199,0.096,8,20,0.09,0.796,0.43,1200,1104,600,876,9450
63,150,0.235,0.199,0.08,10,12.5,0.09,0.796,0.24,1300,1196,650,949,9450
63,180,0.196,0.166,0.069,8,20,0.09,0.663,0.21,1600,1472,800,1168,11340
63,180,0.196,0.166,0.076,10,16,0.09,0.663,0.31,1200,1104,600,876,11340
63,220,0.16,0.136,0.058,10,16,0.09,0.543,0.17,1700,1564,850,1241,13860
63,270,0.131,0.111,0.056,10,20,0.09,0.442,0.23,1570,1444.4,785,1146.1,17010
63,270,0.131,0.111,0.072,12.5,16,0.09,0.442,0.27,1570,1444.4,785,1146.1,17010
63,330,0.124,0.109,0.042,10,20,0.09,0.362,0.13,2000,1879.12,1098.9,1538.46,20790
63,330,0.124,0.109,0.046,10,25,0.09,0.362,0.19,1990,1869.73,1093.41,1530.77,20790
63,330,0.124,0.109,0.045,12.5,16,0.09,0.362,0.14,1900,1785.16,1043.96,1461.54,20790
63,390,0.105,0.092,0.035,10,25,0.09,0.306,0.11,2400,2254.95,1318.68,1846.15,24570
63,390,0.105,0.092,0.041,12.5,20,0.09,0.306,0.13,1990,1869.73,1093.41,1530.77,24570
63,470,0.087,0.077,0.033,12.5,20,0.09,0.254,0.099,2400,2254.95,1318.68,1846.15,29610
63,470,0.087,0.077,0.031,12.5,25,0.09,0.254,0.093,2460,2311.32,1351.65,1892.31,29610
63,560,0.073,0.064,0.028,12.5,30,0.09,0.213,0.084,2760,2593.19,1516.48,2123.08,35280
63,560,0.073,0.064,0.032,16,20,0.09,0.213,0.096,2380,2236.15,1307.69,1830.77,35280
63,680,0.06,0.053,0.025,12.5,25,0.09,0.176,0.075,2800,2630.77,1538.46,2153.85,42840
63,680,0.06,0.053,0.024,12.5,35,0.09,0.176,0.072,3040,2856.26,1670.33,2338.46,42840
63,820,0.057,0.052,0.022,12.5,30,0.09,0.146,0.066,3200,3065.87,1916.17,2548.5,51660
63,820,0.057,0.052,0.025,16,20,0.09,0.146,0.075,2900,2778.44,1736.53,2309.58,51660
63,820,0.057,0.052,0.025,16,25,0.09,0.146,0.075,2890,2768.86,1730.54,2301.62,51660
63,1000,0.057,0.052,0.018,12.5,35,0.09,0.146,0.054,3500,3353.29,2095.81,2787.43,63000
63,1000,0.057,0.052,0.02,16,25,0.09,0.146,0.06,3200,3065.87,1916.17,2548.5,63000
63,1200,0.047,0.044,0.021,12.5,40,0.09,0.122,0.063,3800,3640.72,2275.45,3026.35,75600
63,1200,0.047,0.044,0.032,18,20,0.09,0.122,0.096,3000,2874.25,1796.41,2389.22,75600
63,1500,0.038,0.035,0.02,16,31.5,0.09,0.097,0.06,3500,3353.29,2095.81,2787.43,94500
63,1500,0.038,0.035,0.024,18,25,0.09,0.097,0.072,3200,3065.87,1916.17,2548.5,94500
63,1800,0.032,0.029,0.017,16,35.5,0.09,0.081,0.051,3800,3640.72,2275.45,3026.35,113400
63,1800,0.032,0.029,0.02,18,31.5,0.09,0.081,0.06,3700,3544.91,2215.57,2946.71,113400
63,2200,0.04,0.038,0.015,16,40,0.09,0.078,0.045,4100,4013.99,2867.13,3469.23,138600
63,2200,0.04,0.038,0.017,18,35.5,0.09,0.078,0.051,3900,3818.18,2727.27,3300,138600
63,2700,0.033,0.031,0.015,18,40,0.09,0.064,0.045,4300,4209.79,3006.99,3638.46,170100
80,12,1.931,1.561,0.72,5,11,0.08,8.842,3.2,235,211.3,98.74,164.89,960
80,12,1.931,1.561,1.2,5,11,0.08,8.842,5.4,220,197.82,92.44,154.37,960
80,27,0.858,0.694,0.34,6.3,11,0.08,3.93,1.5,390,350.67,163.87,273.66,2160
80,27,0.858,0.694,0.46,6.3,11,0.08,3.93,2.1,370,332.69,155.46,259.62,2160
80,47,0.667,0.564,0.2,8,11.5,0.08,2.258,0.9,650,598,325,474.5,3760
80,47,0.667,0.564,0.29,8,11.5,0.08,2.258,1.3,620,570.4,310,452.6,3760
80,56,0.56,0.474,0.2,8,16,0.08,1.895,0.9,780,717.6,390,569.4,4480
80,68,0.461,0.39,0.17,10,12.5,0.08,1.56,0.66,780,717.6,390,569.4,5440
80,82,0.382,0.323,0.14,8,16,0.08,1.294,0.63,820,754.4,410,598.6,6560
80,82,0.382,0.323,0.16,8,20,0.08,1.294,0.66,1040,956.8,520,759.2,6560
80,100,0.313,0.265,0.14,10,12.5,0.08,1.061,0.56,860,791.2,430,627.8,8000
80,100,0.313,0.265,0.11,10,16,0.08,1.061,0.47,1040,956.8,520,759.2,8000
80,120,0.261,0.221,0.12,8,20,0.08,0.884,0.54,1090,1002.8,545,795.7,9600
80,150,0.209,0.177,0.09,10,16,0.08,0.707,0.36,1150,1058,575,839.5,12000
80,150,0.209,0.177,0.084,10,20,0.08,0.707,0.34,1430,1315.6,715,1043.9,12000
80,150,0.209,0.177,0.11,12.5,16,0.08,0.707,0.34,1430,1315.6,715,1043.9,12000
80,180,0.174,0.147,0.069,10,25,0.08,0.589,0.28,1620,1490.4,810,1182.6,14400
80,220,0.142,0.121,0.068,10,20,0.08,0.482,0.28,1570,1444.4,785,1146.1,17600
80,220,0.142,0.121,0.09,12.5,16,0.08,0.482,0.27,1430,1315.6,715,1043.9,17600
80,220,0.142,0.121,0.062,12.5,20,0.08,0.482,0.18,1750,1610,875,1277.5,17600
80,270,0.116,0.098,0.055,10,25,0.08,0.393,0.22,1780,1637.6,890,1299.4,21600
80,270,0.116,0.098,0.047,12.5,25,0.08,0.393,0.14,2210,2033.2,1105,1613.3,21600
80,330,0.11,0.097,0.048,12.5,20,0.08,0.322,0.15,1800,1691.21,989.01,1384.62,26400
80,330,0.11,0.097,0.042,12.5,30,0.08,0.322,0.13,2400,2254.95,1318.68,1846.15,26400
80,330,0.11,0.097,0.048,16,20,0.08,0.322,0.15,1950,1832.14,1071.43,1500,26400
80,390,0.093,0.082,0.038,12.5,25,0.08,0.272,0.12,2210,2076.43,1214.29,1700,31200
80,390,0.093,0.082,0.036,12.5,35,0.08,0.272,0.11,2600,2442.86,1428.57,2000,31200
80,470,0.077,0.068,0.033,12.5,30,0.08,0.226,0.11,2520,2367.69,1384.62,1938.46,37600
80,470,0.077,0.068,0.032,12.5,40,0.08,0.226,0.095,2860,2687.14,1571.43,2200,37600
80,470,0.077,0.068,0.036,16,20,0.08,0.226,0.12,2150,2020.05,1181.32,1653.85,37600
80,470,0.077,0.068,0.038,16,25,0.08,0.226,0.12,2430,2283.13,1335.16,1869.23,37600
80,470,0.077,0.068,0.045,18,20,0.08,0.226,0.14,2270,2132.8,1247.25,1746.15,37600
80,560,0.065,0.057,0.026,12.5,35,0.08,0.189,0.078,2860,2687.14,1571.43,2200,44800
80,560,0.065,0.057,0.032,16,31.5,0.08,0.189,0.095,2640,2480.44,1450.55,2030.77,44800
80,680,0.053,0.047,0.028,16,25,0.08,0.156,0.084,2620,2461.65,1439.56,2015.38,54400
80,680,0.053,0.047,0.032,18,20,0.08,0.156,0.096,2280,2142.2,1252.75,1753.85,54400
80,680,0.053,0.047,0.029,16,35.5,0.08,0.156,0.086,2860,2687.14,1571.43,2200,54400
80,680,0.053,0.047,0.036,18,25,0.08,0.156,0.11,2500,2348.9,1373.63,1923.08,54400
80,820,0.051,0.046,0.022,16,31.5,0.08,0.129,0.066,2900,2778.44,1736.53,2309.58,65600
80,820,0.051,0.046,0.027,16,40,0.08,0.129,0.081,3510,3362.87,2101.8,2795.39,65600
80,820,0.051,0.046,0.03,18,31.5,0.08,0.129,0.09,2860,2740.12,1712.57,2277.72,65600
80,1000,0.052,0.048,0.02,16,35.5,0.08,0.133,0.06,3150,3017.96,1886.23,2508.68,80000
80,1000,0.052,0.048,0.027,18,25,0.08,0.133,0.081,2750,2634.73,1646.71,2190.12,80000
80,1000,0.052,0.048,0.027,18,35.5,0.08,0.133,0.081,3510,3362.87,2101.8,2795.39,80000
80,1200,0.043,0.04,0.018,16,40,0.08,0.111,0.054,3710,3554.49,2221.56,2954.67,96000
80,1200,0.043,0.04,0.02,18,31.5,0.08,0.111,0.06,3150,3017.96,1886.23,2508.68,96000
80,1200,0.043,0.04,0.026,18,40,0.08,0.111,0.076,3860,3698.2,2311.38,3074.13,96000
80,1500,0.035,0.032,0.018,18,35.5,0.08,0.088,0.054,3710,3554.49,2221.56,2954.67,120000
80,1800,0.029,0.026,0.017,18,40,0.08,0.074,0.051,4060,3889.82,2431.14,3233.41,144000
120,33,0.702,0.568,0.25,8,16,0.08,3.215,1,585,526.01,245.8,410.48,3960
120,47,0.667,0.564,0.19,8,20,0.08,2.258,0.76,735,676.2,367.5,536.55,5640
120,56,0.56,0.474,0.17,10,16,0.08,1.895,0.72,780,717.6,390,569.4,6720
120,82,0.382,0.323,0.12,10,20,0.08,1.294,0.52,1040,956.8,520,759.2,9840
120,100,0.313,0.265,0.1,10,25,0.08,1.061,0.43,1250,1150,625,912.5,12000
120,120,0.261,0.221,0.09,10,28,0.08,0.884,0.38,1400,1288,700,1022,14400
120,120,0.261,0.221,0.085,12.5,20,0.08,0.884,0.31,1430,1315.6,715,1043.9,14400
120,150,0.209,0.177,0.21,12.5,25,0.08,0.707,0.84,1620,1490.4,810,1182.6,18000
120,180,0.174,0.147,0.18,12.5,30,0.08,0.589,0.72,1880,1729.6,940,1372.4,21600
120,180,0.174,0.147,0.17,16,20,0.08,0.589,0.65,1700,1564,850,1241,21600
120,220,0.142,0.121,0.15,12.5,35,0.08,0.482,0.6,2140,1968.8,1070,1562.2,26400
120,270,0.116,0.098,0.12,12.5,40,0.08,0.393,0.48,2340,2152.8,1170,1708.2,32400
120,270,0.116,0.098,0.13,16,25,0.08,0.393,0.49,2100,1932,1050,1533,32400
120,270,0.116,0.098,0.14,18,20,0.08,0.393,0.52,1850,1702,925,1350.5,32400
120,330,0.11,0.097,0.1,16,31.5,0.08,0.322,0.38,2400,2254.95,1318.68,1846.15,39600
120,390,0.093,0.082,0.085,16,35.5,0.08,0.272,0.32,2600,2442.86,1428.57,2000,46800
120,390,0.093,0.082,0.1,18,25,0.08,0.272,0.37,2270,2132.8,1247.25,1746.15,46800
120,470,0.077,0.068,0.075,16,40,0.08,0.226,0.29,2860,2687.14,1571.43,2200,56400
120,470,0.077,0.068,0.08,18,31.5,0.08,0.226,0.3,2470,2320.71,1357.14,1900,56400
120,560,0.065,0.057,0.07,18,35.5,0.08,0.189,0.26,2860,2687.14,1571.43,2200,67200
120,680,0.053,0.047,0.06,18,40,0.08,0.156,0.22,3510,3297.86,1928.57,2700,81600
