Voltage,Capacitance,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 85°C@120Hz,Status,Vibration resistant,Weight (g)
35,330,12.5,20,-40,85,0.12,0.482,1000,116,1000,UFG1V331MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,446,EOL,Normal,3.43
35,470,12.5,25,-40,85,0.12,0.339,1000,165,800,UFG1V471MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,590,EOL,Normal,4.56
35,1000,16,25,-40,85,0.12,0.186,1000,350,400,UFG1V102MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1060,EOL,Normal,8.2
35,2200,18,35.5,-40,85,0.14,0.109,1000,770,250,UFG1V222MHM,Uni-Polar,Radial Lead,Hi-Grade For Audio,1840,EOL,Normal,14.2
50,1,5,11,-40,85,0.1,132.629,1000,3,6000,UFG1H010MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,9,EOL,Normal,0.44
50,2.2,5,11,-40,85,0.1,60.286,1000,3,6000,UFG1H2R2MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,18,EOL,Normal,0.44
50,3.3,5,11,-40,85,0.1,40.191,1000,3,6000,UFG1H3R3MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,22,EOL,Normal,0.44
50,4.7,5,11,-40,85,0.1,28.219,1000,3,6000,UFG1H4R7MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,27,EOL,Normal,0.44
50,10,5,11,-40,85,0.1,13.263,1000,5,6000,UFG1H100MDM,Uni-Polar,Radial Lead,Hi-Grade For Audio,39,EOL,Normal,0.44
50,22,6.3,11,-40,85,0.1,6.029,1000,11,4000,UFG1H220MEM,Uni-Polar,Radial Lead,Hi-Grade For Audio,65,EOL,Normal,0.59
50,33,8,11.5,-40,85,0.1,4.019,1000,17,3000,UFG1H330MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,93,EOL,Normal,1.19
50,47,8,11.5,-40,85,0.1,2.822,1000,24,3000,UFG1H470MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,111,EOL,Normal,1.19
50,100,10,16,-40,85,0.1,1.326,1000,50,1800,UFG1H101MPM,Uni-Polar,Radial Lead,Hi-Grade For Audio,215,EOL,Normal,1.77
