Voltage,Capacitance,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 500Hz,Frequency Coefficient 50Hz,Frequency Coefficient 60Hz,Ripple Current @100kHz,Ripple Current @120Hz,VC
450,47,1.129,16,30,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.163,0.465,21150.0
450,47,1.129,18,25,0.25,7.055,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.15,0.46,21150.0
450,56,0.947,12.5,50,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.35,0.54,25200.0
450,56,0.947,14.5,40,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.325,0.53,25200.0
450,56,0.947,16,35,0.25,5.921,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.325,0.53,25200.0
450,68,0.78,14.5,45,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.45,0.58,30600.0
450,68,0.78,14.5,50,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.563,0.625,30600.0
450,68,0.78,16,40,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.513,0.605,30600.0
450,68,0.78,18,30,0.25,4.876,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.438,0.575,30600.0
450,82,0.647,16,45,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.713,0.685,36900.0
450,82,0.647,18,35,0.25,4.044,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.65,0.66,36900.0
450,100,0.655,16,50,0.25,3.316,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.744,0.775,45000.0
450,100,0.655,18,40,0.25,3.316,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.665,0.74,45000.0
450,100,0.655,18,45,0.25,3.316,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.766,0.785,45000.0
450,120,0.546,18,50,0.25,2.763,2.25,2.0,1.0,1.5,1.3,0.8,0.8,1.98,0.88,54000.0
500,8.2,7.246,10,20,0.28,45.288,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.338,0.135,4100.0
500,12,4.951,10,25,0.28,30.947,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.45,0.18,6000.0
500,12,4.951,12.5,20,0.28,30.947,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.45,0.18,6000.0
500,15,3.961,10,30,0.28,24.757,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.525,0.21,7500.0
500,18,3.301,10,35,0.28,20.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.613,0.245,9000.0
500,18,3.301,10,40,0.28,20.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.638,0.255,9000.0
500,18,3.301,12.5,25,0.28,20.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.588,0.235,9000.0
500,18,3.301,14.5,20,0.28,20.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.588,0.235,9000.0
500,22,2.701,10,45,0.28,16.88,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.7,0.28,11000.0
500,22,2.701,12.5,30,0.28,16.88,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.7,0.28,11000.0
500,22,2.701,14.5,25,0.28,16.88,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.7,0.28,11000.0
500,22,2.701,16,20,0.28,16.88,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.675,0.27,11000.0
500,27,2.201,10,50,0.28,13.754,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.825,0.33,13500.0
500,27,2.201,12.5,35,0.28,13.754,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.8,0.32,13500.0
500,27,2.201,14.5,30,0.28,13.754,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.813,0.325,13500.0
500,27,2.201,16,25,0.28,13.754,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.8,0.32,13500.0
500,27,2.201,18,20,0.28,13.754,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.788,0.315,13500.0
500,33,1.801,12.5,40,0.28,11.253,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.925,0.37,16500.0
500,33,1.801,12.5,45,0.28,11.253,2.5,2.1,1.0,1.5,1.3,0.8,0.8,0.963,0.385,16500.0
500,39,1.524,12.5,50,0.28,9.522,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.075,0.43,19500.0
500,39,1.524,14.5,35,0.28,9.522,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.025,0.41,19500.0
500,39,1.524,14.5,40,0.28,9.522,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.063,0.425,19500.0
500,39,1.524,16,30,0.28,9.522,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.013,0.405,19500.0
500,39,1.524,18,25,0.28,9.522,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.0,0.4,19500.0
500,47,1.264,14.5,45,0.28,7.901,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.213,0.485,23500.0
500,47,1.264,16,35,0.28,7.901,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.15,0.46,23500.0
500,47,1.264,18,30,0.28,7.901,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.15,0.46,23500.0
500,56,1.061,14.5,50,0.28,6.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.363,0.545,28000.0
500,56,1.061,16,40,0.28,6.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.313,0.525,28000.0
500,56,1.061,16,45,0.28,6.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.363,0.545,28000.0
500,56,1.061,18,35,0.28,6.631,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.313,0.525,28000.0
500,68,0.874,16,50,0.28,5.461,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.538,0.615,34000.0
500,68,0.874,18,40,0.28,5.461,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.5,0.6,34000.0
500,82,0.725,18,45,0.28,4.529,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.7,0.68,41000.0
500,82,0.725,18,50,0.28,4.529,2.5,2.1,1.0,1.5,1.3,0.8,0.8,1.75,0.7,41000.0
