Voltage,Capacitance,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance,Leakage Current,Part Number,Ripple Current,Surge Voltage
35,1800,0.024,13,40,12,0.024,630.0,EST188M035AL7(1),3350,44
35,2200,0.025,16,32,12,0.025,770.0,EST228M035AM2(1),3450,44
35,2700,0.022,16,36,12,0.022,945.0,EST278M035AM3(1),3610,44
35,3300,0.02,18,36,12,0.02,1155.0,EST338M035AN2(1),4220,44
50,10,3.5,5,11,14,3.5,5.0,EST106M050AC3(1),120,63
50,22,2.3,5,11,14,2.3,11.0,EST226M050AC3(1),210,63
50,33,1.2,6.3,11,14,1.2,16.5,EST336M050AE3(1),340,63
50,47,1.2,6.3,11,14,1.2,23.5,EST476M050AE3(1),340,63
50,100,0.63,8,11,14,0.63,50.0,EST107M050AG3(1),555,63
50,120,0.45,8,15,14,0.45,60.0,EST127M050AG4(1),730,63
50,150,0.33,8,20,14,0.33,75.0,EST157M050AG6(1),910,63
50,220,,10,15,10,0.31,110.0,EST227M050AH2(1),1050,63
50,220,0.31,10,16,14,0.31,110.0,EST227M050AH8(1),1050,63
50,330,0.21,10,20,14,0.21,165.0,EST337M050AH4(1),1400,63
50,470,0.15,10,30,14,0.15,235.0,EST477M050AH6(1),1690,63
50,470,0.16,13,20,14,0.16,235.0,EST477M050AL3(1),1660,63
50,560,0.12,13,25,14,0.12,280.0,EST567M050AL4(1),1950,63
50,680,0.1,13,30,14,0.1,340.0,EST687M050AL8(1),2310,63
50,820,0.083,13,35,14,0.083,410.0,EST827M050AL6(1),2510,63
50,1000,0.073,16,25,14,0.073,500.0,EST108M050AM7(1),2555,63
50,1200,0.054,16,32,14,0.054,600.0,EST128M050AM2(1),3010,63
50,1500,0.045,16,36,14,0.045,750.0,EST158M050AM3(1),3150,63
50,1800,0.047,18,32,14,0.047,900.0,EST188M050AN1(1),3635,63
50,2200,0.04,18,36,14,0.04,1100.0,EST228M050AN2(1),3680,63
50,2700,0.036,18,40,14,0.036,1350.0,EST278M050AN3(1),3800,63
63,10,2.3,5,11,14,2.3,6.3,EST106M063AC3(1),55,79
63,33,1.2,6.3,11,14,1.2,20.8,EST336M063AE3(1),115,79
63,56,0.63,8,11,14,0.63,35.3,EST566M063AG3(1),232,79
63,120,0.31,10,15,14,0.31,75.6,EST127M063AH2(1),357,79
63,120,0.31,10,16,14,0.31,75.6,EST127M063AH8(1),357,79
63,180,0.21,10,20,14,0.21,113.4,EST187M063AH4(1),466,79
63,220,0.2,10,25,14,0.2,138.6,EST227M063AH5(1),531,79
63,270,0.15,10,30,14,0.15,170.1,EST277M063AH6(1),663,79
63,270,0.16,13,20,14,0.16,170.1,EST277M063AL3(1),690,79
63,330,0.12,13,25,14,0.12,207.9,EST337M063AL4(1),784,79
63,470,0.1,13,30,14,0.1,296.1,EST477M063AL8(1),905,79
63,560,0.083,13,35,14,0.083,352.8,EST567M063AL6(1),1050,79
63,680,0.071,13,40,14,0.071,428.4,EST687M063AL7(1),1180,79
63,820,0.054,16,32,14,0.054,516.6,EST827M063AM2(1),1570,79
63,1000,0.045,16,36,14,0.045,630.0,EST108M063AM3(1),1790,79
63,1200,0.04,16,40,14,0.04,756.0,EST128M063AM4(1),2020,79
100,2.2,10,5,11,14,10.0,3.0,EST225M100AC3(1),20,125
100,3.3,8.5,5,11,14,8.5,3.3,EST335M100AC3(1),27,125
100,4.7,8,5,11,14,8.0,4.7,EST475M100AC3(1),30,125
100,6.8,7.5,5,11,14,7.5,6.8,EST685M100AC3(1),45,125
100,10,5,6.3,11,14,5.0,10.0,EST106M100AE3(1),55,125
100,15,5,6.3,11,14,5.0,15.0,EST156M100AE3(1),70,125
100,22,2.7,8,11,14,2.7,22.0,EST226M100AG3(1),85,125
100,33,2.5,8,11,14,2.5,33.0,EST336M100AG3(1),95,125
100,47,1.8,8,15,14,1.8,47.0,EST476M100AG4(1),150,125
100,56,1.5,8,20,14,1.5,56.0,EST566M100AG6(1),200,125
100,68,1.3,10,15,14,1.3,68.0,EST686M100AH2(1),230,125
100,82,1.2,10,20,14,1.2,82.0,EST826M100AH4(1),250,125
100,100,0.95,10,20,14,0.95,100.0,EST107M100AH4(1),330,125
100,120,0.8,10,25,14,0.8,120.0,EST127M100AH5(1),400,125
100,150,0.9,13,20,14,0.9,150.0,EST157M100AL3(1),460,125
100,220,0.6,13,25,14,0.6,220.0,EST227M100AL4(1),640,125
100,330,0.57,16,25,14,0.57,330.0,EST337M100AM7(1),720,125
100,470,0.55,16,32,14,0.55,470.0,EST477M100AM2(1),770,125
100,470,0.5,18,25,14,0.5,470.0,EST477M100AN5(1),840,125
100,680,0.18,18,36,14,0.18,680.0,EST687M100AN2(1),1400,125
100,820,0.13,18,40,14,0.13,820.0,EST827M100AN3(1),1850,125
100,1000,0.13,18,40,14,0.13,1000.0,EST108M100AN3(1),1850,125
