Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Status,Vibration resistant,Weight (g)
25,470,0.367,0.048,10,12.5,-40,105,0.13,10000,0.15,118,2000,UHW1E471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,Normal,1.49
25,560,0.308,0.038,8,20,-40,105,0.13,10000,0.12,140,2000,UHW1E561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,Normal,1.66
25,680,0.254,0.03,10,16,-40,105,0.13,10000,0.09,170,1800,UHW1E681MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,1.77
25,820,0.21,0.03,10,16,-40,105,0.13,10000,0.09,205,1800,UHW1E821MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,1.77
25,820,0.21,0.02,10,20,-40,105,0.13,10000,0.06,205,1400,UHW1E821MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,Normal,2.34
25,1000,0.172,0.02,10,20,-40,105,0.13,10000,0.06,250,1400,UHW1E102MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,Normal,2.34
25,1200,0.144,0.017,10,25,-40,105,0.13,10000,0.051,300,1200,UHW1E122MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2900,MP,Normal,3.07
25,1500,0.115,0.017,12.5,20,-40,105,0.13,10000,0.051,375,1000,UHW1E152MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2600,MP,Normal,3.43
25,1800,0.096,0.015,12.5,25,-40,105,0.13,10000,0.045,450,800,UHW1E182MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,Normal,4.56
25,2200,0.09,0.015,12.5,25,-40,105,0.15,10000,0.045,550,800,UHW1E222MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3200,MP,Normal,4.56
25,2200,0.09,0.015,16,20,-40,105,0.15,10000,0.045,550,600,UHW1E222MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,Normal,6.6
25,2700,0.074,0.012,12.5,30.5,-40,105,0.15,10000,0.036,675,600,UHW1E272MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3795,MP,Normal,6.01
25,2700,0.074,0.015,16,20,-40,105,0.15,10000,0.045,675,600,UHW1E272MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3575,MP,Normal,6.6
25,3300,0.068,0.011,12.5,35.5,-40,105,0.17,10000,0.033,825,500,UHW1E332MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4120,MP,Normal,7.06
25,3300,0.068,0.013,16,25,-40,105,0.17,10000,0.039,825,400,UHW1E332MHD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,Normal,8.2
25,3900,0.058,0.013,16,25,-40,105,0.17,10000,0.039,975,400,UHW1E392MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,3810,MP,Normal,8.2
25,4700,0.054,0.011,16,30.5,-40,105,0.19,10000,0.033,1175,300,UHW1E472MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4000,MP,Normal,9.6
25,5600,0.05,0.01,16,35.5,-40,105,0.21,10000,0.03,1400,300,UHW1E562MHD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,4200,MP,Normal,11.8
35,47,3.104,0.47,5,11,-40,105,0.11,7000,1.5,16,6000,UHW1V470MDD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,450,EOL,Normal,0.44
35,100,1.459,0.2,6.3,11,-40,105,0.11,7000,0.66,35,4000,UHW1V101MED,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,700,EOL,Normal,0.59
35,180,0.811,0.1,8,11.5,-40,105,0.11,9000,0.36,63,3000,UHW1V181MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1200,MP,Normal,1.19
35,220,0.663,0.054,8,15,-40,105,0.11,10000,0.17,77,2000,UHW1V221MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,Normal,1.36
35,270,0.54,0.054,8,15,-40,105,0.11,10000,0.17,95,2000,UHW1V271MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1600,MP,Normal,1.36
35,270,0.54,0.048,10,12.5,-40,105,0.11,10000,0.15,95,2000,UHW1V271MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,Normal,1.49
35,330,0.442,0.048,10,12.5,-40,105,0.11,10000,0.15,116,2000,UHW1V331MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1700,MP,Normal,1.49
35,390,0.374,0.038,8,20,-40,105,0.11,10000,0.12,137,2000,UHW1V391MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,1960,MP,Normal,1.66
35,390,0.374,0.03,10,16,-40,105,0.11,10000,0.09,137,1800,UHW1V391MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,1.77
35,470,0.31,0.03,10,16,-40,105,0.11,10000,0.09,165,1800,UHW1V471MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2000,MP,Normal,1.77
35,560,0.261,0.02,10,20,-40,105,0.11,10000,0.06,196,1400,UHW1V561MPD,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,Normal,2.34
35,680,0.215,0.02,10,20,-40,105,0.11,10000,0.06,238,1400,UHW1V681MPD6,Uni-Polar,Radial Lead,Lo-Z For Switching Power Supplies,2500,MP,Normal,2.34
