Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
160,330,0.15,18,31.5,0.603,5000,0.8,7.5,,,EEUEB2C331,2197,2112.5,1690,2028,1436.5,50,,52800
200,22,0.15,10,20,9.043,5000,0.6,5,5,,EEUEB2D220(),611,587.5,470,564,399.5,200,500,4400
200,33,0.15,12.5,20,6.029,5000,0.6,5,5,,EEUEB2D330(),780,750,600,720,510,200,500,6600
200,47,0.15,12.5,20,4.233,5000,0.6,5,5,,EEUEB2D470(),780,750,600,720,510,200,500,9400
200,68,0.15,12.5,25,2.926,5000,0.6,5,5,,EEUEB2D680(),975,937.5,750,900,637.5,200,500,13600
200,68,0.15,16,20,2.926,5000,0.8,7.5,7.5,,EEUEB2D680S(),975,937.5,750,900,637.5,100,250,13600
200,100,0.15,16,25,1.989,5000,0.8,7.5,7.5,,EEUEB2D101(),1378,1325,1060,1272,901,100,250,20000
200,100,0.15,18,20,1.989,5000,0.8,7.5,7.5,,EEUEB2D101S(),1378,1325,1060,1272,901,100,250,20000
200,150,0.15,16,31.5,1.326,5000,0.8,7.5,,,EEUEB2D151,1664,1600,1280,1536,1088,100,,30000
200,150,0.15,18,25,1.326,5000,0.8,7.5,7.5,,EEUEB2D151S(),1664,1600,1280,1536,1088,100,250,30000
200,220,0.15,18,31.5,0.904,5000,0.8,7.5,,,EEUEB2D221,2197,2112.5,1690,2028,1436.5,50,,44000
200,220,0.15,18,31.5,0.904,5000,0.8,7.5,,,EEUEB2D221,,1994.2,1690,1791.4,1098.5,50,,44000
250,22,0.15,12.5,20,9.043,5000,0.6,5,5,,EEUEB2E220(),728,700,560,672,476,200,500,5500
250,33,0.15,12.5,20,6.029,5000,0.6,5,5,,EEUEB2E330(),728,700,560,672,476,200,500,8250
250,47,0.15,12.5,25,4.233,5000,0.6,5,5,,EEUEB2E470(),923,887.5,710,852,603.5,200,500,11750
250,47,0.15,16,20,4.233,5000,0.8,7.5,7.5,,EEUEB2E470S(),923,887.5,710,852,603.5,100,250,11750
250,68,0.15,16,25,2.926,5000,0.8,7.5,7.5,,EEUEB2E680(),1287,1237.5,990,1188,841.5,100,250,17000
250,68,0.15,18,20,2.926,5000,0.8,7.5,7.5,,EEUEB2E680S(),1287,1237.5,990,1188,841.5,100,250,17000
250,100,0.15,16,31.5,1.989,5000,0.8,7.5,,,EEUEB2E101,1560,1500,1200,1440,1020,100,,25000
250,100,0.15,18,25,1.989,5000,0.8,7.5,7.5,,EEUEB2E101S(),1560,1500,1200,1440,1020,100,250,25000
250,150,0.15,18,31.5,1.326,5000,0.8,7.5,,,EEUEB2E151,1911,1837.5,1470,1764,1249.5,50,,37500
350,10,0.2,10,20,26.526,5000,0.6,5,5,,EEUEB2V100(),445.5,418.5,270,378,202.5,200,500,3500
350,22,0.2,12.5,20,12.057,5000,0.6,5,5,,EEUEB2V220(),455,437.5,350,420,297.5,200,500,7700
350,33,0.2,16,20,8.038,5000,0.8,7.5,7.5,,EEUEB2V330S(),624,600,480,576,408,100,250,11550
350,47,0.2,16,25,5.644,5000,0.8,7.5,7.5,,EEUEB2V470(),832,800,640,768,544,100,250,16450
350,47,0.2,18,20,5.644,5000,0.8,7.5,7.5,,EEUEB2V470S(),832,800,640,768,544,100,250,16450
350,68,0.2,16,31.5,3.901,5000,0.8,7.5,,,EEUEB2V680,1014,975,780,936,663,100,,23800
350,68,0.2,18,25,3.901,5000,0.8,7.5,7.5,,EEUEB2V680S(),1014,975,780,936,663,100,250,23800
350,100,0.2,18,31.5,2.653,5000,0.8,7.5,,,EEUEB2V101,1261,1212.5,970,1164,824.5,50,,35000
