Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
420,47,0.2,12.5,25,5.644,EKWB421E□□470MK25S,747,726.25,415,622.5,19740
420,56,0.2,10,40,4.737,EKWB421E□□560MJ40S,873,848.75,485,727.5,23520
420,56,0.2,10,45,4.737,EKWB421E□□560MJ45S,909,883.75,505,757.5,23520
420,56,0.2,10,50,4.737,EKWB421E□□560MJ50S,936,910,520,780,23520
420,68,0.2,12.5,30,3.901,EKWB421E□□680MK30S,954,927.5,530,795,28560
420,68,0.2,16,20,3.901,EKWB421E□□680ML20S,918,892.5,510,765,28560
420,82,0.2,12.5,35,3.235,EKWB421E□□820MK35S,1098,1067.5,610,915,34440
420,82,0.2,12.5,40,3.235,EKWB421E□□820MK40S,1152,1120,640,960,34440
420,82,0.2,14.5,31.5,3.235,EKWB421E□□820MUN3S,1107,1076.25,615,922.5,34440
420,82,0.2,16,25,3.235,EKWB421E□□820ML25S,1089,1058.75,605,907.5,34440
420,82,0.2,18,20,3.235,EKWB421E□□820MM20S,1053,1023.75,585,877.5,34440
420,100,0.2,12.5,45,2.653,EKWB421E□□101MK45S,1095,1022,730,949,42000
420,100,0.2,14.5,35,2.653,EKWB421E□□101MU35S,1050,980,700,910,42000
420,120,0.2,12.5,50,2.21,EKWB421E□□121MK50S,1230,1148,820,1066,50400
420,120,0.2,16,31.5,2.21,EKWB421E□□121MLN3S,1185,1106,790,1027,50400
420,120,0.2,18,25,2.21,EKWB421E□□121MM25S,1132.5,1057,755,981.5,50400
420,150,0.2,16,35,1.768,EKWB421E□□151ML35S,1357.5,1267,905,1176.5,63000
420,150,0.2,16,40,1.768,EKWB421E□□151ML40S,1402.5,1309,935,1215.5,63000
420,150,0.2,18,31.5,1.768,EKWB421E□□151MMN3S,1372.5,1281,915,1189.5,63000
420,180,0.2,16,45,1.474,EKWB421E□□181ML45S,1560,1456,1040,1352,75600
420,180,0.2,16,50,1.474,EKWB421E□□181ML50S,1590,1484,1060,1378,75600
420,180,0.2,18,35,1.474,EKWB421E□□181MM35S,1530,1428,1020,1326,75600
420,180,0.2,18,40,1.474,EKWB421E□□181MM40S,1575,1470,1050,1365,75600
420,220,0.2,18,45,1.206,EKWB421E□□221MM45S,1785,1666,1190,1547,92400
420,270,0.2,18,50,0.982,EKWB421E□□271MM50S,1965,1834,1310,1703,113400
450,18,0.2,10,20,14.737,EKWB451E□□180MJ20S,378,367.5,210,315,8100
450,27,0.2,10,25,9.824,EKWB451E□□270MJ25S,513,498.75,285,427.5,12150
450,33,0.2,10,30,8.038,EKWB451E□□330MJ30S,603,586.25,335,502.5,14850
450,33,0.2,12.5,20,8.038,EKWB451E□□330MK20S,576,560,320,480,14850
450,39,0.2,10,35,6.801,EKWB451E□□390MJ35S,693,673.75,385,577.5,17550
450,47,0.2,10,40,5.644,EKWB451E□□470MJ40S,801,778.75,445,667.5,21150
450,47,0.2,12.5,25,5.644,EKWB451E□□470MK25S,747,726.25,415,622.5,21150
450,56,0.2,10,45,4.737,EKWB451E□□560MJ45S,909,883.75,505,757.5,25200
450,56,0.2,10,50,4.737,EKWB451E□□560MJ50S,936,910,520,780,25200
450,56,0.2,12.5,30,4.737,EKWB451E□□560MK30S,864,840,480,720,25200
450,56,0.2,16,20,4.737,EKWB451E□□560ML20S,828,805,460,690,25200
450,68,0.2,12.5,35,3.901,EKWB451E□□680MK35S,1008,980,560,840,30600
450,82,0.2,12.5,40,3.235,EKWB451E□□820MK40S,1152,1120,640,960,36900
450,82,0.2,12.5,45,3.235,EKWB451E□□820MK45S,1188,1155,660,990,36900
450,82,0.2,14.5,31.5,3.235,EKWB451E□□820MUN3S,1107,1076.25,615,922.5,36900
450,82,0.2,16,25,3.235,EKWB451E□□820ML25S,1089,1058.75,605,907.5,36900
450,82,0.2,18,20,3.235,EKWB451E□□820MM20S,1053,1023.75,585,877.5,36900
450,100,0.2,12.5,50,2.653,EKWB451E□□101MK50S,1125,1050,750,975,45000
450,100,0.2,14.5,35,2.653,EKWB451E□□101MU35S,1050,980,700,910,45000
450,100,0.2,16,31.5,2.653,EKWB451E□□101MLN3S,1080,1008,720,936,45000
450,100,0.2,18,25,2.653,EKWB451E□□101MM25S,1035,966,690,897,45000
450,120,0.2,16,35,2.21,EKWB451E□□121ML35S,1215,1134,810,1053,54000
450,120,0.2,18,31.5,2.21,EKWB451E□□121MMN3S,1222.5,1141,815,1059.5,54000
450,150,0.2,16,40,1.768,EKWB451E□□151ML40S,1402.5,1309,935,1215.5,67500
450,150,0.2,16,45,1.768,EKWB451E□□151ML45S,1425,1330,950,1235,67500
450,150,0.2,18,31.5,1.768,EKWB451E□□151MMN3S,1372.5,1281,915,1189.5,67500
450,150,0.2,18,35,1.768,EKWB451E□□151MM35S,1402.5,1309,935,1215.5,67500
450,180,0.2,16,50,1.474,EKWB451E□□181ML50S,1590,1484,1060,1378,81000
450,180,0.2,18,40,1.474,EKWB451E□□181MM40S,1575,1470,1050,1365,81000
450,220,0.2,18,45,1.206,EKWB451E□□221MM45S,1785,1666,1190,1547,99000
450,220,0.2,18,50,1.206,EKWB451E□□221MM50S,1785,1666,1190,1547,99000
