Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@50Hz,Ripple Current 105°C@60Hz,VC
350,47,0.24,16,31.5,6.773,390,390,260,338,312,208,208,16450
350,100,0.24,18,40,3.183,498,498,415,477.25,456.5,332,332,35000
400,1,0.24,6.3,11,318.31,24,24,16,20.8,19.2,8,8,400
400,2.2,0.24,10,12.5,144.686,46.5,46.5,31,40.3,37.2,20.15,20.15,880.0000000000001
400,3.3,0.24,10,12.5,96.458,61.5,61.5,41,53.3,49.2,26.65,26.65,1320
400,4.7,0.24,10,16,67.726,82.5,82.5,55,71.5,66,35.75,35.75,1880
400,10,0.24,12.5,20,31.831,127.5,127.5,85,110.5,102,68,68,4000
400,22,0.24,12.5,25,14.469,255,255,170,221,204,136,136,8800
400,33,0.24,16,25,9.646,330,330,220,286,264,176,176,13200
400,47,0.24,16,31.5,6.773,412.5,412.5,275,357.5,330,220,220,18800
400,100,0.24,18,40,3.183,498,498,415,477.25,456.5,332,332,40000
450,1,0.24,8,11.5,318.31,22.5,22.5,15,19.5,18,7.5,7.5,450
450,2.2,0.24,10,12.5,144.686,37.5,37.5,25,32.5,30,16.25,16.25,990.0000000000001
450,3.3,0.24,10,16,96.458,49.5,49.5,33,42.9,39.6,21.45,21.45,1485
450,4.7,0.24,10,20,67.726,63,63,42,54.6,50.4,27.3,27.3,2115
450,10,0.24,12.5,20,31.831,100.5,100.5,67,87.1,80.4,53.6,53.6,4500
450,22,0.24,16,25,14.469,172.5,172.5,115,149.5,138,92,92,9900
450,33,0.24,16,31.5,9.646,232.5,232.5,155,201.5,186,124,124,14850
450,47,0.24,16,35.5,6.773,277.5,277.5,185,240.5,222,148,148,21150
