Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C,Impedance 20°C,Ripple Current,Size Code
16,1200,0.177,10,25,0.16,0.054,0.018,2250.0,F25
16,1500,0.141,12.5,20,0.16,0.043,0.017,2480.0,G20
16,2200,0.096,12.5,25,0.16,0.038,0.015,2900.0,G25
16,2700,0.079,16,20,0.16,0.038,0.015,3250.0,J20
16,3300,0.064,16,25,0.16,0.035,0.013,3630.0,J25
16,3900,0.054,16,25,0.16,0.035,0.013,3630.0,J25
16,4700,0.045,,,0.16,nan,nan,,nan
16,5600,0.038,,,0.16,nan,nan,,nan
16,6800,0.031,,,0.16,nan,nan,,nan
25,5.6,33.157,,,0.14,nan,nan,,nan
25,10,18.568,5,5,0.14,1.5,0.61,130.0,C05
25,15,12.379,4,7,0.14,2.9,0.94,130.0,B07
25,18,10.316,,,0.14,nan,nan,,nan
25,22,8.44,6.3,5,0.14,0.97,0.31,210.0,D05
25,27,6.877,5,7,0.14,1.4,0.46,210.0,C07
25,33,5.627,,,0.14,nan,nan,,nan
25,39,4.761,,,0.14,nan,nan,,nan
25,47,3.951,5,11.5,0.14,0.8,0.22,345.0,C11
25,56,3.316,6.3,7,0.14,0.72,0.24,300.0,D07
25,100,1.857,8,7,0.14,0.45,0.15,380.0,E07
25,100,1.857,6.3,11.5,0.14,0.35,0.094,540.0,D11
25,120,1.547,,,0.14,nan,nan,,nan
25,150,1.238,,,0.14,nan,nan,,nan
25,180,1.032,,,0.14,nan,nan,,nan
25,220,0.844,8,12,0.14,0.19,0.056,945.0,E12
25,270,0.688,,,0.14,nan,nan,,nan
25,330,0.563,10,12.5,0.14,0.14,0.039,1330.0,F12
25,470,0.395,10,16,0.14,0.1,0.028,1760.0,F16
25,560,0.332,,,0.14,nan,nan,,nan
25,680,0.273,10,20,0.14,0.06,0.02,1960.0,F20
25,820,0.226,10,25,0.14,0.054,0.018,2250.0,F25
25,1000,0.186,12.5,20,0.14,0.043,0.017,2480.0,G20
25,1200,0.155,,,0.14,nan,nan,,nan
25,1500,0.124,12.5,25,0.14,0.038,0.015,2900.0,G25
25,1800,0.103,16,20,0.14,0.038,0.015,3250.0,J20
25,2200,0.084,16,25,0.14,0.035,0.013,3630.0,J25
25,2700,0.069,16,25,0.14,0.035,0.013,3630.0,J25
35,5.6,28.421,,,0.12,nan,nan,,nan
35,10,15.916,5,5,0.12,1.5,0.63,130.0,C05
35,10,15.916,4,7,0.12,2.9,0.96,130.0,B07
35,15,10.61,,,0.12,nan,nan,,nan
35,18,8.842,5,7,0.12,1.5,0.47,210.0,C07
35,22,7.234,6.3,5,0.12,1.0,0.32,210.0,D05
35,27,5.895,,,0.12,nan,nan,,nan
35,33,4.823,5,11.5,0.12,0.8,0.22,345.0,C11
35,39,4.081,6.3,7,0.12,0.75,0.25,300.0,D07
35,47,3.386,,,0.12,nan,nan,,nan
35,56,2.842,8,7,0.12,0.48,0.16,380.0,E07
35,56,2.842,6.3,11.5,0.12,0.35,0.094,540.0,D11
35,100,1.592,,,0.12,nan,nan,,nan
35,120,1.326,,,0.12,nan,nan,,nan
35,150,1.061,8,12,0.12,0.19,0.056,945.0,E12
35,180,0.884,,,0.12,nan,nan,,nan
35,220,0.723,10,12.5,0.12,0.14,0.039,1330.0,F12
35,270,0.589,8,20,0.12,0.11,0.029,1500.0,E20
35,330,0.482,10,16,0.12,0.1,0.028,1760.0,F16
35,470,0.339,10,20,0.12,0.06,0.02,1960.0,F20
35,560,0.284,10,25,0.12,0.054,0.018,2250.0,F25
35,680,0.234,12.5,20,0.12,0.043,0.017,2480.0,G20
35,820,0.194,,,0.12,nan,nan,,nan
35,1000,0.159,12.5,25,0.12,0.038,0.015,2900.0,G25
35,1200,0.133,16,20,0.12,0.038,0.015,3250.0,J20
35,1500,0.106,16,25,0.12,0.035,0.013,3630.0,J25
35,1800,0.088,16,25,0.12,0.035,0.013,3630.0,J25
35,2200,0.072,,,0.12,nan,nan,,nan
35,2700,0.059,,,0.12,nan,nan,,nan
50,5.6,23.684,4,7,0.1,3.0,1.0,130.0,B07
50,10,13.263,5,7,0.1,1.5,0.5,210.0,C07
50,15,8.842,,,0.1,nan,nan,,nan
50,18,7.368,,,0.1,nan,nan,,nan
50,22,6.029,6.3,7,0.1,0.78,0.26,300.0,D07
50,22,6.029,5,11.5,0.1,1.18,0.34,238.0,C11
50,27,4.912,,,0.1,nan,nan,,nan
50,33,4.019,8,7,0.1,0.51,0.17,380.0,E07
50,39,3.401,,,0.1,nan,nan,,nan
50,47,2.822,,,0.1,nan,nan,,nan
50,56,2.368,6.3,11.5,0.1,0.5,0.14,385.0,D11
50,100,1.326,8,12,0.1,0.22,0.074,724.0,E12
50,120,1.105,8,15,0.1,0.18,0.061,950.0,E15
50,150,0.884,10,12.5,0.1,0.18,0.061,979.0,F12
50,180,0.737,8,20,0.1,0.14,0.046,1190.0,E20
50,220,0.603,10,16,0.1,0.12,0.042,1370.0,F16
50,270,0.491,10,20,0.1,0.09,0.03,1580.0,F20
50,330,0.402,10,25,0.1,0.085,0.028,1870.0,F25
50,470,0.282,12.5,20,0.1,0.068,0.027,2050.0,G20
50,560,0.237,12.5,25,0.1,0.059,0.023,2410.0,G25
50,680,0.195,16,20,0.1,0.059,0.023,2730.0,J20
50,820,0.162,16,20,0.1,0.059,0.023,2730.0,J20
50,1000,0.133,16,25,0.1,0.056,0.021,3010.0,J25
50,1200,0.111,,,0.1,nan,nan,,nan
50,1500,0.088,,,0.1,nan,nan,,nan
50,1800,0.074,,,0.1,nan,nan,,nan
50,2200,0.06,,,0.1,nan,nan,,nan
50,2700,0.049,,,0.1,nan,nan,,nan
63,6.8,17.554,,,0.09,nan,nan,,nan
63,15,7.958,5,11.5,0.09,3.5,0.88,165.0,C11
63,27,4.421,,,0.09,nan,nan,,nan
63,33,3.617,6.3,11.5,0.09,1.4,0.35,265.0,D11
63,39,3.061,,,0.09,nan,nan,,nan
63,47,2.54,,,0.09,nan,nan,,nan
63,56,2.132,8,12,0.09,0.88,0.22,500.0,E12
63,68,1.755,,,0.09,nan,nan,,nan
63,82,1.456,10,12.5,0.09,0.44,0.11,690.0,F12
63,100,1.194,,,0.09,nan,nan,,nan
63,120,0.995,8,20,0.09,0.48,0.12,820.0,E20
63,120,0.995,10,16,0.09,0.31,0.076,950.0,F16
63,150,0.796,,,0.09,nan,nan,,nan
63,180,0.663,10,20,0.09,0.23,0.056,1150.0,F20
63,220,0.543,10,25,0.09,0.19,0.046,1350.0,F25
63,270,0.442,12.5,20,0.09,0.13,0.041,1500.0,G20
63,330,0.362,,,0.09,nan,nan,,nan
63,390,0.306,12.5,25,0.09,0.093,0.031,1900.0,G25
63,470,0.254,12.5,30,0.09,0.084,0.028,2300.0,G30
63,470,0.254,16,20,0.09,0.096,0.032,2000.0,J20
63,560,0.213,12.5,35,0.09,0.07,0.024,2500.0,G35
63,680,0.176,12.5,40,0.09,0.063,0.021,2800.0,G40
63,680,0.176,16,25,0.09,0.075,0.025,2600.0,J25
63,680,0.176,18,20,0.09,0.09,0.03,2500.0,K20
63,820,0.146,16,31.5,0.09,0.063,0.021,2850.0,J31
63,820,0.146,18,25,0.09,0.072,0.024,2800.0,K25
63,1000,0.119,16,35.5,0.09,0.057,0.019,2900.0,J35
63,1200,0.099,16,40,0.09,0.054,0.018,3400.0,J40
63,1200,0.099,18,31.5,0.09,0.06,0.02,3300.0,K31
63,1500,0.08,18,35.5,0.09,0.054,0.018,3400.0,K35
63,1800,0.066,18,40,0.09,0.051,0.017,3500.0,K40
80,6.8,17.554,,,0.09,nan,nan,,nan
80,15,7.958,,,0.09,nan,nan,,nan
80,27,4.421,,,0.09,nan,nan,,nan
80,33,3.617,,,0.09,nan,nan,,nan
80,39,3.061,,,0.09,nan,nan,,nan
80,47,2.54,,,0.09,nan,nan,,nan
80,56,2.132,,,0.09,nan,nan,,nan
80,68,1.755,10,12.5,0.09,0.66,0.17,480.0,F12
80,82,1.456,,,0.09,nan,nan,,nan
80,100,1.194,10,16,0.09,0.47,0.11,600.0,F16
80,120,0.995,10,20,0.09,0.34,0.084,800.0,F20
80,150,0.796,10,25,0.09,0.28,0.069,900.0,F25
80,180,0.663,,,0.09,nan,nan,,nan
80,220,0.543,12.5,20,0.09,0.18,0.062,1100.0,G20
80,270,0.442,,,0.09,nan,nan,,nan
80,330,0.362,12.5,25,0.09,0.14,0.047,1250.0,G25
80,330,0.362,16,20,0.09,0.15,0.048,1350.0,J20
80,390,0.306,12.5,30,0.09,0.13,0.042,1500.0,G30
80,470,0.254,12.5,35,0.09,0.11,0.036,1650.0,G35
80,470,0.254,16,25,0.09,0.12,0.038,1700.0,J25
80,470,0.254,18,20,0.09,0.14,0.045,1500.0,K20
80,560,0.213,,,0.09,nan,nan,,nan
80,680,0.176,16,31.5,0.09,0.095,0.032,1850.0,J31
80,820,0.146,16,35.5,0.09,0.086,0.029,2000.0,J35
80,820,0.146,18,31.5,0.09,0.09,0.03,1900.0,K31
80,1000,0.119,,,0.09,nan,nan,,nan
80,1200,0.099,18,40,0.09,0.077,0.026,2700.0,K40
80,1500,0.08,,,0.09,nan,nan,,nan
80,1800,0.066,,,0.09,nan,nan,,nan
100,6.8,15.603,5,11.5,0.08,5.6,1.4,125.0,C11
100,15,7.074,6.3,11.5,0.08,2.3,0.57,205.0,D11
100,27,3.93,8,12,0.08,1.4,0.36,335.0,E12
100,33,3.215,,,0.08,nan,nan,,nan
100,39,2.721,8,15,0.08,1.0,0.25,450.0,E15
100,47,2.258,10,12.5,0.08,0.66,0.17,480.0,F12
100,56,1.895,8,20,0.08,0.76,0.19,565.0,E20
100,68,1.56,10,16,0.08,0.47,0.11,600.0,F16
100,82,1.294,10,20,0.08,0.34,0.084,800.0,F20
100,100,1.061,12.5,15,0.08,0.34,0.11,750.0,G15
100,120,0.884,10,25,0.08,0.28,0.069,900.0,F25
100,150,0.707,12.5,20,0.08,0.18,0.062,1100.0,G20
100,180,0.589,,,0.08,nan,nan,,nan
100,220,0.482,16,20,0.08,0.15,0.048,1350.0,J20
100,270,0.393,12.5,30,0.08,0.13,0.042,1500.0,G30
100,330,0.322,12.5,35,0.08,0.11,0.036,1650.0,G35
100,330,0.322,16,25,0.08,0.12,0.038,1700.0,J25
100,330,0.322,18,20,0.08,0.14,0.045,1500.0,K20
100,390,0.272,12.5,40,0.08,0.095,0.032,1800.0,G40
100,470,0.226,16,31.5,0.08,0.095,0.032,1850.0,J31
100,470,0.226,18,25,0.08,0.11,0.036,1750.0,K25
100,560,0.189,16,35.5,0.08,0.086,0.029,2000.0,J35
100,560,0.189,18,31.5,0.08,0.09,0.03,1900.0,K31
100,680,0.156,16,40,0.08,0.081,0.027,2480.0,J40
100,680,0.156,18,35.5,0.08,0.081,0.027,2200.0,K35
100,820,0.129,18,40,0.08,0.077,0.026,2700.0,K40
100,1000,0.106,,,0.08,nan,nan,,nan
100,1200,0.088,,,0.08,nan,nan,,nan
100,1500,0.071,,,0.08,nan,nan,,nan
100,1800,0.059,,,0.08,nan,nan,,nan
