Voltage,Capacitance,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Leakage Current,Part Number,Ripple Current 105°C@120Hz,Surge Voltage
16,1000,8,20,18,23.9,160,ESE108M016AG6(1),600,20
16,1000,10,15,18,23.9,160,ESE108M016AH2(1),590,20
16,1500,10,20,18,15.933,240,ESE158M016AH4(1),680,20
16,2200,13,20,18,10.876,352,ESE228M016AL3(1),990,20
16,3300,13,25,18,7.258,528,ESE338M016AL4(1),1140,20
16,4700,16,25,18,5.102,752,ESE478M016AM7(1),1330,20
16,6800,16,32,18,3.534,1088,ESE688M016AM2(1),1580,20
16,10000,18,36,18,2.414,1600,ESE109M016AN2(1),2150,20
25,4.7,5,11,16,4515.038,3,ESE475M025AC3(1),20,32
25,6.8,5,11,16,3120.688,3,ESE685M025AC3(1),25,32
25,10,5,11,16,2122.068,3,ESE106M025AC3(1),30,32
25,15,5,11,16,1414.712,3.8,ESE156M025AC3(1),45,32
25,22,5,11,16,964.576,5.5,ESE226M025AC3(1),60,32
25,33,5,11,16,643.051,8.3,ESE336M025AC3(1),75,32
25,47,5,11,16,451.504,11.8,ESE476M025AC3(1),90,32
25,68,6.3,11,16,312.069,17,ESE686M025AE3(1),125,32
25,100,6.3,11,16,212.207,25,ESE107M025AE3(1),145,32
25,150,8,11,16,141.471,37.5,ESE157M025AG3(1),200,32
25,220,8,11,16,96.458,55,ESE227M025AG3(1),200,32
25,330,8,11,16,64.305,82.5,ESE337M025AG3(1),265,32
25,330,8,15,16,64.305,82.5,ESE337M025AG4(1),320,32
25,470,8,15,16,45.15,117.5,ESE477M025AG4(1),365,32
25,680,10,15,16,31.207,170,ESE687M025AH2(1),650,32
25,1000,10,20,16,21.247,250,ESE108M025AH4(1),680,32
25,1500,13,20,16,14.165,375,ESE158M025AL3(1),880,32
25,2200,13,25,16,9.67,550,ESE228M025AL4(1),1030,32
25,3300,16,25,16,6.455,825,ESE338M025AM7(1),1230,32
25,4700,16,32,16,4.538,1175,ESE478M025AM2(1),1420,32
25,6800,18,36,16,3.144,1700,ESE688M025AN2(1),1850,32
35,4.7,5,11,14,3950.658,3,ESE475M035AC3(1),25,44
35,6.8,5,11,14,2730.602,3,ESE685M035AC3(1),30,44
35,10,5,11,14,1856.809,3.5,ESE106M035AC3(1),40,44
35,15,5,11,14,1237.873,5.3,ESE156M035AC3(1),50,44
35,22,5,11,14,844.004,7.7,ESE226M035AC3(1),65,44
35,33,5,11,14,562.669,11.6,ESE336M035AC3(1),85,44
35,47,5,11,14,395.066,16.5,ESE476M035AC3(1),95,44
35,68,6.3,11,14,273.06,23.8,ESE686M035AE3(1),125,44
35,100,6.3,11,14,185.681,35,ESE107M035AE3(1),150,44
35,150,8,11,14,123.787,52.5,ESE157M035AG3(1),200,44
35,220,8,11,14,84.4,77,ESE227M035AG3(1),230,44
35,220,10,12.5,14,84.4,77,ESE227M035AH9(1),315,44
35,330,8,15,14,56.267,115.5,ESE337M035AG4(1),345,44
35,330,10,12.5,14,56.267,115.5,ESE337M035AH9(1),380,44
35,470,10,15,14,39.507,164.5,ESE477M035AH2(1),415,44
35,680,10,20,14,27.306,238,ESE687M035AH4(1),680,44
35,1000,13,20,14,18.595,350,ESE108M035AL3(1),850,44
35,1500,13,25,14,12.396,525,ESE158M035AL4(1),935,44
35,2200,16,25,14,8.464,770,ESE228M035AM7(1),1230,44
35,3300,16,36,14,5.651,1155,ESE338M035AM3(1),1470,44
35,4700,18,36,14,3.973,1645,ESE478M035AN2(1),1580,44
50,1,5,11,12,15915.508,3,ESE105M050AC3(1),12,63
50,2.2,5,11,12,7234.322,3,ESE225M050AC3(1),18,63
50,3.3,5,11,12,4822.881,3,ESE335M050AC3(1),25,63
50,4.7,5,11,12,3386.278,3,ESE475M050AC3(1),30,63
50,6.8,5,11,12,2340.516,3.4,ESE685M050AC3(1),32,63
50,10,5,11,12,1591.551,5,ESE106M050AC3(1),50,63
50,15,5,11,12,1061.034,7.5,ESE156M050AC3(1),60,63
50,22,5,11,12,723.432,11,ESE226M050AC3(1),75,63
50,33,5,11,12,482.288,16.5,ESE336M050AC3(1),95,63
50,47,6.3,11,12,338.628,23.5,ESE476M050AE3(1),105,63
50,68,8,11,12,234.052,34,ESE686M050AG3(1),159,63
50,100,8,11,12,159.155,50,ESE107M050AG3(1),160,63
50,150,10,12.5,12,106.103,75,ESE157M050AH9(1),289,63
50,220,10,12.5,12,72.343,110,ESE227M050AH9(1),340,63
50,330,10,20,12,48.229,165,ESE337M050AH4(1),535,63
50,470,10,20,12,33.863,235,ESE477M050AH4(1),580,63
50,470,13,20,12,33.863,235,ESE477M050AL3(1),730,63
50,680,13,25,12,23.405,340,ESE687M050AL4(1),860,63
50,1000,13,25,12,15.942,500,ESE108M050AL4(1),930,63
50,1500,16,25,12,10.628,750,ESE158M050AM7(1),1220,63
50,2200,16,36,12,7.258,1100,ESE228M050AM3(1),1360,63
50,3300,18,36,12,4.847,1650,ESE338M050AN2(1),1540,63
63,1,5,11,10,13262.923,3,ESE105M063AC3(1),13,79
63,2.2,5,11,10,6028.601,3,ESE225M063AC3(1),20,79
63,3.3,5,11,10,4019.068,3,ESE335M063AC3(1),27,79
63,4.7,5,11,10,2821.899,3,ESE475M063AC3(1),34,79
63,6.8,5,11,10,1950.43,4.3,ESE685M063AC3(1),37,79
63,10,5,11,10,1326.292,6.3,ESE106M063AC3(1),55,79
63,15,5,11,10,884.195,9.5,ESE156M063AC3(1),65,79
63,22,6.3,11,10,602.86,13.9,ESE226M063AE3(1),90,79
63,33,6.3,11,10,401.907,20.8,ESE336M063AE3(1),110,79
63,47,8,11,10,282.19,29.6,ESE476M063AG3(1),155,79
63,100,8,15,10,132.629,63,ESE107M063AG4(1),230,79
63,100,10,12.5,10,132.629,63,ESE107M063AH9(1),260,79
63,150,10,15,10,88.419,94.5,ESE157M063AH2(1),330,79
63,220,10,15,10,60.286,138.6,ESE227M063AH2(1),400,79
63,220,10,20,10,60.286,138.6,ESE227M063AH4(1),460,79
63,330,10,20,10,40.191,207.9,ESE337M063AH4(1),520,79
63,470,13,20,10,28.219,296.1,ESE477M063AL3(1),700,79
63,680,13,25,10,19.504,428.4,ESE687M063AL4(1),840,79
63,1000,16,25,10,13.289,630,ESE108M063AM7(1),1020,79
63,1500,16,32,10,8.86,945,ESE158M063AM2(1),1300,79
63,2200,18,36,10,6.053,1386,ESE228M063AN2(1),1455,79
100,1,5,11,10,13262.923,3,ESE105M100AC3(1),15,125
100,2.2,5,11,10,6028.601,3,ESE225M100AC3(1),22,125
100,3.3,5,11,10,4019.068,3.3,ESE335M100AC3(1),29,125
100,4.7,5,11,10,2821.899,4.7,ESE475M100AC3(1),37,125
100,6.8,5,11,10,1950.43,6.8,ESE685M100AC3(1),46,125
100,10,5,11,10,1326.292,10,ESE106M100AC3(1),55,125
100,10,6.3,11,10,1326.292,10,ESE106M100AE3(1),65,125
100,15,6.3,11,10,884.195,15,ESE156M100AE3(1),72,125
100,22,8,11,10,602.86,22,ESE226M100AG3(1),115,125
100,33,8,11,10,401.907,33,ESE336M100AG3(1),120,125
100,47,10,12.5,10,282.19,47,ESE476M100AH9(1),180,125
100,68,10,15,10,195.043,68,ESE686M100AH2(1),241,125
100,100,10,20,10,132.629,100,ESE107M100AH4(1),385,125
100,150,13,20,10,88.419,150,ESE157M100AL3(1),414,125
100,220,13,25,10,60.286,220,ESE227M100AL4(1),590,125
100,330,13,25,10,40.191,330,ESE337M100AL4(1),600,125
100,470,16,25,10,28.219,470,ESE477M100AM7(1),740,125
100,680,16,36,10,19.504,680,ESE687M100AM3(1),1200,125
100,1000,18,40,10,13.289,1000,ESE108M100AN3(1),1340,125
160,1,5,11,15,19894.385,14.8,ESE105M160AC3(1),17,200
160,2.2,6.3,11,15,9042.902,20.6,ESE225M160AE3(1),25,200
160,3.3,6.3,11,15,6028.601,25.8,ESE335M160AE3(1),30,200
160,4.7,6.3,11,15,4232.848,32.6,ESE475M160AE3(1),34,200
160,6.8,8,11,15,2925.645,42.6,ESE685M160AG3(1),50,200
160,10,8,11,15,1989.438,58,ESE106M160AG3(1),56,200
160,15,10,12.5,15,1326.292,82,ESE156M160AH9(1),80,200
160,22,10,15,15,904.29,115.6,ESE226M160AH2(1),130,200
160,33,10,20,15,602.86,168.4,ESE336M160AH4(1),180,200
160,47,10,20,15,423.285,235.6,ESE476M160AH4(1),230,200
160,68,13,20,15,292.564,336.4,ESE686M160AL3(1),270,200
160,100,13,25,15,198.944,490,ESE107M160AL4(1),330,200
160,150,16,25,15,132.629,730,ESE157M160AM7(1),410,200
160,220,16,32,15,90.429,1066,ESE227M160AM2(1),550,200
160,330,18,36,15,60.286,1594,ESE337M160AN2(1),770,200
160,470,18,40,15,42.328,2266,ESE477M160AN3(1),800,200
200,1,5,11,15,19894.385,16,ESE105M200AC3(1),19,250
200,2.2,6.3,11,15,9042.902,23.2,ESE225M200AE3(1),22,250
200,3.3,6.3,11,15,6028.601,29.8,ESE335M200AE3(1),32,250
200,4.7,8,11,15,4232.848,38.2,ESE475M200AG3(1),40,250
200,6.8,8,11,15,2925.645,50.8,ESE685M200AG3(1),56,250
200,10,10,12.5,15,1989.438,70,ESE106M200AH9(1),69,250
200,15,10,15,15,1326.292,100,ESE156M200AH2(1),110,250
200,22,10,15,15,904.29,142,ESE226M200AH2(1),140,250
200,33,10,20,15,602.86,208,ESE336M200AH4(1),190,250
200,47,13,20,15,423.285,292,ESE476M200AL3(1),240,250
200,68,13,25,15,292.564,418,ESE686M200AL4(1),330,250
200,100,16,25,15,198.944,610,ESE107M200AM7(1),410,250
200,150,16,32,15,132.629,910,ESE157M200AM2(1),430,250
200,220,16,36,15,90.429,1330,ESE227M200AM3(1),520,250
200,220,18,32,15,90.429,1330,ESE227M200AN1(1),520,250
200,330,18,36,15,60.286,1990,ESE337M200AN2(1),705,250
250,1,6.3,11,15,19894.385,17.5,ESE105M250AE3(1),19,300
250,2.2,6.3,11,15,9042.902,26.5,ESE225M250AE3(1),23,300
250,3.3,8,11,15,6028.601,34.8,ESE335M250AG3(1),33,300
250,4.7,8,11,15,4232.848,45.3,ESE475M250AG3(1),41,300
250,6.8,8,11,15,2925.645,61,ESE685M250AG3(1),57,300
250,10,10,12.5,15,1989.438,85,ESE106M250AH9(1),78,300
250,15,10,15,15,1326.292,122.5,ESE156M250AH2(1),120,300
250,22,10,20,15,904.29,175,ESE226M250AH4(1),155,300
250,33,13,20,15,602.86,257.5,ESE336M250AL3(1),170,300
250,47,13,25,15,423.285,362.5,ESE476M250AL4(1),330,300
250,68,13,25,15,292.564,520,ESE686M250AL4(1),340,300
250,100,16,25,15,198.944,760,ESE107M250AM7(1),415,300
250,150,16,32,15,132.629,1135,ESE157M250AM2(1),435,300
250,220,18,36,15,90.429,1660,ESE227M250AN2(1),600,300
350,1,6.3,11,20,26525.846,20.5,ESE105M350AE3(1),20,400
350,2.2,8,11,20,12057.203,33.1,ESE225M350AG3(1),35,400
350,3.3,8,11,20,8038.135,44.7,ESE335M350AG3(1),37,400
350,4.7,8,11,20,5643.797,59.4,ESE475M350AG3(1),47,400
350,10,10,15,20,2652.585,115,ESE106M350AH2(1),95,400
350,15,10,20,20,1768.39,167.5,ESE156M350AH4(1),140,400
350,22,13,20,20,1205.72,241,ESE226M350AL3(1),165,400
350,33,13,25,20,803.814,356.5,ESE336M350AL4(1),220,400
350,47,16,25,20,564.38,503.5,ESE476M350AM7(1),340,400
350,100,18,32,20,265.258,1060,ESE107M350AN1(1),430,400
350,150,18,40,20,176.839,1585,ESE157M350AN3(1),480,400
400,1,6.3,11,20,26525.846,22,ESE105M400AE3(1),16,450
400,1,8,11,20,26525.846,22,ESE105M400AG3(1),20,450
400,2.2,6.3,11,20,12057.203,36.4,ESE225M400AE3(1),20,450
400,2.2,8,11,20,12057.203,36.4,ESE225M400AG3(1),28,450
400,3.3,8,11,20,8038.135,49.6,ESE335M400AG3(1),38,450
400,4.7,8,11,20,5643.797,66.4,ESE475M400AG3(1),40,450
400,4.7,10,12.5,20,5643.797,66.4,ESE475M400AH9(1),49,450
400,6.8,8,15,20,3900.86,91.6,ESE685M400AG4(1),50,450
400,6.8,10,12.5,20,3900.86,91.6,ESE685M400AH9(1),52,450
400,10,10,15,20,2652.585,130,ESE106M400AH2(1),65,450
400,15,10,20,20,1768.39,190,ESE156M400AH4(1),100,450
400,22,13,20,20,1205.72,274,ESE226M400AL3(1),150,450
400,33,13,25,20,803.814,406,ESE336M400AL4(1),190,450
400,33,16,20,20,803.814,406,ESE336M400AM5(1),195,450
400,47,16,25,20,564.38,574,ESE476M400AM7(1),280,450
400,47,18,20,20,564.38,574,ESE476M400AN4(1),275,450
400,68,16,32,20,390.086,826,ESE686M400AM2(1),320,450
400,68,18,25,20,390.086,826,ESE686M400AN5(1),305,450
400,100,18,32,20,265.258,1210,ESE107M400AN1(1),430,450
400,120,18,32,20,221.049,1450,ESE127M400AN1(1),440,450
400,150,18,36,20,176.839,1810,ESE157M400AN2(1),450,450
400,150,18,40,20,176.839,1810,ESE157M400AN3(1),460,450
400,180,18,45,20,147.366,2170,ESE187M400AN7(1),480,450
450,1,8,11,20,26525.846,23.5,ESE105M450AG3(1),20,500
450,2.2,8,11,20,12057.203,39.7,ESE225M450AG3(1),28,500
450,2.2,10,12.5,20,12057.203,39.7,ESE225M450AH9(1),35,500
450,3.3,10,12.5,20,8038.135,54.6,ESE335M450AH9(1),49,500
450,4.7,10,12.5,20,5643.797,73.5,ESE475M450AH9(1),55,500
450,6.8,10,15,20,3900.86,101.8,ESE685M450AH2(1),65,500
450,10,10,20,20,2652.585,145,ESE106M450AH4(1),75,500
450,15,13,20,20,1768.39,212.5,ESE156M450AL3(1),125,500
450,22,13,25,20,1205.72,307,ESE226M450AL4(1),160,500
450,33,16,25,20,803.814,455.5,ESE336M450AM7(1),210,500
450,47,16,32,20,564.38,644.5,ESE476M450AM2(1),270,500
450,68,18,32,20,390.086,928,ESE686M450AN1(1),305,500
450,100,18,36,20,265.258,1360,ESE107M450AN2(1),380,500
