Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@500Hz,Ripple Current 105°C@60Hz,Status,V,VC,Vibration resistant,Weight (g)
400,56,0.15,12.5,35.5,-40,105,3.553,2000,996,500,UPZ2G560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,630,630,420,588,525,336,MP,400 to 450,22400,Normal,7.06
400,68,0.15,12.5,40,-40,105,2.926,2000,1188,400,UPZ2G680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,672,672,480,624,576,384,MP,200,27200,Normal,7.57
400,68,0.15,12.5,40,-40,105,2.926,2000,1188,400,UPZ2G680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,720,720,480,672,600,384,MP,400 to 450,27200,Normal,7.57
400,100,0.15,12.5,50,-40,105,1.989,2000,1700,400,UPZ2G101MNY9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1078,1078,770,1001,924,616,LTB,200,40000,Normal,10.4
400,100,0.15,12.5,50,-40,105,1.989,2000,1700,400,UPZ2G101MNY9,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1155,1155,770,1078,962.5,616,LTB,400 to 450,40000,Normal,10.4
400,100,0.15,16,30.5,-40,105,1.989,2000,1700,300,UPZ2G101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,812,812,580,754,696,464,MP,200,40000,Normal,9.6
400,100,0.15,16,30.5,-40,105,1.989,2000,1700,300,UPZ2G101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,870,870,580,812,725,464,MP,400 to 450,40000,Normal,9.6
400,120,0.15,16,35.5,-40,105,1.658,2000,2020,300,UPZ2G121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,938,938,670,871,804,536,MP,200,48000,Normal,11.8
400,120,0.15,16,35.5,-40,105,1.658,2000,2020,300,UPZ2G121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1005,1005,670,938,837.5,536,MP,400 to 450,48000,Normal,11.8
400,120,0.15,18,30.5,-40,105,1.658,2000,2020,300,UPZ2G121MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,938,938,670,871,804,536,MP,200,48000,Normal,13.1
400,120,0.15,18,30.5,-40,105,1.658,2000,2020,300,UPZ2G121MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1005,1005,670,938,837.5,536,MP,400 to 450,48000,Normal,13.1
400,150,0.15,16,40,-40,105,1.326,2000,2500,300,UPZ2G151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1078,1078,770,1001,924,616,MP,200,60000,Normal,14.1
400,150,0.15,16,40,-40,105,1.326,2000,2500,300,UPZ2G151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1155,1155,770,1078,962.5,616,MP,400 to 450,60000,Normal,14.1
400,150,0.15,18,35.5,-40,105,1.326,2000,2500,250,UPZ2G151MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1078,1078,770,1001,924,616,MP,200,60000,Normal,14.2
400,150,0.15,18,35.5,-40,105,1.326,2000,2500,250,UPZ2G151MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1155,1155,770,1078,962.5,616,MP,400 to 450,60000,Normal,14.2
400,180,0.15,18,40,-40,105,1.105,2000,2980,200,UPZ2G181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1232,1232,880,1144,1056,704,MP,200,72000,Normal,17.7
400,180,0.15,18,40,-40,105,1.105,2000,2980,200,UPZ2G181MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,1320,1320,880,1232,1100,704,MP,400 to 450,72000,Normal,17.7
420,22,0.2,10,30.5,-40,105,12.057,2000,470,1000,UPZW6220MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,280,280,200,260,240,160,MP,200,9240,Normal,3.21
420,22,0.2,10,30.5,-40,105,12.057,2000,470,1000,UPZW6220MPD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,300,300,200,280,250,160,MP,400 to 450,9240,Normal,3.21
420,39,0.2,12.5,30.5,-40,105,6.801,2000,755,600,UPZW6390MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,434,434,310,403,372,248,MP,200,16380,Normal,6.01
420,39,0.2,12.5,30.5,-40,105,6.801,2000,755,600,UPZW6390MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,465,465,310,434,387.5,248,MP,400 to 450,16380,Normal,6.01
420,47,0.2,12.5,35.5,-40,105,5.644,2000,890,500,UPZW6470MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,504,504,360,468,432,288,MP,200,19740,Normal,7.06
420,47,0.2,12.5,35.5,-40,105,5.644,2000,890,500,UPZW6470MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,540,540,360,504,450,288,MP,400 to 450,19740,Normal,7.06
420,56,0.2,12.5,40,-40,105,4.737,2000,1041,400,UPZW6560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,602,602,430,559,516,344,MP,200,23520,Normal,7.57
420,56,0.2,12.5,40,-40,105,4.737,2000,1041,400,UPZW6560MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,645,645,430,602,537.5,344,MP,400 to 450,23520,Normal,7.57
420,68,0.2,16,30.5,-40,105,3.901,2000,1242,300,UPZW6680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,714,714,510,663,612,408,MP,200,28560,Normal,9.6
420,68,0.2,16,30.5,-40,105,3.901,2000,1242,300,UPZW6680MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,765,765,510,714,637.5,408,MP,400 to 450,28560,Normal,9.6
420,82,0.2,16,35.5,-40,105,3.235,2000,1478,300,UPZW6820MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,798,798,570,741,684,456,MP,200,34440,Normal,11.8
420,82,0.2,16,35.5,-40,105,3.235,2000,1478,300,UPZW6820MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,855,855,570,798,712.5,456,MP,400 to 450,34440,Normal,11.8
420,100,0.2,16,40,-40,105,2.653,2000,1780,300,UPZW6101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,854,854,610,793,732,488,MP,200,42000,Normal,14.1
420,100,0.2,16,40,-40,105,2.653,2000,1780,300,UPZW6101MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,915,915,610,854,762.5,488,MP,400 to 450,42000,Normal,14.1
420,100,0.2,18,30.5,-40,105,2.653,2000,1780,300,UPZW6101MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,854,854,610,793,732,488,MP,200,42000,Normal,13.1
420,100,0.2,18,30.5,-40,105,2.653,2000,1780,300,UPZW6101MHD6,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,915,915,610,854,762.5,488,MP,400 to 450,42000,Normal,13.1
420,120,0.2,18,35.5,-40,105,2.21,2000,2116,250,UPZW6121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,924,924,660,858,792,528,MP,200,50400,Normal,14.2
420,120,0.2,18,35.5,-40,105,2.21,2000,2116,250,UPZW6121MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,990,990,660,924,825,528,MP,400 to 450,50400,Normal,14.2
420,150,0.2,18,40,-40,105,1.768,2000,2620,200,UPZW6151MHD,Uni-Polar,Radial Lead,Hi-Volt. MiniatureSized,994,994,710,923,852,568,MP,200,63000,Normal,17.7
