Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,VC
25,4700,0.032,0.03,0.034,18,25,0.14,0.26,0.062,2490,2437.76,1741.26,2141.75,117500
25,4700,0.032,0.03,0.028,18,31.5,0.14,0.2,0.062,2940,2878.32,2055.94,2528.81,117500
25,5600,0.029,0.028,0.028,18,31.5,0.14,0.22,0.057,2910,2848.95,2034.97,2503.01,140000
35,910,0.068,0.063,0.068,12.5,20,0.12,0.71,0.175,1510,1446.71,904.19,1202.57,31850
35,1100,0.066,0.061,0.072,12.5,20,0.12,0.77,0.169,1470,1408.38,880.24,1170.72,38500
35,1200,0.06,0.055,0.05,12.5,25,0.12,0.52,0.155,1900,1820.36,1137.72,1513.17,42000
35,1500,0.048,0.044,0.053,12.5,25,0.12,0.57,0.124,1850,1772.46,1107.78,1473.35,52500
35,1500,0.048,0.044,0.043,12.5,30,0.12,0.45,0.124,2190,2098.2,1311.38,1744.13,52500
35,1500,0.048,0.044,0.049,16,20,0.12,0.43,0.124,1820,1743.71,1089.82,1449.46,52500
35,1800,0.04,0.037,0.046,12.5,30,0.12,0.49,0.103,2130,2040.72,1275.45,1696.35,63000
35,1800,0.04,0.037,0.051,16,20,0.12,0.46,0.103,1800,1724.55,1077.84,1433.53,63000
35,1800,0.04,0.037,0.046,18,20,0.12,0.34,0.103,1990,1906.59,1191.62,1584.85,63000
35,2000,0.054,0.052,0.038,16,25,0.12,0.33,0.106,2250,2202.8,1573.43,1935.31,70000
35,2200,0.049,0.047,0.047,18,20,0.12,0.37,0.096,1970,1928.67,1377.62,1694.48,77000
35,2400,0.045,0.043,0.039,16,25,0.12,0.35,0.088,2220,2173.43,1552.45,1909.51,84000
35,2400,0.045,0.043,0.029,16,31.5,0.12,0.25,0.088,2720,2662.94,1902.1,2339.58,84000
35,2700,0.04,0.038,0.033,18,25,0.12,0.25,0.079,2510,2457.34,1755.24,2158.95,94500
35,3000,0.041,0.039,0.03,16,31.5,0.12,0.27,0.08,2670,2613.99,1867.13,2296.57,105000
35,3300,0.037,0.035,0.034,18,25,0.12,0.26,0.072,2490,2437.76,1741.26,2141.75,115500
35,3300,0.037,0.035,0.028,18,31.5,0.12,0.2,0.072,2940,2878.32,2055.94,2528.81,115500
35,3900,0.031,0.03,0.028,18,31.5,0.12,0.22,0.061,2910,2848.95,2034.97,2503.01,136500
50,510,0.087,0.079,0.068,12.5,20,0.1,0.72,0.26,1510,1435.33,829.67,1178.13,25500
50,620,0.071,0.065,0.072,12.5,20,0.1,0.78,0.214,1470,1397.31,807.69,1146.92,31000
50,680,0.065,0.059,0.05,12.5,25,0.1,0.53,0.195,1900,1806.04,1043.96,1482.42,34000
50,820,0.063,0.058,0.053,12.5,25,0.1,0.57,0.162,1850,1772.46,1107.78,1473.35,41000
50,820,0.063,0.058,0.043,12.5,30,0.1,0.45,0.162,2190,2098.2,1311.38,1744.13,41000
50,820,0.063,0.058,0.049,16,20,0.1,0.43,0.162,1820,1743.71,1089.82,1449.46,41000
50,1000,0.062,0.057,0.046,12.5,30,0.1,0.49,0.159,2130,2040.72,1275.45,1696.35,50000
50,1000,0.062,0.057,0.051,16,20,0.1,0.46,0.159,1800,1724.55,1077.84,1433.53,50000
50,1000,0.062,0.057,0.046,18,20,0.1,0.35,0.159,1990,1906.59,1191.62,1584.85,50000
50,1100,0.057,0.052,0.038,16,25,0.1,0.33,0.145,2250,2155.69,1347.31,1791.92,55000
50,1300,0.048,0.044,0.039,16,25,0.1,0.35,0.122,2220,2126.95,1329.34,1768.02,65000
50,1300,0.048,0.044,0.047,18,20,0.1,0.37,0.122,1970,1887.43,1179.64,1568.92,65000
50,1500,0.041,0.038,0.029,16,31.5,0.1,0.25,0.106,2720,2605.99,1628.74,2166.23,75000
50,1500,0.041,0.038,0.033,18,25,0.1,0.25,0.106,2510,2404.79,1502.99,1998.98,75000
50,1800,0.035,0.032,0.03,16,31.5,0.1,0.27,0.088,2670,2558.08,1598.8,2126.41,90000
50,1800,0.035,0.032,0.034,18,25,0.1,0.27,0.088,2490,2385.63,1491.02,1983.05,90000
50,1800,0.035,0.032,0.028,18,31.5,0.1,0.2,0.088,2940,2816.77,1760.48,2341.44,90000
50,2200,0.043,0.041,0.028,18,31.5,0.1,0.22,0.084,2910,2848.95,2034.97,2503.01,110000
70,240,0.185,0.167,0.096,12.5,20,0.1,0.72,0.553,1270,1207.2,697.8,990.88,16800
70,360,0.123,0.111,0.1,12.5,20,0.1,0.78,0.368,1230,1169.18,675.82,959.67,25200
70,360,0.123,0.111,0.07,12.5,25,0.1,0.53,0.368,1600,1520.88,879.12,1248.35,25200
70,430,0.103,0.093,0.061,12.5,30,0.1,0.46,0.308,1850,1758.52,1016.48,1443.41,30100
70,430,0.103,0.093,0.067,16,20,0.1,0.44,0.308,1560,1482.86,857.14,1217.14,30100
70,510,0.087,0.079,0.075,12.5,25,0.1,0.57,0.26,1550,1473.35,851.65,1209.34,35700
70,510,0.087,0.079,0.061,18,20,0.1,0.36,0.26,1730,1644.45,950.55,1349.78,35700
70,560,0.079,0.072,0.065,12.5,30,0.1,0.49,0.237,1790,1701.48,983.52,1396.59,39200
70,560,0.079,0.072,0.07,16,20,0.1,0.47,0.237,1530,1454.34,840.66,1193.74,39200
70,560,0.079,0.072,0.051,16,25,0.1,0.33,0.237,1930,1834.56,1060.44,1505.82,39200
70,750,0.069,0.063,0.053,16,25,0.1,0.36,0.177,1890,1810.78,1131.74,1505.21,52500
70,750,0.069,0.063,0.04,16,31.5,0.1,0.26,0.177,2330,2232.34,1395.21,1855.63,52500
70,750,0.069,0.063,0.063,18,20,0.1,0.38,0.177,1710,1638.32,1023.95,1361.86,52500
70,750,0.069,0.063,0.044,18,25,0.1,0.25,0.177,2190,2098.2,1311.38,1744.13,52500
70,1000,0.062,0.057,0.042,16,31.5,0.1,0.27,0.159,2280,2184.43,1365.27,1815.81,70000
70,1000,0.062,0.057,0.045,18,25,0.1,0.27,0.159,2160,2069.46,1293.41,1720.24,70000
70,1000,0.062,0.057,0.036,18,31.5,0.1,0.21,0.159,2560,2452.69,1532.93,2038.8,70000
70,1300,0.048,0.044,0.037,18,31.5,0.1,0.22,0.122,2530,2423.95,1514.97,2014.91,91000
