Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,VC
50,3300,0.076,0.076,18,35.5,0.16,0.088,EKMG500E□□332MMP1S,1911.6,1911.6,1770,1858.5,1823.1,1504.5,165000
63,10,4.331,4.093,5,11,0.1,13.263,EKMG630E□□100ME11D,82.8,80.5,46,69,57.5,34.5,630
63,22,1.969,1.861,5,11,0.1,6.029,EKMG630E□□220ME11D,127.8,124.25,71,106.5,88.75,53.25,1386
63,33,1.312,1.24,6.3,11,0.1,4.019,EKMG630E□□330MF11D,180,175,100,150,125,75,2079
63,47,0.921,0.871,6.3,11,0.1,2.822,EKMG630E□□470MF11D,216,210,120,180,150,90,2961
63,100,0.677,0.589,10,12.5,0.1,1.326,EKMG630E□□101MJC5S,322.5,301,215,279.5,247.25,172,6300
63,220,0.308,0.268,10,16,0.1,0.603,EKMG630E□□221MJ16S,502.5,469,335,435.5,385.25,268,13860
63,330,0.205,0.179,10,20,0.1,0.402,EKMG630E□□331MJ20S,765,714,510,663,586.5,408,20790
63,470,0.144,0.125,12.5,20,0.1,0.282,EKMG630E□□471MK20S,960,896,640,832,736,512,29610
63,1000,0.081,0.071,16,25,0.1,0.159,EKMG630E□□102ML25S,1395,1302,930,1209,1069.5,744,63000
100,1,20.057,16.977,5,11,0.08,106.103,EKMG101E□□1R0ME11D,37.5,34.5,15,26.25,20.25,9.75,100
100,2.2,9.117,7.717,5,11,0.08,48.229,EKMG101E□□2R2ME11D,52.5,48.3,21,36.75,28.35,13.65,220.00000000000003
100,3.3,6.078,5.144,5,11,0.08,32.153,EKMG101E□□3R3ME11D,72.5,66.7,29,50.75,39.15,18.85,330
100,4.7,4.268,3.612,5,11,0.08,22.575,EKMG101E□□4R7ME11D,80,73.6,32,56,43.2,20.8,470
100,10,3.465,3.275,6.3,11,0.08,10.61,EKMG101E□□100MF11D,97.2,94.5,54,81,67.5,40.5,1000
100,22,1.575,1.489,8,11.5,0.08,4.823,EKMG101E□□220MHB5D,167.4,162.75,93,139.5,116.25,69.75,2200
100,33,1.05,0.992,8,11.5,0.08,3.215,EKMG101E□□330MHB5D,234,227.5,130,195,162.5,97.5,3300
100,47,0.737,0.697,10,12.5,0.08,2.258,EKMG101E□□470MJC5S,297,288.75,165,247.5,206.25,123.75,4700
100,100,0.541,0.472,10,20,0.08,1.061,EKMG101E□□101MJ20S,397.5,371,265,344.5,304.75,212,10000
100,220,0.246,0.214,12.5,25,0.08,0.482,EKMG101E□□221MK25S,660,616,440,572,506,352,22000
100,330,0.164,0.143,16,25,0.08,0.322,EKMG101E□□331ML25S,810,756,540,702,621,432,33000
100,470,0.115,0.1,16,31.5,0.08,0.226,EKMG101E□□471MLN3S,1072.5,1001,715,929.5,822.25,572,47000
100,1000,0.068,0.059,18,40,0.08,0.133,EKMG101E□□102MM40S,1477.5,1379,985,1280.5,1132.75,788,100000
160,3.3,15.195,12.861,6.3,11,0.2,80.381,EKMG161E□□3R3MF11D,70,64.4,28,49,37.8,18.2,528
160,4.7,10.669,9.03,6.3,11,0.2,56.438,EKMG161E□□4R7MF11D,85,78.2,34,59.5,45.9,22.1,752
160,10,8.662,8.187,10,12.5,0.2,26.526,EKMG161E□□100MJC5S,120.6,117.25,67,100.5,83.75,50.25,1600
160,22,3.937,3.721,10,20,0.2,12.057,EKMG161E□□220MJ20S,216,210,120,180,150,90,3520
160,33,2.625,2.481,10,20,0.2,8.038,EKMG161E□□330MJ20S,261,253.75,145,217.5,181.25,108.75,5280
160,47,1.843,1.742,12.5,20,0.2,5.644,EKMG161E□□470MK20S,351,341.25,195,292.5,243.75,146.25,7520
160,100,1.353,1.179,16,25,0.2,2.653,EKMG161E□□101ML25S,502.5,469,335,435.5,385.25,268,16000
160,220,0.615,0.536,16,31.5,0.2,1.206,EKMG161E□□221MLN3S,810,756,540,702,621,432,35200
160,330,0.41,0.357,18,35.5,0.2,0.804,EKMG161E□□331MMP1S,1057.5,987,705,916.5,810.75,564,52800
200,3.3,15.195,12.861,6.3,11,0.2,80.381,EKMG201E□□3R3MF11D,70,64.4,28,49,37.8,18.2,660
200,4.7,10.669,9.03,8,11.5,0.2,56.438,EKMG201E□□4R7MHB5D,97.5,89.7,39,68.25,52.65,25.35,940
200,10,8.662,8.187,10,16,0.2,26.526,EKMG201E□□100MJ16S,133.2,129.5,74,111,92.5,55.5,2000
200,22,3.937,3.721,10,20,0.2,12.057,EKMG201E□□220MJ20S,216,210,120,180,150,90,4400
200,33,2.625,2.481,12.5,20,0.2,8.038,EKMG201E□□330MK20S,288,280,160,240,200,120,6600
200,47,1.843,1.742,12.5,20,0.2,5.644,EKMG201E□□470MK20S,351,341.25,195,292.5,243.75,146.25,9400
