Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
10,1500,0.2,0.11,10,20,-55,105,0.195,2000,450,1400,UPS1A152MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1000,1000,869.57,982.61,956.52,747.83,MP,15000,Normal,2.34
10,2200,0.22,0.075,12.5,20,-55,105,0.157,3000,660,1000,UPS1A222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,1250,1086.96,1228.26,1195.65,934.78,MP,22000,Normal,3.43
10,3300,0.24,0.057,12.5,25,-55,105,0.121,3000,990,800,UPS1A332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1550,1550,1347.83,1523.04,1482.61,1159.13,MP,33000,Normal,4.56
10,4700,0.26,0.038,16,25,-55,105,0.096,3000,1410,400,UPS1A472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,1900,1652.17,1866.96,1817.39,1420.87,MP,47000,Normal,8.2
10,6800,0.3,0.033,16,30.5,-55,105,0.082,3000,2040,300,UPS1A682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,2350,2043.48,2309.13,2247.83,1757.39,MP,68000,Normal,9.6
10,10000,0.38,0.03,18,35.5,-55,105,0.077,3000,3000,250,UPS1A103MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2700,2700,2347.83,2653.04,2582.61,2019.13,MP,100000,Normal,14.2
10,15000,0.48,0.027,18,40,-55,105,0.069,3000,4500,200,UPS1A153MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,3300,3300,2869.57,3242.61,3156.52,2467.83,MP,150000,Normal,17.7
16,10,0.16,1.5,5,11,-55,105,21.221,2000,5,6000,UPS1C100MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,,,,,,EOL,160,Normal,0.44
16,22,0.16,1.5,5,11,-55,105,9.646,2000,11,6000,UPS1C220MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,352,Normal,0.44
16,33,0.16,1.5,5,11,-55,105,6.431,2000,16,6000,UPS1C330MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,528,Normal,0.44
16,47,0.16,1.5,5,11,-55,105,4.515,2000,23,6000,UPS1C470MDD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,160,160,27.21,103.95,63.95,,EOL,752,Normal,0.44
16,100,0.16,0.5,6.3,11,-55,105,2.122,2000,48,4000,UPS1C101MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,250,125,200,162.5,75,EOL,1600,Normal,0.59
16,150,0.16,0.5,6.3,11,-55,105,1.415,2000,72,4000,UPS1C151MED,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,250,250,125,200,162.5,75,EOL,2400,Normal,0.59
16,220,0.16,0.28,8,11.5,-55,105,0.965,2000,106,3000,UPS1C221MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,410,205,328,266.5,123,MP,3520,Normal,1.19
16,330,0.16,0.28,8,11.5,-55,105,0.643,2000,158,3000,UPS1C331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,410,410,290.78,369.29,334.4,232.62,MP,5280,Normal,1.19
16,470,0.16,0.19,10,12.5,-55,105,0.452,2000,226,2000,UPS1C471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,600,600,425.53,540.43,489.36,340.43,MP,7520,Normal,1.49
16,680,0.16,0.14,10,16,-55,105,0.312,2000,326,1800,UPS1C681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,800,800,567.38,720.57,652.48,453.9,MP,10880,Normal,1.77
16,1000,0.16,0.11,10,20,-55,105,0.239,2000,480,1400,UPS1C102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1000,1000,869.57,982.61,956.52,747.83,MP,16000,Normal,2.34
16,1500,0.16,0.075,12.5,20,-55,105,0.159,3000,720,1000,UPS1C152MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1250,1250,1086.96,1228.26,1195.65,934.78,MP,24000,Normal,3.43
16,2200,0.18,0.057,12.5,25,-55,105,0.133,3000,1056,800,UPS1C222MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1550,1550,1347.83,1523.04,1482.61,1159.13,MP,35200,Normal,4.56
16,3300,0.2,0.038,16,25,-55,105,0.104,3000,1584,400,UPS1C332MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1900,1900,1652.17,1866.96,1817.39,1420.87,MP,52800,Normal,8.2
16,4700,0.22,0.033,16,30.5,-55,105,0.085,3000,2256,300,UPS1C472MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2350,2350,2043.48,2309.13,2247.83,1757.39,MP,75200,Normal,9.6
