Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Endurance,Impedance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current,Straight leads,Taping
10,680,0.371,8,11.5,0.19,6000,0.056,0.6,3.5,5.0,,EEUFR1A681( ),950,200,1000
10,820,0.307,10,12.5,0.19,6000,0.043,0.6,5.0,5.0,,EEUFR1A821( ),1290,200,500
10,1000,0.252,8,15,0.19,8000,0.041,0.6,3.5,5.0,,EEUFR1A102L( ),1240,200,1000
10,1500,0.168,8,20,0.19,9000,0.03,0.6,3.5,5.0,,EEUFR1A152L( ),1560,200,1000
10,1800,0.14,10,16,0.19,8000,0.028,0.6,5.0,5.0,,EEUFR1A182( ),1790,200,500
10,2200,0.115,10,25,0.19,10000,0.018,0.6,5.0,5.0,,EEUFR1A222L( ),2470,200,500
10,3300,0.076,12.5,20,0.19,10000,0.018,0.6,5.0,5.0,,EEUFR1A332( ),2600,200,500
10,3900,0.065,12.5,25,0.19,10000,0.015,0.6,5.0,5.0,,EEUFR1A392( ),3190,200,500
10,4700,0.054,12.5,30,0.19,10000,0.013,0.8,5.0,,,EEUFR1A472L,3630,100,
10,4700,0.054,16,20,0.19,10000,0.017,0.8,7.5,7.5,,EEUFR1A472S( ),3300,100,250
10,5600,0.045,12.5,35,0.19,10000,0.012,0.8,5.0,,,EEUFR1A562L,3750,100,
10,6800,0.037,16,25,0.19,10000,0.014,0.8,7.5,7.5,,EEUFR1A682( ),3820,100,250
16,47,4.515,5,11,0.16,5000,0.3,0.5,2.0,5.0,2.5,EEUFR1C470( ),280,200,2000
16,68,3.121,5,11,0.16,5000,0.3,0.5,2.0,5.0,2.5,EEUFR1C680( ),280,200,2000
16,100,2.122,6.3,11.2,0.16,5000,0.13,0.5,2.5,5.0,2.5,EEUFR1C101( ),455,200,2000
16,120,1.768,6.3,11.2,0.16,5000,0.13,0.5,2.5,5.0,2.5,EEUFR1C121( ),455,200,2000
16,220,0.965,6.3,11.2,0.16,5000,0.13,0.5,2.5,5.0,2.5,EEUFR1C221( ),455,200,2000
16,470,0.452,8,11.5,0.16,6000,0.056,0.6,3.5,5.0,,EEUFR1C471( ),950,200,1000
16,680,0.312,8,15,0.16,8000,0.041,0.6,3.5,5.0,,EEUFR1C681L( ),1240,200,1000
16,680,0.312,10,12.5,0.16,6000,0.043,0.6,5.0,5.0,,EEUFR1C681( ),1290,200,500
16,1000,0.212,8,20,0.16,9000,0.03,0.6,3.5,5.0,,EEUFR1C102L( ),1560,200,1000
16,1000,0.212,10,16,0.16,8000,0.028,0.6,5.0,5.0,,EEUFR1C102( ),1790,200,500
16,1500,0.141,10,20,0.16,10000,0.02,0.6,5.0,5.0,,EEUFR1C152( ),2180,200,500
16,1800,0.118,10,25,0.16,10000,0.018,0.6,5.0,5.0,,EEUFR1C182L( ),2470,200,500
16,2200,0.096,12.5,20,0.16,10000,0.018,0.6,5.0,5.0,,EEUFR1C222( ),2600,200,500
16,2700,0.079,12.5,25,0.16,10000,0.015,0.6,5.0,5.0,,EEUFR1C272( ),3190,200,500
16,3300,0.064,12.5,30,0.16,10000,0.013,0.8,5.0,,,EEUFR1C332L,3630,100,
16,3300,0.064,16,20,0.16,10000,0.017,0.8,7.5,7.5,,EEUFR1C332S( ),3300,100,250
16,3900,0.054,12.5,35,0.16,10000,0.012,0.8,5.0,,,EEUFR1C392L,3750,100,
16,3900,0.054,16,20,0.16,10000,0.017,0.8,7.5,7.5,,EEUFR1C392S( ),3300,100,250
16,4700,0.045,12.5,35,0.16,10000,0.012,0.8,5.0,,,EEUFR1C472L,3750,100,
16,4700,0.045,16,25,0.16,10000,0.014,0.8,7.5,7.5,,EEUFR1C472( ),3820,100,250
16,5600,0.038,16,25,0.16,10000,0.014,0.8,7.5,7.5,,EEUFR1C562( ),3820,100,250
25,4.7,39.507,5,11,0.14,5000,0.62,0.5,2.0,5.0,2.5,EEUFR1H4R7( ),185,200,2000
25,10,18.568,5,11,0.14,5000,0.34,0.5,2.0,5.0,2.5,EEUFR1H100( ),250,200,2000
25,22,8.44,5,11,0.14,5000,0.34,0.5,2.0,5.0,2.5,EEUFR1H220( ),250,200,2000
25,47,3.951,6.3,11.2,0.14,5000,0.14,0.5,2.5,5.0,,EEUFR1H470( ),405,200,2000
25,56,3.316,6.3,11.2,0.14,5000,0.14,0.5,2.5,5.0,2.5,EEUFR1H560( ),405,200,2000
25,100,1.857,8,11.5,0.14,6000,0.061,0.6,3.5,5.0,,EEUFR1H101( ),870,200,1000
25,120,1.547,8,15,0.14,8000,0.045,0.6,3.5,5.0,,EEUFR1H121L( ),1140,200,1000
25,150,1.238,10,12.5,0.14,6000,0.042,0.6,5.0,5.0,,EEUFR1H151( ),1170,200,500
25,180,1.032,8,20,0.14,9000,0.033,0.6,3.5,5.0,,EEUFR1H181L( ),1430,200,1000
25,220,0.844,10,16,0.14,8000,0.03,0.6,5.0,5.0,,EEUFR1H221( ),1650,200,500
25,270,0.688,10,20,0.14,10000,0.023,0.6,5.0,5.0,,EEUFR1H271( ),1890,200,500
25,330,0.563,10,25,0.14,10000,0.022,0.6,5.0,5.0,,EEUFR1H331L( ),2150,200,500
25,470,0.395,12.5,20,0.14,10000,0.022,0.6,5.0,5.0,,EEUFR1H471( ),2260,200,500
25,560,0.332,12.5,25,0.14,10000,0.018,0.6,5.0,5.0,,EEUFR1H561( ),2660,200,500
25,680,0.273,12.5,30,0.14,10000,0.016,0.8,5.0,,,EEUFR1H681L,3160,100,
25,820,0.226,12.5,35,0.14,10000,0.014,0.8,5.0,,,EEUFR1H821L,3270,100,
25,820,0.226,16,20,0.14,10000,0.019,0.8,7.5,7.5,,EEUFR1H821S( ),2870,100,250
25,1000,0.186,16,25,0.14,10000,0.016,0.8,7.5,7.5,,EEUFR1H102( ),3320,100,250
35,18,8.842,5,11,0.12,5000,0.51,0.5,2.0,5.0,2.5,EEUFR1J180( ),175,200,2000
35,47,3.386,6.3,11.2,0.12,5000,0.21,0.5,2.5,5.0,2.5,EEUFR1J470( ),284,200,2000
35,82,1.941,8,11.5,0.12,6000,0.092,0.6,3.5,5.0,,EEUFR1J820( ),566,200,1000
35,100,1.592,8,15,0.12,8000,0.068,0.6,3.5,5.0,,EEUFR1J101L( ),741,200,1000
35,100,1.592,10,12.5,0.12,6000,0.063,0.6,5.0,5.0,,EEUFR1J101( ),761,200,500
35,120,1.326,8,20,0.12,9000,0.05,0.6,3.5,5.0,,EEUFR1J121L( ),930,200,1000
35,120,1.326,10,16,0.12,8000,0.045,0.6,5.0,5.0,,EEUFR1J121( ),1073,200,500
35,150,1.061,8,20,0.12,9000,0.05,0.6,3.5,5.0,,EEUFR1J151L( ),930,200,1000
35,150,1.061,10,16,0.12,8000,0.045,0.6,5.0,5.0,,EEUFR1J151( ),1073,200,500
35,180,0.884,10,20,0.12,10000,0.035,0.6,5.0,5.0,,EEUFR1J181( ),1229,200,500
35,220,0.723,10,25,0.12,10000,0.033,0.6,5.0,5.0,,EEUFR1J221L( ),1500,200,500
35,270,0.589,10,20,0.12,10000,0.035,0.6,5.0,5.0,,EEUFR1J271U( ),1229,200,500
35,270,0.589,10,25,0.12,10000,0.033,0.6,5.0,5.0,,EEUFR1J271L( ),1500,200,500
35,330,0.482,12.5,20,0.12,10000,0.033,0.6,5.0,5.0,,EEUFR1J331( ),1582,200,500
35,390,0.408,12.5,20,0.12,10000,0.033,0.6,5.0,5.0,,EEUFR1J391( ),1582,200,500
35,470,0.339,12.5,25,0.12,10000,0.027,0.6,5.0,5.0,,EEUFR1J471( ),1995,200,500
35,560,0.284,12.5,30,0.12,10000,0.024,0.8,5.0,,,EEUFR1J561L,2528,100,
35,560,0.284,16,20,0.12,10000,0.029,0.8,7.5,7.5,,EEUFR1J561S( ),2153,100,250
35,680,0.234,12.5,35,0.12,10000,0.021,0.8,5.0,,,EEUFR1J681L,2780,100,
35,820,0.194,16,25,0.12,10000,0.024,0.8,7.5,7.5,,EEUFR1J821( ),2988,100,250
100,100,1.061,10,20,0.08,10000,0.084,0.6,5.0,5.0,,EEUFR2A101( ),1500,200,500
