Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
25,220,0.965,8,11.5,0.16,EKMG250E□□221MHB5D,230
25,330,0.643,8,11.5,0.16,EKMG250E□□331MHB5D,310
25,470,0.452,10,12.5,0.16,EKMG250E□□471MJC5S,380
25,1000,0.212,10,20,0.16,EKMG250E□□102MJ20S,680
25,2200,0.109,12.5,25,0.18,EKMG250E□□222MK25S,1090
25,3300,0.08,16,25,0.2,EKMG250E□□332ML25S,1400
25,4700,0.062,16,31.5,0.22,EKMG250E□□472MLN3S,1710
25,6800,0.051,18,35.5,0.26,EKMG250E□□682MMP1S,2040
35,47,3.951,5,11,0.14,EKMG350E□□470ME11D,90
35,100,1.857,6.3,11,0.14,EKMG350E□□101MF11D,150
35,220,0.844,8,11.5,0.14,EKMG350E□□221MHB5D,270
35,330,0.563,10,12.5,0.14,EKMG350E□□331MJC5S,350
35,470,0.395,10,16,0.14,EKMG350E□□471MJ16S,460
35,1000,0.186,12.5,20,0.14,EKMG350E□□102MK20S,810
35,2200,0.096,16,25,0.16,EKMG350E□□222ML25S,1260
35,3300,0.072,16,35.5,0.18,EKMG350E□□332MLP1S,1610
35,4700,0.056,18,35.5,0.2,EKMG350E□□472MMP1S,1910
50,1,159.155,5,11,0.12,EKMG500E□□1R0ME11D,13
50,2.2,72.343,5,11,0.12,EKMG500E□□2R2ME11D,20
50,3.3,48.229,5,11,0.12,EKMG500E□□3R3ME11D,25
50,4.7,33.863,5,11,0.12,EKMG500E□□4R7ME11D,30
50,10,15.916,5,11,0.12,EKMG500E□□100ME11D,40
50,22,7.234,5,11,0.12,EKMG500E□□220ME11D,65
50,33,4.823,5,11,0.12,EKMG500E□□330ME11D,90
50,47,3.386,6.3,11,0.12,EKMG500E□□470MF11D,110
50,100,1.592,8,11.5,0.12,EKMG500E□□101MHB5D,180
50,220,0.723,10,12.5,0.12,EKMG500E□□221MJC5S,300
50,330,0.482,10,16,0.12,EKMG500E□□331MJ16S,410
50,470,0.339,10,20,0.12,EKMG500E□□471MJ20S,530
50,1000,0.159,12.5,25,0.12,EKMG500E□□102MK25S,950
50,2200,0.084,16,35.5,0.14,EKMG500E□□222MLP1S,1470
50,3300,0.064,18,35.5,0.16,EKMG500E□□332MMP1S,1770
63,10,13.263,5,11,0.1,EKMG630E□□100ME11D,46
63,22,6.029,5,11,0.1,EKMG630E□□220ME11D,71
63,33,4.019,6.3,11,0.1,EKMG630E□□330MF11D,100
63,47,2.822,6.3,11,0.1,EKMG630E□□470MF11D,120
63,100,1.326,10,12.5,0.1,EKMG630E□□101MJC5S,215
63,220,0.603,10,16,0.1,EKMG630E□□221MJ16S,335
63,330,0.402,10,20,0.1,EKMG630E□□331MJ20S,510
63,470,0.282,12.5,20,0.1,EKMG630E□□471MK20S,640
63,1000,0.133,16,25,0.1,EKMG630E□□102ML25S,930
100,1,106.103,5,11,0.08,EKMG101E□□1R0ME11D,15
100,2.2,48.229,5,11,0.08,EKMG101E□□2R2ME11D,21
100,3.3,32.153,5,11,0.08,EKMG101E□□3R3ME11D,29
100,4.7,22.575,5,11,0.08,EKMG101E□□4R7ME11D,32
100,10,10.61,6.3,11,0.08,EKMG101E□□100MF11D,54
100,22,4.823,8,11.5,0.08,EKMG101E□□220MHB5D,93
100,33,3.215,8,11.5,0.08,EKMG101E□□330MHB5D,130
100,47,2.258,10,12.5,0.08,EKMG101E□□470MJC5S,165
100,100,1.061,10,20,0.08,EKMG101E□□101MJ20S,265
100,220,0.482,12.5,25,0.08,EKMG101E□□221MK25S,440
100,330,0.322,16,25,0.08,EKMG101E□□331ML25S,540
100,470,0.226,16,31.5,0.08,EKMG101E□□471MLN3S,715
100,1000,0.106,18,40,0.08,EKMG101E□□102MM40S,985
160,3.3,80.381,6.3,11,0.2,EKMG161E□□3R3MF11D,28
160,4.7,56.438,6.3,11,0.2,EKMG161E□□4R7MF11D,34
160,10,26.526,10,12.5,0.2,EKMG161E□□100MJC5S,67
160,22,12.057,10,20,0.2,EKMG161E□□220MJ20S,120
160,33,8.038,10,20,0.2,EKMG161E□□330MJ20S,145
160,47,5.644,12.5,20,0.2,EKMG161E□□470MK20S,195
160,100,2.653,16,25,0.2,EKMG161E□□101ML25S,335
160,220,1.206,16,31.5,0.2,EKMG161E□□221MLN3S,540
160,330,0.804,18,35.5,0.2,EKMG161E□□331MMP1S,705
200,3.3,80.381,6.3,11,0.2,EKMG201E□□3R3MF11D,28
200,4.7,56.438,8,11.5,0.2,EKMG201E□□4R7MHB5D,39
200,10,26.526,10,16,0.2,EKMG201E□□100MJ16S,74
200,22,12.057,10,20,0.2,EKMG201E□□220MJ20S,120
200,33,8.038,12.5,20,0.2,EKMG201E□□330MK20S,160
200,47,5.644,12.5,20,0.2,EKMG201E□□470MK20S,195
200,100,2.653,16,25,0.2,EKMG201E□□101ML25S,335
200,220,1.206,18,35.5,0.2,EKMG201E□□221MMP1S,575
250,2.2,120.572,6.3,11,0.2,EKMG251E□□2R2MF11D,23
250,3.3,80.381,8,11.5,0.2,EKMG251E□□3R3MHB5D,32
250,4.7,56.438,8,11.5,0.2,EKMG251E□□4R7MHB5D,39
250,10,26.526,10,16,0.2,EKMG251E□□100MJ16S,74
250,22,12.057,12.5,20,0.2,EKMG251E□□220MK20S,130
250,33,8.038,12.5,20,0.2,EKMG251E□□330MK20S,160
250,47,5.644,12.5,25,0.2,EKMG251E□□470MK25S,210
250,100,2.653,16,31.5,0.2,EKMG251E□□101MLN3S,365
250,220,1.206,18,40,0.2,EKMG251E□□221MM40S,585
350,1,318.31,6.3,11,0.24,EKMG351E□□1R0MF11D,15
350,2.2,144.686,8,11.5,0.24,EKMG351E□□2R2MHB5D,26
350,3.3,96.458,10,12.5,0.24,EKMG351E□□3R3MJC5S,38
350,4.7,67.726,10,16,0.24,EKMG351E□□4R7MJ16S,50
350,10,31.831,10,20,0.24,EKMG351E□□100MJ20S,80
350,22,14.469,12.5,20,0.24,EKMG351E□□220MK20S,130
350,33,9.646,16,25,0.24,EKMG351E□□330ML25S,195
350,47,6.773,16,25,0.24,EKMG351E□□470ML25S,230
350,100,3.183,18,31.5,0.24,EKMG351E□□101MMN3S,375
400,1,318.31,6.3,11,0.24,EKMG401E□□1R0MF11D,15
400,2.2,144.686,8,11.5,0.24,EKMG401E□□2R2MHB5D,26
400,3.3,96.458,10,12.5,0.24,EKMG401E□□3R3MJC5S,38
400,4.7,67.726,10,16,0.24,EKMG401E□□4R7MJ16S,50
400,10,31.831,10,20,0.24,EKMG401E□□100MJ20S,80
400,22,14.469,12.5,25,0.24,EKMG401E□□220MK25S,145
400,33,9.646,16,25,0.24,EKMG401E□□330ML25S,195
400,47,6.773,16,31.5,0.24,EKMG401E□□470MLN3S,250
400,100,3.183,16,40,0.24,EKMG401E□□101ML40S,350
450,2.2,144.686,10,12.5,0.24,EKMG451E□□2R2MJC5S,23
450,3.3,96.458,10,16,0.24,EKMG451E□□3R3MJ16S,31
450,4.7,67.726,10,20,0.24,EKMG451E□□4R7MJ20S,40
450,10,31.831,12.5,20,0.24,EKMG451E□□100MK20S,65
450,22,14.469,16,25,0.24,EKMG451E□□220ML25S,115
450,33,9.646,16,31.5,0.24,EKMG451E□□330MLN3S,155
450,47,6.773,16,35.5,0.24,EKMG451E□□470MLP1S,185
