Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current,Status,Vibration resistant,Weight (g)
63,10,15.916,6.3,11,-55,105,0.12,1000,19,4000,UEP1J100MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,40,EOL,Normal,0.59
63,22,7.234,8,11.5,-55,105,0.12,1000,42,3000,UEP1J220MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,68,MP,Normal,1.19
63,33,4.823,10,12.5,-55,105,0.12,1000,62,2000,UEP1J330MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,98,MP,Normal,1.49
63,47,3.386,10,16,-55,105,0.12,1000,89,1800,UEP1J470MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,130,MP,Normal,1.77
63,100,1.592,12.5,20,-55,105,0.12,1000,189,1000,UEP1J101MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,225,MP,Normal,3.43
63,220,0.723,16,25,-55,105,0.12,1000,416,400,UEP1J221MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,405,MP,Normal,8.2
63,330,0.482,16,30.5,-55,105,0.12,1000,624,300,UEP1J331MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,535,MP,Normal,9.6
63,470,0.339,18,35.5,-55,105,0.12,1000,888,250,UEP1J471MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,680,MP,Normal,14.2
100,1,132.629,5,11,-55,105,0.1,1000,3,6000,UEP2A010MDD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,15,EOL,Normal,0.44
100,2.2,60.286,6.3,11,-55,105,0.1,1000,7,4000,UEP2A2R2MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,20,EOL,Normal,0.59
100,3.3,40.191,6.3,11,-55,105,0.1,1000,10,4000,UEP2A3R3MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,25,EOL,Normal,0.59
100,4.7,28.219,6.3,11,-55,105,0.1,1000,14,4000,UEP2A4R7MED,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,30,EOL,Normal,0.59
100,10,13.263,8,11.5,-55,105,0.1,1000,30,3000,UEP2A100MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,50,MP,Normal,1.19
100,22,6.029,10,16,-55,105,0.1,1000,66,1800,UEP2A220MPD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,97,MP,Normal,1.77
100,33,4.019,12.5,20,-55,105,0.1,1000,99,1000,UEP2A330MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,140,MP,Normal,3.43
100,47,2.822,12.5,20,-55,105,0.1,1000,141,1000,UEP2A470MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,170,MP,Normal,3.43
100,100,1.326,16,25,-55,105,0.1,1000,300,400,UEP2A101MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,300,MP,Normal,8.2
100,220,0.603,18,35.5,-55,105,0.1,1000,660,250,UEP2A221MHD,Bi-Polar,Radial Lead,Bi-Polar Wide Temp. Range,510,MP,Normal,14.2
