Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Impedance -10°C@100kHz,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
10,6800,0.057,0.057,0.019,16,25,-55,105,0.29,0.08,5000,0.038,2040,400,UPA1A682MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2760,2760,2338.98,2619.66,2479.32,2198.64,MP,68000,Normal,8.2
10,8200,0.057,0.057,0.017,16,30.5,-55,105,0.33,0.079,5000,0.034,2460,300,UPA1A822MHD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2810,2810,2381.36,2667.12,2524.24,2238.47,MP,82000,Normal,9.6
10,8200,0.057,0.057,0.018,18,25,-55,105,0.33,0.079,5000,0.036,2460,300,UPA1A822MHD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,2850,2850,2415.25,2705.08,2560.17,2270.34,MP,82000,Normal,10.6
16,330,0.271,0.271,0.09,8,11.5,-55,105,0.16,0.643,3000,0.18,158,3000,UPA1C331MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,630,630,409.09,535.91,470.45,347.73,MP,5280,Normal,1.19
16,390,0.308,0.308,0.09,8,11.5,-55,105,0.16,0.544,3000,0.18,187,3000,UPA1C391MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,630,630,473.68,568.42,506.84,440.53,MP,6240,Normal,1.19
16,470,0.255,0.255,0.063,10,12.5,-55,105,0.16,0.452,4000,0.126,226,2000,UPA1C471MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,900,900,676.69,812.03,724.06,629.32,MP,7520,Normal,1.49
16,680,0.176,0.176,0.062,8,15,-55,105,0.16,0.312,3000,0.124,326,2000,UPA1C681MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,860,860,646.62,775.94,691.88,601.35,MP,10880,Normal,1.36
16,680,0.176,0.176,0.063,10,12.5,-55,105,0.16,0.312,4000,0.126,326,2000,UPA1C681MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,900,900,676.69,812.03,724.06,629.32,MP,10880,Normal,1.49
16,820,0.146,0.146,0.044,8,20,-55,105,0.16,0.259,3000,0.088,394,2000,UPA1C821MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1220,1220,917.29,1100.75,981.5,853.08,MP,13120,Normal,1.66
16,820,0.146,0.146,0.049,10,16,-55,105,0.16,0.259,4000,0.098,394,1800,UPA1C821MPD6,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1240,1240,932.33,1118.8,997.59,867.07,MP,13120,Normal,1.77
16,1000,0.135,0.135,0.049,10,16,-55,105,0.16,0.239,4000,0.098,480,1800,UPA1C102MPD,Uni-Polar,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,1240,1240,932.33,1118.8,997.59,867.07,MP,16000,Normal,1.77
