Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@300Hz,Ripple Current 105°C@50Hz,Status,VC,Vibration resistant,Weight (g)
250,270,0.23,,18,40,-40,105,0.12,0.589,5000,4060,200,UPT2E271MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1520,950,1330,1187.5,760,MP,67500,Normal,17.7
250,330,0.188,,22,40,-40,105,0.12,0.482,5000,4960,250,UPT2E331MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1680,1050,1470,1312.5,840,EOL,82500,Normal,23.8
250,470,0.132,,22,50,-40,105,0.12,0.339,5000,7060,250,UPT2E471MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2320,1450,2030,1812.5,1160,EOL,117500,Normal,27.4
250,470,0.132,,25,40,-40,105,0.12,0.339,5000,7060,180,UPT2E471MRD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2320,1450,2030,1812.5,1160,EOL,117500,Normal,27.4
250,560,0.111,,25,50,-40,105,0.12,0.284,5000,8410,140,UPT2E561MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2480,1550,2170,1937.5,1240,EOL,140000,Normal,38.8
400,22,3.532,,10,30.5,-40,105,0.15,9.043,5000,538,1000,UPT2G220MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,336,210,294,262.5,168,MP,8800,Normal,3.21
400,27,2.878,,12.5,25,-40,105,0.15,7.368,5000,658,800,UPT2G270MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,384,240,336,300,192,MP,10800,Normal,4.56
400,33,2.355,,12.5,30.5,-40,105,0.15,6.029,5000,802,600,UPT2G330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,464,290,406,362.5,232,MP,13200,Normal,6.01
400,39,1.993,,12.5,30.5,-40,105,0.15,5.101,5000,946,600,UPT2G390MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,512,320,448,400,256,MP,15600,Normal,6.01
400,47,1.653,,12.5,35.5,-40,105,0.15,4.233,5000,1138,500,UPT2G470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,592,370,518,462.5,296,MP,18800,Normal,7.06
400,56,1.388,,12.5,40,-40,105,0.15,3.553,5000,1354,400,UPT2G560MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,672,420,588,525,336,MP,22400,Normal,7.57
400,68,1.143,,16,30.5,-40,105,0.15,2.926,5000,1642,300,UPT2G680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,736,460,644,575,368,MP,27200,Normal,9.6
400,82,0.948,,16,30.5,-40,105,0.15,2.426,5000,1978,300,UPT2G820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,800,500,700,625,400,MP,32800,Normal,9.6
400,100,0.777,,16,35.5,-40,105,0.15,1.989,5000,2410,300,UPT2G101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,928,580,812,725,464,MP,40000,Normal,11.8
400,100,0.777,,18,30.5,-40,105,0.15,1.989,5000,2410,300,UPT2G101MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,928,580,812,725,464,MP,40000,Normal,13.1
400,120,0.648,,16,40,-40,105,0.15,1.658,5000,2890,300,UPT2G121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1056,660,924,825,528,MP,48000,Normal,14.1
400,120,0.648,,18,35.5,-40,105,0.15,1.658,5000,2890,250,UPT2G121MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1072,670,938,837.5,536,MP,48000,Normal,14.2
400,150,0.518,,18,40,-40,105,0.15,1.326,5000,3610,200,UPT2G151MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1232,770,1078,962.5,616,MP,60000,Normal,17.7
400,180,0.432,,22,40,-40,105,0.15,1.105,5000,4330,250,UPT2G181MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1360,850,1190,1062.5,680,EOL,72000,Normal,23.8
400,270,0.288,,22,50,-40,105,0.15,0.737,5000,6490,250,UPT2G271MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2080,1300,1820,1625,1040,EOL,108000,Normal,27.4
400,270,0.288,,25,40,-40,105,0.15,0.737,5000,6490,180,UPT2G271MRD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2080,1300,1820,1625,1040,EOL,108000,Normal,27.4
400,330,0.235,,25,50,-40,105,0.15,0.603,5000,7930,140,UPT2G331MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,2240,1400,1960,1750,1120,EOL,132000,Normal,38.8
420,18,5.756,,10,30.5,-40,105,0.2,14.737,5000,464,1000,UPTW6180MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,272,170,238,212.5,136,MP,7560,Normal,3.21
420,22,4.71,,12.5,25,-40,105,0.2,12.057,5000,564,800,UPTW6220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,320,200,280,250,160,MP,9240,Normal,4.56
420,27,3.838,,12.5,30.5,-40,105,0.2,9.824,5000,690,600,UPTW6270MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,384,240,336,300,192,MP,11340,Normal,6.01
420,33,3.14,,12.5,30.5,-40,105,0.2,8.038,5000,842,600,UPTW6330MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,432,270,378,337.5,216,MP,13860,Normal,6.01
420,39,2.657,,12.5,35.5,-40,105,0.2,6.801,5000,993,500,UPTW6390MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,496,310,434,387.5,248,MP,16380,Normal,7.06
420,47,2.205,,12.5,40,-40,105,0.2,5.644,5000,1194,400,UPTW6470MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,576,360,504,450,288,MP,19740,Normal,7.57
420,56,1.85,,16,30.5,-40,105,0.2,4.737,5000,1421,300,UPTW6560MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,688,430,602,537.5,344,MP,23520,Normal,9.6
420,68,1.524,,16,35.5,-40,105,0.2,3.901,5000,1724,300,UPTW6680MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,816,510,714,637.5,408,MP,28560,Normal,11.8
420,68,1.524,,18,30.5,-40,105,0.2,3.901,5000,1724,300,UPTW6680MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,816,510,714,637.5,408,MP,28560,Normal,13.1
420,82,1.264,,16,40,-40,105,0.2,3.235,5000,2076,300,UPTW6820MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,912,570,798,712.5,456,MP,34440,Normal,14.1
420,82,1.264,,18,30.5,-40,105,0.2,3.235,5000,2076,300,UPTW6820MHD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,912,570,798,712.5,456,MP,34440,Normal,13.1
420,100,1.036,,18,35.5,-40,105,0.2,2.653,5000,2530,250,UPTW6101MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,976,610,854,762.5,488,MP,42000,Normal,14.2
420,120,0.863,,18,40,-40,105,0.2,2.21,5000,3034,200,UPTW6121MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1056,660,924,825,528,MP,50400,Normal,17.7
420,150,0.691,,22,40,-40,105,0.2,1.768,5000,3790,250,UPTW6151MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1280,800,1120,1000,640,EOL,63000,Normal,23.8
420,180,0.576,,22,50,-40,105,0.2,1.474,5000,4546,250,UPTW6181MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1520,950,1330,1187.5,760,EOL,75600,Normal,27.4
420,180,0.576,,25,40,-40,105,0.2,1.474,5000,4546,180,UPTW6181MRD6,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1520,950,1330,1187.5,760,EOL,75600,Normal,27.4
420,270,0.384,,25,50,-40,105,0.2,0.982,5000,6814,140,UPTW6271MRD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,1920,1200,1680,1500,960,EOL,113400,Normal,38.8
450,15,6.908,,10,30.5,-40,105,0.2,17.684,5000,415,1000,UPT2W150MPD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,240,150,210,187.5,120,MP,6750,Normal,3.21
450,18,5.756,,12.5,25,-40,105,0.2,14.737,5000,496,800,UPT2W180MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,288,180,252,225,144,MP,8100,Normal,4.56
450,22,4.71,,12.5,30.5,-40,105,0.2,12.057,5000,604,600,UPT2W220MHD,Uni-Polar,Radial Lead,Minitualized Hi-Ripple Cur. Long Life,352,220,308,275,176,MP,9900,Normal,6.01
