Voltage,Capacitance,ESR 20°C@120Hz,Case Size Diameter,Case Size Length,Dissipation Factor,Part Number,Ripple Current 105°C@120Hz
420,180,1.474,18,35,0.2,EKHF421E□□181MM35S,1020
420,220,1.206,16,50,0.2,EKHF421E□□221ML50S,1170
420,220,1.206,18,40,0.2,EKHF421E□□221MM40S,1160
420,220,1.206,18,45,0.2,EKHF421E□□221MM45S,1190
420,270,0.982,18,50,0.2,EKHF421E□□271MM50S,1310
450,18,14.737,10,20,0.2,EKHF451E□□180MJ20S,210
450,27,9.824,10,25,0.2,EKHF451E□□270MJ25S,285
450,33,8.038,10,30,0.2,EKHF451E□□330MJ30S,335
450,33,8.038,12.5,20,0.2,EKHF451E□□330MK20S,320
450,39,6.801,10,35,0.2,EKHF451E□□390MJ35S,385
450,47,5.644,10,40,0.2,EKHF451E□□470MJ40S,445
450,47,5.644,12.5,25,0.2,EKHF451E□□470MK25S,415
450,56,4.737,10,45,0.2,EKHF451E□□560MJ45S,505
450,56,4.737,10,50,0.2,EKHF451E□□560MJ50S,520
450,56,4.737,12.5,30,0.2,EKHF451E□□560MK30S,480
450,56,4.737,16,20,0.2,EKHF451E□□560ML20S,460
450,68,3.901,12.5,35,0.2,EKHF451E□□680MK35S,560
450,82,3.235,12.5,40,0.2,EKHF451E□□820MK40S,640
450,82,3.235,14.5,31.5,0.2,EKHF451E□□820MUN3S,615
450,82,3.235,16,25,0.2,EKHF451E□□820ML25S,605
450,82,3.235,18,20,0.2,EKHF451E□□820MM20S,585
450,100,2.653,12.5,45,0.2,EKHF451E□□101MK45S,730
450,100,2.653,12.5,50,0.2,EKHF451E□□101MK50S,750
450,100,2.653,14.5,35,0.2,EKHF451E□□101MU35S,700
450,100,2.653,16,31.5,0.2,EKHF451E□□101MLN3S,720
450,100,2.653,18,25,0.2,EKHF451E□□101MM25S,690
450,120,2.21,14.5,40,0.2,EKHF451E□□121MU40S,810
450,120,2.21,14.5,45,0.2,EKHF451E□□121MU45S,835
450,120,2.21,16,35,0.2,EKHF451E□□121ML35S,810
450,150,1.768,16,40,0.2,EKHF451E□□151ML40S,935
450,150,1.768,16,45,0.2,EKHF451E□□151ML45S,950
450,150,1.768,18,31.5,0.2,EKHF451E□□151MMN3S,915
450,150,1.768,18,35,0.2,EKHF451E□□151MM35S,935
450,180,1.474,16,50,0.2,EKHF451E□□181ML50S,1060
450,180,1.474,18,40,0.2,EKHF451E□□181MM40S,1050
450,220,1.206,18,45,0.2,EKHF451E□□221MM45S,1190
450,220,1.206,18,50,0.2,EKHF451E□□221MM50S,1190
