Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,VC
450,82,1.056,0.998,12.5,40,0.2,3.235,EKHF451E□□820MK40S,1152,1120,640,960,36900
450,82,1.056,0.998,14.5,31.5,0.2,3.235,EKHF451E□□820MUN3S,1107,1076.25,615,922.5,36900
450,82,1.056,0.998,16,25,0.2,3.235,EKHF451E□□820ML25S,1089,1058.75,605,907.5,36900
450,82,1.056,0.998,18,20,0.2,3.235,EKHF451E□□820MM20S,1053,1023.75,585,877.5,36900
450,100,1.353,1.179,12.5,45,0.2,2.653,EKHF451E□□101MK45S,1095,1022,730,949,45000
450,100,1.353,1.179,12.5,50,0.2,2.653,EKHF451E□□101MK50S,1125,1050,750,975,45000
450,100,1.353,1.179,14.5,35,0.2,2.653,EKHF451E□□101MU35S,1050,980,700,910,45000
450,100,1.353,1.179,16,31.5,0.2,2.653,EKHF451E□□101MLN3S,1080,1008,720,936,45000
450,100,1.353,1.179,18,25,0.2,2.653,EKHF451E□□101MM25S,1035,966,690,897,45000
450,120,1.128,0.982,14.5,40,0.2,2.21,EKHF451E□□121MU40S,1215,1134,810,1053,54000
450,120,1.128,0.982,14.5,45,0.2,2.21,EKHF451E□□121MU45S,1252.5,1169,835,1085.5,54000
450,120,1.128,0.982,16,35,0.2,2.21,EKHF451E□□121ML35S,1215,1134,810,1053,54000
450,150,0.902,0.786,16,40,0.2,1.768,EKHF451E□□151ML40S,1402.5,1309,935,1215.5,67500
450,150,0.902,0.786,16,45,0.2,1.768,EKHF451E□□151ML45S,1425,1330,950,1235,67500
450,150,0.902,0.786,18,31.5,0.2,1.768,EKHF451E□□151MMN3S,1372.5,1281,915,1189.5,67500
450,150,0.902,0.786,18,35,0.2,1.768,EKHF451E□□151MM35S,1402.5,1309,935,1215.5,67500
450,180,0.752,0.655,16,50,0.2,1.474,EKHF451E□□181ML50S,1590,1484,1060,1378,81000
450,180,0.752,0.655,18,40,0.2,1.474,EKHF451E□□181MM40S,1575,1470,1050,1365,81000
450,220,0.615,0.536,18,45,0.2,1.206,EKHF451E□□221MM45S,1785,1666,1190,1547,99000
450,220,0.615,0.536,18,50,0.2,1.206,EKHF451E□□221MM50S,1785,1666,1190,1547,99000
