Voltage,Capacitance,ESR 20°C@120Hz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,Part Number,Ripple Current 125°C@100kHz
63,1500,0.088,0.037,18,30,0.1,0.18,EGXF630E□□152MM30S,3100
63,1800,0.074,0.028,16,40,0.1,0.15,EGXF630E□□182ML40S,3590
63,2000,0.066,0.028,18,35,0.1,0.13,EGXF630E□□202MM35S,3450
63,2400,0.055,0.023,18,40,0.1,0.10,EGXF630E□□242MM40S,3690
80,240,0.442,0.097,12.5,20,0.08,0.75,EGXF800E□□241MK20S,1310
80,330,0.322,0.072,12.5,25,0.08,0.55,EGXF800E□□331MK25S,1880
80,330,0.322,0.072,14.5,20,0.08,0.59,EGXF800E□□331MU20S,1510
80,390,0.272,0.062,16,20,0.08,0.39,EGXF800E□□391ML20S,1630
80,430,0.247,0.052,12.5,30,0.08,0.37,EGXF800E□□431MK30S,2410
80,470,0.226,0.054,14.5,25,0.08,0.40,EGXF800E□□471MU25S,2130
80,560,0.189,0.044,12.5,35,0.08,0.29,EGXF800E□□561MK35S,2760
80,560,0.189,0.047,16,25,0.08,0.27,EGXF800E□□561ML25S,2300
80,560,0.189,0.055,18,20,0.08,0.29,EGXF800E□□561MM20S,1750
80,620,0.171,0.038,12.5,40,0.08,0.26,EGXF800E□□621MK40S,3080
80,620,0.171,0.042,14.5,30,0.08,0.30,EGXF800E□□621MU30S,2700
80,680,0.156,0.037,14.5,35,0.08,0.24,EGXF800E□□681MU35S,2940
80,680,0.156,0.037,16,30,0.08,0.23,EGXF800E□□681ML30S,2940
80,750,0.141,0.044,18,25,0.08,0.22,EGXF800E□□751MM25S,2440
80,820,0.129,0.032,14.5,40,0.08,0.20,EGXF800E□□821MU40S,3350
80,910,0.117,0.031,16,35,0.08,0.17,EGXF800E□□911ML35S,3220
80,910,0.117,0.037,18,30,0.08,0.18,EGXF800E□□911MM30S,3100
80,1100,0.096,0.028,16,40,0.08,0.15,EGXF800E□□112ML40S,3590
80,1300,0.082,0.028,18,35,0.08,0.13,EGXF800E□□132MM35S,3450
80,1500,0.071,0.023,18,40,0.08,0.10,EGXF800E□□152MM40S,3690
100,130,0.816,0.12,12.5,20,0.08,0.94,EGXF101E□□131MK20S,1210
100,180,0.589,0.082,14.5,20,0.08,0.69,EGXF101E□□181MU20S,1450
100,200,0.531,0.082,12.5,25,0.08,0.70,EGXF101E□□201MK25S,1800
100,240,0.442,0.062,12.5,30,0.08,0.52,EGXF101E□□241MK30S,2290
100,240,0.442,0.071,16,20,0.08,0.53,EGXF101E□□241ML20S,1580
100,270,0.393,0.064,14.5,25,0.08,0.52,EGXF101E□□271MU25S,2050
100,330,0.322,0.051,12.5,35,0.08,0.38,EGXF101E□□331MK35S,2680
100,330,0.322,0.057,16,25,0.08,0.39,EGXF101E□□331ML25S,2190
100,330,0.322,0.069,18,20,0.08,0.39,EGXF101E□□331MM20S,1690
100,360,0.295,0.050,14.5,30,0.08,0.40,EGXF101E□□361MU30S,2620
100,390,0.272,0.044,12.5,40,0.08,0.33,EGXF101E□□391MK40S,2970
100,390,0.272,0.044,14.5,35,0.08,0.33,EGXF101E□□391MU35S,2850
100,390,0.272,0.044,16,30,0.08,0.33,EGXF101E□□391ML30S,2770
100,430,0.247,0.054,18,25,0.08,0.32,EGXF101E□□431MM25S,2310
100,510,0.208,0.038,14.5,40,0.08,0.26,EGXF101E□□511MU40S,3230
100,510,0.208,0.037,16,35,0.08,0.26,EGXF101E□□511ML35S,3010
100,560,0.189,0.043,18,30,0.08,0.26,EGXF101E□□561MM30S,2830
100,620,0.171,0.032,16,40,0.08,0.21,EGXF101E□□621ML40S,3320
100,680,0.156,0.034,18,35,0.08,0.19,EGXF101E□□681MM35S,3210
100,820,0.129,0.029,18,40,0.08,0.16,EGXF101E□□821MM40S,3410
160,51,3.901,,10,20,0.15,,EGXF161E□□510MJ20S,900
160,62,3.209,,10,25,0.15,,EGXF161E□□620MJ25S,1200
160,75,2.653,,12.5,20,0.15,,EGXF161E□□750MK20S,1220
160,82,2.426,,10,30,0.15,,EGXF161E□□820MJ30S,1410
160,100,1.989,,10,35,0.15,,EGXF161E□□101MJ35S,1600
160,100,1.989,,14.5,20,0.15,,EGXF161E□□101MU20S,1340
160,110,1.809,,12.5,25,0.15,,EGXF161E□□111MK25S,1510
160,120,1.658,,10,40,0.15,,EGXF161E□□121MJ40S,1790
160,130,1.53,,16,20,0.15,,EGXF161E□□131ML20S,1500
160,150,1.326,,12.5,30,0.15,,EGXF161E□□151MK30S,1770
160,150,1.326,,14.5,25,0.15,,EGXF161E□□151MU25S,1610
160,180,1.105,,12.5,35,0.15,,EGXF161E□□181MK35S,1970
160,180,1.105,,14.5,30,0.15,,EGXF161E□□181MU30S,1880
160,180,1.105,,18,20,0.15,,EGXF161E□□181MM20S,1730
160,200,0.995,,12.5,40,0.15,,EGXF161E□□201MK40S,2150
160,200,0.995,,16,25,0.15,,EGXF161E□□201ML25S,1850
160,220,0.904,,14.5,35,0.15,,EGXF161E□□221MU35S,2030
160,240,0.829,,18,25,0.15,,EGXF161E□□241MM25S,2050
160,270,0.737,,14.5,40,0.15,,EGXF161E□□271MU40S,2250
200,36,5.526,,10,20,0.15,,EGXF201E□□360MJ20S,900
200,43,4.627,,10,25,0.15,,EGXF201E□□430MJ25S,1200
200,56,3.553,,12.5,20,0.15,,EGXF201E□□560MK20S,1220
200,62,3.209,,10,30,0.15,,EGXF201E□□620MJ30S,1410
200,75,2.653,,10,35,0.15,,EGXF201E□□750MJ35S,1600
200,75,2.653,,14.5,20,0.15,,EGXF201E□□750MU20S,1340
200,82,2.426,,10,40,0.15,,EGXF201E□□820MJ40S,1790
200,82,2.426,,12.5,25,0.15,,EGXF201E□□820MK25S,1510
200,100,1.989,,12.5,30,0.15,,EGXF201E□□101MK30S,1770
200,100,1.989,,16,20,0.15,,EGXF201E□□101ML20S,1500
200,110,1.809,,14.5,25,0.15,,EGXF201E□□111MU25S,1610
200,130,1.53,,12.5,35,0.15,,EGXF201E□□131MK35S,1970
200,130,1.53,,14.5,30,0.15,,EGXF201E□□131MU30S,1880
200,130,1.53,,18,20,0.15,,EGXF201E□□131MM20S,1730
200,150,1.326,,12.5,40,0.15,,EGXF201E□□151MK40S,2150
200,150,1.326,,16,25,0.15,,EGXF201E□□151ML25S,1850
200,160,1.243,,14.5,35,0.15,,EGXF201E□□161MU35S,2030
200,180,1.105,,18,25,0.15,,EGXF201E□□181MM25S,2050
200,200,0.995,,14.5,40,0.15,,EGXF201E□□201MU40S,2250
250,24,8.289,,10,20,0.15,,EGXF251E□□240MJ20S,900
250,30,6.631,,10,25,0.15,,EGXF251E□□300MJ25S,1200
250,36,5.526,,12.5,20,0.15,,EGXF251E□□360MK20S,1220
250,39,5.101,,10,30,0.15,,EGXF251E□□390MJ30S,1410
250,47,4.233,,10,35,0.15,,EGXF251E□□470MJ35S,1600
250,51,3.901,,12.5,25,0.15,,EGXF251E□□510MK25S,1510
250,51,3.901,,14.5,20,0.15,,EGXF251E□□510MU20S,1340
250,56,3.553,,10,40,0.15,,EGXF251E□□560MJ40S,1790
250,62,3.209,,16,20,0.15,,EGXF251E□□620ML20S,1500
250,68,2.926,,12.5,30,0.15,,EGXF251E□□680MK30S,1770
250,68,2.926,,14.5,25,0.15,,EGXF251E□□680MU25S,1610
250,82,2.426,,12.5,35,0.15,,EGXF251E□□820MK35S,1970
250,82,2.426,,18,20,0.15,,EGXF251E□□820MM20S,1730
250,91,2.186,,14.5,30,0.15,,EGXF251E□□910MU30S,1880
250,91,2.186,,16,25,0.15,,EGXF251E□□910ML25S,1850
250,100,1.989,,12.5,40,0.15,,EGXF251E□□101MK40S,2150
250,100,1.989,,14.5,35,0.15,,EGXF251E□□101MU35S,2030
250,120,1.658,,18,25,0.15,,EGXF251E□□121MM25S,2050
250,130,1.53,,14.5,40,0.15,,EGXF251E□□131MU40S,2250
350,16,16.579,,10,20,0.2,,EGXF351E□□160MJ20S,460
350,20,13.263,,10,25,0.2,,EGXF351E□□200MJ25S,610
350,24,11.052,,12.5,20,0.2,,EGXF351E□□240MK20S,680
350,27,9.824,,10,30,0.2,,EGXF351E□□270MJ30S,720
350,33,8.038,,10,35,0.2,,EGXF351E□□330MJ35S,820
350,33,8.038,,14.5,20,0.2,,EGXF351E□□330MU20S,870
350,36,7.368,,10,40,0.2,,EGXF351E□□360MJ40S,940
350,36,7.368,,12.5,25,0.2,,EGXF351E□□360MK25S,980
350,43,6.169,,16,20,0.2,,EGXF351E□□430ML20S,970
350,47,5.644,,12.5,30,0.2,,EGXF351E□□470MK30S,1210
350,47,5.644,,14.5,25,0.2,,EGXF351E□□470MU25S,1210
350,56,4.737,,12.5,35,0.2,,EGXF351E□□560MK35S,1330
350,56,4.737,,16,25,0.2,,EGXF351E□□560ML25S,1130
350,56,4.737,,18,20,0.2,,EGXF351E□□560MM20S,1060
350,62,4.278,,14.5,30,0.2,,EGXF351E□□620MU30S,1410
350,68,3.901,,12.5,40,0.2,,EGXF351E□□680MK40S,1450
350,68,3.901,,14.5,35,0.2,,EGXF351E□□680MU35S,1590
350,75,3.537,,18,25,0.2,,EGXF351E□□750MM25S,1200
350,91,2.915,,14.5,40,0.2,,EGXF351E□□910MU40S,1820
400,12,22.105,,10,20,0.2,,EGXF401E□□120MJ20S,460
400,16,16.579,,10,25,0.2,,EGXF401E□□160MJ25S,610
400,20,13.263,,10,30,0.2,,EGXF401E□□200MJ30S,720
400,20,13.263,,12.5,20,0.2,,EGXF401E□□200MK20S,680
400,24,11.052,,10,35,0.2,,EGXF401E□□240MJ35S,820
400,24,11.052,,14.5,20,0.2,,EGXF401E□□240MU20S,870
400,27,9.824,,12.5,25,0.2,,EGXF401E□□270MK25S,980
400,30,8.842,,10,40,0.2,,EGXF401E□□300MJ40S,940
400,33,8.038,,16,20,0.2,,EGXF401E□□330ML20S,970
400,36,7.368,,12.5,30,0.2,,EGXF401E□□360MK30S,1210
400,36,7.368,,14.5,25,0.2,,EGXF401E□□360MU25S,1210
400,43,6.169,,12.5,35,0.2,,EGXF401E□□430MK35S,1330
400,43,6.169,,18,20,0.2,,EGXF401E□□430MM20S,1060
400,47,5.644,,14.5,30,0.2,,EGXF401E□□470MU30S,1410
400,47,5.644,,16,25,0.2,,EGXF401E□□470ML25S,1130
400,51,5.201,,12.5,40,0.2,,EGXF401E□□510MK40S,1450
400,56,4.737,,14.5,35,0.2,,EGXF401E□□560MU35S,1590
400,62,4.278,,18,25,0.2,,EGXF401E□□620MM25S,1200
400,68,3.901,,14.5,40,0.2,,EGXF401E□□680MU40S,1820
