Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR(est.) 20°C@120Hz,Endurance,Frequency Coefficient 100kHz,Frequency Coefficient 10kHz,Frequency Coefficient 120Hz,Frequency Coefficient 1kHz,Frequency Coefficient 300Hz,Frequency Coefficient 60Hz,Lead Diameter,Lead Space,Lead Space Taping,Min Packaging Qty Straight,Min Packaging Qty Taping,Part Number,Ripple Current 105°C,VC
350,33,1.217,0.983,12.5,25,0.2,8.038,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2V330( ),790,11550
350,47,0.854,0.69,16,25,0.2,5.644,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2V470( ),1070,16450
350,68,0.591,0.477,16,31.5,0.2,3.901,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,nan,100,nan,EEUEE2V680,1530,23800
350,82,0.49,0.395,18,25,0.2,3.235,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2V820S( ),1530,28700
400,10,4.819,3.892,10,20,0.24,31.831,8000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2G100( ),430,4000
400,15,3.213,2.594,12.5,20,0.24,21.221,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2G150( ),590,6000
400,22,2.191,1.769,12.5,25,0.24,14.469,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2G220( ),760,8800
400,33,1.46,1.179,16,20,0.24,9.646,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2G330S( ),1020,13200
400,47,1.025,0.828,16,25,0.24,6.773,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2G470( ),1180,18800
400,68,0.709,0.572,18,25,0.24,4.681,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2G680( ),1470,27200
400,82,0.588,0.475,18,31.5,0.24,3.882,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,nan,50,nan,EEUEE2G820,1645,32800
400,100,0.629,0.509,18,40,0.24,3.183,10000,2.5,2.25,1.0,1.75,1.38,0.75,0.8,7.5,nan,50,nan,EEUEE2G101,2060,40000
450,10,4.819,3.892,10,20,0.24,31.831,8000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2W100U( ),330,4500
450,15,3.213,2.594,12.5,25,0.24,21.221,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.6,5.0,5.0,200,500,EEUEE2W150( ),780,6750
450,22,2.191,1.769,16,20,0.24,14.469,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2W220S( ),945,9900
450,33,1.46,1.179,16,25,0.24,9.646,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,7.5,100,250,EEUEE2W330( ),1000,14850
450,47,1.025,0.828,16,31.5,0.24,6.773,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,nan,100,nan,EEUEE2W470,1200,21150
450,56,0.861,0.695,18,31.5,0.24,5.684,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,nan,50,nan,EEUEE2W560,1380,25200
450,68,0.709,0.572,18,40,0.24,4.681,10000,2.86,2.57,1.0,1.86,1.43,0.71,0.8,7.5,nan,50,nan,EEUEE2W680,1800,30600
