Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR(est.) 20°C@100kHz,ESR 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,ESR -40°C@100kHz,ESR(est.) 20°C@120Hz,Part Number,Ripple Current 125°C@100kHz,Ripple Current 125°C@10kHz,Ripple Current 125°C@120Hz,Ripple Current 125°C@1kHz,Ripple Current 135°C@100kHz,VC
50,1600,0.04,0.036,0.037,12.5,40,0.1,0.36,0.099,EGPD500E□□162MK40H,5240,4957.6,3137.72,4549.7,3020,80000
50,1600,0.04,0.036,0.035,16,30,0.1,0.36,0.099,EGPD500E□□162ML30H,5130,4853.53,3071.86,4454.19,2960,80000
50,1800,0.035,0.032,0.033,18,25,0.1,0.32,0.088,EGPD500E□□182MM25H,4230,4002.04,2532.93,3672.75,2530,90000
50,2200,0.06,0.055,0.029,16,35,0.12,0.27,0.096,EGPD500E□□222ML35H,5480,5232.78,4120.3,4944.36,3160,110000
50,2400,0.055,0.05,0.028,18,30,0.12,0.25,0.088,EGPD500E□□242MM30H,5240,5003.61,3939.85,4727.82,3020,120000
50,2700,0.049,0.044,0.025,16,40,0.12,0.22,0.079,EGPD500E□□272ML40H,5930,5662.48,4458.65,5350.38,3420,135000
50,3000,0.055,0.05,0.024,18,35,0.14,0.2,0.088,EGPD500E□□302MM35H,5870,5605.19,4413.53,5296.24,3390,150000
50,3600,0.046,0.042,0.023,18,40,0.14,0.16,0.074,EGPD500E□□362MM40H,6420,6130.38,4827.07,5792.48,3700,180000
63,390,0.096,0.085,0.072,12.5,20,0.1,0.56,0.34,EGPD630E□□391MK20H,1640,1541.6,820,1394,1420,24570
63,560,0.067,0.059,0.052,12.5,25,0.1,0.39,0.237,EGPD630E□□561MK25H,2520,2368.8,1260,2142,2050,35280
63,680,0.078,0.07,0.053,16,20,0.1,0.34,0.195,EGPD630E□□681ML20H,2140,2024.67,1281.44,1858.08,1910,42840
63,750,0.071,0.063,0.042,12.5,30,0.1,0.3,0.177,EGPD630E□□751MK30H,3110,2942.4,1862.28,2700.3,2630,47250
63,910,0.058,0.052,0.035,12.5,35,0.1,0.25,0.146,EGPD630E□□911MK35H,3760,3557.37,2251.5,3264.67,2970,57330
63,910,0.058,0.052,0.044,18,20,0.1,0.26,0.146,EGPD630E□□911MM20H,2350,2223.35,1407.19,2040.42,2100,57330
63,1000,0.064,0.057,0.038,16,25,0.1,0.23,0.159,EGPD630E□□102ML25H,2940,2781.56,1760.48,2552.69,2680,63000
63,1100,0.058,0.052,0.031,12.5,40,0.1,0.22,0.145,EGPD630E□□112MK40H,4610,4361.56,2760.48,4002.69,3260,69300
63,1200,0.053,0.048,0.034,16,30,0.1,0.2,0.133,EGPD630E□□122ML30H,3860,3651.98,2311.38,3351.5,3050,75600
63,1300,0.049,0.044,0.033,18,25,0.1,0.19,0.122,EGPD630E□□132MM25H,3080,2914.01,1844.31,2674.25,2810,81900
63,1600,0.04,0.036,0.027,16,35,0.1,0.15,0.099,EGPD630E□□162ML35H,4590,4342.63,2748.5,3985.33,3420,100800
63,1600,0.04,0.036,0.028,18,30,0.1,0.15,0.099,EGPD630E□□162MM30H,4080,3860.12,2443.11,3542.51,3220,100800
63,1800,0.035,0.032,0.025,16,40,0.1,0.14,0.088,EGPD630E□□182ML40H,5190,4910.3,3107.78,4506.29,3670,113400
63,2200,0.06,0.055,0.022,18,35,0.12,0.12,0.096,EGPD630E□□222MM35H,5220,4984.51,3924.81,4709.77,3690,138600
63,2400,0.055,0.05,0.021,18,40,0.12,0.11,0.088,EGPD630E□□242MM40H,5660,5404.66,4255.64,5106.77,3820,151200
80,270,0.111,0.098,0.072,12.5,20,0.08,0.56,0.393,EGPD800E□□271MK20H,1640,1541.6,820,1394,1420,21600
80,390,0.077,0.068,0.052,12.5,25,0.08,0.39,0.272,EGPD800E□□391MK25H,2520,2368.8,1260,2142,2050,31200
80,470,0.064,0.056,0.053,16,20,0.08,0.34,0.226,EGPD800E□□471ML20H,2140,2011.6,1070,1819,1910,37600
80,510,0.059,0.052,0.042,12.5,30,0.08,0.3,0.208,EGPD800E□□511MK30H,3110,2923.4,1555,2643.5,2630,40800
80,620,0.048,0.043,0.035,12.5,35,0.08,0.25,0.171,EGPD800E□□621MK35H,3760,3534.4,1880,3196,2970,49600
80,620,0.048,0.043,0.044,18,20,0.08,0.26,0.171,EGPD800E□□621MM20H,2350,2209,1175,1997.5,2100,49600
80,680,0.063,0.056,0.038,16,25,0.08,0.23,0.156,EGPD800E□□681ML25H,2940,2781.56,1760.48,2552.69,2680,54400
80,750,0.057,0.051,0.031,12.5,40,0.08,0.22,0.141,EGPD800E□□751MK40H,4610,4361.56,2760.48,4002.69,3260,60000
80,750,0.057,0.051,0.034,16,30,0.08,0.2,0.141,EGPD800E□□751ML30H,3860,3651.98,2311.38,3351.5,3050,60000
80,820,0.052,0.046,0.033,18,25,0.08,0.19,0.129,EGPD800E□□821MM25H,3080,2914.01,1844.31,2674.25,2810,65600
80,1000,0.053,0.048,0.027,16,35,0.08,0.15,0.133,EGPD800E□□102ML35H,4590,4342.63,2748.5,3985.33,3420,80000
80,1100,0.048,0.043,0.028,18,30,0.08,0.15,0.121,EGPD800E□□112MM30H,4080,3860.12,2443.11,3542.51,3220,88000
80,1300,0.041,0.037,0.025,16,40,0.08,0.14,0.102,EGPD800E□□132ML40H,5190,4910.3,3107.78,4506.29,3670,104000
80,1300,0.041,0.037,0.022,18,35,0.08,0.12,0.102,EGPD800E□□132MM35H,5220,4938.68,3125.75,4532.34,3690,104000
80,1600,0.033,0.03,0.021,18,40,0.08,0.11,0.083,EGPD800E□□162MM40H,5660,5354.97,3389.22,4914.37,3820,128000
100,160,0.131,0.106,0.09,12.5,20,0.08,0.75,0.663,EGPD101E□□161MK20H,1580,1422,632,1188.16,1410,16000
100,220,0.136,0.121,0.068,12.5,25,0.08,0.55,0.482,EGPD101E□□221MK25H,2140,2011.6,1070,1819,1960,22000
100,270,0.111,0.098,0.067,16,20,0.08,0.47,0.393,EGPD101E□□271ML20H,2050,1927,1025,1742.5,1670,27000
100,300,0.1,0.088,0.052,12.5,30,0.08,0.41,0.354,EGPD101E□□301MK30H,2950,2773,1475,2507.5,2330,30000
100,360,0.083,0.074,0.045,12.5,35,0.08,0.35,0.295,EGPD101E□□361MK35H,3530,3318.2,1765,3000.5,2630,36000
100,360,0.083,0.074,0.061,18,20,0.08,0.35,0.295,EGPD101E□□361MM20H,2270,2133.8,1135,1929.5,1860,36000
100,390,0.077,0.068,0.048,16,25,0.08,0.33,0.272,EGPD101E□□391ML25H,2790,2622.6,1395,2371.5,2360,39000
100,430,0.07,0.062,0.038,12.5,40,0.08,0.29,0.247,EGPD101E□□431MK40H,4140,3891.6,2070,3519,2920,43000
100,470,0.064,0.056,0.041,16,30,0.08,0.27,0.226,EGPD101E□□471ML30H,3440,3233.6,1720,2924,2720,47000
100,510,0.059,0.052,0.045,18,25,0.08,0.25,0.208,EGPD101E□□511MM25H,2920,2744.8,1460,2482,2470,51000
100,560,0.054,0.047,0.036,16,35,0.08,0.23,0.189,EGPD101E□□561ML35H,4190,3938.6,2095,3561.5,2960,56000
100,620,0.048,0.043,0.037,18,30,0.08,0.2,0.171,EGPD101E□□621MM30H,3920,3684.8,1960,3332,2920,62000
100,750,0.057,0.051,0.028,16,40,0.08,0.18,0.141,EGPD101E□□751ML40H,5020,4749.46,3005.99,4358.68,3380,75000
100,820,0.052,0.046,0.03,18,35,0.08,0.16,0.129,EGPD101E□□821MM35H,4710,4456.17,2820.36,4089.52,3330,82000
100,910,0.047,0.042,0.026,18,40,0.08,0.14,0.117,EGPD101E□□911MM40H,5280,4995.45,3161.68,4584.43,3560,91000
