Voltage,Capacitance,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,100k,10k,1k,Dissipation Factor,ESR(est.) 20°C@120Hz,Frequency Coefficient 120Hz,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz,VC
50,1800,0.022,16,31.5,1.0,0.95,0.87,0.1,0.088,1.0,0.066,EKYA500E□□182MLN3S,3010,90000.0
50,2200,0.019,16,35.5,1.0,0.95,0.9,0.1,0.084,1.0,0.057,EKYA500E□□222MLP1S,3150,110000.0
63,10,0.88,5,11,1.0,0.9,0.75,0.09,11.937,1.0,3.5,EKYA630E□□100ME11D,173,630.0
63,15,0.88,5,11,1.0,0.9,0.75,0.09,7.958,1.0,3.5,EKYA630E□□150ME11D,173,945.0
63,33,0.35,6.3,11,1.0,0.9,0.75,0.09,3.617,1.0,1.4,EKYA630E□□330MF11D,278,2079.0
63,56,0.22,8,11.5,1.0,0.9,0.75,0.09,2.132,1.0,0.88,EKYA630E□□560MHB5D,500,3528.0
63,82,0.16,8,15,1.0,0.9,0.75,0.09,1.456,1.0,0.64,EKYA630E□□820MH15D,665,5166.0
63,100,0.11,10,12.5,1.0,0.9,0.75,0.09,1.194,1.0,0.44,EKYA630E□□101MJC5S,725,6300.0
63,120,0.12,8,20,1.0,0.9,0.75,0.09,0.995,1.0,0.48,EKYA630E□□121MH20D,820,7560.0
63,120,0.076,10,16,1.0,0.9,0.75,0.09,0.995,1.0,0.31,EKYA630E□□121MJ16S,950,7560.0
63,220,0.056,10,20,1.0,0.94,0.85,0.09,0.543,1.0,0.23,EKYA630E□□221MJ20S,1200,13860.0
63,330,0.046,10,25,1.0,0.94,0.85,0.09,0.362,1.0,0.19,EKYA630E□□331MJ25S,1350,20790.0
63,330,0.041,12.5,20,1.0,0.94,0.85,0.09,0.362,1.0,0.13,EKYA630E□□331MK20S,1570,20790.0
63,390,0.041,12.5,20,1.0,0.94,0.85,0.09,0.306,1.0,0.13,EKYA630E□□391MK20S,1570,24570.0
63,470,0.031,12.5,25,1.0,0.94,0.85,0.09,0.254,1.0,0.093,EKYA630E□□471MK25S,1990,29610.0
63,560,0.031,12.5,25,1.0,0.94,0.85,0.09,0.213,1.0,0.093,EKYA630E□□561MK25S,1990,35280.0
63,1000,0.025,16,25,1.0,0.95,0.87,0.09,0.146,1.0,0.075,EKYA630E□□102ML25S,2730,63000.0
63,1200,0.021,16,31.5,1.0,0.95,0.87,0.09,0.122,1.0,0.063,EKYA630E□□122MLN3S,2850,75600.0
63,1500,0.019,16,35.5,1.0,0.95,0.87,0.09,0.097,1.0,0.057,EKYA630E□□152MLP1S,2900,94500.0
100,1,4.5,5,11,1.0,0.9,0.75,0.08,106.103,1.0,15.0,EKYA101E□□1R0ME11D,20,100.0
100,2.2,3,5,11,1.0,0.9,0.75,0.08,48.229,1.0,13.0,EKYA101E□□2R2ME11D,30,220.00000000000003
100,3.3,2.7,5,11,1.0,0.9,0.75,0.08,32.153,1.0,11.0,EKYA101E□□3R3ME11D,40,330.0
100,4.7,2.5,5,11,1.0,0.9,0.75,0.08,22.575,1.0,10.0,EKYA101E□□4R7ME11D,65,470.0
100,6.8,1.4,5,11,1.0,0.9,0.75,0.08,15.603,1.0,5.6,EKYA101E□□6R8ME11D,125,680.0
