Voltage,Capacitance,ESR 20°C@120Hz,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,Dissipation Factor,Impedance -10°C@100kHz,Part Number,Ripple Current 105°C@100kHz
16,330,0.643,0.072,8,11.5,0.16,0.22,EKZE160E□□331MHB5D,760
16,470,0.452,0.056,8,15,0.16,0.17,EKZE160E□□471MH15D,995
16,470,0.452,0.053,10,12.5,0.16,0.16,EKZE160E□□471MJC5S,1030
16,680,0.312,0.041,8,20,0.16,0.13,EKZE160E□□681MH20D,1250
16,680,0.312,0.038,10,16,0.16,0.12,EKZE160E□□681MJ16S,1430
16,1000,0.212,0.023,10,20,0.16,0.069,EKZE160E□□102MJ20S,1820
16,1200,0.177,0.022,10,25,0.16,0.066,EKZE160E□□122MJ25S,2150
16,1500,0.141,0.021,12.5,20,0.16,0.053,EKZE160E□□152MK20S,2360
16,2200,0.096,0.018,12.5,25,0.16,0.045,EKZE160E□□222MK25S,2770
16,2700,0.079,0.016,12.5,30,0.16,0.041,EKZE160E□□272MK30S,3290
16,2700,0.079,0.018,16,20,0.16,0.045,EKZE160E□□272ML20S,3140
16,3300,0.064,0.015,12.5,35,0.16,0.039,EKZE160E□□332MK35S,3400
16,3900,0.054,0.016,16,25,0.16,0.043,EKZE160E□□392ML25S,3460
25,47,3.951,0.3,5,11,0.14,1.0,EKZE250E□□470ME11D,250
25,100,1.857,0.13,6.3,11,0.14,0.41,EKZE250E□□101MF11D,405
25,220,0.844,0.072,8,11.5,0.14,0.22,EKZE250E□□221MHB5D,760
25,330,0.563,0.056,8,15,0.14,0.17,EKZE250E□□331MH15D,995
25,330,0.563,0.053,10,12.5,0.14,0.16,EKZE250E□□331MJC5S,1030
25,470,0.395,0.041,8,20,0.14,0.13,EKZE250E□□471MH20D,1250
25,470,0.395,0.038,10,16,0.14,0.12,EKZE250E□□471MJ16S,1430
25,680,0.273,0.023,10,20,0.14,0.069,EKZE250E□□681MJ20S,1820
25,820,0.226,0.022,10,25,0.14,0.066,EKZE250E□□821MJ25S,2150
25,1000,0.186,0.021,12.5,20,0.14,0.053,EKZE250E□□102MK20S,2360
25,1500,0.124,0.018,12.5,25,0.14,0.045,EKZE250E□□152MK25S,2770
25,1800,0.103,0.016,12.5,30,0.14,0.041,EKZE250E□□182MK30S,3290
25,1800,0.103,0.018,16,20,0.14,0.045,EKZE250E□□182ML20S,3140
25,2200,0.084,0.015,12.5,35,0.14,0.039,EKZE250E□□222MK35S,3400
25,2700,0.069,0.016,16,25,0.14,0.043,EKZE250E□□272ML25S,3460
35,33,4.823,0.3,5,11,0.12,1.0,EKZE350E□□330ME11D,250
35,56,2.842,0.13,6.3,11,0.12,0.41,EKZE350E□□560MF11D,405
35,150,1.061,0.072,8,11.5,0.12,0.22,EKZE350E□□151MHB5D,760
35,220,0.723,0.056,8,15,0.12,0.17,EKZE350E□□221MH15D,995
35,220,0.723,0.053,10,12.5,0.12,0.16,EKZE350E□□221MJC5S,1030
35,270,0.589,0.041,8,20,0.12,0.13,EKZE350E□□271MH20D,1250
35,330,0.482,0.038,10,16,0.12,0.12,EKZE350E□□331MJ16S,1430
35,470,0.339,0.023,10,20,0.12,0.069,EKZE350E□□471MJ20S,1820
35,560,0.284,0.022,10,25,0.12,0.066,EKZE350E□□561MJ25S,2150
35,680,0.234,0.021,12.5,20,0.12,0.053,EKZE350E□□681MK20S,2360
35,1000,0.159,0.018,12.5,25,0.12,0.045,EKZE350E□□102MK25S,2770
35,1200,0.133,0.016,12.5,30,0.12,0.041,EKZE350E□□122MK30S,3290
35,1200,0.133,0.018,16,20,0.12,0.045,EKZE350E□□122ML20S,3140
35,1500,0.106,0.015,12.5,35,0.12,0.039,EKZE350E□□152MK35S,3400
35,1800,0.088,0.016,16,25,0.12,0.043,EKZE350E□□182ML25S,3460
50,22,6.029,0.34,5,11,0.1,1.18,EKZE500E□□220ME11D,238
50,56,2.368,0.14,6.3,11,0.1,0.5,EKZE500E□□560MF11D,385
50,100,1.326,0.074,8,11.5,0.1,0.22,EKZE500E□□101MHB5D,724
50,120,1.105,0.061,8,15,0.1,0.18,EKZE500E□□121MH15D,950
50,150,0.884,0.061,10,12.5,0.1,0.18,EKZE500E□□151MJC5S,979
50,180,0.737,0.046,8,20,0.1,0.14,EKZE500E□□181MH20D,1190
50,220,0.603,0.042,10,16,0.1,0.12,EKZE500E□□221MJ16S,1370
50,270,0.491,0.03,10,20,0.1,0.09,EKZE500E□□271MJ20S,1580
50,330,0.402,0.028,10,25,0.1,0.085,EKZE500E□□331MJ25S,1870
50,470,0.282,0.027,12.5,20,0.1,0.068,EKZE500E□□471MK20S,2050
50,560,0.237,0.023,12.5,25,0.1,0.059,EKZE500E□□561MK25S,2410
50,680,0.195,0.021,12.5,30,0.1,0.052,EKZE500E□□681MK30S,2860
50,820,0.162,0.019,12.5,35,0.1,0.051,EKZE500E□□821MK35S,2960
50,820,0.162,0.023,16,20,0.1,0.059,EKZE500E□□821ML20S,2730
50,1000,0.133,0.021,16,25,0.1,0.056,EKZE500E□□102ML25S,3010
63,15,7.958,0.88,5,11,0.09,3.5,EKZE630E□□150ME11D,165
63,33,3.617,0.35,6.3,11,0.09,1.4,EKZE630E□□330MF11D,265
63,56,2.132,0.22,8,11.5,0.09,0.88,EKZE630E□□560MHB5D,500
63,82,1.456,0.16,8,15,0.09,0.64,EKZE630E□□820MH15D,665
63,82,1.456,0.11,10,12.5,0.09,0.44,EKZE630E□□820MJC5S,690
63,120,0.995,0.12,8,20,0.09,0.48,EKZE630E□□121MH20D,820
63,120,0.995,0.076,10,16,0.09,0.31,EKZE630E□□121MJ16S,950
63,180,0.663,0.056,10,20,0.09,0.23,EKZE630E□□181MJ20S,1150
63,180,0.663,0.072,12.5,16,0.09,0.29,EKZE630E□□181MK16S,1150
63,220,0.543,0.046,10,25,0.09,0.19,EKZE630E□□221MJ25S,1350
63,270,0.442,0.041,12.5,20,0.09,0.13,EKZE630E□□271MK20S,1500
63,390,0.306,0.031,12.5,25,0.09,0.093,EKZE630E□□391MK25S,1900
63,470,0.254,0.028,12.5,30,0.09,0.084,EKZE630E□□471MK30S,2300
63,470,0.254,0.032,16,20,0.09,0.096,EKZE630E□□471ML20S,2000
63,560,0.213,0.024,12.5,35,0.09,0.072,EKZE630E□□561MK35S,2500
63,680,0.176,0.021,12.5,40,0.09,0.063,EKZE630E□□681MK40S,2800
63,680,0.176,0.025,16,25,0.09,0.075,EKZE630E□□681ML25S,2600
63,680,0.176,0.03,18,20,0.09,0.09,EKZE630E□□681MM20S,2500
63,820,0.146,0.021,16,31.5,0.09,0.063,EKZE630E□□821MLN3S,2850
63,820,0.146,0.024,18,25,0.09,0.072,EKZE630E□□821MM25S,2800
63,1000,0.119,0.019,16,35.5,0.09,0.057,EKZE630E□□102MLP1S,2900
63,1200,0.099,0.018,16,40,0.09,0.054,EKZE630E□□122ML40S,3400
63,1200,0.099,0.02,18,31.5,0.09,0.06,EKZE630E□□122MMN3S,3300
63,1500,0.08,0.018,18,35.5,0.09,0.054,EKZE630E□□152MMP1S,3400
63,1800,0.066,0.017,18,40,0.09,0.051,EKZE630E□□182MM40S,3500
80,68,1.755,0.17,10,12.5,0.09,0.66,EKZE800E□□680MJC5S,480
80,100,1.194,0.11,10,16,0.09,0.47,EKZE800E□□101MJ16S,600
80,120,0.995,0.084,10,20,0.09,0.34,EKZE800E□□121MJ20S,800
80,150,0.796,0.069,10,25,0.09,0.28,EKZE800E□□151MJ25S,900
80,150,0.796,0.11,12.5,16,0.09,0.34,EKZE800E□□151MK16S,750
80,220,0.543,0.062,12.5,20,0.09,0.18,EKZE800E□□221MK20S,1100
80,330,0.362,0.047,12.5,25,0.09,0.14,EKZE800E□□331MK25S,1250
80,330,0.362,0.048,16,20,0.09,0.15,EKZE800E□□331ML20S,1350
80,390,0.306,0.042,12.5,30,0.09,0.13,EKZE800E□□391MK30S,1500
80,470,0.254,0.036,12.5,35,0.09,0.11,EKZE800E□□471MK35S,1650
80,470,0.254,0.038,16,25,0.09,0.12,EKZE800E□□471ML25S,1700
80,470,0.254,0.045,18,20,0.09,0.14,EKZE800E□□471MM20S,1500
80,560,0.213,0.032,12.5,40,0.09,0.095,EKZE800E□□561MK40S,1800
80,680,0.176,0.032,16,31.5,0.09,0.095,EKZE800E□□681MLN3S,1850
80,680,0.176,0.036,18,25,0.09,0.11,EKZE800E□□681MM25S,1750
80,820,0.146,0.029,16,35.5,0.09,0.086,EKZE800E□□821MLP1S,2000
80,820,0.146,0.03,18,31.5,0.09,0.09,EKZE800E□□821MMN3S,1900
80,1000,0.119,0.027,16,40,0.09,0.081,EKZE800E□□102ML40S,2200
80,1000,0.119,0.027,18,35.5,0.09,0.081,EKZE800E□□102MMP1S,2200
80,1200,0.099,0.026,18,40,0.09,0.077,EKZE800E□□122MM40S,2700
100,6.8,15.603,1.4,5,11,0.08,5.6,EKZE101E□□6R8ME11D,125
100,15,7.074,0.57,6.3,11,0.08,2.3,EKZE101E□□150MF11D,205
100,27,3.93,0.36,8,11.5,0.08,1.4,EKZE101E□□270MHB5D,355
100,39,2.721,0.25,8,15,0.08,1.0,EKZE101E□□390MH15D,450
100,47,2.258,0.17,10,12.5,0.08,0.66,EKZE101E□□470MJC5S,480
100,56,1.895,0.19,8,20,0.08,0.76,EKZE101E□□560MH20D,565
100,68,1.56,0.11,10,16,0.08,0.47,EKZE101E□□680MJ16S,600
100,82,1.294,0.084,10,20,0.08,0.34,EKZE101E□□820MJ20S,800
100,100,1.061,0.11,12.5,16,0.08,0.34,EKZE101E□□101MK16S,750
100,120,0.884,0.069,10,25,0.08,0.28,EKZE101E□□121MJ25S,900
100,150,0.707,0.062,12.5,20,0.08,0.18,EKZE101E□□151MK20S,1100
100,220,0.482,0.047,12.5,25,0.08,0.14,EKZE101E□□221MK25S,1250
100,220,0.482,0.048,16,20,0.08,0.15,EKZE101E□□221ML20S,1350
100,270,0.393,0.042,12.5,30,0.08,0.13,EKZE101E□□271MK30S,1500
100,330,0.322,0.036,12.5,35,0.08,0.11,EKZE101E□□331MK35S,1650
100,330,0.322,0.038,16,25,0.08,0.12,EKZE101E□□331ML25S,1700
100,330,0.322,0.045,18,20,0.08,0.14,EKZE101E□□331MM20S,1500
100,390,0.272,0.032,12.5,40,0.08,0.095,EKZE101E□□391MK40S,1800
100,470,0.226,0.032,16,31.5,0.08,0.095,EKZE101E□□471MLN3S,1850
100,470,0.226,0.036,18,25,0.08,0.11,EKZE101E□□471MM25S,1750
100,560,0.189,0.029,16,35.5,0.08,0.086,EKZE101E□□561MLP1S,2000
100,560,0.189,0.03,18,31.5,0.08,0.09,EKZE101E□□561MMN3S,1900
100,680,0.156,0.027,16,40,0.08,0.081,EKZE101E□□681ML40S,2200
100,680,0.156,0.027,18,35.5,0.08,0.081,EKZE101E□□681MMP1S,2200
100,820,0.129,0.026,18,40,0.08,0.077,EKZE101E□□821MM40S,2700
