Voltage,Capacitance,Dissipation Factor,Impedance 20°C@100kHz,Case Size Diameter,Case Size Length,ESR(est.) 20°C@120Hz,Endurance,Lead Diameter,Lead Space,Lead Space Taping,Lead Space Taping_1,Part Number,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Ripple Current 105°C@60Hz,Straight leads,Taping,VC
50,560,0.1,0.02,10,20,0.237,10000,0.6,5,5,,EEUFR1V561( ),2180,2147.22,1639.1,1966.92,1426.02,200,500,28000
50,680,0.1,0.02,10,20,0.195,10000,0.6,5,5,,EEUFR1V681( ),2180,2147.22,1639.1,1966.92,1426.02,200,500,34000
50,680,0.1,0.018,10,25,0.195,10000,0.6,5,5,,EEUFR1V681L( ),2470,2432.86,1857.14,2228.57,1615.71,200,500,34000
50,820,0.1,0.018,10,25,0.162,10000,0.6,5,5,,EEUFR1V821L( ),2470,2432.86,1857.14,2228.57,1615.71,200,500,41000
50,1000,0.1,0.018,12.5,20,0.159,10000,0.6,5,5,,EEUFR1V102( ),2600,2560.9,1954.89,2345.86,1700.75,200,500,50000
50,1200,0.1,0.015,12.5,25,0.133,10000,0.6,5,5,,EEUFR1V122( ),3190,3190,2552,3036.88,2398.88,200,500,60000
50,1500,0.1,0.013,12.5,30,0.106,10000,0.8,5,,,EEUFR1V152L,3630,3630,2904,3455.76,2729.76,100,,75000
50,1800,0.1,0.012,12.5,35,0.088,10000,0.8,5,,,EEUFR1V182L,3750,3750,3000,3570,2820,100,,90000
50,1800,0.1,0.017,16,20,0.088,10000,0.8,7.5,7.5,,EEUFR1V182S( ),3300,3300,2640,3141.6,2481.6,100,250,90000
50,2200,0.1,0.012,12.5,35,0.084,10000,0.8,5,,,EEUFR1V222L,3750,3750,3000,3570,2820,100,,110000
50,2200,0.1,0.014,16,25,0.084,10000,0.8,7.5,7.5,,EEUFR1V222( ),3820,3820,3056,3636.64,2872.64,100,250,110000
50,4.7,0.1,0.62,5,11,28.219,5000,0.5,2,5,2.5,EEUFR1H4R7( ),185,166.7,101.65,138.24,83.35,200,2000,235
50,10,0.1,0.34,5,11,13.263,5000,0.5,2,5,2.5,EEUFR1H100( ),250,225.27,137.36,186.81,112.64,200,2000,500
50,22,0.1,0.34,5,11,6.029,5000,0.5,2,5,2.5,EEUFR1H220( ),250,225.27,137.36,186.81,112.64,200,2000,1100
50,47,0.1,0.14,6.3,11.2,2.822,5000,0.5,2.5,5,,EEUFR1H470( ),405,385.17,283.22,342.69,243.57,200,2000,2350
50,56,0.1,0.14,6.3,11.2,2.368,5000,0.5,2.5,5,2.5,EEUFR1H560( ),405,385.17,283.22,342.69,243.57,200,2000,2800
50,100,0.1,0.061,8,11.5,1.326,6000,0.6,3.5,5,,EEUFR1H101( ),870,827.41,608.39,736.15,523.22,200,1000,5000
50,120,0.1,0.045,8,15,1.105,8000,0.6,3.5,5,,EEUFR1H121L( ),1140,1084.2,797.2,964.62,685.59,200,1000,6000
50,150,0.1,0.042,10,12.5,0.884,6000,0.6,5,5,,EEUFR1H151( ),1170,1112.73,818.18,990,703.64,200,500,7500
50,180,0.1,0.033,8,20,0.737,9000,0.6,3.5,5,,EEUFR1H181L( ),1430,1360,1000,1210,860,200,1000,9000
50,220,0.1,0.03,10,16,0.603,8000,0.6,5,5,,EEUFR1H221( ),1650,1569.23,1153.85,1396.15,992.31,200,500,11000
50,270,0.1,0.023,10,20,0.491,10000,0.6,5,5,,EEUFR1H271( ),1890,1797.48,1321.68,1599.23,1136.64,200,500,13500
50,330,0.1,0.022,10,25,0.402,10000,0.6,5,5,,EEUFR1H331L( ),2150,2044.76,1503.5,1819.23,1293.01,200,500,16500
50,470,0.1,0.022,12.5,20,0.282,10000,0.6,5,5,,EEUFR1H471( ),2260,2226.02,1699.25,2039.1,1478.35,200,500,23500
